#category	term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO Process	GO:0045765	Regulation of angiogenesis	5	303	1.43	0.0087	9606.ENSP00000314897,9606.ENSP00000317985,9606.ENSP00000355751,9606.ENSP00000356438,9606.ENSP00000419422	ANGPT2,ROCK2,THBS2,PTGS2,AGTR1
GO Process	GO:1990776	Response to angiotensin	3	27	2.26	0.0087	9606.ENSP00000317985,9606.ENSP00000356438,9606.ENSP00000419422	ROCK2,PTGS2,AGTR1
GO Process	GO:0060135	Maternal process involved in female pregnancy	3	64	1.88	0.0232	9606.ENSP00000314897,9606.ENSP00000356438,9606.ENSP00000358513	ANGPT2,PTGS2,CNR1
GO Process	GO:0090271	Positive regulation of fibroblast growth factor production	2	5	2.81	0.0232	9606.ENSP00000317985,9606.ENSP00000356438	ROCK2,PTGS2
GO Process	GO:0031622	Positive regulation of fever generation	2	7	2.67	0.0265	9606.ENSP00000356438,9606.ENSP00000358513	PTGS2,CNR1
GO Process	GO:0001822	Kidney development	4	271	1.38	0.0284	9606.ENSP00000226760,9606.ENSP00000314897,9606.ENSP00000319281,9606.ENSP00000419422	WFS1,ANGPT2,BASP1,AGTR1
GO Process	GO:0019371	Cyclooxygenase pathway	2	11	2.47	0.0284	9606.ENSP00000342385,9606.ENSP00000356438	PTGES,PTGS2
GO Process	GO:0022603	Regulation of anatomical structure morphogenesis	6	1095	0.95	0.0284	9606.ENSP00000314897,9606.ENSP00000317985,9606.ENSP00000319281,9606.ENSP00000355751,9606.ENSP00000356438,9606.ENSP00000419422	ANGPT2,ROCK2,BASP1,THBS2,PTGS2,AGTR1
GO Process	GO:0051240	Positive regulation of multicellular organismal process	7	1770	0.81	0.0284	9606.ENSP00000314897,9606.ENSP00000317985,9606.ENSP00000319281,9606.ENSP00000355751,9606.ENSP00000356438,9606.ENSP00000358513,9606.ENSP00000419422	ANGPT2,ROCK2,BASP1,THBS2,PTGS2,CNR1,AGTR1
GO Process	GO:0016525	Negative regulation of angiogenesis	3	117	1.62	0.0359	9606.ENSP00000314897,9606.ENSP00000317985,9606.ENSP00000355751	ANGPT2,ROCK2,THBS2
GO Process	GO:0008015	Blood circulation	4	394	1.22	0.0470	9606.ENSP00000317985,9606.ENSP00000356438,9606.ENSP00000358513,9606.ENSP00000419422	ROCK2,PTGS2,CNR1,AGTR1
GO Process	GO:0050729	Positive regulation of inflammatory response	3	144	1.53	0.0479	9606.ENSP00000356438,9606.ENSP00000358513,9606.ENSP00000419422	PTGS2,CNR1,AGTR1
GO Process	GO:0051094	Positive regulation of developmental process	6	1389	0.85	0.0479	9606.ENSP00000314897,9606.ENSP00000319281,9606.ENSP00000355751,9606.ENSP00000356438,9606.ENSP00000358513,9606.ENSP00000419422	ANGPT2,BASP1,THBS2,PTGS2,CNR1,AGTR1
GO Process	GO:0097746	Regulation of blood vessel diameter	3	139	1.55	0.0479	9606.ENSP00000317985,9606.ENSP00000356438,9606.ENSP00000419422	ROCK2,PTGS2,AGTR1
GO Process	GO:2000026	Regulation of multicellular organismal development	7	2096	0.74	0.0479	9606.ENSP00000314897,9606.ENSP00000317985,9606.ENSP00000319281,9606.ENSP00000355751,9606.ENSP00000356438,9606.ENSP00000358513,9606.ENSP00000419422	ANGPT2,ROCK2,BASP1,THBS2,PTGS2,CNR1,AGTR1
GO Process	GO:0001816	Cytokine production	3	158	1.49	0.0487	9606.ENSP00000317985,9606.ENSP00000354782,9606.ENSP00000356438	ROCK2,CD247,PTGS2
STRING clusters	CL:14576	Prostaglandin biosynthesis	2	5	2.81	0.0328	9606.ENSP00000342385,9606.ENSP00000356438	PTGES,PTGS2
UniProt Keywords	KW-0643	Prostaglandin biosynthesis	2	10	2.51	0.0153	9606.ENSP00000342385,9606.ENSP00000356438	PTGES,PTGS2
