#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GOCC:0005576	Extracellular region	35	2035	0.63	3.38e-11	9606.ENSP00000215832,9606.ENSP00000222572,9606.ENSP00000231061,9606.ENSP00000233893,9606.ENSP00000245451,9606.ENSP00000248553,9606.ENSP00000256999,9606.ENSP00000261769,9606.ENSP00000265627,9606.ENSP00000267101,9606.ENSP00000280357,9606.ENSP00000284984,9606.ENSP00000307900,9606.ENSP00000309757,9606.ENSP00000321326,9606.ENSP00000331736,9606.ENSP00000347041,9606.ENSP00000353393,9606.ENSP00000353731,9606.ENSP00000354511,9606.ENSP00000355370,9606.ENSP00000360687,9606.ENSP00000361359,9606.ENSP00000366307,9606.ENSP00000371958,9606.ENSP00000380432,9606.ENSP00000380901,9606.ENSP00000383232,9606.ENSP00000389814,9606.ENSP00000400175,9606.ENSP00000418009,9606.ENSP00000418525,9606.ENSP00000436455,9606.ENSP00000483403,9606.ENSP00000483599	MAPK1,PON2,SPARC,HSPE1,BMP4,HSPB1,FOLH1,CDH1,PON3,ERBB3,IL18,ADAMTS1,GLUL,LPL,F2R,SELE,FMOD,F8,DPP4,COMT,CNTF,PTGDS,CD40,THBD,CD9,INS,COL8A2,GGT1,ADIPOQ,RHOA,RARRES2,MME,NUCB2,GHR,SPON2
GOCC:0005615	Extracellular space	22	985	0.74	4.56e-08	9606.ENSP00000233893,9606.ENSP00000245451,9606.ENSP00000248553,9606.ENSP00000256999,9606.ENSP00000261769,9606.ENSP00000265627,9606.ENSP00000280357,9606.ENSP00000307900,9606.ENSP00000309757,9606.ENSP00000331736,9606.ENSP00000353393,9606.ENSP00000353731,9606.ENSP00000354511,9606.ENSP00000360687,9606.ENSP00000361359,9606.ENSP00000371958,9606.ENSP00000380432,9606.ENSP00000389814,9606.ENSP00000400175,9606.ENSP00000418009,9606.ENSP00000418525,9606.ENSP00000483403	HSPE1,BMP4,HSPB1,FOLH1,CDH1,PON3,IL18,GLUL,LPL,SELE,F8,DPP4,COMT,PTGDS,CD40,CD9,INS,ADIPOQ,RHOA,RARRES2,MME,GHR
GOCC:0005886	Plasma membrane	35	3531	0.39	5.44e-05	9606.ENSP00000075120,9606.ENSP00000215832,9606.ENSP00000222139,9606.ENSP00000229264,9606.ENSP00000245451,9606.ENSP00000251849,9606.ENSP00000256999,9606.ENSP00000261769,9606.ENSP00000267101,9606.ENSP00000269571,9606.ENSP00000280357,9606.ENSP00000297494,9606.ENSP00000298552,9606.ENSP00000307900,9606.ENSP00000312326,9606.ENSP00000321326,9606.ENSP00000331736,9606.ENSP00000344220,9606.ENSP00000353731,9606.ENSP00000354511,9606.ENSP00000355361,9606.ENSP00000361359,9606.ENSP00000366307,9606.ENSP00000371958,9606.ENSP00000380252,9606.ENSP00000380432,9606.ENSP00000383115,9606.ENSP00000383232,9606.ENSP00000400175,9606.ENSP00000418525,9606.ENSP00000419313,9606.ENSP00000433623,9606.ENSP00000445772,9606.ENSP00000483403,9606.ENSP00000484631	SLC2A3,MAPK1,EPOR,GNB3,BMP4,RAF1,FOLH1,CDH1,ERBB3,ERBB2,IL18,NOS3,TSC1,GLUL,AOC3,F2R,SELE,PDPK1,DPP4,COMT,CD47,CD40,THBD,CD9,NFE2L2,INS,COLEC12,GGT1,RHOA,MME,TRPC1,TRAF6,LTB4R2,GHR,PMP22
GOCC:0031982	Vesicle	26	2051	0.5	5.44e-05	9606.ENSP00000075120,9606.ENSP00000215832,9606.ENSP00000231061,9606.ENSP00000233893,9606.ENSP00000248553,9606.ENSP00000256999,9606.ENSP00000261769,9606.ENSP00000269571,9606.ENSP00000297494,9606.ENSP00000312326,9606.ENSP00000321326,9606.ENSP00000342026,9606.ENSP00000353393,9606.ENSP00000353731,9606.ENSP00000354511,9606.ENSP00000355361,9606.ENSP00000361359,9606.ENSP00000371958,9606.ENSP00000377055,9606.ENSP00000379842,9606.ENSP00000380432,9606.ENSP00000383115,9606.ENSP00000400175,9606.ENSP00000418009,9606.ENSP00000418525,9606.ENSP00000433623	SLC2A3,MAPK1,SPARC,HSPE1,HSPB1,FOLH1,CDH1,ERBB2,NOS3,AOC3,F2R,PRDX6,F8,DPP4,COMT,CD47,CD40,CD9,PRCP,SGK3,INS,COLEC12,RHOA,RARRES2,MME,TRAF6
GOCC:0110165	Cellular anatomical entity	75	13853	0.13	5.44e-05	9606.ENSP00000075120,9606.ENSP00000215832,9606.ENSP00000222139,9606.ENSP00000222572,9606.ENSP00000229264,9606.ENSP00000231061,9606.ENSP00000233893,9606.ENSP00000245451,9606.ENSP00000248553,9606.ENSP00000251849,9606.ENSP00000256999,9606.ENSP00000261769,9606.ENSP00000265627,9606.ENSP00000267101,9606.ENSP00000269571,9606.ENSP00000280357,9606.ENSP00000283928,9606.ENSP00000284031,9606.ENSP00000284984,9606.ENSP00000285407,9606.ENSP00000287820,9606.ENSP00000297494,9606.ENSP00000298552,9606.ENSP00000300055,9606.ENSP00000307900,9606.ENSP00000309757,9606.ENSP00000311005,9606.ENSP00000312326,9606.ENSP00000321326,9606.ENSP00000331736,9606.ENSP00000335091,9606.ENSP00000337332,9606.ENSP00000341044,9606.ENSP00000341208,9606.ENSP00000342026,9606.ENSP00000344220,9606.ENSP00000347041,9606.ENSP00000353393,9606.ENSP00000353731,9606.ENSP00000354511,9606.ENSP00000355361,9606.ENSP00000355370,9606.ENSP00000360247,9606.ENSP00000360687,9606.ENSP00000361359,9606.ENSP00000362463,9606.ENSP00000366307,9606.ENSP00000371958,9606.ENSP00000377055,9606.ENSP00000378046,9606.ENSP00000379842,9606.ENSP00000380252,9606.ENSP00000380432,9606.ENSP00000380759,9606.ENSP00000380901,9606.ENSP00000383115,9606.ENSP00000383232,9606.ENSP00000387164,9606.ENSP00000389814,9606.ENSP00000398048,9606.ENSP00000400175,9606.ENSP00000406873,9606.ENSP00000418009,9606.ENSP00000418525,9606.ENSP00000419313,9606.ENSP00000422607,9606.ENSP00000433623,9606.ENSP00000436455,9606.ENSP00000445772,9606.ENSP00000448665,9606.ENSP00000476767,9606.ENSP00000480291,9606.ENSP00000483403,9606.ENSP00000483599,9606.ENSP00000484631	SLC2A3,MAPK1,EPOR,PON2,GNB3,SPARC,HSPE1,BMP4,HSPB1,RAF1,FOLH1,CDH1,PON3,ERBB3,ERBB2,IL18,JAZF1,DDAH1,ADAMTS1,KLF10,PPARG,NOS3,TSC1,PLIN1,GLUL,LPL,MAPK7,AOC3,F2R,SELE,ZNRF1,SIRT6,ACACB,STAT5A,PRDX6,PDPK1,FMOD,F8,DPP4,COMT,CD47,CNTF,CYP2J2,PTGDS,CD40,GLO1,THBD,CD9,PRCP,FKBP2,SGK3,NFE2L2,INS,PRMT2,COL8A2,COLEC12,GGT1,CPVL,ADIPOQ,ALPK1,RHOA,PAK6,RARRES2,MME,TRPC1,ACSL1,TRAF6,NUCB2,LTB4R2,DDIT3,FKBP8,HNF1B,GHR,SPON2,PMP22
GOCC:0043227	Membrane-bounded organelle	57	8685	0.21	0.00019	9606.ENSP00000075120,9606.ENSP00000215832,9606.ENSP00000231061,9606.ENSP00000233893,9606.ENSP00000245451,9606.ENSP00000248553,9606.ENSP00000251849,9606.ENSP00000256999,9606.ENSP00000261769,9606.ENSP00000265627,9606.ENSP00000269571,9606.ENSP00000283928,9606.ENSP00000284031,9606.ENSP00000285407,9606.ENSP00000287820,9606.ENSP00000297494,9606.ENSP00000300055,9606.ENSP00000307900,9606.ENSP00000311005,9606.ENSP00000312326,9606.ENSP00000321326,9606.ENSP00000337332,9606.ENSP00000341044,9606.ENSP00000341208,9606.ENSP00000342026,9606.ENSP00000344220,9606.ENSP00000347041,9606.ENSP00000353393,9606.ENSP00000353731,9606.ENSP00000354511,9606.ENSP00000355361,9606.ENSP00000360247,9606.ENSP00000360687,9606.ENSP00000361359,9606.ENSP00000362463,9606.ENSP00000371958,9606.ENSP00000377055,9606.ENSP00000378046,9606.ENSP00000379842,9606.ENSP00000380252,9606.ENSP00000380432,9606.ENSP00000380759,9606.ENSP00000380901,9606.ENSP00000383115,9606.ENSP00000383232,9606.ENSP00000387164,9606.ENSP00000389814,9606.ENSP00000400175,9606.ENSP00000406873,9606.ENSP00000418009,9606.ENSP00000418525,9606.ENSP00000422607,9606.ENSP00000433623,9606.ENSP00000436455,9606.ENSP00000448665,9606.ENSP00000476767,9606.ENSP00000480291	SLC2A3,MAPK1,SPARC,HSPE1,BMP4,HSPB1,RAF1,FOLH1,CDH1,PON3,ERBB2,JAZF1,DDAH1,KLF10,PPARG,NOS3,PLIN1,GLUL,MAPK7,AOC3,F2R,SIRT6,ACACB,STAT5A,PRDX6,PDPK1,FMOD,F8,DPP4,COMT,CD47,CYP2J2,PTGDS,CD40,GLO1,CD9,PRCP,FKBP2,SGK3,NFE2L2,INS,PRMT2,COL8A2,COLEC12,GGT1,CPVL,ADIPOQ,RHOA,PAK6,RARRES2,MME,ACSL1,TRAF6,NUCB2,DDIT3,FKBP8,HNF1B
GOCC:0005737	Cytoplasm	53	7871	0.22	0.00039	9606.ENSP00000075120,9606.ENSP00000215832,9606.ENSP00000229264,9606.ENSP00000231061,9606.ENSP00000233893,9606.ENSP00000245451,9606.ENSP00000248553,9606.ENSP00000251849,9606.ENSP00000261769,9606.ENSP00000269571,9606.ENSP00000280357,9606.ENSP00000284031,9606.ENSP00000287820,9606.ENSP00000297494,9606.ENSP00000298552,9606.ENSP00000307900,9606.ENSP00000311005,9606.ENSP00000312326,9606.ENSP00000321326,9606.ENSP00000331736,9606.ENSP00000335091,9606.ENSP00000341044,9606.ENSP00000341208,9606.ENSP00000342026,9606.ENSP00000344220,9606.ENSP00000347041,9606.ENSP00000353393,9606.ENSP00000353731,9606.ENSP00000354511,9606.ENSP00000355361,9606.ENSP00000355370,9606.ENSP00000360687,9606.ENSP00000362463,9606.ENSP00000371958,9606.ENSP00000377055,9606.ENSP00000378046,9606.ENSP00000379842,9606.ENSP00000380252,9606.ENSP00000380432,9606.ENSP00000380759,9606.ENSP00000380901,9606.ENSP00000383115,9606.ENSP00000389814,9606.ENSP00000398048,9606.ENSP00000400175,9606.ENSP00000406873,9606.ENSP00000418009,9606.ENSP00000418525,9606.ENSP00000422607,9606.ENSP00000433623,9606.ENSP00000436455,9606.ENSP00000448665,9606.ENSP00000476767	SLC2A3,MAPK1,GNB3,SPARC,HSPE1,BMP4,HSPB1,RAF1,CDH1,ERBB2,IL18,DDAH1,PPARG,NOS3,TSC1,GLUL,MAPK7,AOC3,F2R,SELE,ZNRF1,ACACB,STAT5A,PRDX6,PDPK1,FMOD,F8,DPP4,COMT,CD47,CNTF,PTGDS,GLO1,CD9,PRCP,FKBP2,SGK3,NFE2L2,INS,PRMT2,COL8A2,COLEC12,ADIPOQ,ALPK1,RHOA,PAK6,RARRES2,MME,ACSL1,TRAF6,NUCB2,DDIT3,FKBP8
GOCC:0005829	Cytosol	29	2919	0.39	0.00039	9606.ENSP00000215832,9606.ENSP00000229264,9606.ENSP00000233893,9606.ENSP00000248553,9606.ENSP00000251849,9606.ENSP00000269571,9606.ENSP00000280357,9606.ENSP00000284031,9606.ENSP00000287820,9606.ENSP00000297494,9606.ENSP00000298552,9606.ENSP00000307900,9606.ENSP00000311005,9606.ENSP00000335091,9606.ENSP00000341044,9606.ENSP00000341208,9606.ENSP00000342026,9606.ENSP00000344220,9606.ENSP00000354511,9606.ENSP00000362463,9606.ENSP00000379842,9606.ENSP00000380252,9606.ENSP00000380432,9606.ENSP00000380759,9606.ENSP00000398048,9606.ENSP00000400175,9606.ENSP00000433623,9606.ENSP00000448665,9606.ENSP00000476767	MAPK1,GNB3,HSPE1,HSPB1,RAF1,ERBB2,IL18,DDAH1,PPARG,NOS3,TSC1,GLUL,MAPK7,ZNRF1,ACACB,STAT5A,PRDX6,PDPK1,COMT,GLO1,SGK3,NFE2L2,INS,PRMT2,ALPK1,RHOA,TRAF6,DDIT3,FKBP8
GOCC:0009986	Cell surface	11	433	0.8	0.00039	9606.ENSP00000231061,9606.ENSP00000256999,9606.ENSP00000312326,9606.ENSP00000321326,9606.ENSP00000353731,9606.ENSP00000355361,9606.ENSP00000361359,9606.ENSP00000366307,9606.ENSP00000389814,9606.ENSP00000418525,9606.ENSP00000483403	SPARC,FOLH1,AOC3,F2R,DPP4,CD47,CD40,THBD,ADIPOQ,MME,GHR
GOCC:0016020	Membrane	43	5657	0.27	0.00039	9606.ENSP00000075120,9606.ENSP00000215832,9606.ENSP00000222139,9606.ENSP00000229264,9606.ENSP00000231061,9606.ENSP00000245451,9606.ENSP00000251849,9606.ENSP00000256999,9606.ENSP00000261769,9606.ENSP00000267101,9606.ENSP00000269571,9606.ENSP00000280357,9606.ENSP00000297494,9606.ENSP00000298552,9606.ENSP00000307900,9606.ENSP00000312326,9606.ENSP00000321326,9606.ENSP00000331736,9606.ENSP00000335091,9606.ENSP00000341044,9606.ENSP00000342026,9606.ENSP00000344220,9606.ENSP00000353393,9606.ENSP00000353731,9606.ENSP00000354511,9606.ENSP00000355361,9606.ENSP00000361359,9606.ENSP00000366307,9606.ENSP00000371958,9606.ENSP00000377055,9606.ENSP00000380252,9606.ENSP00000380432,9606.ENSP00000383115,9606.ENSP00000383232,9606.ENSP00000400175,9606.ENSP00000418525,9606.ENSP00000419313,9606.ENSP00000422607,9606.ENSP00000433623,9606.ENSP00000445772,9606.ENSP00000448665,9606.ENSP00000483403,9606.ENSP00000484631	SLC2A3,MAPK1,EPOR,GNB3,SPARC,BMP4,RAF1,FOLH1,CDH1,ERBB3,ERBB2,IL18,NOS3,TSC1,GLUL,AOC3,F2R,SELE,ZNRF1,ACACB,PRDX6,PDPK1,F8,DPP4,COMT,CD47,CD40,THBD,CD9,PRCP,NFE2L2,INS,COLEC12,GGT1,RHOA,MME,TRPC1,ACSL1,TRAF6,LTB4R2,DDIT3,GHR,PMP22
