#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0005615	Extracellular space	41	3195	0.5	7.55e-10	9606.ENSP00000075120,9606.ENSP00000229264,9606.ENSP00000231061,9606.ENSP00000233893,9606.ENSP00000245451,9606.ENSP00000248553,9606.ENSP00000256999,9606.ENSP00000261769,9606.ENSP00000265627,9606.ENSP00000267101,9606.ENSP00000280357,9606.ENSP00000284031,9606.ENSP00000307900,9606.ENSP00000309757,9606.ENSP00000331736,9606.ENSP00000342026,9606.ENSP00000347041,9606.ENSP00000353393,9606.ENSP00000353731,9606.ENSP00000354511,9606.ENSP00000355361,9606.ENSP00000355370,9606.ENSP00000360247,9606.ENSP00000360687,9606.ENSP00000361359,9606.ENSP00000362463,9606.ENSP00000366307,9606.ENSP00000371958,9606.ENSP00000377055,9606.ENSP00000380432,9606.ENSP00000380901,9606.ENSP00000383115,9606.ENSP00000383232,9606.ENSP00000387164,9606.ENSP00000389814,9606.ENSP00000400175,9606.ENSP00000418009,9606.ENSP00000418525,9606.ENSP00000436455,9606.ENSP00000483403,9606.ENSP00000483599	SLC2A3,GNB3,SPARC,HSPE1,BMP4,HSPB1,FOLH1,CDH1,PON3,ERBB3,IL18,DDAH1,GLUL,LPL,SELE,PRDX6,FMOD,F8,DPP4,COMT,CD47,CNTF,CYP2J2,PTGDS,CD40,GLO1,THBD,CD9,PRCP,INS,COL8A2,COLEC12,GGT1,CPVL,ADIPOQ,RHOA,RARRES2,MME,NUCB2,GHR,SPON2
GO:0005576	Extracellular region	46	4166	0.44	1.04e-09	9606.ENSP00000075120,9606.ENSP00000215832,9606.ENSP00000222139,9606.ENSP00000222572,9606.ENSP00000229264,9606.ENSP00000231061,9606.ENSP00000233893,9606.ENSP00000245451,9606.ENSP00000248553,9606.ENSP00000256999,9606.ENSP00000261769,9606.ENSP00000265627,9606.ENSP00000267101,9606.ENSP00000280357,9606.ENSP00000284031,9606.ENSP00000284984,9606.ENSP00000307900,9606.ENSP00000309757,9606.ENSP00000321326,9606.ENSP00000331736,9606.ENSP00000342026,9606.ENSP00000347041,9606.ENSP00000353393,9606.ENSP00000353731,9606.ENSP00000354511,9606.ENSP00000355361,9606.ENSP00000355370,9606.ENSP00000360247,9606.ENSP00000360687,9606.ENSP00000361359,9606.ENSP00000362463,9606.ENSP00000366307,9606.ENSP00000371958,9606.ENSP00000377055,9606.ENSP00000380432,9606.ENSP00000380901,9606.ENSP00000383115,9606.ENSP00000383232,9606.ENSP00000387164,9606.ENSP00000389814,9606.ENSP00000400175,9606.ENSP00000418009,9606.ENSP00000418525,9606.ENSP00000436455,9606.ENSP00000483403,9606.ENSP00000483599	SLC2A3,MAPK1,EPOR,PON2,GNB3,SPARC,HSPE1,BMP4,HSPB1,FOLH1,CDH1,PON3,ERBB3,IL18,DDAH1,ADAMTS1,GLUL,LPL,F2R,SELE,PRDX6,FMOD,F8,DPP4,COMT,CD47,CNTF,CYP2J2,PTGDS,CD40,GLO1,THBD,CD9,PRCP,INS,COL8A2,COLEC12,GGT1,CPVL,ADIPOQ,RHOA,RARRES2,MME,NUCB2,GHR,SPON2
GO:0031982	Vesicle	41	3879	0.42	1.43e-07	9606.ENSP00000075120,9606.ENSP00000215832,9606.ENSP00000229264,9606.ENSP00000231061,9606.ENSP00000233893,9606.ENSP00000248553,9606.ENSP00000256999,9606.ENSP00000261769,9606.ENSP00000265627,9606.ENSP00000269571,9606.ENSP00000284031,9606.ENSP00000284984,9606.ENSP00000297494,9606.ENSP00000307900,9606.ENSP00000312326,9606.ENSP00000321326,9606.ENSP00000335091,9606.ENSP00000342026,9606.ENSP00000344220,9606.ENSP00000353393,9606.ENSP00000353731,9606.ENSP00000354511,9606.ENSP00000355361,9606.ENSP00000360247,9606.ENSP00000360687,9606.ENSP00000361359,9606.ENSP00000362463,9606.ENSP00000371958,9606.ENSP00000377055,9606.ENSP00000379842,9606.ENSP00000380432,9606.ENSP00000383115,9606.ENSP00000383232,9606.ENSP00000387164,9606.ENSP00000400175,9606.ENSP00000418009,9606.ENSP00000418525,9606.ENSP00000433623,9606.ENSP00000436455,9606.ENSP00000448665,9606.ENSP00000483599	SLC2A3,MAPK1,GNB3,SPARC,HSPE1,HSPB1,FOLH1,CDH1,PON3,ERBB2,DDAH1,ADAMTS1,NOS3,GLUL,AOC3,F2R,ZNRF1,PRDX6,PDPK1,F8,DPP4,COMT,CD47,CYP2J2,PTGDS,CD40,GLO1,CD9,PRCP,SGK3,INS,COLEC12,GGT1,CPVL,RHOA,RARRES2,MME,TRAF6,NUCB2,DDIT3,SPON2
GO:0070062	Extracellular exosome	25	2099	0.47	0.00019	9606.ENSP00000075120,9606.ENSP00000229264,9606.ENSP00000233893,9606.ENSP00000248553,9606.ENSP00000256999,9606.ENSP00000261769,9606.ENSP00000265627,9606.ENSP00000284031,9606.ENSP00000307900,9606.ENSP00000342026,9606.ENSP00000353731,9606.ENSP00000354511,9606.ENSP00000355361,9606.ENSP00000360247,9606.ENSP00000360687,9606.ENSP00000361359,9606.ENSP00000362463,9606.ENSP00000371958,9606.ENSP00000377055,9606.ENSP00000383232,9606.ENSP00000387164,9606.ENSP00000400175,9606.ENSP00000418525,9606.ENSP00000436455,9606.ENSP00000483599	SLC2A3,GNB3,HSPE1,HSPB1,FOLH1,CDH1,PON3,DDAH1,GLUL,PRDX6,DPP4,COMT,CD47,CYP2J2,PTGDS,CD40,GLO1,CD9,PRCP,GGT1,CPVL,RHOA,MME,NUCB2,SPON2
GO:0098805	Whole membrane	22	1715	0.5	0.00020	9606.ENSP00000075120,9606.ENSP00000215832,9606.ENSP00000231061,9606.ENSP00000251849,9606.ENSP00000261769,9606.ENSP00000269571,9606.ENSP00000297494,9606.ENSP00000321326,9606.ENSP00000331736,9606.ENSP00000335091,9606.ENSP00000341044,9606.ENSP00000353731,9606.ENSP00000355361,9606.ENSP00000366307,9606.ENSP00000371958,9606.ENSP00000377055,9606.ENSP00000383115,9606.ENSP00000400175,9606.ENSP00000418525,9606.ENSP00000422607,9606.ENSP00000433623,9606.ENSP00000436455	SLC2A3,MAPK1,SPARC,RAF1,CDH1,ERBB2,NOS3,F2R,SELE,ZNRF1,ACACB,DPP4,CD47,THBD,CD9,PRCP,COLEC12,RHOA,MME,ACSL1,TRAF6,NUCB2
GO:0012505	Endomembrane system	38	4542	0.32	0.00026	9606.ENSP00000075120,9606.ENSP00000215832,9606.ENSP00000231061,9606.ENSP00000245451,9606.ENSP00000251849,9606.ENSP00000261769,9606.ENSP00000269571,9606.ENSP00000274695,9606.ENSP00000281382,9606.ENSP00000297494,9606.ENSP00000300055,9606.ENSP00000307900,9606.ENSP00000312326,9606.ENSP00000321326,9606.ENSP00000331736,9606.ENSP00000335091,9606.ENSP00000342026,9606.ENSP00000347041,9606.ENSP00000353393,9606.ENSP00000355361,9606.ENSP00000360247,9606.ENSP00000360687,9606.ENSP00000371958,9606.ENSP00000377055,9606.ENSP00000378046,9606.ENSP00000379842,9606.ENSP00000380252,9606.ENSP00000380432,9606.ENSP00000380901,9606.ENSP00000389814,9606.ENSP00000400175,9606.ENSP00000418009,9606.ENSP00000418525,9606.ENSP00000422607,9606.ENSP00000433623,9606.ENSP00000436455,9606.ENSP00000448665,9606.ENSP00000476767	SLC2A3,MAPK1,SPARC,BMP4,RAF1,CDH1,ERBB2,CDKAL1,PIGF,NOS3,PLIN1,GLUL,AOC3,F2R,SELE,ZNRF1,PRDX6,FMOD,F8,CD47,CYP2J2,PTGDS,CD9,PRCP,FKBP2,SGK3,NFE2L2,INS,COL8A2,ADIPOQ,RHOA,RARRES2,MME,ACSL1,TRAF6,NUCB2,DDIT3,FKBP8
GO:0005886	Plasma membrane	41	5314	0.28	0.00055	9606.ENSP00000075120,9606.ENSP00000215832,9606.ENSP00000222139,9606.ENSP00000222572,9606.ENSP00000229264,9606.ENSP00000248553,9606.ENSP00000251849,9606.ENSP00000253799,9606.ENSP00000256999,9606.ENSP00000261769,9606.ENSP00000267101,9606.ENSP00000269571,9606.ENSP00000297494,9606.ENSP00000298552,9606.ENSP00000307900,9606.ENSP00000309757,9606.ENSP00000312326,9606.ENSP00000321326,9606.ENSP00000331736,9606.ENSP00000344220,9606.ENSP00000353393,9606.ENSP00000353731,9606.ENSP00000354511,9606.ENSP00000355361,9606.ENSP00000361359,9606.ENSP00000362463,9606.ENSP00000366307,9606.ENSP00000371958,9606.ENSP00000377055,9606.ENSP00000380252,9606.ENSP00000383115,9606.ENSP00000383232,9606.ENSP00000400175,9606.ENSP00000418525,9606.ENSP00000419313,9606.ENSP00000422607,9606.ENSP00000433623,9606.ENSP00000436455,9606.ENSP00000445772,9606.ENSP00000483403,9606.ENSP00000484631	SLC2A3,MAPK1,EPOR,PON2,GNB3,HSPB1,RAF1,AOC2,FOLH1,CDH1,ERBB3,ERBB2,NOS3,TSC1,GLUL,LPL,AOC3,F2R,SELE,PDPK1,F8,DPP4,COMT,CD47,CD40,GLO1,THBD,CD9,PRCP,NFE2L2,COLEC12,GGT1,RHOA,MME,TRPC1,ACSL1,TRAF6,NUCB2,LTB4R2,GHR,PMP22
GO:0005737	Cytoplasm	65	11428	0.15	0.00080	9606.ENSP00000075120,9606.ENSP00000215832,9606.ENSP00000222572,9606.ENSP00000229264,9606.ENSP00000231061,9606.ENSP00000233893,9606.ENSP00000245451,9606.ENSP00000248553,9606.ENSP00000251849,9606.ENSP00000253799,9606.ENSP00000256999,9606.ENSP00000261769,9606.ENSP00000269571,9606.ENSP00000274695,9606.ENSP00000280357,9606.ENSP00000283928,9606.ENSP00000284031,9606.ENSP00000284984,9606.ENSP00000287820,9606.ENSP00000297494,9606.ENSP00000298552,9606.ENSP00000300055,9606.ENSP00000307900,9606.ENSP00000311005,9606.ENSP00000312326,9606.ENSP00000321326,9606.ENSP00000331736,9606.ENSP00000335091,9606.ENSP00000337332,9606.ENSP00000341044,9606.ENSP00000341208,9606.ENSP00000342026,9606.ENSP00000344220,9606.ENSP00000347041,9606.ENSP00000353393,9606.ENSP00000353731,9606.ENSP00000354511,9606.ENSP00000355361,9606.ENSP00000355370,9606.ENSP00000360247,9606.ENSP00000360687,9606.ENSP00000361359,9606.ENSP00000362463,9606.ENSP00000366307,9606.ENSP00000371958,9606.ENSP00000377055,9606.ENSP00000378046,9606.ENSP00000379842,9606.ENSP00000380252,9606.ENSP00000380432,9606.ENSP00000380759,9606.ENSP00000380901,9606.ENSP00000383115,9606.ENSP00000389814,9606.ENSP00000398048,9606.ENSP00000400175,9606.ENSP00000406873,9606.ENSP00000418009,9606.ENSP00000418525,9606.ENSP00000422607,9606.ENSP00000433623,9606.ENSP00000436455,9606.ENSP00000448665,9606.ENSP00000476767,9606.ENSP00000483403	SLC2A3,MAPK1,PON2,GNB3,SPARC,HSPE1,BMP4,HSPB1,RAF1,AOC2,FOLH1,CDH1,ERBB2,CDKAL1,IL18,JAZF1,DDAH1,ADAMTS1,PPARG,NOS3,TSC1,PLIN1,GLUL,MAPK7,AOC3,F2R,SELE,ZNRF1,SIRT6,ACACB,STAT5A,PRDX6,PDPK1,FMOD,F8,DPP4,COMT,CD47,CNTF,CYP2J2,PTGDS,CD40,GLO1,THBD,CD9,PRCP,FKBP2,SGK3,NFE2L2,INS,PRMT2,COL8A2,COLEC12,ADIPOQ,ALPK1,RHOA,PAK6,RARRES2,MME,ACSL1,TRAF6,NUCB2,DDIT3,FKBP8,GHR
GO:0031410	Cytoplasmic vesicle	25	2386	0.41	0.00080	9606.ENSP00000075120,9606.ENSP00000215832,9606.ENSP00000231061,9606.ENSP00000261769,9606.ENSP00000269571,9606.ENSP00000284984,9606.ENSP00000297494,9606.ENSP00000312326,9606.ENSP00000321326,9606.ENSP00000335091,9606.ENSP00000342026,9606.ENSP00000344220,9606.ENSP00000353393,9606.ENSP00000353731,9606.ENSP00000355361,9606.ENSP00000371958,9606.ENSP00000377055,9606.ENSP00000379842,9606.ENSP00000380432,9606.ENSP00000383115,9606.ENSP00000400175,9606.ENSP00000418009,9606.ENSP00000418525,9606.ENSP00000433623,9606.ENSP00000448665	SLC2A3,MAPK1,SPARC,CDH1,ERBB2,ADAMTS1,NOS3,AOC3,F2R,ZNRF1,PRDX6,PDPK1,F8,DPP4,CD47,CD9,PRCP,SGK3,INS,COLEC12,RHOA,RARRES2,MME,TRAF6,DDIT3
GO:0043227	Membrane-bounded organelle	68	12427	0.13	0.00093	9606.ENSP00000075120,9606.ENSP00000215832,9606.ENSP00000222139,9606.ENSP00000222572,9606.ENSP00000229264,9606.ENSP00000231061,9606.ENSP00000233893,9606.ENSP00000245451,9606.ENSP00000248553,9606.ENSP00000251849,9606.ENSP00000256999,9606.ENSP00000261769,9606.ENSP00000265627,9606.ENSP00000269571,9606.ENSP00000274695,9606.ENSP00000281382,9606.ENSP00000283928,9606.ENSP00000284031,9606.ENSP00000284984,9606.ENSP00000285407,9606.ENSP00000287820,9606.ENSP00000297494,9606.ENSP00000298552,9606.ENSP00000300055,9606.ENSP00000307900,9606.ENSP00000311005,9606.ENSP00000312326,9606.ENSP00000321326,9606.ENSP00000335091,9606.ENSP00000337332,9606.ENSP00000341044,9606.ENSP00000341208,9606.ENSP00000342026,9606.ENSP00000344220,9606.ENSP00000347041,9606.ENSP00000353393,9606.ENSP00000353731,9606.ENSP00000354511,9606.ENSP00000355361,9606.ENSP00000360247,9606.ENSP00000360687,9606.ENSP00000361359,9606.ENSP00000362463,9606.ENSP00000366307,9606.ENSP00000371958,9606.ENSP00000377055,9606.ENSP00000378046,9606.ENSP00000379842,9606.ENSP00000380252,9606.ENSP00000380432,9606.ENSP00000380759,9606.ENSP00000380901,9606.ENSP00000383115,9606.ENSP00000383232,9606.ENSP00000387164,9606.ENSP00000389814,9606.ENSP00000400175,9606.ENSP00000406873,9606.ENSP00000418009,9606.ENSP00000418525,9606.ENSP00000422607,9606.ENSP00000433623,9606.ENSP00000436455,9606.ENSP00000445772,9606.ENSP00000448665,9606.ENSP00000476767,9606.ENSP00000480291,9606.ENSP00000483599	SLC2A3,MAPK1,EPOR,PON2,GNB3,SPARC,HSPE1,BMP4,HSPB1,RAF1,FOLH1,CDH1,PON3,ERBB2,CDKAL1,PIGF,JAZF1,DDAH1,ADAMTS1,KLF10,PPARG,NOS3,TSC1,PLIN1,GLUL,MAPK7,AOC3,F2R,ZNRF1,SIRT6,ACACB,STAT5A,PRDX6,PDPK1,FMOD,F8,DPP4,COMT,CD47,CYP2J2,PTGDS,CD40,GLO1,THBD,CD9,PRCP,FKBP2,SGK3,NFE2L2,INS,PRMT2,COL8A2,COLEC12,GGT1,CPVL,ADIPOQ,RHOA,PAK6,RARRES2,MME,ACSL1,TRAF6,NUCB2,LTB4R2,DDIT3,FKBP8,HNF1B,SPON2
