#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
DOID:9352	Type 2 diabetes mellitus	5	29	1.63	0.0010	9606.ENSP00000274695,9606.ENSP00000287820,9606.ENSP00000353731,9606.ENSP00000380432,9606.ENSP00000389814	CDKAL1,PPARG,DPP4,INS,ADIPOQ
DOID:0050687	Cell type cancer	11	406	0.83	0.0017	9606.ENSP00000231061,9606.ENSP00000233893,9606.ENSP00000251849,9606.ENSP00000261769,9606.ENSP00000267101,9606.ENSP00000269571,9606.ENSP00000283928,9606.ENSP00000298552,9606.ENSP00000418525,9606.ENSP00000448665,9606.ENSP00000480291	SPARC,HSPE1,RAF1,CDH1,ERBB3,ERBB2,JAZF1,TSC1,MME,DDIT3,HNF1B
DOID:0050736	Autosomal dominant disease	18	1163	0.58	0.0017	9606.ENSP00000222139,9606.ENSP00000245451,9606.ENSP00000248553,9606.ENSP00000251849,9606.ENSP00000261769,9606.ENSP00000287820,9606.ENSP00000298552,9606.ENSP00000300055,9606.ENSP00000309757,9606.ENSP00000353393,9606.ENSP00000354511,9606.ENSP00000377280,9606.ENSP00000380432,9606.ENSP00000380901,9606.ENSP00000383232,9606.ENSP00000418525,9606.ENSP00000480291,9606.ENSP00000484631	EPOR,BMP4,HSPB1,RAF1,CDH1,PPARG,TSC1,PLIN1,LPL,F8,COMT,FBXO8,INS,COL8A2,GGT1,MME,HNF1B,PMP22
DOID:120	Female reproductive organ cancer	6	89	1.22	0.0017	9606.ENSP00000233893,9606.ENSP00000261769,9606.ENSP00000283928,9606.ENSP00000418525,9606.ENSP00000448665,9606.ENSP00000480291	HSPE1,CDH1,JAZF1,MME,DDIT3,HNF1B
DOID:15	Reproductive system disease	9	283	0.9	0.0017	9606.ENSP00000231061,9606.ENSP00000233893,9606.ENSP00000256999,9606.ENSP00000261769,9606.ENSP00000283928,9606.ENSP00000380432,9606.ENSP00000418525,9606.ENSP00000448665,9606.ENSP00000480291	SPARC,HSPE1,FOLH1,CDH1,JAZF1,INS,MME,DDIT3,HNF1B
DOID:17	Musculoskeletal system disease	17	1074	0.59	0.0017	9606.ENSP00000231061,9606.ENSP00000245451,9606.ENSP00000248553,9606.ENSP00000267101,9606.ENSP00000280357,9606.ENSP00000287820,9606.ENSP00000297494,9606.ENSP00000300055,9606.ENSP00000353393,9606.ENSP00000354511,9606.ENSP00000361359,9606.ENSP00000377280,9606.ENSP00000383232,9606.ENSP00000418525,9606.ENSP00000433623,9606.ENSP00000448665,9606.ENSP00000484631	SPARC,BMP4,HSPB1,ERBB3,IL18,PPARG,NOS3,PLIN1,F8,COMT,CD40,FBXO8,GGT1,MME,TRAF6,DDIT3,PMP22
DOID:193	Reproductive organ cancer	7	145	1.08	0.0017	9606.ENSP00000233893,9606.ENSP00000256999,9606.ENSP00000261769,9606.ENSP00000283928,9606.ENSP00000418525,9606.ENSP00000448665,9606.ENSP00000480291	HSPE1,FOLH1,CDH1,JAZF1,MME,DDIT3,HNF1B
DOID:229	Female reproductive system disease	8	177	1.05	0.0017	9606.ENSP00000231061,9606.ENSP00000233893,9606.ENSP00000261769,9606.ENSP00000283928,9606.ENSP00000380432,9606.ENSP00000418525,9606.ENSP00000448665,9606.ENSP00000480291	SPARC,HSPE1,CDH1,JAZF1,INS,MME,DDIT3,HNF1B
DOID:9351	Diabetes mellitus	6	118	1.1	0.0052	9606.ENSP00000274695,9606.ENSP00000287820,9606.ENSP00000353731,9606.ENSP00000380432,9606.ENSP00000389814,9606.ENSP00000480291	CDKAL1,PPARG,DPP4,INS,ADIPOQ,HNF1B
DOID:14566	Disease of cellular proliferation	15	1012	0.56	0.0054	9606.ENSP00000231061,9606.ENSP00000233893,9606.ENSP00000251849,9606.ENSP00000256999,9606.ENSP00000261769,9606.ENSP00000267101,9606.ENSP00000269571,9606.ENSP00000283928,9606.ENSP00000298552,9606.ENSP00000307900,9606.ENSP00000380432,9606.ENSP00000400175,9606.ENSP00000418525,9606.ENSP00000448665,9606.ENSP00000480291	SPARC,HSPE1,RAF1,FOLH1,CDH1,ERBB3,ERBB2,JAZF1,TSC1,GLUL,INS,RHOA,MME,DDIT3,HNF1B
DOID:0050686	Organ system cancer	12	677	0.64	0.0058	9606.ENSP00000231061,9606.ENSP00000233893,9606.ENSP00000251849,9606.ENSP00000256999,9606.ENSP00000261769,9606.ENSP00000267101,9606.ENSP00000269571,9606.ENSP00000283928,9606.ENSP00000298552,9606.ENSP00000418525,9606.ENSP00000448665,9606.ENSP00000480291	SPARC,HSPE1,RAF1,FOLH1,CDH1,ERBB3,ERBB2,JAZF1,TSC1,MME,DDIT3,HNF1B
DOID:4195	Hyperglycemia	3	10	1.87	0.0058	9606.ENSP00000287820,9606.ENSP00000380432,9606.ENSP00000389814	PPARG,INS,ADIPOQ
DOID:18	Urinary system disease	8	315	0.8	0.0135	9606.ENSP00000245451,9606.ENSP00000251849,9606.ENSP00000269571,9606.ENSP00000298552,9606.ENSP00000366307,9606.ENSP00000380432,9606.ENSP00000418525,9606.ENSP00000480291	BMP4,RAF1,ERBB2,TSC1,THBD,INS,MME,HNF1B
DOID:7	Disease of anatomical entity	34	4452	0.28	0.0142	9606.ENSP00000222139,9606.ENSP00000229264,9606.ENSP00000231061,9606.ENSP00000233893,9606.ENSP00000245451,9606.ENSP00000248553,9606.ENSP00000251849,9606.ENSP00000256999,9606.ENSP00000261769,9606.ENSP00000267101,9606.ENSP00000269571,9606.ENSP00000280357,9606.ENSP00000283928,9606.ENSP00000287820,9606.ENSP00000297494,9606.ENSP00000298552,9606.ENSP00000300055,9606.ENSP00000307900,9606.ENSP00000331736,9606.ENSP00000353393,9606.ENSP00000353731,9606.ENSP00000354511,9606.ENSP00000361359,9606.ENSP00000366307,9606.ENSP00000377280,9606.ENSP00000380432,9606.ENSP00000380901,9606.ENSP00000383232,9606.ENSP00000389814,9606.ENSP00000418525,9606.ENSP00000433623,9606.ENSP00000448665,9606.ENSP00000480291,9606.ENSP00000484631	EPOR,GNB3,SPARC,HSPE1,BMP4,HSPB1,RAF1,FOLH1,CDH1,ERBB3,ERBB2,IL18,JAZF1,PPARG,NOS3,TSC1,PLIN1,GLUL,SELE,F8,DPP4,COMT,CD40,THBD,FBXO8,INS,COL8A2,GGT1,ADIPOQ,MME,TRAF6,DDIT3,HNF1B,PMP22
