#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
hsa04151	PI3K-Akt signaling pathway	13	350	0.96	6.98e-07	9606.ENSP00000215832,9606.ENSP00000222139,9606.ENSP00000229264,9606.ENSP00000251849,9606.ENSP00000267101,9606.ENSP00000269571,9606.ENSP00000297494,9606.ENSP00000298552,9606.ENSP00000321326,9606.ENSP00000344220,9606.ENSP00000379842,9606.ENSP00000380432,9606.ENSP00000483403	MAPK1,EPOR,GNB3,RAF1,ERBB3,ERBB2,NOS3,TSC1,F2R,PDPK1,SGK3,INS,GHR
hsa05200	Pathways in cancer	13	517	0.79	3.02e-05	9606.ENSP00000215832,9606.ENSP00000222139,9606.ENSP00000229264,9606.ENSP00000245451,9606.ENSP00000251849,9606.ENSP00000261769,9606.ENSP00000269571,9606.ENSP00000287820,9606.ENSP00000321326,9606.ENSP00000341208,9606.ENSP00000380252,9606.ENSP00000400175,9606.ENSP00000433623	MAPK1,EPOR,GNB3,BMP4,RAF1,CDH1,ERBB2,PPARG,F2R,STAT5A,NFE2L2,RHOA,TRAF6
hsa03320	PPAR signaling pathway	6	75	1.3	9.97e-05	9606.ENSP00000287820,9606.ENSP00000300055,9606.ENSP00000309757,9606.ENSP00000344220,9606.ENSP00000389814,9606.ENSP00000422607	PPARG,PLIN1,LPL,PDPK1,ADIPOQ,ACSL1
hsa04012	ErbB signaling pathway	6	83	1.25	0.00011	9606.ENSP00000215832,9606.ENSP00000251849,9606.ENSP00000267101,9606.ENSP00000269571,9606.ENSP00000341208,9606.ENSP00000406873	MAPK1,RAF1,ERBB3,ERBB2,STAT5A,PAK6
hsa05418	Fluid shear stress and atherosclerosis	7	130	1.13	0.00011	9606.ENSP00000245451,9606.ENSP00000297494,9606.ENSP00000311005,9606.ENSP00000331736,9606.ENSP00000366307,9606.ENSP00000380252,9606.ENSP00000400175	BMP4,NOS3,MAPK7,SELE,THBD,NFE2L2,RHOA
hsa04010	MAPK signaling pathway	9	288	0.89	0.00017	9606.ENSP00000215832,9606.ENSP00000248553,9606.ENSP00000251849,9606.ENSP00000267101,9606.ENSP00000269571,9606.ENSP00000311005,9606.ENSP00000380432,9606.ENSP00000433623,9606.ENSP00000448665	MAPK1,HSPB1,RAF1,ERBB3,ERBB2,MAPK7,INS,TRAF6,DDIT3
hsa05213	Endometrial cancer	5	57	1.34	0.00024	9606.ENSP00000215832,9606.ENSP00000251849,9606.ENSP00000261769,9606.ENSP00000269571,9606.ENSP00000344220	MAPK1,RAF1,CDH1,ERBB2,PDPK1
hsa04722	Neurotrophin signaling pathway	6	114	1.12	0.00037	9606.ENSP00000215832,9606.ENSP00000251849,9606.ENSP00000311005,9606.ENSP00000344220,9606.ENSP00000400175,9606.ENSP00000433623	MAPK1,RAF1,MAPK7,PDPK1,RHOA,TRAF6
hsa04152	AMPK signaling pathway	6	120	1.09	0.00042	9606.ENSP00000287820,9606.ENSP00000298552,9606.ENSP00000341044,9606.ENSP00000344220,9606.ENSP00000380432,9606.ENSP00000389814	PPARG,TSC1,ACACB,PDPK1,INS,ADIPOQ
hsa05223	Non-small cell lung cancer	5	68	1.26	0.00042	9606.ENSP00000215832,9606.ENSP00000251849,9606.ENSP00000269571,9606.ENSP00000341208,9606.ENSP00000344220	MAPK1,RAF1,ERBB2,STAT5A,PDPK1
hsa04140	Autophagy - animal	6	130	1.06	0.00055	9606.ENSP00000215832,9606.ENSP00000251849,9606.ENSP00000298552,9606.ENSP00000344220,9606.ENSP00000380432,9606.ENSP00000433623	MAPK1,RAF1,TSC1,PDPK1,INS,TRAF6
