#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
KW-0106	Calcium	17	875	0.68	4.85e-05	9606.ENSP00000222572,9606.ENSP00000231061,9606.ENSP00000253799,9606.ENSP00000256999,9606.ENSP00000261769,9606.ENSP00000265627,9606.ENSP00000284984,9606.ENSP00000297494,9606.ENSP00000309757,9606.ENSP00000312326,9606.ENSP00000331736,9606.ENSP00000353393,9606.ENSP00000383115,9606.ENSP00000419313,9606.ENSP00000436455,9606.ENSP00000476767,9606.ENSP00000483599	PON2,SPARC,AOC2,FOLH1,CDH1,PON3,ADAMTS1,NOS3,LPL,AOC3,SELE,F8,COLEC12,TRPC1,NUCB2,FKBP8,SPON2
KW-0325	Glycoprotein	38	4349	0.34	0.00013	9606.ENSP00000075120,9606.ENSP00000222139,9606.ENSP00000222572,9606.ENSP00000231061,9606.ENSP00000245451,9606.ENSP00000253799,9606.ENSP00000256999,9606.ENSP00000261769,9606.ENSP00000265627,9606.ENSP00000267101,9606.ENSP00000269571,9606.ENSP00000284984,9606.ENSP00000287820,9606.ENSP00000309757,9606.ENSP00000312326,9606.ENSP00000321326,9606.ENSP00000331736,9606.ENSP00000347041,9606.ENSP00000353393,9606.ENSP00000353731,9606.ENSP00000355361,9606.ENSP00000360687,9606.ENSP00000361359,9606.ENSP00000366307,9606.ENSP00000371958,9606.ENSP00000377055,9606.ENSP00000380252,9606.ENSP00000383115,9606.ENSP00000383232,9606.ENSP00000387164,9606.ENSP00000389814,9606.ENSP00000400175,9606.ENSP00000418525,9606.ENSP00000422607,9606.ENSP00000445772,9606.ENSP00000483403,9606.ENSP00000483599,9606.ENSP00000484631	SLC2A3,EPOR,PON2,SPARC,BMP4,AOC2,FOLH1,CDH1,PON3,ERBB3,ERBB2,ADAMTS1,PPARG,LPL,AOC3,F2R,SELE,FMOD,F8,DPP4,CD47,PTGDS,CD40,THBD,CD9,PRCP,NFE2L2,COLEC12,GGT1,CPVL,ADIPOQ,RHOA,MME,ACSL1,LTB4R2,GHR,SPON2,PMP22
KW-1015	Disulfide bond	32	3304	0.38	0.00014	9606.ENSP00000222139,9606.ENSP00000222572,9606.ENSP00000231061,9606.ENSP00000245451,9606.ENSP00000253799,9606.ENSP00000261769,9606.ENSP00000265627,9606.ENSP00000267101,9606.ENSP00000269571,9606.ENSP00000284984,9606.ENSP00000309757,9606.ENSP00000312326,9606.ENSP00000321326,9606.ENSP00000331736,9606.ENSP00000347041,9606.ENSP00000353393,9606.ENSP00000353731,9606.ENSP00000355361,9606.ENSP00000360687,9606.ENSP00000361359,9606.ENSP00000362463,9606.ENSP00000366307,9606.ENSP00000371958,9606.ENSP00000377055,9606.ENSP00000380432,9606.ENSP00000383115,9606.ENSP00000383232,9606.ENSP00000389814,9606.ENSP00000418009,9606.ENSP00000418525,9606.ENSP00000483403,9606.ENSP00000483599	EPOR,PON2,SPARC,BMP4,AOC2,CDH1,PON3,ERBB3,ERBB2,ADAMTS1,LPL,AOC3,F2R,SELE,FMOD,F8,DPP4,CD47,PTGDS,CD40,GLO1,THBD,CD9,PRCP,INS,COLEC12,GGT1,ADIPOQ,RARRES2,MME,GHR,SPON2
KW-0964	Secreted	21	1818	0.46	0.0014	9606.ENSP00000222139,9606.ENSP00000231061,9606.ENSP00000245451,9606.ENSP00000265627,9606.ENSP00000267101,9606.ENSP00000280357,9606.ENSP00000284984,9606.ENSP00000309757,9606.ENSP00000347041,9606.ENSP00000353393,9606.ENSP00000353731,9606.ENSP00000360687,9606.ENSP00000361359,9606.ENSP00000371958,9606.ENSP00000380432,9606.ENSP00000380901,9606.ENSP00000389814,9606.ENSP00000418009,9606.ENSP00000436455,9606.ENSP00000483403,9606.ENSP00000483599	EPOR,SPARC,BMP4,PON3,ERBB3,IL18,ADAMTS1,LPL,FMOD,F8,DPP4,PTGDS,CD40,CD9,INS,COL8A2,ADIPOQ,RARRES2,NUCB2,GHR,SPON2
KW-0732	Signal	29	3233	0.35	0.0018	9606.ENSP00000222139,9606.ENSP00000222572,9606.ENSP00000231061,9606.ENSP00000245451,9606.ENSP00000253799,9606.ENSP00000261769,9606.ENSP00000265627,9606.ENSP00000267101,9606.ENSP00000269571,9606.ENSP00000284984,9606.ENSP00000309757,9606.ENSP00000321326,9606.ENSP00000331736,9606.ENSP00000347041,9606.ENSP00000353393,9606.ENSP00000355361,9606.ENSP00000360687,9606.ENSP00000361359,9606.ENSP00000366307,9606.ENSP00000377055,9606.ENSP00000378046,9606.ENSP00000380432,9606.ENSP00000380901,9606.ENSP00000387164,9606.ENSP00000389814,9606.ENSP00000418009,9606.ENSP00000436455,9606.ENSP00000483403,9606.ENSP00000483599	EPOR,PON2,SPARC,BMP4,AOC2,CDH1,PON3,ERBB3,ERBB2,ADAMTS1,LPL,F2R,SELE,FMOD,F8,CD47,PTGDS,CD40,THBD,PRCP,FKBP2,INS,COL8A2,CPVL,ADIPOQ,RARRES2,NUCB2,GHR,SPON2
KW-0479	Metal-binding	31	3652	0.32	0.0019	9606.ENSP00000222572,9606.ENSP00000231061,9606.ENSP00000251849,9606.ENSP00000253799,9606.ENSP00000256999,9606.ENSP00000261769,9606.ENSP00000265627,9606.ENSP00000274695,9606.ENSP00000283928,9606.ENSP00000284031,9606.ENSP00000284984,9606.ENSP00000285407,9606.ENSP00000287820,9606.ENSP00000297494,9606.ENSP00000307900,9606.ENSP00000309757,9606.ENSP00000312326,9606.ENSP00000331736,9606.ENSP00000335091,9606.ENSP00000337332,9606.ENSP00000341044,9606.ENSP00000353393,9606.ENSP00000354511,9606.ENSP00000360247,9606.ENSP00000362463,9606.ENSP00000383115,9606.ENSP00000418525,9606.ENSP00000433623,9606.ENSP00000436455,9606.ENSP00000476767,9606.ENSP00000483599	PON2,SPARC,RAF1,AOC2,FOLH1,CDH1,PON3,CDKAL1,JAZF1,DDAH1,ADAMTS1,KLF10,PPARG,NOS3,GLUL,LPL,AOC3,SELE,ZNRF1,SIRT6,ACACB,F8,COMT,CYP2J2,GLO1,COLEC12,MME,TRAF6,NUCB2,FKBP8,SPON2
KW-0219	Diabetes mellitus	5	78	1.2	0.0020	9606.ENSP00000274695,9606.ENSP00000287820,9606.ENSP00000380432,9606.ENSP00000389814,9606.ENSP00000480291	CDKAL1,PPARG,INS,ADIPOQ,HNF1B
KW-0272	Extracellular matrix	7	265	0.82	0.0095	9606.ENSP00000231061,9606.ENSP00000245451,9606.ENSP00000284984,9606.ENSP00000309757,9606.ENSP00000347041,9606.ENSP00000380901,9606.ENSP00000483599	SPARC,BMP4,ADAMTS1,LPL,FMOD,COL8A2,SPON2
KW-1003	Cell membrane	26	3246	0.3	0.0225	9606.ENSP00000075120,9606.ENSP00000222139,9606.ENSP00000251849,9606.ENSP00000253799,9606.ENSP00000256999,9606.ENSP00000261769,9606.ENSP00000267101,9606.ENSP00000269571,9606.ENSP00000297494,9606.ENSP00000307900,9606.ENSP00000309757,9606.ENSP00000312326,9606.ENSP00000321326,9606.ENSP00000331736,9606.ENSP00000344220,9606.ENSP00000353731,9606.ENSP00000354511,9606.ENSP00000355361,9606.ENSP00000361359,9606.ENSP00000371958,9606.ENSP00000383232,9606.ENSP00000400175,9606.ENSP00000418525,9606.ENSP00000445772,9606.ENSP00000483403,9606.ENSP00000484631	SLC2A3,EPOR,RAF1,AOC2,FOLH1,CDH1,ERBB3,ERBB2,NOS3,GLUL,LPL,AOC3,F2R,SELE,PDPK1,DPP4,COMT,CD47,CD40,CD9,GGT1,RHOA,MME,LTB4R2,GHR,PMP22
KW-0121	Carboxypeptidase	3	35	1.33	0.0312	9606.ENSP00000256999,9606.ENSP00000377055,9606.ENSP00000387164	FOLH1,PRCP,CPVL
