#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
PMID:28761062	(2017) T2DiACoD: A Gene Atlas of Type 2 Diabetes Mellitus Associated Complex Disorders.	16	156	1.4	3.17e-11	9606.ENSP00000267101,9606.ENSP00000274695,9606.ENSP00000280357,9606.ENSP00000287820,9606.ENSP00000297494,9606.ENSP00000337332,9606.ENSP00000353731,9606.ENSP00000360247,9606.ENSP00000371958,9606.ENSP00000379842,9606.ENSP00000380252,9606.ENSP00000380432,9606.ENSP00000383232,9606.ENSP00000389814,9606.ENSP00000422607,9606.ENSP00000483403	ERBB3,CDKAL1,IL18,PPARG,NOS3,SIRT6,DPP4,CYP2J2,CD9,SGK3,NFE2L2,INS,GGT1,ADIPOQ,ACSL1,GHR
PMID:32630640	(2020) Perivascular Adipose Tissue as a Target for Antioxidant Therapy for Cardiovascular Complications.	10	56	1.65	2.18e-07	9606.ENSP00000253799,9606.ENSP00000280357,9606.ENSP00000287820,9606.ENSP00000297494,9606.ENSP00000312326,9606.ENSP00000353731,9606.ENSP00000380252,9606.ENSP00000380432,9606.ENSP00000389814,9606.ENSP00000418009	AOC2,IL18,PPARG,NOS3,AOC3,DPP4,NFE2L2,INS,ADIPOQ,RARRES2
PMID:31354915	(2019) Targeting Early Atherosclerosis: A Focus on Oxidative Stress and Inflammation.	12	118	1.4	2.18e-07	9606.ENSP00000222572,9606.ENSP00000265627,9606.ENSP00000280357,9606.ENSP00000285407,9606.ENSP00000287820,9606.ENSP00000297494,9606.ENSP00000331736,9606.ENSP00000361359,9606.ENSP00000366307,9606.ENSP00000380432,9606.ENSP00000389814,9606.ENSP00000400175	PON2,PON3,IL18,KLF10,PPARG,NOS3,SELE,CD40,THBD,INS,ADIPOQ,RHOA
PMID:33121005	(2020) Factors Affecting the Formation and Treatment of Thrombosis by Natural and Synthetic Compounds.	11	92	1.47	3.23e-07	9606.ENSP00000287820,9606.ENSP00000297494,9606.ENSP00000321326,9606.ENSP00000331736,9606.ENSP00000353393,9606.ENSP00000360247,9606.ENSP00000361359,9606.ENSP00000366307,9606.ENSP00000380252,9606.ENSP00000380432,9606.ENSP00000400175	PPARG,NOS3,F2R,SELE,F8,CYP2J2,CD40,THBD,NFE2L2,INS,RHOA
PMID:35203463	(2022) The Role of KLF2 in the Regulation of Atherosclerosis Development and Potential Use of KLF2-Targeted Therapy.	10	69	1.56	4.92e-07	9606.ENSP00000280357,9606.ENSP00000297494,9606.ENSP00000309757,9606.ENSP00000311005,9606.ENSP00000331736,9606.ENSP00000353731,9606.ENSP00000366307,9606.ENSP00000380252,9606.ENSP00000380432,9606.ENSP00000419313	IL18,NOS3,LPL,MAPK7,SELE,DPP4,THBD,NFE2L2,INS,TRPC1
PMID:29299040	(2017) The metabolism and significance of homocysteine in nutrition and health.	8	25	1.9	4.92e-07	9606.ENSP00000222572,9606.ENSP00000265627,9606.ENSP00000284031,9606.ENSP00000287820,9606.ENSP00000297494,9606.ENSP00000331736,9606.ENSP00000380432,9606.ENSP00000380759	PON2,PON3,DDAH1,PPARG,NOS3,SELE,INS,PRMT2
PMID:26887821	(2016) At the interface of antioxidant signalling and cellular function: Key polyphenol effects.	10	79	1.5	1.40e-06	9606.ENSP00000248553,9606.ENSP00000287820,9606.ENSP00000297494,9606.ENSP00000331736,9606.ENSP00000337332,9606.ENSP00000353731,9606.ENSP00000361359,9606.ENSP00000380252,9606.ENSP00000380432,9606.ENSP00000389814	HSPB1,PPARG,NOS3,SELE,SIRT6,DPP4,CD40,NFE2L2,INS,ADIPOQ
PMID:29499103	(2018) Precision medicine in diabetes prevention, classification and management.	10	81	1.49	1.53e-06	9606.ENSP00000222572,9606.ENSP00000267101,9606.ENSP00000274695,9606.ENSP00000287820,9606.ENSP00000297494,9606.ENSP00000307900,9606.ENSP00000309757,9606.ENSP00000353731,9606.ENSP00000380432,9606.ENSP00000480291	PON2,ERBB3,CDKAL1,PPARG,NOS3,GLUL,LPL,DPP4,INS,HNF1B
PMID:33569382	(2020) MicroRNAs as Regulators of Immune and Inflammatory Responses: Potential Therapeutic Targets in Diabetic Nephropathy.	9	60	1.57	3.60e-06	9606.ENSP00000280357,9606.ENSP00000285407,9606.ENSP00000287820,9606.ENSP00000331736,9606.ENSP00000341208,9606.ENSP00000380252,9606.ENSP00000389814,9606.ENSP00000400175,9606.ENSP00000433623	IL18,KLF10,PPARG,SELE,STAT5A,NFE2L2,ADIPOQ,RHOA,TRAF6
PMID:30917543	(2019) Resveratrol Anti-Obesity Effects: Rapid Inhibition of Adipocyte Glucose Utilization.	7	19	1.96	3.60e-06	9606.ENSP00000253799,9606.ENSP00000287820,9606.ENSP00000309757,9606.ENSP00000312326,9606.ENSP00000337332,9606.ENSP00000380432,9606.ENSP00000389814	AOC2,PPARG,LPL,AOC3,SIRT6,INS,ADIPOQ
PMID:33142938	(2020) Prevention of Diabetes and Cardiovascular Disease in Obesity.	8	38	1.72	4.03e-06	9606.ENSP00000280357,9606.ENSP00000287820,9606.ENSP00000297494,9606.ENSP00000309757,9606.ENSP00000353731,9606.ENSP00000380252,9606.ENSP00000380432,9606.ENSP00000389814	IL18,PPARG,NOS3,LPL,DPP4,NFE2L2,INS,ADIPOQ
PMID:29503620	(2018) Oxidative Stress and Renal Fibrosis: Recent Insights for the Development of Novel Therapeutic Strategies.	8	38	1.72	4.03e-06	9606.ENSP00000253799,9606.ENSP00000261769,9606.ENSP00000287820,9606.ENSP00000297494,9606.ENSP00000312326,9606.ENSP00000360247,9606.ENSP00000380252,9606.ENSP00000380432	AOC2,CDH1,PPARG,NOS3,AOC3,CYP2J2,NFE2L2,INS
PMID:35356091	(2022) Recent advance in treatment of atherosclerosis: Key targets and plaque-positioned delivery strategies.	11	134	1.31	4.22e-06	9606.ENSP00000280357,9606.ENSP00000287820,9606.ENSP00000311005,9606.ENSP00000321326,9606.ENSP00000331736,9606.ENSP00000353393,9606.ENSP00000353731,9606.ENSP00000355361,9606.ENSP00000361359,9606.ENSP00000400175,9606.ENSP00000433623	IL18,PPARG,MAPK7,F2R,SELE,F8,DPP4,CD47,CD40,RHOA,TRAF6
PMID:30845769	(2019) The Role of Tocotrienol in Protecting Against Metabolic Diseases.	9	64	1.54	4.22e-06	9606.ENSP00000280357,9606.ENSP00000287820,9606.ENSP00000297494,9606.ENSP00000300055,9606.ENSP00000353731,9606.ENSP00000380252,9606.ENSP00000380432,9606.ENSP00000389814,9606.ENSP00000433623	IL18,PPARG,NOS3,PLIN1,DPP4,NFE2L2,INS,ADIPOQ,TRAF6
PMID:34205870	(2021) The Mystery of Diabetic Cardiomyopathy: From Early Concepts and Underlying Mechanisms to Novel Therapeutic Possibilities.	8	41	1.68	5.06e-06	9606.ENSP00000280357,9606.ENSP00000287820,9606.ENSP00000297494,9606.ENSP00000311005,9606.ENSP00000353731,9606.ENSP00000380252,9606.ENSP00000380432,9606.ENSP00000418525	IL18,PPARG,NOS3,MAPK7,DPP4,NFE2L2,INS,MME
PMID:35203540	(2022) Exploring New Drug Targets for Type 2 Diabetes: Success, Challenges and Opportunities.	8	42	1.67	5.62e-06	9606.ENSP00000231061,9606.ENSP00000287820,9606.ENSP00000353731,9606.ENSP00000360247,9606.ENSP00000380252,9606.ENSP00000380432,9606.ENSP00000389814,9606.ENSP00000418525	SPARC,PPARG,DPP4,CYP2J2,NFE2L2,INS,ADIPOQ,MME
PMID:31898917	(2020) A State-of-the-Science Review of Arsenics Effects on Glucose Homeostasis in Experimental Models.	8	43	1.66	5.62e-06	9606.ENSP00000075120,9606.ENSP00000287820,9606.ENSP00000297494,9606.ENSP00000300055,9606.ENSP00000380252,9606.ENSP00000380432,9606.ENSP00000389814,9606.ENSP00000448665	SLC2A3,PPARG,NOS3,PLIN1,NFE2L2,INS,ADIPOQ,DDIT3
PMID:29736170	(2018) Susceptible and Prognostic Genetic Factors Associated with Diabetic Peripheral Neuropathy: A Comprehensive Literature Review.	8	42	1.67	5.62e-06	9606.ENSP00000274695,9606.ENSP00000287820,9606.ENSP00000297494,9606.ENSP00000300055,9606.ENSP00000312326,9606.ENSP00000380432,9606.ENSP00000389814,9606.ENSP00000422607	CDKAL1,PPARG,NOS3,PLIN1,AOC3,INS,ADIPOQ,ACSL1
PMID:30445764	(2018) Exercise Training-Induced Changes in MicroRNAs: Beneficial Regulatory Effects in Hypertension, Type 2 Diabetes, and Obesity.	9	68	1.52	5.62e-06	9606.ENSP00000280357,9606.ENSP00000287820,9606.ENSP00000297494,9606.ENSP00000300055,9606.ENSP00000309757,9606.ENSP00000331736,9606.ENSP00000380432,9606.ENSP00000389814,9606.ENSP00000433623	IL18,PPARG,NOS3,PLIN1,LPL,SELE,INS,ADIPOQ,TRAF6
PMID:25342915	(2014) Diabetic nephropathy - complications and treatment.	8	46	1.63	8.61e-06	9606.ENSP00000280357,9606.ENSP00000287820,9606.ENSP00000297494,9606.ENSP00000353731,9606.ENSP00000380432,9606.ENSP00000387164,9606.ENSP00000389814,9606.ENSP00000418525	IL18,PPARG,NOS3,DPP4,INS,CPVL,ADIPOQ,MME
PMID:35273164	(2022) Signaling pathways and targeted therapy for myocardial infarction.	11	151	1.26	9.14e-06	9606.ENSP00000251849,9606.ENSP00000269571,9606.ENSP00000280357,9606.ENSP00000287820,9606.ENSP00000297494,9606.ENSP00000311005,9606.ENSP00000380252,9606.ENSP00000380432,9606.ENSP00000400175,9606.ENSP00000418525,9606.ENSP00000433623	RAF1,ERBB2,IL18,PPARG,NOS3,MAPK7,NFE2L2,INS,RHOA,MME,TRAF6
PMID:35418946	(2022) Challenges to Improve Bone Healing Under Diabetic Conditions.	8	47	1.62	9.14e-06	9606.ENSP00000245451,9606.ENSP00000280357,9606.ENSP00000287820,9606.ENSP00000353731,9606.ENSP00000362463,9606.ENSP00000380252,9606.ENSP00000380432,9606.ENSP00000389814	BMP4,IL18,PPARG,DPP4,GLO1,NFE2L2,INS,ADIPOQ
PMID:30525054	(2018) Molecular Modulation of Osteoblasts and Osteoclasts in Type 2 Diabetes.	9	75	1.47	9.14e-06	9606.ENSP00000261769,9606.ENSP00000280357,9606.ENSP00000287820,9606.ENSP00000297494,9606.ENSP00000353731,9606.ENSP00000371958,9606.ENSP00000380432,9606.ENSP00000389814,9606.ENSP00000433623	CDH1,IL18,PPARG,NOS3,DPP4,CD9,INS,ADIPOQ,TRAF6
PMID:34804998	(2021) Blood-Brain Barrier Disruption by Lipopolysaccharide and Sepsis-Associated Encephalopathy.	8	48	1.62	9.73e-06	9606.ENSP00000231061,9606.ENSP00000280357,9606.ENSP00000297494,9606.ENSP00000353731,9606.ENSP00000361359,9606.ENSP00000380252,9606.ENSP00000380432,9606.ENSP00000400175	SPARC,IL18,NOS3,DPP4,CD40,NFE2L2,INS,RHOA
PMID:33808130	(2021) Molecular Chaperones in Osteosarcoma: Diagnosis and Therapeutic Issues.	9	78	1.46	1.08e-05	9606.ENSP00000215832,9606.ENSP00000233893,9606.ENSP00000248553,9606.ENSP00000251849,9606.ENSP00000261769,9606.ENSP00000267101,9606.ENSP00000269571,9606.ENSP00000337332,9606.ENSP00000380432	MAPK1,HSPE1,HSPB1,RAF1,CDH1,ERBB3,ERBB2,SIRT6,INS
PMID:32796696	(2020) The Importance of Breast Adipose Tissue in Breast Cancer.	10	115	1.33	1.08e-05	9606.ENSP00000231061,9606.ENSP00000269571,9606.ENSP00000284984,9606.ENSP00000287820,9606.ENSP00000300055,9606.ENSP00000341208,9606.ENSP00000380432,9606.ENSP00000389814,9606.ENSP00000418009,9606.ENSP00000448665	SPARC,ERBB2,ADAMTS1,PPARG,PLIN1,STAT5A,INS,ADIPOQ,RARRES2,DDIT3
PMID:28903453	(2017) The p38 pathway, a major pleiotropic cascade that transduces stress and metastatic signals in endothelial cells.	10	114	1.34	1.08e-05	9606.ENSP00000248553,9606.ENSP00000261769,9606.ENSP00000297494,9606.ENSP00000311005,9606.ENSP00000331736,9606.ENSP00000361359,9606.ENSP00000389814,9606.ENSP00000400175,9606.ENSP00000448665,9606.ENSP00000480291	HSPB1,CDH1,NOS3,MAPK7,SELE,CD40,ADIPOQ,RHOA,DDIT3,HNF1B
PMID:24710538	(2012) Redox mechanisms in regulation of adipocyte differentiation: beyond a general stress response.	8	49	1.61	1.08e-05	9606.ENSP00000245451,9606.ENSP00000297494,9606.ENSP00000300055,9606.ENSP00000309757,9606.ENSP00000337332,9606.ENSP00000341208,9606.ENSP00000380432,9606.ENSP00000389814	BMP4,NOS3,PLIN1,LPL,SIRT6,STAT5A,INS,ADIPOQ
PMID:30769862	(2019) Deciphering the Nutraceutical Potential of Raphanus sativus-A Comprehensive Overview.	7	28	1.79	1.11e-05	9606.ENSP00000267101,9606.ENSP00000269571,9606.ENSP00000287820,9606.ENSP00000341044,9606.ENSP00000380252,9606.ENSP00000380432,9606.ENSP00000389814	ERBB3,ERBB2,PPARG,ACACB,NFE2L2,INS,ADIPOQ
PMID:33949876	(2021) Obesity cardiomyopathy: evidence, mechanisms, and therapeutic implications.	10	121	1.31	1.59e-05	9606.ENSP00000280357,9606.ENSP00000287820,9606.ENSP00000309757,9606.ENSP00000341044,9606.ENSP00000353731,9606.ENSP00000380432,9606.ENSP00000389814,9606.ENSP00000400175,9606.ENSP00000418525,9606.ENSP00000448665	IL18,PPARG,LPL,ACACB,DPP4,INS,ADIPOQ,RHOA,MME,DDIT3
PMID:26577614	(2016) Mechanisms of body weight reduction and metabolic syndrome alleviation by tea.	7	30	1.76	1.59e-05	9606.ENSP00000287820,9606.ENSP00000297494,9606.ENSP00000300055,9606.ENSP00000354511,9606.ENSP00000380252,9606.ENSP00000380432,9606.ENSP00000389814	PPARG,NOS3,PLIN1,COMT,NFE2L2,INS,ADIPOQ
PMID:26170839	(2015) Central obesity, type 2 diabetes and insulin: exploring a pathway full of thorns.	8	53	1.57	1.59e-05	9606.ENSP00000280357,9606.ENSP00000287820,9606.ENSP00000297494,9606.ENSP00000300055,9606.ENSP00000344220,9606.ENSP00000380432,9606.ENSP00000389814,9606.ENSP00000418009	IL18,PPARG,NOS3,PLIN1,PDPK1,INS,ADIPOQ,RARRES2
PMID:23762131	(2013) Inhibitory Effects of Hwangryunhaedok-Tang in 3T3-L1 Adipogenesis by Regulation of RafMEK1ERK12 Pathway and PDK1Akt Phosphorylation.	6	14	2.03	1.59e-05	9606.ENSP00000215832,9606.ENSP00000251849,9606.ENSP00000287820,9606.ENSP00000309757,9606.ENSP00000380432,9606.ENSP00000389814	MAPK1,RAF1,PPARG,LPL,INS,ADIPOQ
PMID:34364389	(2021) Flavonoids on diabetic nephropathy: advances and therapeutic opportunities.	8	54	1.56	1.60e-05	9606.ENSP00000261769,9606.ENSP00000280357,9606.ENSP00000287820,9606.ENSP00000362463,9606.ENSP00000380252,9606.ENSP00000380432,9606.ENSP00000400175,9606.ENSP00000433623	CDH1,IL18,PPARG,GLO1,NFE2L2,INS,RHOA,TRAF6
PMID:32360427	(2020) Discoidin domain receptor 1-deletion ameliorates fibrosis and promotes adipose tissue beiging, brown fat activity, and increased metabolic rate in a mouse model of cardiometabolic disease.	7	31	1.75	1.71e-05	9606.ENSP00000245451,9606.ENSP00000287820,9606.ENSP00000300055,9606.ENSP00000309757,9606.ENSP00000353731,9606.ENSP00000380432,9606.ENSP00000400175	BMP4,PPARG,PLIN1,LPL,DPP4,INS,RHOA
PMID:33498240	(2021) Bone Marrow Adipocytes: A Link between Obesity and Bone Cancer.	8	55	1.56	1.72e-05	9606.ENSP00000231061,9606.ENSP00000245451,9606.ENSP00000269571,9606.ENSP00000287820,9606.ENSP00000300055,9606.ENSP00000341044,9606.ENSP00000389814,9606.ENSP00000418009	SPARC,BMP4,ERBB2,PPARG,PLIN1,ACACB,ADIPOQ,RARRES2
