#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
HSA-109582	Hemostasis	15	605	0.79	4.69e-05	9606.ENSP00000215832,9606.ENSP00000229264,9606.ENSP00000231061,9606.ENSP00000251849,9606.ENSP00000297494,9606.ENSP00000321326,9606.ENSP00000331736,9606.ENSP00000344220,9606.ENSP00000353393,9606.ENSP00000355361,9606.ENSP00000366307,9606.ENSP00000371958,9606.ENSP00000377055,9606.ENSP00000400175,9606.ENSP00000418009	MAPK1,GNB3,SPARC,RAF1,NOS3,F2R,SELE,PDPK1,F8,CD47,THBD,CD9,PRCP,RHOA,RARRES2
HSA-76002	Platelet activation, signaling and aggregation	10	260	0.98	0.00014	9606.ENSP00000215832,9606.ENSP00000229264,9606.ENSP00000231061,9606.ENSP00000251849,9606.ENSP00000321326,9606.ENSP00000344220,9606.ENSP00000353393,9606.ENSP00000371958,9606.ENSP00000400175,9606.ENSP00000418009	MAPK1,GNB3,SPARC,RAF1,F2R,PDPK1,F8,CD9,RHOA,RARRES2
HSA-1430728	Metabolism	23	2089	0.44	0.0042	9606.ENSP00000075120,9606.ENSP00000222572,9606.ENSP00000229264,9606.ENSP00000253799,9606.ENSP00000256999,9606.ENSP00000265627,9606.ENSP00000284031,9606.ENSP00000287820,9606.ENSP00000297494,9606.ENSP00000300055,9606.ENSP00000307900,9606.ENSP00000309757,9606.ENSP00000312326,9606.ENSP00000341044,9606.ENSP00000347041,9606.ENSP00000354511,9606.ENSP00000360247,9606.ENSP00000360687,9606.ENSP00000362463,9606.ENSP00000380432,9606.ENSP00000383232,9606.ENSP00000389814,9606.ENSP00000422607	SLC2A3,PON2,GNB3,AOC2,FOLH1,PON3,DDAH1,PPARG,NOS3,PLIN1,GLUL,LPL,AOC3,ACACB,FMOD,COMT,CYP2J2,PTGDS,GLO1,INS,GGT1,ADIPOQ,ACSL1
HSA-168256	Immune System	22	1956	0.44	0.0042	9606.ENSP00000075120,9606.ENSP00000215832,9606.ENSP00000251849,9606.ENSP00000261769,9606.ENSP00000280357,9606.ENSP00000297494,9606.ENSP00000311005,9606.ENSP00000335091,9606.ENSP00000341208,9606.ENSP00000342026,9606.ENSP00000344220,9606.ENSP00000355361,9606.ENSP00000355370,9606.ENSP00000361359,9606.ENSP00000377055,9606.ENSP00000383115,9606.ENSP00000398048,9606.ENSP00000400175,9606.ENSP00000418525,9606.ENSP00000419313,9606.ENSP00000433623,9606.ENSP00000483403	SLC2A3,MAPK1,RAF1,CDH1,IL18,NOS3,MAPK7,ZNRF1,STAT5A,PRDX6,PDPK1,CD47,CNTF,CD40,PRCP,COLEC12,ALPK1,RHOA,MME,TRPC1,TRAF6,GHR
HSA-2142753	Arachidonic acid metabolism	5	59	1.32	0.0042	9606.ENSP00000222572,9606.ENSP00000265627,9606.ENSP00000360247,9606.ENSP00000360687,9606.ENSP00000383232	PON2,PON3,CYP2J2,PTGDS,GGT1
HSA-8978868	Fatty acid metabolism	7	175	1.0	0.0042	9606.ENSP00000222572,9606.ENSP00000265627,9606.ENSP00000341044,9606.ENSP00000360247,9606.ENSP00000360687,9606.ENSP00000383232,9606.ENSP00000422607	PON2,PON3,ACACB,CYP2J2,PTGDS,GGT1,ACSL1
HSA-9006934	Signaling by Receptor Tyrosine Kinases	11	502	0.73	0.0042	9606.ENSP00000215832,9606.ENSP00000231061,9606.ENSP00000248553,9606.ENSP00000267101,9606.ENSP00000269571,9606.ENSP00000297494,9606.ENSP00000311005,9606.ENSP00000341208,9606.ENSP00000344220,9606.ENSP00000380432,9606.ENSP00000400175	MAPK1,SPARC,HSPB1,ERBB3,ERBB2,NOS3,MAPK7,STAT5A,PDPK1,INS,RHOA
HSA-9009391	Extra-nuclear estrogen signaling	5	74	1.22	0.0045	9606.ENSP00000215832,9606.ENSP00000229264,9606.ENSP00000248553,9606.ENSP00000297494,9606.ENSP00000344220	MAPK1,GNB3,HSPB1,NOS3,PDPK1
HSA-140877	Formation of Fibrin Clot (Clotting Cascade)	4	39	1.4	0.0064	9606.ENSP00000321326,9606.ENSP00000353393,9606.ENSP00000366307,9606.ENSP00000377055	F2R,F8,THBD,PRCP
HSA-6785631	ERBB2 Regulates Cell Motility	3	15	1.69	0.0106	9606.ENSP00000267101,9606.ENSP00000269571,9606.ENSP00000400175	ERBB3,ERBB2,RHOA
