#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
WP236	Adipogenesis	8	130	1.18	3.30e-05	9606.ENSP00000245451,9606.ENSP00000287820,9606.ENSP00000300055,9606.ENSP00000309757,9606.ENSP00000341208,9606.ENSP00000380432,9606.ENSP00000389814,9606.ENSP00000448665	BMP4,PPARG,PLIN1,LPL,STAT5A,INS,ADIPOQ,DDIT3
WP3932	Focal adhesion: PI3K-Akt-mTOR-signaling pathway	11	302	0.96	3.30e-05	9606.ENSP00000075120,9606.ENSP00000215832,9606.ENSP00000222139,9606.ENSP00000229264,9606.ENSP00000251849,9606.ENSP00000297494,9606.ENSP00000298552,9606.ENSP00000321326,9606.ENSP00000344220,9606.ENSP00000380432,9606.ENSP00000483403	SLC2A3,MAPK1,EPOR,GNB3,RAF1,NOS3,TSC1,F2R,PDPK1,INS,GHR
WP4172	PI3K-Akt signaling pathway	11	336	0.91	3.30e-05	9606.ENSP00000215832,9606.ENSP00000222139,9606.ENSP00000229264,9606.ENSP00000251849,9606.ENSP00000297494,9606.ENSP00000298552,9606.ENSP00000321326,9606.ENSP00000344220,9606.ENSP00000379842,9606.ENSP00000380432,9606.ENSP00000483403	MAPK1,EPOR,GNB3,RAF1,NOS3,TSC1,F2R,PDPK1,SGK3,INS,GHR
WP673	ErbB signaling pathway	7	90	1.28	3.30e-05	9606.ENSP00000215832,9606.ENSP00000251849,9606.ENSP00000267101,9606.ENSP00000269571,9606.ENSP00000341208,9606.ENSP00000344220,9606.ENSP00000406873	MAPK1,RAF1,ERBB3,ERBB2,STAT5A,PDPK1,PAK6
WP2324	AGE/RAGE pathway	6	66	1.35	5.98e-05	9606.ENSP00000215832,9606.ENSP00000251849,9606.ENSP00000297494,9606.ENSP00000341208,9606.ENSP00000380432,9606.ENSP00000400175	MAPK1,RAF1,NOS3,STAT5A,INS,RHOA
WP3942	PPAR signaling pathway	6	67	1.35	5.98e-05	9606.ENSP00000287820,9606.ENSP00000300055,9606.ENSP00000309757,9606.ENSP00000344220,9606.ENSP00000389814,9606.ENSP00000422607	PPARG,PLIN1,LPL,PDPK1,ADIPOQ,ACSL1
WP2034	Leptin signaling pathway	6	75	1.3	8.62e-05	9606.ENSP00000215832,9606.ENSP00000251849,9606.ENSP00000269571,9606.ENSP00000297494,9606.ENSP00000341044,9606.ENSP00000400175	MAPK1,RAF1,ERBB2,NOS3,ACACB,RHOA
WP2261	Glioblastoma signaling pathways	6	82	1.26	0.00011	9606.ENSP00000215832,9606.ENSP00000251849,9606.ENSP00000267101,9606.ENSP00000269571,9606.ENSP00000298552,9606.ENSP00000344220	MAPK1,RAF1,ERBB3,ERBB2,TSC1,PDPK1
WP3888	VEGFA-VEGFR2 signaling pathway	11	428	0.8	0.00011	9606.ENSP00000215832,9606.ENSP00000248553,9606.ENSP00000251849,9606.ENSP00000284984,9606.ENSP00000297494,9606.ENSP00000331736,9606.ENSP00000341044,9606.ENSP00000342026,9606.ENSP00000344220,9606.ENSP00000400175,9606.ENSP00000419313	MAPK1,HSPB1,RAF1,ADAMTS1,NOS3,SELE,ACACB,PRDX6,PDPK1,RHOA,TRPC1
WP3915	Angiopoietin-like protein 8 regulatory pathway	7	130	1.13	0.00011	9606.ENSP00000215832,9606.ENSP00000251849,9606.ENSP00000298552,9606.ENSP00000309757,9606.ENSP00000311005,9606.ENSP00000344220,9606.ENSP00000380432	MAPK1,RAF1,TSC1,LPL,MAPK7,PDPK1,INS
WP2355	Corticotropin-releasing hormone signaling pathway	6	91	1.21	0.00015	9606.ENSP00000215832,9606.ENSP00000229264,9606.ENSP00000251849,9606.ENSP00000280357,9606.ENSP00000297494,9606.ENSP00000400175	MAPK1,GNB3,RAF1,IL18,NOS3,RHOA
WP2380	Brain-derived neurotrophic factor (BDNF) signaling pathway	7	143	1.08	0.00015	9606.ENSP00000215832,9606.ENSP00000251849,9606.ENSP00000311005,9606.ENSP00000341044,9606.ENSP00000341208,9606.ENSP00000344220,9606.ENSP00000433623	MAPK1,RAF1,MAPK7,ACACB,STAT5A,PDPK1,TRAF6
WP4746	Thyroid hormones production and peripheral downstream signaling effects	6	94	1.2	0.00016	9606.ENSP00000215832,9606.ENSP00000251849,9606.ENSP00000287820,9606.ENSP00000298552,9606.ENSP00000300055,9606.ENSP00000337332	MAPK1,RAF1,PPARG,TSC1,PLIN1,SIRT6
WP437	EGF/EGFR signaling pathway	7	162	1.03	0.00026	9606.ENSP00000215832,9606.ENSP00000251849,9606.ENSP00000269571,9606.ENSP00000297494,9606.ENSP00000311005,9606.ENSP00000341208,9606.ENSP00000344220	MAPK1,RAF1,ERBB2,NOS3,MAPK7,STAT5A,PDPK1
WP581	EPO receptor signaling	4	26	1.58	0.00028	9606.ENSP00000215832,9606.ENSP00000222139,9606.ENSP00000251849,9606.ENSP00000341208	MAPK1,EPOR,RAF1,STAT5A
WP4155	Endometrial cancer	5	63	1.29	0.00034	9606.ENSP00000215832,9606.ENSP00000251849,9606.ENSP00000261769,9606.ENSP00000269571,9606.ENSP00000344220	MAPK1,RAF1,CDH1,ERBB2,PDPK1
WP3680	Physico-chemical features and toxicity-associated pathways	5	66	1.27	0.00039	9606.ENSP00000215832,9606.ENSP00000251849,9606.ENSP00000269571,9606.ENSP00000341208,9606.ENSP00000400175	MAPK1,RAF1,ERBB2,STAT5A,RHOA
WP5102	Familial partial lipodystrophy (FPLD)	4	30	1.52	0.00039	9606.ENSP00000287820,9606.ENSP00000300055,9606.ENSP00000309757,9606.ENSP00000380432	PPARG,PLIN1,LPL,INS
WP4149	White fat cell differentiation	4	32	1.49	0.00046	9606.ENSP00000287820,9606.ENSP00000341208,9606.ENSP00000380432,9606.ENSP00000448665	PPARG,STAT5A,INS,DDIT3
WP4874	CAMKK2 pathway	4	33	1.48	0.00049	9606.ENSP00000215832,9606.ENSP00000251849,9606.ENSP00000298552,9606.ENSP00000380252	MAPK1,RAF1,TSC1,NFE2L2
WP1544	MicroRNAs in cardiomyocyte hypertrophy	5	83	1.17	0.00089	9606.ENSP00000215832,9606.ENSP00000251849,9606.ENSP00000311005,9606.ENSP00000344220,9606.ENSP00000400175	MAPK1,RAF1,MAPK7,PDPK1,RHOA
WP2828	Bladder cancer	4	40	1.39	0.00089	9606.ENSP00000215832,9606.ENSP00000251849,9606.ENSP00000261769,9606.ENSP00000269571	MAPK1,RAF1,CDH1,ERBB2
WP3849	MAPK and NFkB signaling pathways inhibited by Yersinia YopJ	3	12	1.79	0.00089	9606.ENSP00000215832,9606.ENSP00000251849,9606.ENSP00000433623	MAPK1,RAF1,TRAF6
WP4806	EGFR tyrosine kinase inhibitor resistance	5	83	1.17	0.00089	9606.ENSP00000215832,9606.ENSP00000251849,9606.ENSP00000267101,9606.ENSP00000269571,9606.ENSP00000344220	MAPK1,RAF1,ERBB3,ERBB2,PDPK1
WP4263	Pancreatic adenocarcinoma pathway	5	87	1.15	0.00092	9606.ENSP00000215832,9606.ENSP00000251849,9606.ENSP00000269571,9606.ENSP00000400175,9606.ENSP00000406873	MAPK1,RAF1,ERBB2,RHOA,PAK6
WP4947	Nitric oxide metabolism in cystic fibrosis	3	13	1.76	0.00092	9606.ENSP00000284031,9606.ENSP00000297494,9606.ENSP00000380759	DDAH1,NOS3,PRMT2
WP2586	Aryl hydrocarbon receptor Netpath	4	46	1.33	0.0012	9606.ENSP00000215832,9606.ENSP00000251849,9606.ENSP00000309757,9606.ENSP00000380252	MAPK1,RAF1,LPL,NFE2L2
WP481	Insulin signaling	6	159	0.97	0.0013	9606.ENSP00000215832,9606.ENSP00000251849,9606.ENSP00000298552,9606.ENSP00000311005,9606.ENSP00000344220,9606.ENSP00000379842	MAPK1,RAF1,TSC1,MAPK7,PDPK1,SGK3
WP185	Integrin-mediated cell adhesion	5	100	1.09	0.0015	9606.ENSP00000215832,9606.ENSP00000251849,9606.ENSP00000311005,9606.ENSP00000344220,9606.ENSP00000406873	MAPK1,RAF1,MAPK7,PDPK1,PAK6
WP363	Wnt signaling pathway	4	51	1.29	0.0015	9606.ENSP00000215832,9606.ENSP00000287820,9606.ENSP00000298552,9606.ENSP00000400175	MAPK1,PPARG,TSC1,RHOA
WP3879	4-hydroxytamoxifen, Dexamethasone, and Retinoic Acids Regulation of p27 Expression	3	17	1.64	0.0015	9606.ENSP00000215832,9606.ENSP00000251849,9606.ENSP00000298552	MAPK1,RAF1,TSC1
WP4747	Netrin-UNC5B signaling pathway	4	52	1.28	0.0016	9606.ENSP00000215832,9606.ENSP00000251849,9606.ENSP00000331736,9606.ENSP00000400175	MAPK1,RAF1,SELE,RHOA
