#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0032496	Response to lipopolysaccharide	5	313	1.49	0.0022	9606.ENSP00000292303,9606.ENSP00000351059,9606.ENSP00000400175,9606.ENSP00000401399,9606.ENSP00000403495	CCR5,CX3CR1,RHOA,MYD88,LTA
GO:0051240	Positive regulation of multicellular organismal process	8	1770	0.95	0.0022	9606.ENSP00000155840,9606.ENSP00000351059,9606.ENSP00000379472,9606.ENSP00000393312,9606.ENSP00000400175,9606.ENSP00000401399,9606.ENSP00000403495,9606.ENSP00000480043	KCNQ1,CX3CR1,CCK,FGFR1,RHOA,MYD88,LTA,VEGFC
GO:0070887	Cellular response to chemical stimulus	9	2919	0.78	0.0022	9606.ENSP00000155840,9606.ENSP00000292303,9606.ENSP00000351059,9606.ENSP00000356729,9606.ENSP00000393312,9606.ENSP00000400175,9606.ENSP00000401399,9606.ENSP00000403495,9606.ENSP00000480043	KCNQ1,CCR5,CX3CR1,FMO3,FGFR1,RHOA,MYD88,LTA,VEGFC
GO:0006928	Movement of cell or subcellular component	7	1501	0.96	0.0040	9606.ENSP00000155840,9606.ENSP00000292303,9606.ENSP00000351059,9606.ENSP00000379472,9606.ENSP00000393312,9606.ENSP00000400175,9606.ENSP00000480043	KCNQ1,CCR5,CX3CR1,CCK,FGFR1,RHOA,VEGFC
GO:0016477	Cell migration	6	896	1.12	0.0040	9606.ENSP00000292303,9606.ENSP00000351059,9606.ENSP00000379472,9606.ENSP00000393312,9606.ENSP00000400175,9606.ENSP00000480043	CCR5,CX3CR1,CCK,FGFR1,RHOA,VEGFC
GO:0042981	Regulation of apoptotic process	7	1550	0.95	0.0040	9606.ENSP00000292303,9606.ENSP00000351059,9606.ENSP00000379472,9606.ENSP00000393312,9606.ENSP00000400175,9606.ENSP00000401399,9606.ENSP00000403495	CCR5,CX3CR1,CCK,FGFR1,RHOA,MYD88,LTA
GO:0050769	Positive regulation of neurogenesis	5	479	1.31	0.0040	9606.ENSP00000351059,9606.ENSP00000393312,9606.ENSP00000400175,9606.ENSP00000403495,9606.ENSP00000480043	CX3CR1,FGFR1,RHOA,LTA,VEGFC
GO:0071222	Cellular response to lipopolysaccharide	4	185	1.63	0.0040	9606.ENSP00000292303,9606.ENSP00000351059,9606.ENSP00000400175,9606.ENSP00000401399	CCR5,CX3CR1,RHOA,MYD88
GO:0071310	Cellular response to organic substance	8	2369	0.82	0.0040	9606.ENSP00000155840,9606.ENSP00000292303,9606.ENSP00000351059,9606.ENSP00000393312,9606.ENSP00000400175,9606.ENSP00000401399,9606.ENSP00000403495,9606.ENSP00000480043	KCNQ1,CCR5,CX3CR1,FGFR1,RHOA,MYD88,LTA,VEGFC
GO:0071345	Cellular response to cytokine stimulus	6	1013	1.06	0.0040	9606.ENSP00000292303,9606.ENSP00000351059,9606.ENSP00000400175,9606.ENSP00000401399,9606.ENSP00000403495,9606.ENSP00000480043	CCR5,CX3CR1,RHOA,MYD88,LTA,VEGFC
GO:0007267	Cell-cell signaling	6	1145	1.01	0.0043	9606.ENSP00000155840,9606.ENSP00000292303,9606.ENSP00000351059,9606.ENSP00000393312,9606.ENSP00000400175,9606.ENSP00000403495	KCNQ1,CCR5,CX3CR1,FGFR1,RHOA,LTA
GO:0043535	Regulation of blood vessel endothelial cell migration	3	93	1.8	0.0059	9606.ENSP00000393312,9606.ENSP00000400175,9606.ENSP00000480043	FGFR1,RHOA,VEGFC
GO:1990869	Cellular response to chemokine	3	90	1.81	0.0059	9606.ENSP00000292303,9606.ENSP00000351059,9606.ENSP00000400175	CCR5,CX3CR1,RHOA
GO:2000177	Regulation of neural precursor cell proliferation	3	88	1.82	0.0059	9606.ENSP00000351059,9606.ENSP00000400175,9606.ENSP00000480043	CX3CR1,RHOA,VEGFC
GO:0051716	Cellular response to stimulus	10	6489	0.48	0.0069	9606.ENSP00000155840,9606.ENSP00000292303,9606.ENSP00000351059,9606.ENSP00000356729,9606.ENSP00000379472,9606.ENSP00000393312,9606.ENSP00000400175,9606.ENSP00000401399,9606.ENSP00000403495,9606.ENSP00000480043	KCNQ1,CCR5,CX3CR1,FMO3,CCK,FGFR1,RHOA,MYD88,LTA,VEGFC
GO:0048584	Positive regulation of response to stimulus	7	2257	0.78	0.0096	9606.ENSP00000351059,9606.ENSP00000379472,9606.ENSP00000393312,9606.ENSP00000400175,9606.ENSP00000401399,9606.ENSP00000403495,9606.ENSP00000480043	CX3CR1,CCK,FGFR1,RHOA,MYD88,LTA,VEGFC
GO:0009605	Response to external stimulus	7	2310	0.77	0.0109	9606.ENSP00000292303,9606.ENSP00000351059,9606.ENSP00000379472,9606.ENSP00000400175,9606.ENSP00000401399,9606.ENSP00000403495,9606.ENSP00000480043	CCR5,CX3CR1,CCK,RHOA,MYD88,LTA,VEGFC
GO:0007166	Cell surface receptor signaling pathway	7	2325	0.77	0.0110	9606.ENSP00000292303,9606.ENSP00000351059,9606.ENSP00000393312,9606.ENSP00000400175,9606.ENSP00000401399,9606.ENSP00000403495,9606.ENSP00000480043	CCR5,CX3CR1,FGFR1,RHOA,MYD88,LTA,VEGFC
GO:0048699	Generation of neurons	6	1551	0.88	0.0138	9606.ENSP00000351059,9606.ENSP00000379472,9606.ENSP00000393312,9606.ENSP00000400175,9606.ENSP00000403495,9606.ENSP00000480043	CX3CR1,CCK,FGFR1,RHOA,LTA,VEGFC
GO:1901700	Response to oxygen-containing compound	6	1567	0.87	0.0143	9606.ENSP00000155840,9606.ENSP00000292303,9606.ENSP00000351059,9606.ENSP00000400175,9606.ENSP00000401399,9606.ENSP00000403495	KCNQ1,CCR5,CX3CR1,RHOA,MYD88,LTA
GO:0002687	Positive regulation of leukocyte migration	3	144	1.61	0.0158	9606.ENSP00000351059,9606.ENSP00000400175,9606.ENSP00000480043	CX3CR1,RHOA,VEGFC
GO:0008284	Positive regulation of cell population proliferation	5	919	1.03	0.0158	9606.ENSP00000351059,9606.ENSP00000379472,9606.ENSP00000393312,9606.ENSP00000403495,9606.ENSP00000480043	CX3CR1,CCK,FGFR1,LTA,VEGFC
GO:0023052	Signaling	9	5239	0.53	0.0169	9606.ENSP00000155840,9606.ENSP00000292303,9606.ENSP00000351059,9606.ENSP00000379472,9606.ENSP00000393312,9606.ENSP00000400175,9606.ENSP00000401399,9606.ENSP00000403495,9606.ENSP00000480043	KCNQ1,CCR5,CX3CR1,CCK,FGFR1,RHOA,MYD88,LTA,VEGFC
GO:0042127	Regulation of cell population proliferation	6	1642	0.85	0.0169	9606.ENSP00000351059,9606.ENSP00000379472,9606.ENSP00000393312,9606.ENSP00000400175,9606.ENSP00000403495,9606.ENSP00000480043	CX3CR1,CCK,FGFR1,RHOA,LTA,VEGFC
GO:0007154	Cell communication	9	5320	0.52	0.0172	9606.ENSP00000155840,9606.ENSP00000292303,9606.ENSP00000351059,9606.ENSP00000379472,9606.ENSP00000393312,9606.ENSP00000400175,9606.ENSP00000401399,9606.ENSP00000403495,9606.ENSP00000480043	KCNQ1,CCR5,CX3CR1,CCK,FGFR1,RHOA,MYD88,LTA,VEGFC
GO:0002052	Positive regulation of neuroblast proliferation	2	23	2.23	0.0189	9606.ENSP00000351059,9606.ENSP00000480043	CX3CR1,VEGFC
GO:0048519	Negative regulation of biological process	9	5389	0.51	0.0189	9606.ENSP00000155840,9606.ENSP00000292303,9606.ENSP00000351059,9606.ENSP00000379472,9606.ENSP00000393312,9606.ENSP00000400175,9606.ENSP00000401399,9606.ENSP00000403495,9606.ENSP00000480043	KCNQ1,CCR5,CX3CR1,CCK,FGFR1,RHOA,MYD88,LTA,VEGFC
GO:0001934	Positive regulation of protein phosphorylation	5	1019	0.98	0.0192	9606.ENSP00000351059,9606.ENSP00000379472,9606.ENSP00000393312,9606.ENSP00000400175,9606.ENSP00000480043	CX3CR1,CCK,FGFR1,RHOA,VEGFC
GO:0032101	Regulation of response to external stimulus	5	1013	0.98	0.0192	9606.ENSP00000379472,9606.ENSP00000393312,9606.ENSP00000401399,9606.ENSP00000403495,9606.ENSP00000480043	CCK,FGFR1,MYD88,LTA,VEGFC
