#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
PMID:28210075	(2017) Pancreatic stellate cell: Pandoras box for pancreatic disease biology.	8	74	1.82	2.59e-06	9606.ENSP00000006053,9606.ENSP00000261769,9606.ENSP00000264657,9606.ENSP00000355751,9606.ENSP00000356954,9606.ENSP00000360242,9606.ENSP00000393312,9606.ENSP00000418525	CX3CL1,CDH1,STAT3,THBS2,CTGF,XIAP,FGFR1,MME
PMID:34769288	(2021) Recent Advances in Diabetic Kidney Diseases: From Kidney Injury to Kidney Fibrosis.	7	89	1.68	0.00033	9606.ENSP00000261769,9606.ENSP00000264606,9606.ENSP00000264657,9606.ENSP00000352516,9606.ENSP00000356954,9606.ENSP00000358513,9606.ENSP00000393312	CDH1,HDAC4,STAT3,DNMT1,CTGF,CNR1,FGFR1
PMID:31889913	(2019) Chronic kidney disease: a review of proteomic and metabolomic approaches to membranous glomerulonephritis, focal segmental glomerulosclerosis, and IgA nephropathy biomarkers.	7	90	1.68	0.00033	9606.ENSP00000261769,9606.ENSP00000264657,9606.ENSP00000360522,9606.ENSP00000361883,9606.ENSP00000379191,9606.ENSP00000385834,9606.ENSP00000418525	CDH1,STAT3,RBP4,CAP1,CD59,TF,MME
PMID:28761062	(2017) T2DiACoD: A Gene Atlas of Type 2 Diabetes Mellitus Associated Complex Disorders.	8	156	1.5	0.00033	9606.ENSP00000264606,9606.ENSP00000267101,9606.ENSP00000274024,9606.ENSP00000347046,9606.ENSP00000356954,9606.ENSP00000362524,9606.ENSP00000462647,9606.ENSP00000478319	HDAC4,ERBB3,FABP2,PDE5A,CTGF,ANGPTL2,ADCYAP1,GREM1
PMID:34139255	(2021) Therapeutic and diagnostic targeting of fibrosis in metabolic, proliferative and viral disorders.	7	109	1.59	0.00051	9606.ENSP00000261769,9606.ENSP00000264606,9606.ENSP00000264657,9606.ENSP00000267101,9606.ENSP00000274024,9606.ENSP00000356954,9606.ENSP00000393312	CDH1,HDAC4,STAT3,ERBB3,FABP2,CTGF,FGFR1
PMID:23002430	(2012) Small RNA and its application in andrology and urology.	6	60	1.79	0.00066	9606.ENSP00000256999,9606.ENSP00000261769,9606.ENSP00000264657,9606.ENSP00000347046,9606.ENSP00000356954,9606.ENSP00000393312	FOLH1,CDH1,STAT3,PDE5A,CTGF,FGFR1
PMID:18381447	(2008) Epithelial-to-mesenchymal transition and integrin-linked kinase mediate sensitivity to epidermal growth factor receptor inhibition in human hepatoma cells.	4	6	2.61	0.00070	9606.ENSP00000261769,9606.ENSP00000264657,9606.ENSP00000267101,9606.ENSP00000379975	CDH1,STAT3,ERBB3,ILK
PMID:31218726	(2020) Epigenetic polypharmacology: A new frontier for epi-drug discovery.	7	130	1.52	0.0010	9606.ENSP00000261769,9606.ENSP00000264606,9606.ENSP00000264657,9606.ENSP00000267101,9606.ENSP00000347046,9606.ENSP00000352516,9606.ENSP00000393312	CDH1,HDAC4,STAT3,ERBB3,PDE5A,DNMT1,FGFR1
PMID:24705265	(2013) The genetics of diabetic nephropathy.	5	32	1.98	0.0014	9606.ENSP00000261769,9606.ENSP00000274031,9606.ENSP00000356954,9606.ENSP00000379975,9606.ENSP00000478319	CDH1,SETD7,CTGF,ILK,GREM1
PMID:18728657	(2008) Will histone deacetylase inhibitors require combination with other agents to fulfil their therapeutic potential?	5	31	1.99	0.0014	9606.ENSP00000261769,9606.ENSP00000264606,9606.ENSP00000264657,9606.ENSP00000267101,9606.ENSP00000360242	CDH1,HDAC4,STAT3,ERBB3,XIAP
