#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
BTO:0000759	Liver	15	1882	0.69	0.00013	9606.ENSP00000256999,9606.ENSP00000261313,9606.ENSP00000261769,9606.ENSP00000264657,9606.ENSP00000267101,9606.ENSP00000274031,9606.ENSP00000352516,9606.ENSP00000356954,9606.ENSP00000360522,9606.ENSP00000361883,9606.ENSP00000379191,9606.ENSP00000385834,9606.ENSP00000393312,9606.ENSP00000418525,9606.ENSP00000440045	FOLH1,PEBP1,CDH1,STAT3,ERBB3,SETD7,DNMT1,CTGF,RBP4,CAP1,CD59,TF,FGFR1,MME,ATP2A2
BTO:0000345	Digestive gland	16	2645	0.57	0.00084	9606.ENSP00000256999,9606.ENSP00000261313,9606.ENSP00000261769,9606.ENSP00000264657,9606.ENSP00000267101,9606.ENSP00000274031,9606.ENSP00000319281,9606.ENSP00000352516,9606.ENSP00000356954,9606.ENSP00000360522,9606.ENSP00000361883,9606.ENSP00000379191,9606.ENSP00000385834,9606.ENSP00000393312,9606.ENSP00000418525,9606.ENSP00000440045	FOLH1,PEBP1,CDH1,STAT3,ERBB3,SETD7,BASP1,DNMT1,CTGF,RBP4,CAP1,CD59,TF,FGFR1,MME,ATP2A2
BTO:0000511	Gastrointestinal tract	13	1680	0.67	0.00084	9606.ENSP00000256999,9606.ENSP00000261313,9606.ENSP00000261769,9606.ENSP00000267101,9606.ENSP00000274024,9606.ENSP00000356954,9606.ENSP00000361883,9606.ENSP00000379191,9606.ENSP00000379975,9606.ENSP00000385834,9606.ENSP00000393312,9606.ENSP00000440045,9606.ENSP00000478319	FOLH1,PEBP1,CDH1,ERBB3,FABP2,CTGF,CAP1,CD59,ILK,TF,FGFR1,ATP2A2,GREM1
BTO:0000142	Brain	21	5462	0.37	0.0039	9606.ENSP00000006053,9606.ENSP00000235310,9606.ENSP00000256999,9606.ENSP00000259486,9606.ENSP00000261313,9606.ENSP00000261769,9606.ENSP00000264606,9606.ENSP00000264657,9606.ENSP00000267101,9606.ENSP00000274031,9606.ENSP00000319281,9606.ENSP00000347046,9606.ENSP00000358513,9606.ENSP00000360242,9606.ENSP00000361883,9606.ENSP00000379191,9606.ENSP00000379975,9606.ENSP00000385834,9606.ENSP00000393312,9606.ENSP00000440045,9606.ENSP00000462647	CX3CL1,MAD2L2,FOLH1,ENPP2,PEBP1,CDH1,HDAC4,STAT3,ERBB3,SETD7,BASP1,PDE5A,CNR1,XIAP,CAP1,CD59,ILK,TF,FGFR1,ATP2A2,ADCYAP1
BTO:0000282	Head	22	6329	0.33	0.0065	9606.ENSP00000006053,9606.ENSP00000235310,9606.ENSP00000256999,9606.ENSP00000259486,9606.ENSP00000261313,9606.ENSP00000261769,9606.ENSP00000264606,9606.ENSP00000264657,9606.ENSP00000267101,9606.ENSP00000274031,9606.ENSP00000319281,9606.ENSP00000347046,9606.ENSP00000356954,9606.ENSP00000358513,9606.ENSP00000360242,9606.ENSP00000361883,9606.ENSP00000379191,9606.ENSP00000379975,9606.ENSP00000385834,9606.ENSP00000393312,9606.ENSP00000440045,9606.ENSP00000462647	CX3CL1,MAD2L2,FOLH1,ENPP2,PEBP1,CDH1,HDAC4,STAT3,ERBB3,SETD7,BASP1,PDE5A,CTGF,CNR1,XIAP,CAP1,CD59,ILK,TF,FGFR1,ATP2A2,ADCYAP1
BTO:0001488	Endocrine gland	21	6036	0.33	0.0115	9606.ENSP00000256999,9606.ENSP00000259486,9606.ENSP00000261313,9606.ENSP00000261769,9606.ENSP00000264606,9606.ENSP00000264657,9606.ENSP00000267101,9606.ENSP00000274031,9606.ENSP00000319281,9606.ENSP00000347046,9606.ENSP00000352516,9606.ENSP00000356954,9606.ENSP00000360522,9606.ENSP00000361883,9606.ENSP00000362524,9606.ENSP00000379191,9606.ENSP00000385834,9606.ENSP00000393312,9606.ENSP00000418525,9606.ENSP00000440045,9606.ENSP00000462647	FOLH1,ENPP2,PEBP1,CDH1,HDAC4,STAT3,ERBB3,SETD7,BASP1,PDE5A,DNMT1,CTGF,RBP4,CAP1,ANGPTL2,CD59,TF,FGFR1,MME,ATP2A2,ADCYAP1
BTO:0001491	Viscus	19	5020	0.36	0.0115	9606.ENSP00000256999,9606.ENSP00000261313,9606.ENSP00000261769,9606.ENSP00000264657,9606.ENSP00000267101,9606.ENSP00000274024,9606.ENSP00000274031,9606.ENSP00000347046,9606.ENSP00000352516,9606.ENSP00000356954,9606.ENSP00000360522,9606.ENSP00000361883,9606.ENSP00000379191,9606.ENSP00000379975,9606.ENSP00000385834,9606.ENSP00000393312,9606.ENSP00000418525,9606.ENSP00000440045,9606.ENSP00000478319	FOLH1,PEBP1,CDH1,STAT3,ERBB3,FABP2,SETD7,PDE5A,DNMT1,CTGF,RBP4,CAP1,CD59,ILK,TF,FGFR1,MME,ATP2A2,GREM1
BTO:0000180	Cervical carcinoma cell	5	271	1.05	0.0136	9606.ENSP00000264606,9606.ENSP00000264657,9606.ENSP00000267101,9606.ENSP00000352516,9606.ENSP00000360242	HDAC4,STAT3,ERBB3,DNMT1,XIAP
BTO:0001078	Placenta	9	1176	0.67	0.0136	9606.ENSP00000261313,9606.ENSP00000261769,9606.ENSP00000264657,9606.ENSP00000267101,9606.ENSP00000356954,9606.ENSP00000379191,9606.ENSP00000379975,9606.ENSP00000393312,9606.ENSP00000418525	PEBP1,CDH1,STAT3,ERBB3,CTGF,CD59,ILK,FGFR1,MME
BTO:0001489	Whole body	30	12619	0.16	0.0186	9606.ENSP00000006053,9606.ENSP00000235310,9606.ENSP00000256999,9606.ENSP00000259486,9606.ENSP00000261313,9606.ENSP00000261769,9606.ENSP00000264606,9606.ENSP00000264657,9606.ENSP00000267101,9606.ENSP00000274024,9606.ENSP00000274031,9606.ENSP00000319281,9606.ENSP00000347046,9606.ENSP00000352516,9606.ENSP00000355751,9606.ENSP00000356954,9606.ENSP00000358513,9606.ENSP00000360242,9606.ENSP00000360522,9606.ENSP00000361883,9606.ENSP00000362524,9606.ENSP00000379191,9606.ENSP00000379975,9606.ENSP00000385834,9606.ENSP00000393312,9606.ENSP00000418525,9606.ENSP00000430241,9606.ENSP00000440045,9606.ENSP00000462647,9606.ENSP00000478319	CX3CL1,MAD2L2,FOLH1,ENPP2,PEBP1,CDH1,HDAC4,STAT3,ERBB3,FABP2,SETD7,BASP1,PDE5A,DNMT1,THBS2,CTGF,CNR1,XIAP,RBP4,CAP1,ANGPTL2,CD59,ILK,TF,FGFR1,MME,EBF2,ATP2A2,ADCYAP1,GREM1
BTO:0000088	Cardiovascular system	8	1005	0.69	0.0218	9606.ENSP00000347046,9606.ENSP00000356954,9606.ENSP00000360242,9606.ENSP00000361883,9606.ENSP00000362524,9606.ENSP00000379191,9606.ENSP00000385834,9606.ENSP00000440045	PDE5A,CTGF,XIAP,CAP1,ANGPTL2,CD59,TF,ATP2A2
