#category	term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO Process	GO:0051240	Positive regulation of multicellular organismal process	19	1770	0.82	2.25e-08	9606.ENSP00000006053,9606.ENSP00000235310,9606.ENSP00000259486,9606.ENSP00000264606,9606.ENSP00000264657,9606.ENSP00000267101,9606.ENSP00000319281,9606.ENSP00000347046,9606.ENSP00000355751,9606.ENSP00000356954,9606.ENSP00000358513,9606.ENSP00000379975,9606.ENSP00000385834,9606.ENSP00000393312,9606.ENSP00000418525,9606.ENSP00000430241,9606.ENSP00000440045,9606.ENSP00000462647,9606.ENSP00000478319	CX3CL1,MAD2L2,ENPP2,HDAC4,STAT3,ERBB3,BASP1,PDE5A,THBS2,CTGF,CNR1,ILK,TF,FGFR1,MME,EBF2,ATP2A2,ADCYAP1,GREM1
GO Process	GO:0031399	Regulation of protein modification process	18	1870	0.77	3.82e-07	9606.ENSP00000006053,9606.ENSP00000235310,9606.ENSP00000259486,9606.ENSP00000261313,9606.ENSP00000262752,9606.ENSP00000264606,9606.ENSP00000264657,9606.ENSP00000267101,9606.ENSP00000274031,9606.ENSP00000347046,9606.ENSP00000352516,9606.ENSP00000356954,9606.ENSP00000360242,9606.ENSP00000379975,9606.ENSP00000385834,9606.ENSP00000393312,9606.ENSP00000462647,9606.ENSP00000478319	CX3CL1,MAD2L2,ENPP2,PEBP1,RPS6KA6,HDAC4,STAT3,ERBB3,SETD7,PDE5A,DNMT1,CTGF,XIAP,ILK,TF,FGFR1,ADCYAP1,GREM1
GO Process	GO:0051239	Regulation of multicellular organismal process	22	3227	0.62	3.82e-07	9606.ENSP00000006053,9606.ENSP00000235310,9606.ENSP00000259486,9606.ENSP00000262752,9606.ENSP00000264606,9606.ENSP00000264657,9606.ENSP00000267101,9606.ENSP00000319281,9606.ENSP00000347046,9606.ENSP00000352516,9606.ENSP00000355751,9606.ENSP00000356954,9606.ENSP00000358513,9606.ENSP00000360522,9606.ENSP00000379975,9606.ENSP00000385834,9606.ENSP00000393312,9606.ENSP00000418525,9606.ENSP00000430241,9606.ENSP00000440045,9606.ENSP00000462647,9606.ENSP00000478319	CX3CL1,MAD2L2,ENPP2,RPS6KA6,HDAC4,STAT3,ERBB3,BASP1,PDE5A,DNMT1,THBS2,CTGF,CNR1,RBP4,ILK,TF,FGFR1,MME,EBF2,ATP2A2,ADCYAP1,GREM1
GO Process	GO:0031401	Positive regulation of protein modification process	15	1252	0.86	8.48e-07	9606.ENSP00000006053,9606.ENSP00000235310,9606.ENSP00000259486,9606.ENSP00000264606,9606.ENSP00000264657,9606.ENSP00000267101,9606.ENSP00000347046,9606.ENSP00000352516,9606.ENSP00000356954,9606.ENSP00000360242,9606.ENSP00000379975,9606.ENSP00000385834,9606.ENSP00000393312,9606.ENSP00000462647,9606.ENSP00000478319	CX3CL1,MAD2L2,ENPP2,HDAC4,STAT3,ERBB3,PDE5A,DNMT1,CTGF,XIAP,ILK,TF,FGFR1,ADCYAP1,GREM1
GO Process	GO:2000026	Regulation of multicellular organismal development	18	2096	0.72	9.96e-07	9606.ENSP00000006053,9606.ENSP00000235310,9606.ENSP00000259486,9606.ENSP00000262752,9606.ENSP00000264606,9606.ENSP00000264657,9606.ENSP00000267101,9606.ENSP00000319281,9606.ENSP00000352516,9606.ENSP00000355751,9606.ENSP00000356954,9606.ENSP00000358513,9606.ENSP00000360522,9606.ENSP00000379975,9606.ENSP00000393312,9606.ENSP00000418525,9606.ENSP00000462647,9606.ENSP00000478319	CX3CL1,MAD2L2,ENPP2,RPS6KA6,HDAC4,STAT3,ERBB3,BASP1,DNMT1,THBS2,CTGF,CNR1,RBP4,ILK,FGFR1,MME,ADCYAP1,GREM1
GO Process	GO:0051094	Positive regulation of developmental process	15	1389	0.82	2.36e-06	9606.ENSP00000006053,9606.ENSP00000235310,9606.ENSP00000259486,9606.ENSP00000264657,9606.ENSP00000267101,9606.ENSP00000319281,9606.ENSP00000347046,9606.ENSP00000355751,9606.ENSP00000356954,9606.ENSP00000358513,9606.ENSP00000379975,9606.ENSP00000393312,9606.ENSP00000418525,9606.ENSP00000462647,9606.ENSP00000478319	CX3CL1,MAD2L2,ENPP2,STAT3,ERBB3,BASP1,PDE5A,THBS2,CTGF,CNR1,ILK,FGFR1,MME,ADCYAP1,GREM1
GO Process	GO:0050793	Regulation of developmental process	19	2648	0.64	3.53e-06	9606.ENSP00000006053,9606.ENSP00000235310,9606.ENSP00000259486,9606.ENSP00000262752,9606.ENSP00000264606,9606.ENSP00000264657,9606.ENSP00000267101,9606.ENSP00000319281,9606.ENSP00000347046,9606.ENSP00000352516,9606.ENSP00000355751,9606.ENSP00000356954,9606.ENSP00000358513,9606.ENSP00000360522,9606.ENSP00000379975,9606.ENSP00000393312,9606.ENSP00000418525,9606.ENSP00000462647,9606.ENSP00000478319	CX3CL1,MAD2L2,ENPP2,RPS6KA6,HDAC4,STAT3,ERBB3,BASP1,PDE5A,DNMT1,THBS2,CTGF,CNR1,RBP4,ILK,FGFR1,MME,ADCYAP1,GREM1
GO Process	GO:0051246	Regulation of protein metabolic process	19	2828	0.61	9.42e-06	9606.ENSP00000006053,9606.ENSP00000235310,9606.ENSP00000259486,9606.ENSP00000261313,9606.ENSP00000261769,9606.ENSP00000262752,9606.ENSP00000264606,9606.ENSP00000264657,9606.ENSP00000267101,9606.ENSP00000274031,9606.ENSP00000347046,9606.ENSP00000352516,9606.ENSP00000356954,9606.ENSP00000360242,9606.ENSP00000379975,9606.ENSP00000385834,9606.ENSP00000393312,9606.ENSP00000462647,9606.ENSP00000478319	CX3CL1,MAD2L2,ENPP2,PEBP1,CDH1,RPS6KA6,HDAC4,STAT3,ERBB3,SETD7,PDE5A,DNMT1,CTGF,XIAP,ILK,TF,FGFR1,ADCYAP1,GREM1
GO Process	GO:0042325	Regulation of phosphorylation	15	1626	0.75	1.34e-05	9606.ENSP00000006053,9606.ENSP00000235310,9606.ENSP00000259486,9606.ENSP00000261313,9606.ENSP00000262752,9606.ENSP00000264606,9606.ENSP00000264657,9606.ENSP00000267101,9606.ENSP00000347046,9606.ENSP00000356954,9606.ENSP00000379975,9606.ENSP00000385834,9606.ENSP00000393312,9606.ENSP00000462647,9606.ENSP00000478319	CX3CL1,MAD2L2,ENPP2,PEBP1,RPS6KA6,HDAC4,STAT3,ERBB3,PDE5A,CTGF,ILK,TF,FGFR1,ADCYAP1,GREM1
GO Process	GO:0001932	Regulation of protein phosphorylation	14	1459	0.77	2.35e-05	9606.ENSP00000006053,9606.ENSP00000235310,9606.ENSP00000259486,9606.ENSP00000261313,9606.ENSP00000262752,9606.ENSP00000264657,9606.ENSP00000267101,9606.ENSP00000347046,9606.ENSP00000356954,9606.ENSP00000379975,9606.ENSP00000385834,9606.ENSP00000393312,9606.ENSP00000462647,9606.ENSP00000478319	CX3CL1,MAD2L2,ENPP2,PEBP1,RPS6KA6,STAT3,ERBB3,PDE5A,CTGF,ILK,TF,FGFR1,ADCYAP1,GREM1
