#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
PMID:30718751	(2019) 3-ketodihydrosphingosine reductase mutation induces steatosis and hepatic injury in zebrafish.	6	41	1.97	0.00039	9606.ENSP00000229239,9606.ENSP00000264867,9606.ENSP00000309757,9606.ENSP00000336790,9606.ENSP00000340409,9606.ENSP00000368646	GAPDH,PPARGC1A,LPL,ATF4,SMPD1,PRDX4
PMID:28515438	(2017) Mitochondrial retrograde signaling connects respiratory capacity to thermogenic gene expression.	5	26	2.08	0.0024	9606.ENSP00000229239,9606.ENSP00000263774,9606.ENSP00000264867,9606.ENSP00000265333,9606.ENSP00000440045	GAPDH,NDUFS3,PPARGC1A,VDAC1,ATP2A2
PMID:28725193	(2017) Annual Meeting of the International Society of Cancer Metabolism (ISCaM): Metabolic Networks in Cancer.	5	33	1.98	0.0046	9606.ENSP00000263980,9606.ENSP00000264867,9606.ENSP00000265333,9606.ENSP00000336790,9606.ENSP00000340409	SLC9A1,PPARGC1A,VDAC1,ATF4,SMPD1
PMID:26170166	(2015) The sulfiredoxin-peroxiredoxin (Srx-Prx) axis in cell signal transduction and cancer development.	5	34	1.97	0.0046	9606.ENSP00000229239,9606.ENSP00000264867,9606.ENSP00000301522,9606.ENSP00000362680,9606.ENSP00000368646	GAPDH,PPARGC1A,PRDX2,SRC,PRDX4
PMID:22977648	(2012) The role of hyperosmotic stress in inflammation and disease.	6	82	1.66	0.0046	9606.ENSP00000229239,9606.ENSP00000262158,9606.ENSP00000263980,9606.ENSP00000293599,9606.ENSP00000301522,9606.ENSP00000362680	GAPDH,SMAD7,SLC9A1,AQP5,PRDX2,SRC
PMID:31725201	(2020) Down-regulation of the mitochondrial i-AAA protease Yme1L induces muscle atrophy via FoxO3a and myostatin activation.	5	46	1.84	0.0062	9606.ENSP00000229239,9606.ENSP00000264867,9606.ENSP00000265333,9606.ENSP00000325421,9606.ENSP00000336790	GAPDH,PPARGC1A,VDAC1,PARL,ATF4
PMID:31901729	(2020) Peroxiredoxin-1 regulates lipid peroxidation in corneal endothelial cells.	4	15	2.23	0.0062	9606.ENSP00000229239,9606.ENSP00000261313,9606.ENSP00000301522,9606.ENSP00000368646	GAPDH,PEBP1,PRDX2,PRDX4
PMID:31922310	(2020) Recombinant adiponectin peptide promotes neuronal survival after intracerebral haemorrhage by suppressing mitochondrial and ATF4-CHOP apoptosis pathways in diabetic mice via Smad3 signalling inhibition.	4	13	2.29	0.0062	9606.ENSP00000229239,9606.ENSP00000264867,9606.ENSP00000265333,9606.ENSP00000336790	GAPDH,PPARGC1A,VDAC1,ATF4
PMID:32649211	(2020) Triple-Negative Breast Cancer Cells Exhibit Differential Sensitivity to Cardenolides from Calotropis gigantea.	4	14	2.26	0.0062	9606.ENSP00000229239,9606.ENSP00000262887,9606.ENSP00000362680,9606.ENSP00000440045	GAPDH,XRCC1,SRC,ATP2A2
PMID:30775969	(2019) Mitochondrial biogenesis is transcriptionally repressed in lysosomal lipid storage diseases.	5	44	1.86	0.0062	9606.ENSP00000229239,9606.ENSP00000263774,9606.ENSP00000264867,9606.ENSP00000265333,9606.ENSP00000340409	GAPDH,NDUFS3,PPARGC1A,VDAC1,SMPD1
PMID:30949583	(2019) Modulation of mtDNA copy number ameliorates the pathological consequences of a heteroplasmic mtDNA mutation in the mouse.	4	14	2.26	0.0062	9606.ENSP00000229239,9606.ENSP00000263774,9606.ENSP00000264867,9606.ENSP00000265333	GAPDH,NDUFS3,PPARGC1A,VDAC1
PMID:31185774	(2019) Glucose Metabolism in Cardiac Hypertrophy and Heart Failure.	5	43	1.87	0.0062	9606.ENSP00000229239,9606.ENSP00000264867,9606.ENSP00000265333,9606.ENSP00000336790,9606.ENSP00000440045	GAPDH,PPARGC1A,VDAC1,ATF4,ATP2A2
PMID:29132127	(2018) A functional connection between dyskerin and energy metabolism.	4	13	2.29	0.0062	9606.ENSP00000263774,9606.ENSP00000264867,9606.ENSP00000301522,9606.ENSP00000309757	NDUFS3,PPARGC1A,PRDX2,LPL
PMID:28637784	(2017) TNFR2 Stimulation Promotes Mitochondrial Fusion via Stat3- and NF-kB-Dependent Activation of OPA1 Expression.	4	16	2.2	0.0062	9606.ENSP00000229239,9606.ENSP00000264867,9606.ENSP00000265333,9606.ENSP00000362680	GAPDH,PPARGC1A,VDAC1,SRC
PMID:26633525	(2015) Models and Methods to Investigate Acute Stress Responses in Cattle.	4	16	2.2	0.0062	9606.ENSP00000264867,9606.ENSP00000309757,9606.ENSP00000336790,9606.ENSP00000362680	PPARGC1A,LPL,ATF4,SRC
PMID:23159614	(2013) CCAATenhancer binding protein beta deletion increases mitochondrial function and protects mice from LXR-induced hepatic steatosis.	4	12	2.32	0.0062	9606.ENSP00000229239,9606.ENSP00000263774,9606.ENSP00000264867,9606.ENSP00000309757	GAPDH,NDUFS3,PPARGC1A,LPL
PMID:19011685	(2008) Membrane potential controls adipogenic and osteogenic differentiation of mesenchymal stem cells.	4	12	2.32	0.0062	9606.ENSP00000229239,9606.ENSP00000263980,9606.ENSP00000309757,9606.ENSP00000362680	GAPDH,SLC9A1,LPL,SRC
PMID:32192442	(2020) MTHFR, XRCC1 and OGG1 genetic polymorphisms in breast cancer: a case-control study in a population from North Sardinia.	4	17	2.17	0.0068	9606.ENSP00000262887,9606.ENSP00000358513,9606.ENSP00000362680,9606.ENSP00000365777	XRCC1,CNR1,SRC,MTHFR
PMID:29954845	(2018) Interaction of the cryptic fragment of myelin basic protein with mitochondrial voltage-dependent anion-selective channel-1 affects cell energy metabolism.	4	17	2.17	0.0068	9606.ENSP00000229239,9606.ENSP00000265333,9606.ENSP00000309757,9606.ENSP00000362680	GAPDH,VDAC1,LPL,SRC
