#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0048519	Negative regulation of biological process	24	5389	0.45	0.00015	9606.ENSP00000229239,9606.ENSP00000235310,9606.ENSP00000261313,9606.ENSP00000262158,9606.ENSP00000262887,9606.ENSP00000263774,9606.ENSP00000263980,9606.ENSP00000264867,9606.ENSP00000265333,9606.ENSP00000283928,9606.ENSP00000301522,9606.ENSP00000309757,9606.ENSP00000325421,9606.ENSP00000336790,9606.ENSP00000340409,9606.ENSP00000358513,9606.ENSP00000358997,9606.ENSP00000362680,9606.ENSP00000365777,9606.ENSP00000368646,9606.ENSP00000370527,9606.ENSP00000436455,9606.ENSP00000440045,9606.ENSP00000440485	GAPDH,MAD2L2,PEBP1,SMAD7,XRCC1,NDUFS3,SLC9A1,PPARGC1A,VDAC1,JAZF1,PRDX2,LPL,PARL,ATF4,SMPD1,CNR1,IRAK1,SRC,MTHFR,PRDX4,RCAN1,NUCB2,ATP2A2,PSMD9
GO:0006950	Response to stress	19	3485	0.54	0.00037	9606.ENSP00000229239,9606.ENSP00000235310,9606.ENSP00000262158,9606.ENSP00000262887,9606.ENSP00000263980,9606.ENSP00000264867,9606.ENSP00000265333,9606.ENSP00000293599,9606.ENSP00000301522,9606.ENSP00000309757,9606.ENSP00000336790,9606.ENSP00000356832,9606.ENSP00000358997,9606.ENSP00000362680,9606.ENSP00000365777,9606.ENSP00000368646,9606.ENSP00000384262,9606.ENSP00000440045,9606.ENSP00000440485	GAPDH,MAD2L2,SMAD7,XRCC1,SLC9A1,PPARGC1A,VDAC1,AQP5,PRDX2,LPL,ATF4,SGK1,IRAK1,SRC,MTHFR,PRDX4,HPSE,ATP2A2,PSMD9
GO:0009628	Response to abiotic stimulus	12	1147	0.82	0.00037	9606.ENSP00000262887,9606.ENSP00000263980,9606.ENSP00000264867,9606.ENSP00000293599,9606.ENSP00000309757,9606.ENSP00000336790,9606.ENSP00000358997,9606.ENSP00000362680,9606.ENSP00000365777,9606.ENSP00000418525,9606.ENSP00000440045,9606.ENSP00000440485	XRCC1,SLC9A1,PPARGC1A,AQP5,LPL,ATF4,IRAK1,SRC,MTHFR,MME,ATP2A2,PSMD9
GO:0010646	Regulation of cell communication	19	3514	0.53	0.00037	9606.ENSP00000229239,9606.ENSP00000235310,9606.ENSP00000261313,9606.ENSP00000262158,9606.ENSP00000263774,9606.ENSP00000263980,9606.ENSP00000264867,9606.ENSP00000301522,9606.ENSP00000325421,9606.ENSP00000336790,9606.ENSP00000340409,9606.ENSP00000358513,9606.ENSP00000358997,9606.ENSP00000362680,9606.ENSP00000370527,9606.ENSP00000384262,9606.ENSP00000418525,9606.ENSP00000440045,9606.ENSP00000440485	GAPDH,MAD2L2,PEBP1,SMAD7,NDUFS3,SLC9A1,PPARGC1A,PRDX2,PARL,ATF4,SMPD1,CNR1,IRAK1,SRC,RCAN1,HPSE,MME,ATP2A2,PSMD9
GO:0023051	Regulation of signaling	19	3553	0.53	0.00037	9606.ENSP00000229239,9606.ENSP00000235310,9606.ENSP00000261313,9606.ENSP00000262158,9606.ENSP00000263774,9606.ENSP00000263980,9606.ENSP00000264867,9606.ENSP00000301522,9606.ENSP00000325421,9606.ENSP00000336790,9606.ENSP00000340409,9606.ENSP00000358513,9606.ENSP00000358997,9606.ENSP00000362680,9606.ENSP00000370527,9606.ENSP00000384262,9606.ENSP00000418525,9606.ENSP00000440045,9606.ENSP00000440485	GAPDH,MAD2L2,PEBP1,SMAD7,NDUFS3,SLC9A1,PPARGC1A,PRDX2,PARL,ATF4,SMPD1,CNR1,IRAK1,SRC,RCAN1,HPSE,MME,ATP2A2,PSMD9
GO:0036293	Response to decreased oxygen levels	8	354	1.15	0.00037	9606.ENSP00000262887,9606.ENSP00000263980,9606.ENSP00000264867,9606.ENSP00000336790,9606.ENSP00000358997,9606.ENSP00000362680,9606.ENSP00000365777,9606.ENSP00000440485	XRCC1,SLC9A1,PPARGC1A,ATF4,IRAK1,SRC,MTHFR,PSMD9
GO:0048523	Negative regulation of cellular process	22	4874	0.45	0.00037	9606.ENSP00000229239,9606.ENSP00000235310,9606.ENSP00000261313,9606.ENSP00000262158,9606.ENSP00000262887,9606.ENSP00000263774,9606.ENSP00000263980,9606.ENSP00000264867,9606.ENSP00000265333,9606.ENSP00000283928,9606.ENSP00000301522,9606.ENSP00000309757,9606.ENSP00000325421,9606.ENSP00000336790,9606.ENSP00000340409,9606.ENSP00000358513,9606.ENSP00000358997,9606.ENSP00000362680,9606.ENSP00000365777,9606.ENSP00000368646,9606.ENSP00000370527,9606.ENSP00000440485	GAPDH,MAD2L2,PEBP1,SMAD7,XRCC1,NDUFS3,SLC9A1,PPARGC1A,VDAC1,JAZF1,PRDX2,LPL,PARL,ATF4,SMPD1,CNR1,IRAK1,SRC,MTHFR,PRDX4,RCAN1,PSMD9
GO:0048583	Regulation of response to stimulus	20	4114	0.49	0.00037	9606.ENSP00000235310,9606.ENSP00000261313,9606.ENSP00000262158,9606.ENSP00000262887,9606.ENSP00000263774,9606.ENSP00000263980,9606.ENSP00000264867,9606.ENSP00000301522,9606.ENSP00000309757,9606.ENSP00000325421,9606.ENSP00000336790,9606.ENSP00000340409,9606.ENSP00000358513,9606.ENSP00000358997,9606.ENSP00000362680,9606.ENSP00000370527,9606.ENSP00000384262,9606.ENSP00000436455,9606.ENSP00000440045,9606.ENSP00000440485	MAD2L2,PEBP1,SMAD7,XRCC1,NDUFS3,SLC9A1,PPARGC1A,PRDX2,LPL,PARL,ATF4,SMPD1,CNR1,IRAK1,SRC,RCAN1,HPSE,NUCB2,ATP2A2,PSMD9
GO:0048585	Negative regulation of response to stimulus	14	1636	0.73	0.00037	9606.ENSP00000235310,9606.ENSP00000261313,9606.ENSP00000262158,9606.ENSP00000262887,9606.ENSP00000263774,9606.ENSP00000301522,9606.ENSP00000309757,9606.ENSP00000325421,9606.ENSP00000336790,9606.ENSP00000340409,9606.ENSP00000362680,9606.ENSP00000370527,9606.ENSP00000436455,9606.ENSP00000440485	MAD2L2,PEBP1,SMAD7,XRCC1,NDUFS3,PRDX2,LPL,PARL,ATF4,SMPD1,SRC,RCAN1,NUCB2,PSMD9
GO:0051240	Positive regulation of multicellular organismal process	14	1770	0.7	0.00037	9606.ENSP00000229239,9606.ENSP00000235310,9606.ENSP00000262158,9606.ENSP00000263980,9606.ENSP00000264867,9606.ENSP00000301522,9606.ENSP00000309757,9606.ENSP00000336790,9606.ENSP00000358513,9606.ENSP00000358997,9606.ENSP00000362680,9606.ENSP00000384262,9606.ENSP00000418525,9606.ENSP00000440045	GAPDH,MAD2L2,SMAD7,SLC9A1,PPARGC1A,PRDX2,LPL,ATF4,CNR1,IRAK1,SRC,HPSE,MME,ATP2A2
