#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
BTO:0000421	Connective tissue	11	871	0.9	0.00010	9606.ENSP00000227868,9606.ENSP00000229239,9606.ENSP00000261313,9606.ENSP00000263774,9606.ENSP00000265333,9606.ENSP00000301522,9606.ENSP00000309757,9606.ENSP00000336790,9606.ENSP00000340409,9606.ENSP00000368646,9606.ENSP00000384262	PDHX,GAPDH,PEBP1,NDUFS3,VDAC1,PRDX2,LPL,ATF4,SMPD1,PRDX4,HPSE
BTO:0004238	Interstitial cell	5	64	1.69	0.00010	9606.ENSP00000229239,9606.ENSP00000261313,9606.ENSP00000265333,9606.ENSP00000301522,9606.ENSP00000368646	GAPDH,PEBP1,VDAC1,PRDX2,PRDX4
BTO:0000759	Liver	14	1882	0.67	0.00021	9606.ENSP00000227868,9606.ENSP00000229239,9606.ENSP00000261313,9606.ENSP00000263774,9606.ENSP00000264867,9606.ENSP00000265333,9606.ENSP00000286621,9606.ENSP00000301522,9606.ENSP00000336790,9606.ENSP00000362680,9606.ENSP00000368646,9606.ENSP00000418525,9606.ENSP00000436455,9606.ENSP00000440045	PDHX,GAPDH,PEBP1,NDUFS3,PPARGC1A,VDAC1,ADK,PRDX2,ATF4,SRC,PRDX4,MME,NUCB2,ATP2A2
BTO:0000146	Brain stem	8	617	0.91	0.0020	9606.ENSP00000235310,9606.ENSP00000261313,9606.ENSP00000263774,9606.ENSP00000265333,9606.ENSP00000301522,9606.ENSP00000309757,9606.ENSP00000358513,9606.ENSP00000440045	MAD2L2,PEBP1,NDUFS3,VDAC1,PRDX2,LPL,CNR1,ATP2A2
BTO:0000203	Respiratory system	11	1436	0.68	0.0028	9606.ENSP00000229239,9606.ENSP00000261313,9606.ENSP00000262158,9606.ENSP00000265333,9606.ENSP00000293599,9606.ENSP00000301522,9606.ENSP00000309757,9606.ENSP00000336790,9606.ENSP00000362680,9606.ENSP00000365777,9606.ENSP00000370527	GAPDH,PEBP1,SMAD7,VDAC1,AQP5,PRDX2,LPL,ATF4,SRC,MTHFR,RCAN1
BTO:0000232	Cerebellum	7	474	0.97	0.0028	9606.ENSP00000235310,9606.ENSP00000261313,9606.ENSP00000263774,9606.ENSP00000265333,9606.ENSP00000301522,9606.ENSP00000309757,9606.ENSP00000440045	MAD2L2,PEBP1,NDUFS3,VDAC1,PRDX2,LPL,ATP2A2
BTO:0000763	Lung	10	1162	0.73	0.0028	9606.ENSP00000229239,9606.ENSP00000261313,9606.ENSP00000262158,9606.ENSP00000265333,9606.ENSP00000293599,9606.ENSP00000301522,9606.ENSP00000336790,9606.ENSP00000362680,9606.ENSP00000365777,9606.ENSP00000370527	GAPDH,PEBP1,SMAD7,VDAC1,AQP5,PRDX2,ATF4,SRC,MTHFR,RCAN1
BTO:0001078	Placenta	9	1176	0.68	0.0109	9606.ENSP00000229239,9606.ENSP00000261313,9606.ENSP00000262158,9606.ENSP00000263980,9606.ENSP00000309757,9606.ENSP00000336790,9606.ENSP00000358997,9606.ENSP00000384262,9606.ENSP00000418525	GAPDH,PEBP1,SMAD7,SLC9A1,LPL,ATF4,IRAK1,HPSE,MME
BTO:0001271	Leukemia cell	8	949	0.73	0.0140	9606.ENSP00000229239,9606.ENSP00000261313,9606.ENSP00000262887,9606.ENSP00000263980,9606.ENSP00000265333,9606.ENSP00000336790,9606.ENSP00000358997,9606.ENSP00000362680	GAPDH,PEBP1,XRCC1,SLC9A1,VDAC1,ATF4,IRAK1,SRC
BTO:0000132	Blood platelet	5	337	0.97	0.0250	9606.ENSP00000229239,9606.ENSP00000263980,9606.ENSP00000265333,9606.ENSP00000362680,9606.ENSP00000384262	GAPDH,SLC9A1,VDAC1,SRC,HPSE
BTO:0001489	Whole body	29	12619	0.16	0.0254	9606.ENSP00000227868,9606.ENSP00000229239,9606.ENSP00000235310,9606.ENSP00000261313,9606.ENSP00000262158,9606.ENSP00000262887,9606.ENSP00000263774,9606.ENSP00000263980,9606.ENSP00000264867,9606.ENSP00000265333,9606.ENSP00000283928,9606.ENSP00000286621,9606.ENSP00000293599,9606.ENSP00000301522,9606.ENSP00000309757,9606.ENSP00000336790,9606.ENSP00000340409,9606.ENSP00000356832,9606.ENSP00000358513,9606.ENSP00000358997,9606.ENSP00000362680,9606.ENSP00000365777,9606.ENSP00000368646,9606.ENSP00000370527,9606.ENSP00000384262,9606.ENSP00000418525,9606.ENSP00000436455,9606.ENSP00000440045,9606.ENSP00000440485	PDHX,GAPDH,MAD2L2,PEBP1,SMAD7,XRCC1,NDUFS3,SLC9A1,PPARGC1A,VDAC1,JAZF1,ADK,AQP5,PRDX2,LPL,ATF4,SMPD1,SGK1,CNR1,IRAK1,SRC,MTHFR,PRDX4,RCAN1,HPSE,MME,NUCB2,ATP2A2,PSMD9
BTO:0000744	Lymphocytic leukemia cell	5	361	0.94	0.0294	9606.ENSP00000229239,9606.ENSP00000262887,9606.ENSP00000263980,9606.ENSP00000336790,9606.ENSP00000362680	GAPDH,XRCC1,SLC9A1,ATF4,SRC
BTO:0003914	Interstitial cell of cajal	2	15	1.93	0.0343	9606.ENSP00000229239,9606.ENSP00000301522	GAPDH,PRDX2
BTO:0000058	Alimentary canal	10	1865	0.53	0.0403	9606.ENSP00000229239,9606.ENSP00000261313,9606.ENSP00000263774,9606.ENSP00000263980,9606.ENSP00000265333,9606.ENSP00000301522,9606.ENSP00000336790,9606.ENSP00000368646,9606.ENSP00000384262,9606.ENSP00000440045	GAPDH,PEBP1,NDUFS3,SLC9A1,VDAC1,PRDX2,ATF4,PRDX4,HPSE,ATP2A2
BTO:0000522	Gland	20	6602	0.28	0.0411	9606.ENSP00000227868,9606.ENSP00000229239,9606.ENSP00000261313,9606.ENSP00000263774,9606.ENSP00000263980,9606.ENSP00000264867,9606.ENSP00000265333,9606.ENSP00000283928,9606.ENSP00000286621,9606.ENSP00000293599,9606.ENSP00000301522,9606.ENSP00000336790,9606.ENSP00000340409,9606.ENSP00000362680,9606.ENSP00000365777,9606.ENSP00000368646,9606.ENSP00000370527,9606.ENSP00000418525,9606.ENSP00000436455,9606.ENSP00000440045	PDHX,GAPDH,PEBP1,NDUFS3,SLC9A1,PPARGC1A,VDAC1,JAZF1,ADK,AQP5,PRDX2,ATF4,SMPD1,SRC,MTHFR,PRDX4,RCAN1,MME,NUCB2,ATP2A2
BTO:0001488	Endocrine gland	19	6036	0.3	0.0411	9606.ENSP00000227868,9606.ENSP00000229239,9606.ENSP00000261313,9606.ENSP00000263774,9606.ENSP00000264867,9606.ENSP00000265333,9606.ENSP00000283928,9606.ENSP00000286621,9606.ENSP00000293599,9606.ENSP00000301522,9606.ENSP00000336790,9606.ENSP00000340409,9606.ENSP00000362680,9606.ENSP00000365777,9606.ENSP00000368646,9606.ENSP00000370527,9606.ENSP00000418525,9606.ENSP00000436455,9606.ENSP00000440045	PDHX,GAPDH,PEBP1,NDUFS3,PPARGC1A,VDAC1,JAZF1,ADK,AQP5,PRDX2,ATF4,SMPD1,SRC,MTHFR,PRDX4,RCAN1,MME,NUCB2,ATP2A2
BTO:0001491	Viscus	17	5020	0.33	0.0427	9606.ENSP00000227868,9606.ENSP00000229239,9606.ENSP00000261313,9606.ENSP00000262887,9606.ENSP00000263774,9606.ENSP00000263980,9606.ENSP00000264867,9606.ENSP00000265333,9606.ENSP00000286621,9606.ENSP00000301522,9606.ENSP00000336790,9606.ENSP00000362680,9606.ENSP00000368646,9606.ENSP00000384262,9606.ENSP00000418525,9606.ENSP00000436455,9606.ENSP00000440045	PDHX,GAPDH,PEBP1,XRCC1,NDUFS3,SLC9A1,PPARGC1A,VDAC1,ADK,PRDX2,ATF4,SRC,PRDX4,HPSE,MME,NUCB2,ATP2A2
