#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
hsa05330	Allograft rejection	3	34	1.84	0.0047	9606.ENSP00000359663,9606.ENSP00000361359,9606.ENSP00000379873	CD40LG,CD40,HLA-A
hsa05144	Malaria	3	46	1.71	0.0055	9606.ENSP00000359663,9606.ENSP00000361359,9606.ENSP00000401399	CD40LG,CD40,MYD88
hsa05320	Autoimmune thyroid disease	3	48	1.69	0.0055	9606.ENSP00000359663,9606.ENSP00000361359,9606.ENSP00000379873	CD40LG,CD40,HLA-A
hsa05416	Viral myocarditis	3	55	1.63	0.0055	9606.ENSP00000359663,9606.ENSP00000361359,9606.ENSP00000379873	CD40LG,CD40,HLA-A
hsa03320	PPAR signaling pathway	3	75	1.5	0.0088	9606.ENSP00000309757,9606.ENSP00000417138,9606.ENSP00000477707	LPL,PLTP,NR1H3
hsa04064	NF-kappa B signaling pathway	3	101	1.37	0.0172	9606.ENSP00000359663,9606.ENSP00000361359,9606.ENSP00000401399	CD40LG,CD40,MYD88
hsa05145	Toxoplasmosis	3	105	1.35	0.0172	9606.ENSP00000359663,9606.ENSP00000361359,9606.ENSP00000401399	CD40LG,CD40,MYD88
hsa05310	Asthma	2	27	1.76	0.0261	9606.ENSP00000359663,9606.ENSP00000361359	CD40LG,CD40
hsa04514	Cell adhesion molecules	3	137	1.23	0.0273	9606.ENSP00000359663,9606.ENSP00000361359,9606.ENSP00000379873	CD40LG,CD40,HLA-A
hsa05206	MicroRNAs in cancer	3	160	1.17	0.0378	9606.ENSP00000216862,9606.ENSP00000257430,9606.ENSP00000264606	CYP24A1,APC,HDAC4
hsa05340	Primary immunodeficiency	2	37	1.63	0.0378	9606.ENSP00000359663,9606.ENSP00000361359	CD40LG,CD40
hsa04672	Intestinal immune network for IgA production	2	43	1.56	0.0419	9606.ENSP00000359663,9606.ENSP00000361359	CD40LG,CD40
hsa04979	Cholesterol metabolism	2	48	1.51	0.0477	9606.ENSP00000309757,9606.ENSP00000417138	LPL,PLTP
hsa05169	Epstein-Barr virus infection	3	193	1.09	0.0477	9606.ENSP00000361359,9606.ENSP00000379873,9606.ENSP00000401399	CD40,HLA-A,MYD88
