#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
PMID:22065962	(2011) Enhancing the Clinical Potential of AAV Vectors by Capsid Engineering to Evade Pre-Existing Immunity.	4	12	2.42	0.0150	9606.ENSP00000309757,9606.ENSP00000359663,9606.ENSP00000361359,9606.ENSP00000401399	LPL,CD40LG,CD40,MYD88
PMID:23739610	(2013) Temporal induction of immunoregulatory processes coincides with age-dependent resistance to viral-induced type 1 diabetes.	5	63	1.79	0.0367	9606.ENSP00000293778,9606.ENSP00000319788,9606.ENSP00000361359,9606.ENSP00000362410,9606.ENSP00000401399	CXCL16,NQO1,CD40,MAFB,MYD88
PMID:19302038	(2009) Immune and inflammatory mechanisms of atherosclerosis (*).	6	133	1.55	0.0367	9606.ENSP00000293778,9606.ENSP00000359663,9606.ENSP00000361359,9606.ENSP00000401399,9606.ENSP00000451040,9606.ENSP00000477707	CXCL16,CD40LG,CD40,MYD88,PGF,NR1H3
PMID:15051515	(2004) Lipoprotein lipase protects bovine endothelial cells from human NK cytotoxic activity.	3	3	2.89	0.0367	9606.ENSP00000309757,9606.ENSP00000359663,9606.ENSP00000361359	LPL,CD40LG,CD40
PMID:25705263	(....) the mutual interplay of lipid metabolism and the cells of the immune system in relation to atherosclerosis.	5	70	1.75	0.0367	9606.ENSP00000309757,9606.ENSP00000359663,9606.ENSP00000361359,9606.ENSP00000401399,9606.ENSP00000417138	LPL,CD40LG,CD40,MYD88,PLTP
PMID:35434143	(2022) miR-155: An Important Role in Inflammation Response.	4	47	1.82	0.0427	9606.ENSP00000264606,9606.ENSP00000361359,9606.ENSP00000362410,9606.ENSP00000401399	HDAC4,CD40,MAFB,MYD88
PMID:33499808	(2021) Changes in inflammatory factors in the Brown Norway rat model of food allergy.	3	10	2.37	0.0427	9606.ENSP00000359663,9606.ENSP00000361359,9606.ENSP00000401399	CD40LG,CD40,MYD88
PMID:33732254	(2021) Phenotype, Susceptibility, Autoimmunity, and Immunotherapy Between Kawasaki Disease and Coronavirus Disease-19 Associated Multisystem Inflammatory Syndrome in Children.	4	45	1.84	0.0427	9606.ENSP00000359663,9606.ENSP00000361359,9606.ENSP00000379873,9606.ENSP00000401399	CD40LG,CD40,HLA-A,MYD88
PMID:33927727	(2021) T Cell-Mediated Immune Responses to AAV and AAV Vectors.	4	30	2.02	0.0427	9606.ENSP00000309757,9606.ENSP00000359663,9606.ENSP00000361359,9606.ENSP00000401399	LPL,CD40LG,CD40,MYD88
PMID:34623902	(2021) The expansion of human T-bet(high)CD21(low) B cells is T cell dependent.	3	8	2.47	0.0427	9606.ENSP00000359663,9606.ENSP00000361359,9606.ENSP00000401399	CD40LG,CD40,MYD88
PMID:34777364	(2021) Adeno-Associated Viruses (AAV) and Host Immunity - A Race Between the Hare and the Hedgehog.	4	38	1.92	0.0427	9606.ENSP00000309757,9606.ENSP00000359663,9606.ENSP00000361359,9606.ENSP00000401399	LPL,CD40LG,CD40,MYD88
PMID:34867973	(2021) Indoleamine 2, 3-Dioxygenase Promotes Aryl Hydrocarbon Receptor-Dependent Differentiation Of Regulatory B Cells in Lung Cancer.	4	47	1.82	0.0427	9606.ENSP00000359663,9606.ENSP00000361359,9606.ENSP00000401399,9606.ENSP00000451040	CD40LG,CD40,MYD88,PGF
PMID:35284430	(2021) TIMP-1: A Circulating Biomarker for Pulmonary Hypertension Diagnosis Among Chronic Obstructive Pulmonary Disease Patients.	4	49	1.81	0.0427	9606.ENSP00000293778,9606.ENSP00000359663,9606.ENSP00000361359,9606.ENSP00000451040	CXCL16,CD40LG,CD40,PGF
PMID:31836454	(2020) Adeno-associated viral vector-mediated immune responses: Understanding barriers to gene delivery.	4	34	1.96	0.0427	9606.ENSP00000309757,9606.ENSP00000359663,9606.ENSP00000361359,9606.ENSP00000401399	LPL,CD40LG,CD40,MYD88
PMID:31968213	(2020) Immune Responses to Viral Gene Therapy Vectors.	4	44	1.85	0.0427	9606.ENSP00000309757,9606.ENSP00000359663,9606.ENSP00000361359,9606.ENSP00000401399	LPL,CD40LG,CD40,MYD88
PMID:32395364	(2020) Vitamin D-Cathelicidin Axis: at the Crossroads between Protective Immunity and Pathological Inflammation during Infection.	4	35	1.95	0.0427	9606.ENSP00000216862,9606.ENSP00000302846,9606.ENSP00000359663,9606.ENSP00000361359	CYP24A1,PTGER4,CD40LG,CD40
PMID:32848759	(2020) NSAID-Exacerbated Respiratory Disease (NERD): From Pathogenesis to Improved Care.	4	34	1.96	0.0427	9606.ENSP00000302846,9606.ENSP00000359663,9606.ENSP00000361359,9606.ENSP00000369071	PTGER4,CD40LG,CD40,POSTN
