#category	term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO Process	GO:0010033	Response to organic substance	21	3011	0.74	7.81e-10	9606.ENSP00000216862,9606.ENSP00000226760,9606.ENSP00000253778,9606.ENSP00000257430,9606.ENSP00000264606,9606.ENSP00000274031,9606.ENSP00000293778,9606.ENSP00000302846,9606.ENSP00000303452,9606.ENSP00000309757,9606.ENSP00000319788,9606.ENSP00000334198,9606.ENSP00000343339,9606.ENSP00000359663,9606.ENSP00000361359,9606.ENSP00000369071,9606.ENSP00000379873,9606.ENSP00000383115,9606.ENSP00000401399,9606.ENSP00000451040,9606.ENSP00000477707	CYP24A1,WFS1,GFPT2,APC,HDAC4,SETD7,CXCL16,PTGER4,TRH,LPL,NQO1,CACNA1H,P2RX2,CD40LG,CD40,POSTN,HLA-A,COLEC12,MYD88,PGF,NR1H3
GO Process	GO:0070887	Cellular response to chemical stimulus	20	2919	0.73	5.01e-09	9606.ENSP00000216862,9606.ENSP00000226760,9606.ENSP00000253778,9606.ENSP00000257430,9606.ENSP00000264606,9606.ENSP00000293778,9606.ENSP00000302846,9606.ENSP00000303452,9606.ENSP00000309757,9606.ENSP00000319788,9606.ENSP00000334198,9606.ENSP00000343339,9606.ENSP00000359663,9606.ENSP00000361359,9606.ENSP00000369071,9606.ENSP00000379873,9606.ENSP00000383115,9606.ENSP00000401399,9606.ENSP00000451040,9606.ENSP00000477707	CYP24A1,WFS1,GFPT2,APC,HDAC4,CXCL16,PTGER4,TRH,LPL,NQO1,CACNA1H,P2RX2,CD40LG,CD40,POSTN,HLA-A,COLEC12,MYD88,PGF,NR1H3
GO Process	GO:0071310	Cellular response to organic substance	17	2369	0.75	3.88e-07	9606.ENSP00000216862,9606.ENSP00000226760,9606.ENSP00000253778,9606.ENSP00000257430,9606.ENSP00000264606,9606.ENSP00000302846,9606.ENSP00000303452,9606.ENSP00000309757,9606.ENSP00000334198,9606.ENSP00000359663,9606.ENSP00000361359,9606.ENSP00000369071,9606.ENSP00000379873,9606.ENSP00000383115,9606.ENSP00000401399,9606.ENSP00000451040,9606.ENSP00000477707	CYP24A1,WFS1,GFPT2,APC,HDAC4,PTGER4,TRH,LPL,CACNA1H,CD40LG,CD40,POSTN,HLA-A,COLEC12,MYD88,PGF,NR1H3
GO Process	GO:0051716	Cellular response to stimulus	22	6489	0.42	5.49e-05	9606.ENSP00000216862,9606.ENSP00000226760,9606.ENSP00000253778,9606.ENSP00000257430,9606.ENSP00000264606,9606.ENSP00000274031,9606.ENSP00000293778,9606.ENSP00000302846,9606.ENSP00000303452,9606.ENSP00000309757,9606.ENSP00000319788,9606.ENSP00000334198,9606.ENSP00000343339,9606.ENSP00000359663,9606.ENSP00000361359,9606.ENSP00000369071,9606.ENSP00000379873,9606.ENSP00000383115,9606.ENSP00000401399,9606.ENSP00000402515,9606.ENSP00000451040,9606.ENSP00000477707	CYP24A1,WFS1,GFPT2,APC,HDAC4,SETD7,CXCL16,PTGER4,TRH,LPL,NQO1,CACNA1H,P2RX2,CD40LG,CD40,POSTN,HLA-A,COLEC12,MYD88,SMG1,PGF,NR1H3
GO Process	GO:0006950	Response to stress	17	3485	0.58	0.00010	9606.ENSP00000226760,9606.ENSP00000257430,9606.ENSP00000264606,9606.ENSP00000274031,9606.ENSP00000293778,9606.ENSP00000302846,9606.ENSP00000309757,9606.ENSP00000319788,9606.ENSP00000343339,9606.ENSP00000359663,9606.ENSP00000361359,9606.ENSP00000369071,9606.ENSP00000379873,9606.ENSP00000383115,9606.ENSP00000401399,9606.ENSP00000402515,9606.ENSP00000451040	WFS1,APC,HDAC4,SETD7,CXCL16,PTGER4,LPL,NQO1,P2RX2,CD40LG,CD40,POSTN,HLA-A,COLEC12,MYD88,SMG1,PGF
GO Process	GO:0048518	Positive regulation of biological process	21	6112	0.43	0.00014	9606.ENSP00000226760,9606.ENSP00000257430,9606.ENSP00000264606,9606.ENSP00000274031,9606.ENSP00000293778,9606.ENSP00000302846,9606.ENSP00000303452,9606.ENSP00000309757,9606.ENSP00000319788,9606.ENSP00000334198,9606.ENSP00000343339,9606.ENSP00000359663,9606.ENSP00000361359,9606.ENSP00000362410,9606.ENSP00000369071,9606.ENSP00000379873,9606.ENSP00000383115,9606.ENSP00000401399,9606.ENSP00000417138,9606.ENSP00000451040,9606.ENSP00000477707	WFS1,APC,HDAC4,SETD7,CXCL16,PTGER4,TRH,LPL,NQO1,CACNA1H,P2RX2,CD40LG,CD40,MAFB,POSTN,HLA-A,COLEC12,MYD88,PLTP,PGF,NR1H3
GO Process	GO:0071496	Cellular response to external stimulus	7	309	1.25	0.00016	9606.ENSP00000216862,9606.ENSP00000264606,9606.ENSP00000302846,9606.ENSP00000309757,9606.ENSP00000361359,9606.ENSP00000369071,9606.ENSP00000401399	CYP24A1,HDAC4,PTGER4,LPL,CD40,POSTN,MYD88
GO Process	GO:0032879	Regulation of localization	15	2740	0.63	0.00018	9606.ENSP00000226760,9606.ENSP00000257430,9606.ENSP00000264606,9606.ENSP00000293778,9606.ENSP00000302846,9606.ENSP00000303452,9606.ENSP00000309757,9606.ENSP00000334198,9606.ENSP00000343339,9606.ENSP00000359663,9606.ENSP00000361359,9606.ENSP00000369071,9606.ENSP00000417138,9606.ENSP00000451040,9606.ENSP00000477707	WFS1,APC,HDAC4,CXCL16,PTGER4,TRH,LPL,CACNA1H,P2RX2,CD40LG,CD40,POSTN,PLTP,PGF,NR1H3
GO Process	GO:0048522	Positive regulation of cellular process	20	5579	0.45	0.00018	9606.ENSP00000226760,9606.ENSP00000257430,9606.ENSP00000264606,9606.ENSP00000274031,9606.ENSP00000293778,9606.ENSP00000302846,9606.ENSP00000303452,9606.ENSP00000309757,9606.ENSP00000319788,9606.ENSP00000334198,9606.ENSP00000343339,9606.ENSP00000359663,9606.ENSP00000361359,9606.ENSP00000362410,9606.ENSP00000369071,9606.ENSP00000379873,9606.ENSP00000383115,9606.ENSP00000401399,9606.ENSP00000451040,9606.ENSP00000477707	WFS1,APC,HDAC4,SETD7,CXCL16,PTGER4,TRH,LPL,NQO1,CACNA1H,P2RX2,CD40LG,CD40,MAFB,POSTN,HLA-A,COLEC12,MYD88,PGF,NR1H3
GO Process	GO:1901700	Response to oxygen-containing compound	12	1567	0.78	0.00018	9606.ENSP00000216862,9606.ENSP00000257430,9606.ENSP00000274031,9606.ENSP00000302846,9606.ENSP00000309757,9606.ENSP00000319788,9606.ENSP00000343339,9606.ENSP00000361359,9606.ENSP00000369071,9606.ENSP00000383115,9606.ENSP00000401399,9606.ENSP00000477707	CYP24A1,APC,SETD7,PTGER4,LPL,NQO1,P2RX2,CD40,POSTN,COLEC12,MYD88,NR1H3
