#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
hsa04150	mTOR signaling pathway	5	151	1.45	0.00030	9606.ENSP00000215832,9606.ENSP00000262752,9606.ENSP00000324856,9606.ENSP00000344220,9606.ENSP00000361021	MAPK1,RPS6KA6,STK11,PDPK1,PTEN
hsa04931	Insulin resistance	4	107	1.5	0.0013	9606.ENSP00000262752,9606.ENSP00000344220,9606.ENSP00000349860,9606.ENSP00000361021	RPS6KA6,PDPK1,GFPT1,PTEN
hsa04068	FoxO signaling pathway	4	127	1.43	0.0014	9606.ENSP00000215832,9606.ENSP00000324856,9606.ENSP00000344220,9606.ENSP00000361021	MAPK1,STK11,PDPK1,PTEN
hsa04140	Autophagy - animal	4	130	1.42	0.0014	9606.ENSP00000215832,9606.ENSP00000324856,9606.ENSP00000344220,9606.ENSP00000361021	MAPK1,STK11,PDPK1,PTEN
hsa04152	AMPK signaling pathway	4	120	1.45	0.0014	9606.ENSP00000304592,9606.ENSP00000324856,9606.ENSP00000344220,9606.ENSP00000389814	FASN,STK11,PDPK1,ADIPOQ
hsa04960	Aldosterone-regulated sodium reabsorption	3	37	1.84	0.0014	9606.ENSP00000215832,9606.ENSP00000344220,9606.ENSP00000383199	MAPK1,PDPK1,NEDD4L
hsa05213	Endometrial cancer	3	57	1.65	0.0022	9606.ENSP00000215832,9606.ENSP00000344220,9606.ENSP00000361021	MAPK1,PDPK1,PTEN
hsa03320	PPAR signaling pathway	3	75	1.53	0.0043	9606.ENSP00000300055,9606.ENSP00000344220,9606.ENSP00000389814	PLIN1,PDPK1,ADIPOQ
hsa05215	Prostate cancer	3	96	1.42	0.0077	9606.ENSP00000215832,9606.ENSP00000344220,9606.ENSP00000361021	MAPK1,PDPK1,PTEN
hsa04071	Sphingolipid signaling pathway	3	116	1.34	0.0113	9606.ENSP00000215832,9606.ENSP00000344220,9606.ENSP00000361021	MAPK1,PDPK1,PTEN
hsa04722	Neurotrophin signaling pathway	3	114	1.35	0.0113	9606.ENSP00000215832,9606.ENSP00000262752,9606.ENSP00000344220	MAPK1,RPS6KA6,PDPK1
hsa04910	Insulin signaling pathway	3	133	1.28	0.0147	9606.ENSP00000215832,9606.ENSP00000304592,9606.ENSP00000344220	MAPK1,FASN,PDPK1
hsa04151	PI3K-Akt signaling pathway	4	350	0.99	0.0183	9606.ENSP00000215832,9606.ENSP00000324856,9606.ENSP00000344220,9606.ENSP00000361021	MAPK1,STK11,PDPK1,PTEN
hsa04930	Type II diabetes mellitus	2	46	1.57	0.0345	9606.ENSP00000215832,9606.ENSP00000389814	MAPK1,ADIPOQ
hsa04510	Focal adhesion	3	198	1.11	0.0363	9606.ENSP00000215832,9606.ENSP00000344220,9606.ENSP00000361021	MAPK1,PDPK1,PTEN
