#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
PMID:33329391	(2020) Oncology and Pharmacogenomics Insights in Polycystic Ovary Syndrome: An Integrative Analysis.	7	127	1.67	0.00054	9606.ENSP00000215832,9606.ENSP00000300055,9606.ENSP00000324856,9606.ENSP00000361021,9606.ENSP00000365777,9606.ENSP00000375844,9606.ENSP00000389814	MAPK1,PLIN1,STK11,PTEN,MTHFR,CAPN10,ADIPOQ
PMID:32457651	(2020) The Role of Peptide Hormones in Insect Lipid Metabolism.	5	31	2.14	0.0010	9606.ENSP00000215832,9606.ENSP00000300055,9606.ENSP00000324856,9606.ENSP00000361021,9606.ENSP00000389814	MAPK1,PLIN1,STK11,PTEN,ADIPOQ
PMID:34715621	(2022) Prediction of unfavourable response to checkpoint blockade in lung cancer patients through an integrated tumour-immune expression score.	4	13	2.42	0.0039	9606.ENSP00000324856,9606.ENSP00000344220,9606.ENSP00000354901,9606.ENSP00000361021	STK11,PDPK1,CXCL9,PTEN
PMID:30072418	(2019) Oncogenic kinases and perturbations in protein synthesis machinery and energetics in neoplasia.	6	116	1.64	0.0039	9606.ENSP00000215832,9606.ENSP00000304592,9606.ENSP00000324856,9606.ENSP00000344220,9606.ENSP00000361021,9606.ENSP00000377532	MAPK1,FASN,STK11,PDPK1,PTEN,PC
PMID:24651542	(2014) Metabolic requirements for the maintenance of self-renewing stem cells.	5	54	1.9	0.0039	9606.ENSP00000304592,9606.ENSP00000324856,9606.ENSP00000344220,9606.ENSP00000361021,9606.ENSP00000377532	FASN,STK11,PDPK1,PTEN,PC
PMID:24267432	(2013) Genetic epidemiology of type 2 diabetes and cardiovascular diseases in Africa.	5	49	1.94	0.0039	9606.ENSP00000334198,9606.ENSP00000335074,9606.ENSP00000361021,9606.ENSP00000375844,9606.ENSP00000389814	CACNA1H,GHRL,PTEN,CAPN10,ADIPOQ
PMID:19245654	(2009) LKB1 and AMP-activated protein kinase control of mTOR signalling and growth.	5	45	1.98	0.0039	9606.ENSP00000304592,9606.ENSP00000324856,9606.ENSP00000335074,9606.ENSP00000361021,9606.ENSP00000389814	FASN,STK11,GHRL,PTEN,ADIPOQ
PMID:33353230	(2020) Effects of Caffeine and Chlorogenic Acid on Nonalcoholic Steatohepatitis in Mice Induced by Choline-Deficient, L-Amino Acid-Defined, High-Fat Diet.	4	17	2.3	0.0043	9606.ENSP00000304592,9606.ENSP00000361021,9606.ENSP00000377532,9606.ENSP00000389814	FASN,PTEN,PC,ADIPOQ
PMID:30208162	(2018) Metformin and blood cancers.	4	18	2.28	0.0046	9606.ENSP00000304592,9606.ENSP00000324856,9606.ENSP00000361021,9606.ENSP00000389814	FASN,STK11,PTEN,ADIPOQ
PMID:29145449	(2017) Estimation of the proteomic cancer co-expression sub networks by using association estimators.	5	59	1.86	0.0046	9606.ENSP00000215832,9606.ENSP00000304592,9606.ENSP00000324856,9606.ENSP00000344220,9606.ENSP00000361021	MAPK1,FASN,STK11,PDPK1,PTEN
PMID:25264328	(2014) Obesity and cancer: at the crossroads of cellular metabolism and proliferation.	4	19	2.25	0.0046	9606.ENSP00000324856,9606.ENSP00000335074,9606.ENSP00000361021,9606.ENSP00000389814	STK11,GHRL,PTEN,ADIPOQ
PMID:35409415	(2022) 1,2,3,4,6-Penta-O-galloyl-d-glucose Interrupts the Early Adipocyte Lifecycle and Attenuates Adiposity and Hepatic Steatosis in Mice with Diet-Induced Obesity.	4	20	2.23	0.0051	9606.ENSP00000300055,9606.ENSP00000304592,9606.ENSP00000335074,9606.ENSP00000389814	PLIN1,FASN,GHRL,ADIPOQ
PMID:23801715	(2013) AMPK: a target for drugs and natural products with effects on both diabetes and cancer.	4	20	2.23	0.0051	9606.ENSP00000324856,9606.ENSP00000335074,9606.ENSP00000361021,9606.ENSP00000389814	STK11,GHRL,PTEN,ADIPOQ
PMID:20423984	(2010) New strategies in prostate cancer: targeting lipogenic pathways and the energy sensor AMPK.	4	20	2.23	0.0051	9606.ENSP00000304592,9606.ENSP00000324856,9606.ENSP00000361021,9606.ENSP00000389814	FASN,STK11,PTEN,ADIPOQ
PMID:19799964	(2010) Hexosamine flux, the O-GlcNAc modification, and the development of insulin resistance in adipocytes.	4	23	2.17	0.0067	9606.ENSP00000349860,9606.ENSP00000361021,9606.ENSP00000375844,9606.ENSP00000389814	GFPT1,PTEN,CAPN10,ADIPOQ
PMID:32331274	(2020) AQP3 Facilitates Proliferation and Adipogenic Differentiation of Porcine Intramuscular Adipocytes.	4	24	2.15	0.0073	9606.ENSP00000293599,9606.ENSP00000300055,9606.ENSP00000304592,9606.ENSP00000389814	AQP5,PLIN1,FASN,ADIPOQ
PMID:32180558	(2020) Mechanisms of insulin resistance related to white, beige, and brown adipocytes.	4	25	2.13	0.0080	9606.ENSP00000304592,9606.ENSP00000361021,9606.ENSP00000377532,9606.ENSP00000389814	FASN,PTEN,PC,ADIPOQ
PMID:33096023	(2020) Predicting Drug Response and Synergy Using a Deep Learning Model of Human Cancer Cells.	4	25	2.13	0.0080	9606.ENSP00000215832,9606.ENSP00000262752,9606.ENSP00000324856,9606.ENSP00000361021	MAPK1,RPS6KA6,STK11,PTEN
PMID:27441691	(2016) Digital Cushion Fatty Acid Composition and Lipid Metabolism Gene Network Expression in Holstein Dairy Cows Fed a High-Energy Diet.	4	26	2.12	0.0080	9606.ENSP00000300055,9606.ENSP00000304592,9606.ENSP00000344220,9606.ENSP00000389814	PLIN1,FASN,PDPK1,ADIPOQ
PMID:18798311	(2009) Beyond AICA riboside: in search of new specific AMP-activated protein kinase activators.	4	25	2.13	0.0080	9606.ENSP00000324856,9606.ENSP00000335074,9606.ENSP00000361021,9606.ENSP00000389814	STK11,GHRL,PTEN,ADIPOQ
PMID:28194257	(2017) Is p53 Involved in Tissue-Specific Insulin Resistance Formation?	5	80	1.73	0.0083	9606.ENSP00000304592,9606.ENSP00000324856,9606.ENSP00000335074,9606.ENSP00000361021,9606.ENSP00000377532	FASN,STK11,GHRL,PTEN,PC
PMID:29098064	(2017) Erratum to Is p53 Involved in Tissue-Specific Insulin Resistance Formation?	5	80	1.73	0.0083	9606.ENSP00000304592,9606.ENSP00000324856,9606.ENSP00000335074,9606.ENSP00000361021,9606.ENSP00000377532	FASN,STK11,GHRL,PTEN,PC
PMID:23819063	(2013) The role of chronic inflammation in obesity-associated cancers.	5	80	1.73	0.0083	9606.ENSP00000215832,9606.ENSP00000300055,9606.ENSP00000361021,9606.ENSP00000389814,9606.ENSP00000480150	MAPK1,PLIN1,PTEN,ADIPOQ,HYOU1
PMID:21125681	(2011) Metabolic alterations and targeted therapies in prostate cancer.	4	29	2.07	0.0097	9606.ENSP00000304592,9606.ENSP00000324856,9606.ENSP00000361021,9606.ENSP00000389814	FASN,STK11,PTEN,ADIPOQ
PMID:20937021	(2010) Defining the molecular nexus of cancer, type 2 diabetes and cardiovascular disease.	4	29	2.07	0.0097	9606.ENSP00000304592,9606.ENSP00000324856,9606.ENSP00000361021,9606.ENSP00000389814	FASN,STK11,PTEN,ADIPOQ
PMID:19347029	(2009) Inactivation of AMPK alters gene expression and promotes growth of prostate cancer cells.	4	30	2.05	0.0102	9606.ENSP00000304592,9606.ENSP00000324856,9606.ENSP00000361021,9606.ENSP00000389814	FASN,STK11,PTEN,ADIPOQ
PMID:32244756	(2020) Cell Intrinsic and Systemic Metabolism in Tumor Immunity and Immunotherapy.	5	90	1.67	0.0113	9606.ENSP00000304592,9606.ENSP00000324856,9606.ENSP00000361021,9606.ENSP00000377532,9606.ENSP00000389814	FASN,STK11,PTEN,PC,ADIPOQ
