#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0060341	Regulation of cellular localization	10	1027	0.92	0.0013	9606.ENSP00000215832,9606.ENSP00000324856,9606.ENSP00000335074,9606.ENSP00000344220,9606.ENSP00000354901,9606.ENSP00000361021,9606.ENSP00000375844,9606.ENSP00000383199,9606.ENSP00000389814,9606.ENSP00000429562	MAPK1,STK11,GHRL,PDPK1,CXCL9,PTEN,CAPN10,NEDD4L,ADIPOQ,UNC13A
GO:0051050	Positive regulation of transport	9	923	0.92	0.0035	9606.ENSP00000215832,9606.ENSP00000334198,9606.ENSP00000335074,9606.ENSP00000344220,9606.ENSP00000354901,9606.ENSP00000375844,9606.ENSP00000383199,9606.ENSP00000389814,9606.ENSP00000429562	MAPK1,CACNA1H,GHRL,PDPK1,CXCL9,CAPN10,NEDD4L,ADIPOQ,UNC13A
GO:0070887	Cellular response to chemical stimulus	14	2919	0.61	0.0035	9606.ENSP00000215832,9606.ENSP00000253159,9606.ENSP00000293599,9606.ENSP00000304592,9606.ENSP00000334198,9606.ENSP00000335074,9606.ENSP00000344220,9606.ENSP00000349860,9606.ENSP00000354901,9606.ENSP00000356729,9606.ENSP00000361021,9606.ENSP00000375844,9606.ENSP00000389814,9606.ENSP00000480150	MAPK1,ZNF236,AQP5,FASN,CACNA1H,GHRL,PDPK1,GFPT1,CXCL9,FMO3,PTEN,CAPN10,ADIPOQ,HYOU1
GO:0042221	Response to chemical	16	4333	0.5	0.0053	9606.ENSP00000215832,9606.ENSP00000253159,9606.ENSP00000293599,9606.ENSP00000304592,9606.ENSP00000334198,9606.ENSP00000335074,9606.ENSP00000344220,9606.ENSP00000349860,9606.ENSP00000354901,9606.ENSP00000356729,9606.ENSP00000361021,9606.ENSP00000365777,9606.ENSP00000375844,9606.ENSP00000383199,9606.ENSP00000389814,9606.ENSP00000480150	MAPK1,ZNF236,AQP5,FASN,CACNA1H,GHRL,PDPK1,GFPT1,CXCL9,FMO3,PTEN,MTHFR,CAPN10,NEDD4L,ADIPOQ,HYOU1
GO:0034762	Regulation of transmembrane transport	7	560	1.03	0.0069	9606.ENSP00000334198,9606.ENSP00000344220,9606.ENSP00000354901,9606.ENSP00000361021,9606.ENSP00000375844,9606.ENSP00000383199,9606.ENSP00000389814	CACNA1H,PDPK1,CXCL9,PTEN,CAPN10,NEDD4L,ADIPOQ
GO:0071310	Cellular response to organic substance	12	2369	0.63	0.0080	9606.ENSP00000215832,9606.ENSP00000253159,9606.ENSP00000304592,9606.ENSP00000334198,9606.ENSP00000335074,9606.ENSP00000344220,9606.ENSP00000349860,9606.ENSP00000354901,9606.ENSP00000361021,9606.ENSP00000375844,9606.ENSP00000389814,9606.ENSP00000480150	MAPK1,ZNF236,FASN,CACNA1H,GHRL,PDPK1,GFPT1,CXCL9,PTEN,CAPN10,ADIPOQ,HYOU1
GO:0010033	Response to organic substance	13	3011	0.57	0.0125	9606.ENSP00000215832,9606.ENSP00000253159,9606.ENSP00000304592,9606.ENSP00000334198,9606.ENSP00000335074,9606.ENSP00000344220,9606.ENSP00000349860,9606.ENSP00000354901,9606.ENSP00000361021,9606.ENSP00000365777,9606.ENSP00000375844,9606.ENSP00000389814,9606.ENSP00000480150	MAPK1,ZNF236,FASN,CACNA1H,GHRL,PDPK1,GFPT1,CXCL9,PTEN,MTHFR,CAPN10,ADIPOQ,HYOU1
GO:0050896	Response to stimulus	20	8046	0.33	0.0125	9606.ENSP00000215832,9606.ENSP00000253159,9606.ENSP00000262752,9606.ENSP00000293599,9606.ENSP00000304592,9606.ENSP00000324856,9606.ENSP00000334198,9606.ENSP00000335074,9606.ENSP00000344220,9606.ENSP00000349860,9606.ENSP00000354901,9606.ENSP00000356729,9606.ENSP00000361021,9606.ENSP00000365777,9606.ENSP00000375844,9606.ENSP00000383199,9606.ENSP00000389814,9606.ENSP00000429562,9606.ENSP00000436455,9606.ENSP00000480150	MAPK1,ZNF236,RPS6KA6,AQP5,FASN,STK11,CACNA1H,GHRL,PDPK1,GFPT1,CXCL9,FMO3,PTEN,MTHFR,CAPN10,NEDD4L,ADIPOQ,UNC13A,NUCB2,HYOU1
GO:0051716	Cellular response to stimulus	18	6489	0.37	0.0175	9606.ENSP00000215832,9606.ENSP00000253159,9606.ENSP00000262752,9606.ENSP00000293599,9606.ENSP00000304592,9606.ENSP00000324856,9606.ENSP00000334198,9606.ENSP00000335074,9606.ENSP00000344220,9606.ENSP00000349860,9606.ENSP00000354901,9606.ENSP00000356729,9606.ENSP00000361021,9606.ENSP00000375844,9606.ENSP00000389814,9606.ENSP00000429562,9606.ENSP00000436455,9606.ENSP00000480150	MAPK1,ZNF236,RPS6KA6,AQP5,FASN,STK11,CACNA1H,GHRL,PDPK1,GFPT1,CXCL9,FMO3,PTEN,CAPN10,ADIPOQ,UNC13A,NUCB2,HYOU1
GO:0051049	Regulation of transport	10	1776	0.68	0.0187	9606.ENSP00000215832,9606.ENSP00000334198,9606.ENSP00000335074,9606.ENSP00000344220,9606.ENSP00000354901,9606.ENSP00000361021,9606.ENSP00000375844,9606.ENSP00000383199,9606.ENSP00000389814,9606.ENSP00000429562	MAPK1,CACNA1H,GHRL,PDPK1,CXCL9,PTEN,CAPN10,NEDD4L,ADIPOQ,UNC13A
