#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
WP3915	Angiopoietin-like protein 8 regulatory pathway	4	130	1.42	0.0114	9606.ENSP00000215832,9606.ENSP00000262752,9606.ENSP00000304592,9606.ENSP00000344220	MAPK1,RPS6KA6,FASN,PDPK1
WP481	Insulin signaling	4	159	1.33	0.0123	9606.ENSP00000215832,9606.ENSP00000262752,9606.ENSP00000344220,9606.ENSP00000361021	MAPK1,RPS6KA6,PDPK1,PTEN
WP1403	AMP-activated protein kinase (AMPK) signaling	3	68	1.57	0.0139	9606.ENSP00000304592,9606.ENSP00000324856,9606.ENSP00000389814	FASN,STK11,ADIPOQ
WP185	Integrin-mediated cell adhesion	3	100	1.41	0.0139	9606.ENSP00000215832,9606.ENSP00000344220,9606.ENSP00000375844	MAPK1,PDPK1,CAPN10
WP2261	Glioblastoma signaling pathways	3	82	1.49	0.0139	9606.ENSP00000215832,9606.ENSP00000344220,9606.ENSP00000361021	MAPK1,PDPK1,PTEN
WP3594	Circadian rhythm genes	4	199	1.23	0.0139	9606.ENSP00000335074,9606.ENSP00000349860,9606.ENSP00000361021,9606.ENSP00000389814	GHRL,GFPT1,PTEN,ADIPOQ
WP3942	PPAR signaling pathway	3	67	1.58	0.0139	9606.ENSP00000300055,9606.ENSP00000344220,9606.ENSP00000389814	PLIN1,PDPK1,ADIPOQ
WP4155	Endometrial cancer	3	63	1.61	0.0139	9606.ENSP00000215832,9606.ENSP00000344220,9606.ENSP00000361021	MAPK1,PDPK1,PTEN
WP4674	Head and neck squamous cell carcinoma	3	72	1.55	0.0139	9606.ENSP00000324856,9606.ENSP00000344220,9606.ENSP00000361021	STK11,PDPK1,PTEN
WP4746	Thyroid hormones production and peripheral downstream signaling effects	3	94	1.43	0.0139	9606.ENSP00000215832,9606.ENSP00000262752,9606.ENSP00000300055	MAPK1,RPS6KA6,PLIN1
WP4806	EGFR tyrosine kinase inhibitor resistance	3	83	1.49	0.0139	9606.ENSP00000215832,9606.ENSP00000344220,9606.ENSP00000361021	MAPK1,PDPK1,PTEN
WP5098	T-cell activation SARS-CoV-2	3	86	1.47	0.0139	9606.ENSP00000215832,9606.ENSP00000344220,9606.ENSP00000361021	MAPK1,PDPK1,PTEN
WP1584	Type II diabetes mellitus	2	22	1.89	0.0187	9606.ENSP00000215832,9606.ENSP00000389814	MAPK1,ADIPOQ
WP357	Fatty acid biosynthesis	2	22	1.89	0.0187	9606.ENSP00000304592,9606.ENSP00000377532	FASN,PC
WP3932	Focal adhesion: PI3K-Akt-mTOR-signaling pathway	4	302	1.05	0.0187	9606.ENSP00000215832,9606.ENSP00000324856,9606.ENSP00000344220,9606.ENSP00000361021	MAPK1,STK11,PDPK1,PTEN
WP3965	Lipid metabolism pathway	2	29	1.77	0.0255	9606.ENSP00000300055,9606.ENSP00000304592	PLIN1,FASN
WP4172	PI3K-Akt signaling pathway	4	336	1.01	0.0255	9606.ENSP00000215832,9606.ENSP00000324856,9606.ENSP00000344220,9606.ENSP00000361021	MAPK1,STK11,PDPK1,PTEN
WP1984	Integrated breast cancer pathway	3	151	1.23	0.0283	9606.ENSP00000215832,9606.ENSP00000324856,9606.ENSP00000361021	MAPK1,STK11,PTEN
WP313	Hepatocyte growth factor receptor signaling	2	34	1.7	0.0289	9606.ENSP00000215832,9606.ENSP00000361021	MAPK1,PTEN
WP437	EGF/EGFR signaling pathway	3	162	1.2	0.0311	9606.ENSP00000215832,9606.ENSP00000344220,9606.ENSP00000361021	MAPK1,PDPK1,PTEN
WP2332	Interleukin-11 signaling pathway	2	44	1.59	0.0427	9606.ENSP00000215832,9606.ENSP00000344220	MAPK1,PDPK1
WP306	Focal adhesion	3	196	1.11	0.0485	9606.ENSP00000215832,9606.ENSP00000344220,9606.ENSP00000361021	MAPK1,PDPK1,PTEN
WP4539	Synaptic signaling pathways associated with autism spectrum disorder	2	49	1.54	0.0485	9606.ENSP00000215832,9606.ENSP00000361021	MAPK1,PTEN
