#category	term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO Process	GO:0032501	Multicellular organismal process	14	6933	0.42	0.0160	9606.ENSP00000254722,9606.ENSP00000257430,9606.ENSP00000265362,9606.ENSP00000267484,9606.ENSP00000295951,9606.ENSP00000305651,9606.ENSP00000358525,9606.ENSP00000359077,9606.ENSP00000371067,9606.ENSP00000379256,9606.ENSP00000423917,9606.ENSP00000437737,9606.ENSP00000440045,9606.ENSP00000447173	SERPINF1,APC,SEMA3A,RTN1,SLMAP,CXCL10,NGF,L1CAM,JAK2,NCALD,NPY5R,HTR2A,ATP2A2,VDR
GO Process	GO:0045595	Regulation of cell differentiation	9	1874	0.8	0.0160	9606.ENSP00000254722,9606.ENSP00000257430,9606.ENSP00000265362,9606.ENSP00000305651,9606.ENSP00000358525,9606.ENSP00000359077,9606.ENSP00000371067,9606.ENSP00000437737,9606.ENSP00000447173	SERPINF1,APC,SEMA3A,CXCL10,NGF,L1CAM,JAK2,HTR2A,VDR
GO Process	GO:0045597	Positive regulation of cell differentiation	7	993	0.96	0.0160	9606.ENSP00000254722,9606.ENSP00000265362,9606.ENSP00000358525,9606.ENSP00000359077,9606.ENSP00000371067,9606.ENSP00000437737,9606.ENSP00000447173	SERPINF1,SEMA3A,NGF,L1CAM,JAK2,HTR2A,VDR
GO Process	GO:0051240	Positive regulation of multicellular organismal process	9	1770	0.82	0.0160	9606.ENSP00000254722,9606.ENSP00000257430,9606.ENSP00000265362,9606.ENSP00000358525,9606.ENSP00000359077,9606.ENSP00000371067,9606.ENSP00000437737,9606.ENSP00000440045,9606.ENSP00000447173	SERPINF1,APC,SEMA3A,NGF,L1CAM,JAK2,HTR2A,ATP2A2,VDR
GO Process	GO:0065008	Regulation of biological quality	12	4042	0.59	0.0160	9606.ENSP00000254722,9606.ENSP00000257430,9606.ENSP00000265362,9606.ENSP00000295951,9606.ENSP00000305651,9606.ENSP00000358525,9606.ENSP00000359077,9606.ENSP00000371067,9606.ENSP00000379256,9606.ENSP00000437737,9606.ENSP00000440045,9606.ENSP00000447173	SERPINF1,APC,SEMA3A,SLMAP,CXCL10,NGF,L1CAM,JAK2,NCALD,HTR2A,ATP2A2,VDR
GO Process	GO:0042127	Regulation of cell population proliferation	8	1642	0.8	0.0193	9606.ENSP00000254722,9606.ENSP00000257430,9606.ENSP00000305651,9606.ENSP00000358525,9606.ENSP00000371067,9606.ENSP00000423917,9606.ENSP00000437737,9606.ENSP00000447173	SERPINF1,APC,CXCL10,NGF,JAK2,NPY5R,HTR2A,VDR
GO Process	GO:0048878	Chemical homeostasis	7	1124	0.91	0.0193	9606.ENSP00000254722,9606.ENSP00000295951,9606.ENSP00000305651,9606.ENSP00000371067,9606.ENSP00000437737,9606.ENSP00000440045,9606.ENSP00000447173	SERPINF1,SLMAP,CXCL10,JAK2,HTR2A,ATP2A2,VDR
GO Process	GO:0055082	Cellular chemical homeostasis	6	753	1.02	0.0198	9606.ENSP00000254722,9606.ENSP00000305651,9606.ENSP00000371067,9606.ENSP00000437737,9606.ENSP00000440045,9606.ENSP00000447173	SERPINF1,CXCL10,JAK2,HTR2A,ATP2A2,VDR
GO Process	GO:0006874	Cellular calcium ion homeostasis	5	442	1.17	0.0215	9606.ENSP00000305651,9606.ENSP00000371067,9606.ENSP00000437737,9606.ENSP00000440045,9606.ENSP00000447173	CXCL10,JAK2,HTR2A,ATP2A2,VDR
GO Process	GO:0050801	Ion homeostasis	6	796	0.99	0.0215	9606.ENSP00000295951,9606.ENSP00000305651,9606.ENSP00000371067,9606.ENSP00000437737,9606.ENSP00000440045,9606.ENSP00000447173	SLMAP,CXCL10,JAK2,HTR2A,ATP2A2,VDR
GO Process	GO:0050804	Modulation of chemical synaptic transmission	5	446	1.17	0.0215	9606.ENSP00000358525,9606.ENSP00000371067,9606.ENSP00000423917,9606.ENSP00000437737,9606.ENSP00000440045	NGF,JAK2,NPY5R,HTR2A,ATP2A2
GO Process	GO:0051239	Regulation of multicellular organismal process	10	3227	0.61	0.0215	9606.ENSP00000254722,9606.ENSP00000257430,9606.ENSP00000265362,9606.ENSP00000305651,9606.ENSP00000358525,9606.ENSP00000359077,9606.ENSP00000371067,9606.ENSP00000437737,9606.ENSP00000440045,9606.ENSP00000447173	SERPINF1,APC,SEMA3A,CXCL10,NGF,L1CAM,JAK2,HTR2A,ATP2A2,VDR
GO Process	GO:0003008	System process	8	1942	0.73	0.0244	9606.ENSP00000254722,9606.ENSP00000295951,9606.ENSP00000305651,9606.ENSP00000358525,9606.ENSP00000379256,9606.ENSP00000437737,9606.ENSP00000440045,9606.ENSP00000447173	SERPINF1,SLMAP,CXCL10,NGF,NCALD,HTR2A,ATP2A2,VDR
GO Process	GO:0043410	Positive regulation of mapk cascade	5	543	1.08	0.0244	9606.ENSP00000265362,9606.ENSP00000358525,9606.ENSP00000371067,9606.ENSP00000423917,9606.ENSP00000437737	SEMA3A,NGF,JAK2,NPY5R,HTR2A
GO Process	GO:0071900	Regulation of protein serine/threonine kinase activity	5	521	1.1	0.0244	9606.ENSP00000257430,9606.ENSP00000305651,9606.ENSP00000358525,9606.ENSP00000371067,9606.ENSP00000437737	APC,CXCL10,NGF,JAK2,HTR2A
GO Process	GO:0001932	Regulation of protein phosphorylation	7	1459	0.8	0.0262	9606.ENSP00000257430,9606.ENSP00000265362,9606.ENSP00000305651,9606.ENSP00000358525,9606.ENSP00000371067,9606.ENSP00000423917,9606.ENSP00000437737	APC,SEMA3A,CXCL10,NGF,JAK2,NPY5R,HTR2A
GO Process	GO:0032879	Regulation of localization	9	2740	0.63	0.0262	9606.ENSP00000254722,9606.ENSP00000257430,9606.ENSP00000265362,9606.ENSP00000295951,9606.ENSP00000305651,9606.ENSP00000371067,9606.ENSP00000423917,9606.ENSP00000437737,9606.ENSP00000440045	SERPINF1,APC,SEMA3A,SLMAP,CXCL10,JAK2,NPY5R,HTR2A,ATP2A2
GO Process	GO:1903522	Regulation of blood circulation	4	292	1.25	0.0303	9606.ENSP00000265362,9606.ENSP00000371067,9606.ENSP00000437737,9606.ENSP00000440045	SEMA3A,JAK2,HTR2A,ATP2A2
