#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
hsa04140	Autophagy - animal	5	130	1.62	3.87e-05	9606.ENSP00000215832,9606.ENSP00000298552,9606.ENSP00000344220,9606.ENSP00000346148,9606.ENSP00000365016	MAPK1,TSC1,PDPK1,PRKAA1,IRS2
hsa04910	Insulin signaling pathway	5	133	1.61	3.87e-05	9606.ENSP00000215832,9606.ENSP00000298552,9606.ENSP00000344220,9606.ENSP00000346148,9606.ENSP00000365016	MAPK1,TSC1,PDPK1,PRKAA1,IRS2
hsa04068	FoxO signaling pathway	4	127	1.53	0.00047	9606.ENSP00000215832,9606.ENSP00000344220,9606.ENSP00000346148,9606.ENSP00000365016	MAPK1,PDPK1,PRKAA1,IRS2
hsa04152	AMPK signaling pathway	4	120	1.56	0.00047	9606.ENSP00000298552,9606.ENSP00000344220,9606.ENSP00000346148,9606.ENSP00000365016	TSC1,PDPK1,PRKAA1,IRS2
hsa04919	Thyroid hormone signaling pathway	4	119	1.56	0.00047	9606.ENSP00000215832,9606.ENSP00000344220,9606.ENSP00000362680,9606.ENSP00000440045	MAPK1,PDPK1,SRC,ATP2A2
hsa04150	mTOR signaling pathway	4	151	1.46	0.00059	9606.ENSP00000215832,9606.ENSP00000298552,9606.ENSP00000344220,9606.ENSP00000346148	MAPK1,TSC1,PDPK1,PRKAA1
hsa04151	PI3K-Akt signaling pathway	5	350	1.19	0.00064	9606.ENSP00000215832,9606.ENSP00000298552,9606.ENSP00000344220,9606.ENSP00000346148,9606.ENSP00000358525	MAPK1,TSC1,PDPK1,PRKAA1,NGF
hsa01524	Platinum drug resistance	3	70	1.67	0.0016	9606.ENSP00000215832,9606.ENSP00000233146,9606.ENSP00000344220	MAPK1,MSH2,PDPK1
hsa04211	Longevity regulating pathway	3	87	1.57	0.0027	9606.ENSP00000298552,9606.ENSP00000346148,9606.ENSP00000365016	TSC1,PRKAA1,IRS2
hsa05231	Choline metabolism in cancer	3	96	1.53	0.0033	9606.ENSP00000215832,9606.ENSP00000298552,9606.ENSP00000344220	MAPK1,TSC1,PDPK1
