#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0010033	Response to organic substance	13	3011	0.67	0.00035	9606.ENSP00000215832,9606.ENSP00000254722,9606.ENSP00000262768,9606.ENSP00000298552,9606.ENSP00000344220,9606.ENSP00000346148,9606.ENSP00000358525,9606.ENSP00000362680,9606.ENSP00000365016,9606.ENSP00000365777,9606.ENSP00000440045,9606.ENSP00000480150,9606.ENSP00000483599	MAPK1,SERPINF1,TIMP2,TSC1,PDPK1,PRKAA1,NGF,SRC,IRS2,MTHFR,ATP2A2,HYOU1,SPON2
GO:0042127	Regulation of cell population proliferation	11	1642	0.86	0.00035	9606.ENSP00000215832,9606.ENSP00000250340,9606.ENSP00000254722,9606.ENSP00000262768,9606.ENSP00000298552,9606.ENSP00000344220,9606.ENSP00000346148,9606.ENSP00000358525,9606.ENSP00000362680,9606.ENSP00000365016,9606.ENSP00000475344	MAPK1,CLEC11A,SERPINF1,TIMP2,TSC1,PDPK1,PRKAA1,NGF,SRC,IRS2,APLNR
GO:0051240	Positive regulation of multicellular organismal process	11	1770	0.83	0.00035	9606.ENSP00000215832,9606.ENSP00000233146,9606.ENSP00000254722,9606.ENSP00000262768,9606.ENSP00000344220,9606.ENSP00000346148,9606.ENSP00000358525,9606.ENSP00000362680,9606.ENSP00000440045,9606.ENSP00000475344,9606.ENSP00000483599	MAPK1,MSH2,SERPINF1,TIMP2,PDPK1,PRKAA1,NGF,SRC,ATP2A2,APLNR,SPON2
GO:0060548	Negative regulation of cell death	9	999	0.99	0.00035	9606.ENSP00000233146,9606.ENSP00000254722,9606.ENSP00000298552,9606.ENSP00000344220,9606.ENSP00000346148,9606.ENSP00000358525,9606.ENSP00000362680,9606.ENSP00000365016,9606.ENSP00000480150	MSH2,SERPINF1,TSC1,PDPK1,PRKAA1,NGF,SRC,IRS2,HYOU1
GO:1901215	Negative regulation of neuron death	6	211	1.49	0.00035	9606.ENSP00000233146,9606.ENSP00000254722,9606.ENSP00000298552,9606.ENSP00000344220,9606.ENSP00000358525,9606.ENSP00000480150	MSH2,SERPINF1,TSC1,PDPK1,NGF,HYOU1
GO:0009628	Response to abiotic stimulus	9	1147	0.93	0.00054	9606.ENSP00000233146,9606.ENSP00000254722,9606.ENSP00000298552,9606.ENSP00000344220,9606.ENSP00000346148,9606.ENSP00000362680,9606.ENSP00000365777,9606.ENSP00000440045,9606.ENSP00000480150	MSH2,SERPINF1,TSC1,PDPK1,PRKAA1,SRC,MTHFR,ATP2A2,HYOU1
GO:1901700	Response to oxygen-containing compound	10	1567	0.84	0.00054	9606.ENSP00000215832,9606.ENSP00000254722,9606.ENSP00000298552,9606.ENSP00000344220,9606.ENSP00000346148,9606.ENSP00000362680,9606.ENSP00000365016,9606.ENSP00000365777,9606.ENSP00000440045,9606.ENSP00000483599	MAPK1,SERPINF1,TSC1,PDPK1,PRKAA1,SRC,IRS2,MTHFR,ATP2A2,SPON2
GO:0009725	Response to hormone	8	849	1.01	0.00055	9606.ENSP00000215832,9606.ENSP00000254722,9606.ENSP00000262768,9606.ENSP00000298552,9606.ENSP00000344220,9606.ENSP00000346148,9606.ENSP00000362680,9606.ENSP00000365016	MAPK1,SERPINF1,TIMP2,TSC1,PDPK1,PRKAA1,SRC,IRS2
GO:0048583	Regulation of response to stimulus	14	4114	0.57	0.00055	9606.ENSP00000215832,9606.ENSP00000233146,9606.ENSP00000254722,9606.ENSP00000262768,9606.ENSP00000298552,9606.ENSP00000344220,9606.ENSP00000346148,9606.ENSP00000358525,9606.ENSP00000362680,9606.ENSP00000365016,9606.ENSP00000440045,9606.ENSP00000475344,9606.ENSP00000480150,9606.ENSP00000483599	MAPK1,MSH2,SERPINF1,TIMP2,TSC1,PDPK1,PRKAA1,NGF,SRC,IRS2,ATP2A2,APLNR,HYOU1,SPON2
GO:1902531	Regulation of intracellular signal transduction	10	1807	0.78	0.0012	9606.ENSP00000215832,9606.ENSP00000262768,9606.ENSP00000298552,9606.ENSP00000344220,9606.ENSP00000346148,9606.ENSP00000358525,9606.ENSP00000362680,9606.ENSP00000365016,9606.ENSP00000475344,9606.ENSP00000480150	MAPK1,TIMP2,TSC1,PDPK1,PRKAA1,NGF,SRC,IRS2,APLNR,HYOU1
GO:0048519	Negative regulation of biological process	15	5389	0.48	0.0013	9606.ENSP00000215832,9606.ENSP00000233146,9606.ENSP00000254722,9606.ENSP00000262768,9606.ENSP00000283928,9606.ENSP00000298552,9606.ENSP00000344220,9606.ENSP00000346148,9606.ENSP00000358525,9606.ENSP00000362680,9606.ENSP00000365016,9606.ENSP00000365777,9606.ENSP00000440045,9606.ENSP00000475344,9606.ENSP00000480150	MAPK1,MSH2,SERPINF1,TIMP2,JAZF1,TSC1,PDPK1,PRKAA1,NGF,SRC,IRS2,MTHFR,ATP2A2,APLNR,HYOU1
GO:0050790	Regulation of catalytic activity	11	2386	0.7	0.0013	9606.ENSP00000215832,9606.ENSP00000233146,9606.ENSP00000254722,9606.ENSP00000262768,9606.ENSP00000286614,9606.ENSP00000298552,9606.ENSP00000344220,9606.ENSP00000346148,9606.ENSP00000358525,9606.ENSP00000362680,9606.ENSP00000365016	MAPK1,MSH2,SERPINF1,TIMP2,MMP16,TSC1,PDPK1,PRKAA1,NGF,SRC,IRS2
GO:0051094	Positive regulation of developmental process	9	1389	0.85	0.0013	9606.ENSP00000215832,9606.ENSP00000233146,9606.ENSP00000254722,9606.ENSP00000262768,9606.ENSP00000344220,9606.ENSP00000346148,9606.ENSP00000358525,9606.ENSP00000362680,9606.ENSP00000475344	MAPK1,MSH2,SERPINF1,TIMP2,PDPK1,PRKAA1,NGF,SRC,APLNR
GO:0009719	Response to endogenous stimulus	9	1447	0.83	0.0015	9606.ENSP00000215832,9606.ENSP00000254722,9606.ENSP00000262768,9606.ENSP00000298552,9606.ENSP00000344220,9606.ENSP00000346148,9606.ENSP00000358525,9606.ENSP00000362680,9606.ENSP00000365016	MAPK1,SERPINF1,TIMP2,TSC1,PDPK1,PRKAA1,NGF,SRC,IRS2
GO:0043085	Positive regulation of catalytic activity	9	1489	0.82	0.0018	9606.ENSP00000215832,9606.ENSP00000233146,9606.ENSP00000262768,9606.ENSP00000286614,9606.ENSP00000298552,9606.ENSP00000344220,9606.ENSP00000346148,9606.ENSP00000358525,9606.ENSP00000362680	MAPK1,MSH2,TIMP2,MMP16,TSC1,PDPK1,PRKAA1,NGF,SRC
GO:0048878	Chemical homeostasis	8	1124	0.89	0.0021	9606.ENSP00000215832,9606.ENSP00000254722,9606.ENSP00000344220,9606.ENSP00000346148,9606.ENSP00000362680,9606.ENSP00000365016,9606.ENSP00000440045,9606.ENSP00000475344	MAPK1,SERPINF1,PDPK1,PRKAA1,SRC,IRS2,ATP2A2,APLNR
GO:0051239	Regulation of multicellular organismal process	12	3227	0.61	0.0021	9606.ENSP00000215832,9606.ENSP00000233146,9606.ENSP00000254722,9606.ENSP00000262768,9606.ENSP00000298552,9606.ENSP00000344220,9606.ENSP00000346148,9606.ENSP00000358525,9606.ENSP00000362680,9606.ENSP00000440045,9606.ENSP00000475344,9606.ENSP00000483599	MAPK1,MSH2,SERPINF1,TIMP2,TSC1,PDPK1,PRKAA1,NGF,SRC,ATP2A2,APLNR,SPON2
GO:0055082	Cellular chemical homeostasis	7	753	1.0	0.0021	9606.ENSP00000215832,9606.ENSP00000254722,9606.ENSP00000344220,9606.ENSP00000346148,9606.ENSP00000365016,9606.ENSP00000440045,9606.ENSP00000475344	MAPK1,SERPINF1,PDPK1,PRKAA1,IRS2,ATP2A2,APLNR
GO:0031324	Negative regulation of cellular metabolic process	11	2630	0.66	0.0022	9606.ENSP00000233146,9606.ENSP00000254722,9606.ENSP00000262768,9606.ENSP00000283928,9606.ENSP00000298552,9606.ENSP00000344220,9606.ENSP00000346148,9606.ENSP00000358525,9606.ENSP00000362680,9606.ENSP00000365016,9606.ENSP00000365777	MSH2,SERPINF1,TIMP2,JAZF1,TSC1,PDPK1,PRKAA1,NGF,SRC,IRS2,MTHFR
GO:0042325	Regulation of phosphorylation	9	1626	0.78	0.0023	9606.ENSP00000215832,9606.ENSP00000262768,9606.ENSP00000298552,9606.ENSP00000344220,9606.ENSP00000346148,9606.ENSP00000358525,9606.ENSP00000362680,9606.ENSP00000365016,9606.ENSP00000475344	MAPK1,TIMP2,TSC1,PDPK1,PRKAA1,NGF,SRC,IRS2,APLNR
GO:0043086	Negative regulation of catalytic activity	7	807	0.97	0.0023	9606.ENSP00000254722,9606.ENSP00000262768,9606.ENSP00000298552,9606.ENSP00000344220,9606.ENSP00000358525,9606.ENSP00000362680,9606.ENSP00000365016	SERPINF1,TIMP2,TSC1,PDPK1,NGF,SRC,IRS2
GO:0044092	Negative regulation of molecular function	8	1163	0.87	0.0023	9606.ENSP00000254722,9606.ENSP00000262768,9606.ENSP00000298552,9606.ENSP00000344220,9606.ENSP00000358525,9606.ENSP00000362680,9606.ENSP00000365016,9606.ENSP00000440045	SERPINF1,TIMP2,TSC1,PDPK1,NGF,SRC,IRS2,ATP2A2
GO:0048523	Negative regulation of cellular process	14	4874	0.49	0.0023	9606.ENSP00000215832,9606.ENSP00000233146,9606.ENSP00000254722,9606.ENSP00000262768,9606.ENSP00000283928,9606.ENSP00000298552,9606.ENSP00000344220,9606.ENSP00000346148,9606.ENSP00000358525,9606.ENSP00000362680,9606.ENSP00000365016,9606.ENSP00000365777,9606.ENSP00000475344,9606.ENSP00000480150	MAPK1,MSH2,SERPINF1,TIMP2,JAZF1,TSC1,PDPK1,PRKAA1,NGF,SRC,IRS2,MTHFR,APLNR,HYOU1
GO:0065009	Regulation of molecular function	14	4913	0.49	0.0023	9606.ENSP00000215832,9606.ENSP00000233146,9606.ENSP00000250340,9606.ENSP00000254722,9606.ENSP00000262768,9606.ENSP00000283928,9606.ENSP00000286614,9606.ENSP00000298552,9606.ENSP00000344220,9606.ENSP00000346148,9606.ENSP00000358525,9606.ENSP00000362680,9606.ENSP00000365016,9606.ENSP00000440045	MAPK1,MSH2,CLEC11A,SERPINF1,TIMP2,JAZF1,MMP16,TSC1,PDPK1,PRKAA1,NGF,SRC,IRS2,ATP2A2
GO:1902532	Negative regulation of intracellular signal transduction	6	508	1.11	0.0023	9606.ENSP00000262768,9606.ENSP00000298552,9606.ENSP00000346148,9606.ENSP00000362680,9606.ENSP00000475344,9606.ENSP00000480150	TIMP2,TSC1,PRKAA1,SRC,APLNR,HYOU1
GO:2000026	Regulation of multicellular organismal development	10	2096	0.71	0.0023	9606.ENSP00000215832,9606.ENSP00000233146,9606.ENSP00000254722,9606.ENSP00000262768,9606.ENSP00000298552,9606.ENSP00000344220,9606.ENSP00000346148,9606.ENSP00000358525,9606.ENSP00000362680,9606.ENSP00000475344	MAPK1,MSH2,SERPINF1,TIMP2,TSC1,PDPK1,PRKAA1,NGF,SRC,APLNR
GO:0043066	Negative regulation of apoptotic process	7	893	0.93	0.0038	9606.ENSP00000233146,9606.ENSP00000344220,9606.ENSP00000346148,9606.ENSP00000358525,9606.ENSP00000362680,9606.ENSP00000365016,9606.ENSP00000480150	MSH2,PDPK1,PRKAA1,NGF,SRC,IRS2,HYOU1
GO:0043524	Negative regulation of neuron apoptotic process	4	148	1.47	0.0038	9606.ENSP00000233146,9606.ENSP00000344220,9606.ENSP00000358525,9606.ENSP00000480150	MSH2,PDPK1,NGF,HYOU1
GO:0043549	Regulation of kinase activity	7	918	0.92	0.0038	9606.ENSP00000215832,9606.ENSP00000298552,9606.ENSP00000344220,9606.ENSP00000346148,9606.ENSP00000358525,9606.ENSP00000362680,9606.ENSP00000365016	MAPK1,TSC1,PDPK1,PRKAA1,NGF,SRC,IRS2
