#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
HSA-438064	Post NMDA receptor activation events	4	79	1.74	0.0019	9606.ENSP00000215832,9606.ENSP00000344220,9606.ENSP00000346148,9606.ENSP00000362680	MAPK1,PDPK1,PRKAA1,SRC
HSA-187037	Signaling by NTRK1 (TRKA)	4	115	1.58	0.0027	9606.ENSP00000215832,9606.ENSP00000358525,9606.ENSP00000362680,9606.ENSP00000365016	MAPK1,NGF,SRC,IRS2
HSA-187687	Signalling to ERKs	3	34	1.98	0.0027	9606.ENSP00000215832,9606.ENSP00000358525,9606.ENSP00000362680	MAPK1,NGF,SRC
HSA-74751	Insulin receptor signalling cascade	3	54	1.78	0.0067	9606.ENSP00000215832,9606.ENSP00000344220,9606.ENSP00000365016	MAPK1,PDPK1,IRS2
HSA-9634635	Estrogen-stimulated signaling through PRKCZ	2	6	2.56	0.0069	9606.ENSP00000215832,9606.ENSP00000344220	MAPK1,PDPK1
HSA-444257	RSK activation	2	7	2.49	0.0078	9606.ENSP00000215832,9606.ENSP00000344220	MAPK1,PDPK1
HSA-198203	PI3K/AKT activation	2	9	2.38	0.0095	9606.ENSP00000358525,9606.ENSP00000365016	NGF,IRS2
HSA-74749	Signal attenuation	2	10	2.34	0.0095	9606.ENSP00000215832,9606.ENSP00000365016	MAPK1,IRS2
HSA-9009391	Extra-nuclear estrogen signaling	3	74	1.64	0.0095	9606.ENSP00000215832,9606.ENSP00000344220,9606.ENSP00000362680	MAPK1,PDPK1,SRC
HSA-170968	Frs2-mediated activation	2	12	2.26	0.0112	9606.ENSP00000215832,9606.ENSP00000358525	MAPK1,NGF
HSA-9006934	Signaling by Receptor Tyrosine Kinases	5	502	1.03	0.0112	9606.ENSP00000215832,9606.ENSP00000344220,9606.ENSP00000358525,9606.ENSP00000362680,9606.ENSP00000365016	MAPK1,PDPK1,NGF,SRC,IRS2
HSA-1257604	PIP3 activates AKT signaling	4	264	1.22	0.0122	9606.ENSP00000215832,9606.ENSP00000344220,9606.ENSP00000362680,9606.ENSP00000365016	MAPK1,PDPK1,SRC,IRS2
HSA-1295596	Spry regulation of FGF signaling	2	16	2.13	0.0138	9606.ENSP00000215832,9606.ENSP00000362680	MAPK1,SRC
HSA-2219528	PI3K/AKT Signaling in Cancer	3	105	1.49	0.0138	9606.ENSP00000344220,9606.ENSP00000362680,9606.ENSP00000365016	PDPK1,SRC,IRS2
HSA-6811558	PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling	3	105	1.49	0.0138	9606.ENSP00000215832,9606.ENSP00000362680,9606.ENSP00000365016	MAPK1,SRC,IRS2
HSA-5218921	VEGFR2 mediated cell proliferation	2	19	2.06	0.0150	9606.ENSP00000344220,9606.ENSP00000362680	PDPK1,SRC
HSA-167044	Signalling to RAS	2	20	2.04	0.0158	9606.ENSP00000358525,9606.ENSP00000362680	NGF,SRC
HSA-982772	Growth hormone receptor signaling	2	23	1.98	0.0197	9606.ENSP00000215832,9606.ENSP00000365016	MAPK1,IRS2
HSA-1632852	Macroautophagy	3	133	1.39	0.0199	9606.ENSP00000298552,9606.ENSP00000346148,9606.ENSP00000362680	TSC1,PRKAA1,SRC
HSA-8940973	RUNX2 regulates osteoblast differentiation	2	24	1.96	0.0199	9606.ENSP00000215832,9606.ENSP00000362680	MAPK1,SRC
HSA-162582	Signal Transduction	9	2741	0.55	0.0226	9606.ENSP00000215832,9606.ENSP00000298552,9606.ENSP00000344220,9606.ENSP00000346148,9606.ENSP00000358525,9606.ENSP00000362680,9606.ENSP00000365016,9606.ENSP00000440045,9606.ENSP00000475344	MAPK1,TSC1,PDPK1,PRKAA1,NGF,SRC,IRS2,ATP2A2,APLNR
HSA-354192	Integrin signaling	2	27	1.91	0.0226	9606.ENSP00000344220,9606.ENSP00000362680	PDPK1,SRC
HSA-3700989	Transcriptional Regulation by TP53	4	363	1.08	0.0226	9606.ENSP00000233146,9606.ENSP00000298552,9606.ENSP00000344220,9606.ENSP00000346148	MSH2,TSC1,PDPK1,PRKAA1
HSA-380972	Energy dependent regulation of mTOR by LKB1-AMPK	2	29	1.87	0.0233	9606.ENSP00000298552,9606.ENSP00000346148	TSC1,PRKAA1
HSA-5663202	Diseases of signal transduction by growth factor receptors and second messengers	4	392	1.05	0.0243	9606.ENSP00000215832,9606.ENSP00000344220,9606.ENSP00000362680,9606.ENSP00000365016	MAPK1,PDPK1,SRC,IRS2
HSA-456926	Thrombin signalling through proteinase activated receptors (PARs)	2	32	1.83	0.0245	9606.ENSP00000215832,9606.ENSP00000362680	MAPK1,SRC
HSA-1592389	Activation of Matrix Metalloproteinases	2	33	1.82	0.0249	9606.ENSP00000262768,9606.ENSP00000286614	TIMP2,MMP16
HSA-389356	CD28 co-stimulation	2	33	1.82	0.0249	9606.ENSP00000344220,9606.ENSP00000362680	PDPK1,SRC
HSA-212436	Generic Transcription Pathway	6	1197	0.74	0.0250	9606.ENSP00000215832,9606.ENSP00000233146,9606.ENSP00000298552,9606.ENSP00000344220,9606.ENSP00000346148,9606.ENSP00000362680	MAPK1,MSH2,TSC1,PDPK1,PRKAA1,SRC
HSA-6802948	Signaling by high-kinase activity BRAF mutants	2	36	1.78	0.0260	9606.ENSP00000215832,9606.ENSP00000362680	MAPK1,SRC
HSA-5674135	MAP2K and MAPK activation	2	40	1.74	0.0304	9606.ENSP00000215832,9606.ENSP00000362680	MAPK1,SRC
HSA-8853659	RET signaling	2	40	1.74	0.0304	9606.ENSP00000362680,9606.ENSP00000365016	SRC,IRS2
HSA-9656223	Signaling by RAF1 mutants	2	41	1.72	0.0304	9606.ENSP00000215832,9606.ENSP00000362680	MAPK1,SRC
HSA-109704	PI3K Cascade	2	44	1.69	0.0318	9606.ENSP00000344220,9606.ENSP00000365016	PDPK1,IRS2
HSA-437239	Recycling pathway of L1	2	47	1.67	0.0326	9606.ENSP00000215832,9606.ENSP00000362680	MAPK1,SRC
HSA-6802946	Signaling by moderate kinase activity BRAF mutants	2	45	1.68	0.0326	9606.ENSP00000215832,9606.ENSP00000362680	MAPK1,SRC
HSA-6802955	Paradoxical activation of RAF signaling by kinase inactive BRAF	2	45	1.68	0.0326	9606.ENSP00000215832,9606.ENSP00000362680	MAPK1,SRC
HSA-9649948	Signaling downstream of RAS mutants	2	45	1.68	0.0326	9606.ENSP00000215832,9606.ENSP00000362680	MAPK1,SRC
HSA-9664422	FCGR3A-mediated phagocytosis	2	60	1.56	0.0469	9606.ENSP00000215832,9606.ENSP00000362680	MAPK1,SRC
HSA-375165	NCAM signaling for neurite out-growth	2	63	1.54	0.0491	9606.ENSP00000215832,9606.ENSP00000362680	MAPK1,SRC
