#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
WP2380	Brain-derived neurotrophic factor (BDNF) signaling pathway	6	143	1.66	2.05e-06	9606.ENSP00000215832,9606.ENSP00000344220,9606.ENSP00000346148,9606.ENSP00000358525,9606.ENSP00000362680,9606.ENSP00000365016	MAPK1,PDPK1,PRKAA1,NGF,SRC,IRS2
WP3915	Angiopoietin-like protein 8 regulatory pathway	5	130	1.62	3.91e-05	9606.ENSP00000215832,9606.ENSP00000298552,9606.ENSP00000344220,9606.ENSP00000346148,9606.ENSP00000365016	MAPK1,TSC1,PDPK1,PRKAA1,IRS2
WP3932	Focal adhesion: PI3K-Akt-mTOR-signaling pathway	6	302	1.33	5.16e-05	9606.ENSP00000215832,9606.ENSP00000298552,9606.ENSP00000344220,9606.ENSP00000346148,9606.ENSP00000358525,9606.ENSP00000365016	MAPK1,TSC1,PDPK1,PRKAA1,NGF,IRS2
WP481	Insulin signaling	5	159	1.53	5.16e-05	9606.ENSP00000215832,9606.ENSP00000298552,9606.ENSP00000344220,9606.ENSP00000346148,9606.ENSP00000365016	MAPK1,TSC1,PDPK1,PRKAA1,IRS2
WP3879	4-hydroxytamoxifen, Dexamethasone, and Retinoic Acids Regulation of p27 Expression	3	17	2.28	9.98e-05	9606.ENSP00000215832,9606.ENSP00000298552,9606.ENSP00000346148	MAPK1,TSC1,PRKAA1
WP2261	Glioblastoma signaling pathways	4	82	1.72	0.00011	9606.ENSP00000215832,9606.ENSP00000298552,9606.ENSP00000344220,9606.ENSP00000362680	MAPK1,TSC1,PDPK1,SRC
WP1539	Angiogenesis	3	24	2.13	0.00018	9606.ENSP00000215832,9606.ENSP00000262768,9606.ENSP00000362680	MAPK1,TIMP2,SRC
WP581	EPO receptor signaling	3	26	2.1	0.00020	9606.ENSP00000215832,9606.ENSP00000362680,9606.ENSP00000365016	MAPK1,SRC,IRS2
WP244	Alpha 6 beta 4 signaling pathway	3	33	1.99	0.00034	9606.ENSP00000215832,9606.ENSP00000362680,9606.ENSP00000365016	MAPK1,SRC,IRS2
WP2332	Interleukin-11 signaling pathway	3	44	1.87	0.00070	9606.ENSP00000215832,9606.ENSP00000344220,9606.ENSP00000362680	MAPK1,PDPK1,SRC
WP4172	PI3K-Akt signaling pathway	5	336	1.21	0.00070	9606.ENSP00000215832,9606.ENSP00000298552,9606.ENSP00000344220,9606.ENSP00000346148,9606.ENSP00000358525	MAPK1,TSC1,PDPK1,PRKAA1,NGF
WP4539	Synaptic signaling pathways associated with autism spectrum disorder	3	49	1.82	0.00079	9606.ENSP00000215832,9606.ENSP00000298552,9606.ENSP00000346148	MAPK1,TSC1,PRKAA1
WP2032	Thyroid stimulating hormone (TSH) signaling pathway	3	66	1.69	0.0017	9606.ENSP00000215832,9606.ENSP00000344220,9606.ENSP00000362680	MAPK1,PDPK1,SRC
WP3303	RAC1/PAK1/p38/MMP2 pathway	3	67	1.69	0.0017	9606.ENSP00000215832,9606.ENSP00000233146,9606.ENSP00000362680	MAPK1,MSH2,SRC
WP3888	VEGFA-VEGFR2 signaling pathway	5	428	1.1	0.0017	9606.ENSP00000215832,9606.ENSP00000344220,9606.ENSP00000346148,9606.ENSP00000362680,9606.ENSP00000480150	MAPK1,PDPK1,PRKAA1,SRC,HYOU1
WP4674	Head and neck squamous cell carcinoma	3	72	1.66	0.0018	9606.ENSP00000298552,9606.ENSP00000344220,9606.ENSP00000346148	TSC1,PDPK1,PRKAA1
WP2034	Leptin signaling pathway	3	75	1.64	0.0019	9606.ENSP00000215832,9606.ENSP00000346148,9606.ENSP00000362680	MAPK1,PRKAA1,SRC
WP2037	Prolactin signaling pathway	3	76	1.63	0.0019	9606.ENSP00000215832,9606.ENSP00000362680,9606.ENSP00000365016	MAPK1,SRC,IRS2
WP4806	EGFR tyrosine kinase inhibitor resistance	3	83	1.59	0.0023	9606.ENSP00000215832,9606.ENSP00000344220,9606.ENSP00000362680	MAPK1,PDPK1,SRC
WP5098	T-cell activation SARS-CoV-2	3	86	1.58	0.0024	9606.ENSP00000215832,9606.ENSP00000298552,9606.ENSP00000344220	MAPK1,TSC1,PDPK1
WP673	ErbB signaling pathway	3	90	1.56	0.0026	9606.ENSP00000215832,9606.ENSP00000344220,9606.ENSP00000362680	MAPK1,PDPK1,SRC
WP4746	Thyroid hormones production and peripheral downstream signaling effects	3	94	1.54	0.0028	9606.ENSP00000215832,9606.ENSP00000298552,9606.ENSP00000362680	MAPK1,TSC1,SRC
WP185	Integrin-mediated cell adhesion	3	100	1.51	0.0032	9606.ENSP00000215832,9606.ENSP00000344220,9606.ENSP00000362680	MAPK1,PDPK1,SRC
WP3935	Leptin-insulin signaling overlap	2	17	2.11	0.0038	9606.ENSP00000344220,9606.ENSP00000365016	PDPK1,IRS2
WP4549	Fragile X syndrome	3	119	1.44	0.0049	9606.ENSP00000215832,9606.ENSP00000298552,9606.ENSP00000362680	MAPK1,TSC1,SRC
WP4483	Relationship between inflammation, COX-2 and EGFR	2	25	1.94	0.0072	9606.ENSP00000215832,9606.ENSP00000362680	MAPK1,SRC
WP2035	Follicle stimulating hormone (FSH) signaling pathway	2	27	1.91	0.0080	9606.ENSP00000215832,9606.ENSP00000362680	MAPK1,SRC
WP1984	Integrated breast cancer pathway	3	151	1.33	0.0083	9606.ENSP00000215832,9606.ENSP00000233146,9606.ENSP00000298552	MAPK1,MSH2,TSC1
WP2643	Nanoparticle-mediated activation of receptor signaling	2	28	1.89	0.0083	9606.ENSP00000215832,9606.ENSP00000362680	MAPK1,SRC
WP129	Matrix metalloproteinases	2	30	1.86	0.0088	9606.ENSP00000262768,9606.ENSP00000286614	TIMP2,MMP16
WP2197	Endothelin pathways	2	32	1.83	0.0095	9606.ENSP00000215832,9606.ENSP00000440045	MAPK1,ATP2A2
WP437	EGF/EGFR signaling pathway	3	162	1.3	0.0095	9606.ENSP00000215832,9606.ENSP00000344220,9606.ENSP00000362680	MAPK1,PDPK1,SRC
WP313	Hepatocyte growth factor receptor signaling	2	34	1.81	0.0096	9606.ENSP00000215832,9606.ENSP00000362680	MAPK1,SRC
WP3676	BDNF-TrkB signaling	2	33	1.82	0.0096	9606.ENSP00000215832,9606.ENSP00000298552	MAPK1,TSC1
WP4874	CAMKK2 pathway	2	33	1.82	0.0096	9606.ENSP00000215832,9606.ENSP00000298552	MAPK1,TSC1
WP1471	Target of rapamycin (TOR) signaling	2	36	1.78	0.0104	9606.ENSP00000298552,9606.ENSP00000346148	TSC1,PRKAA1
WP2526	PDGF pathway	2	40	1.74	0.0123	9606.ENSP00000215832,9606.ENSP00000362680	MAPK1,SRC
WP2828	Bladder cancer	2	40	1.74	0.0123	9606.ENSP00000215832,9606.ENSP00000362680	MAPK1,SRC
WP306	Focal adhesion	3	196	1.22	0.0131	9606.ENSP00000215832,9606.ENSP00000344220,9606.ENSP00000362680	MAPK1,PDPK1,SRC
WP4577	Neurodegeneration with brain iron accumulation (NBIA) subtypes pathway	2	44	1.69	0.0137	9606.ENSP00000298552,9606.ENSP00000346148	TSC1,PRKAA1
WP2586	Aryl hydrocarbon receptor Netpath	2	46	1.67	0.0145	9606.ENSP00000215832,9606.ENSP00000362680	MAPK1,SRC
WP2203	Thymic stromal lymphopoietin (TSLP) signaling pathway	2	47	1.67	0.0148	9606.ENSP00000215832,9606.ENSP00000362680	MAPK1,SRC
WP286	IL-3 signaling pathway	2	49	1.65	0.0156	9606.ENSP00000215832,9606.ENSP00000362680	MAPK1,SRC
WP363	Wnt signaling pathway	2	51	1.63	0.0165	9606.ENSP00000215832,9606.ENSP00000298552	MAPK1,TSC1
WP4747	Netrin-UNC5B signaling pathway	2	52	1.62	0.0167	9606.ENSP00000215832,9606.ENSP00000362680	MAPK1,SRC
