#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0005102	Signaling receptor binding	51	1581	0.57	4.64e-13	9606.ENSP00000216181,9606.ENSP00000221930,9606.ENSP00000229135,9606.ENSP00000256104,9606.ENSP00000260356,9606.ENSP00000268035,9606.ENSP00000304767,9606.ENSP00000305651,9606.ENSP00000306884,9606.ENSP00000308208,9606.ENSP00000309757,9606.ENSP00000312987,9606.ENSP00000314897,9606.ENSP00000330382,9606.ENSP00000331831,9606.ENSP00000336762,9606.ENSP00000339191,9606.ENSP00000346508,9606.ENSP00000351671,9606.ENSP00000352264,9606.ENSP00000354901,9606.ENSP00000355370,9606.ENSP00000356213,9606.ENSP00000356515,9606.ENSP00000357726,9606.ENSP00000360997,9606.ENSP00000361021,9606.ENSP00000362524,9606.ENSP00000363822,9606.ENSP00000363827,9606.ENSP00000364683,9606.ENSP00000368104,9606.ENSP00000368683,9606.ENSP00000369442,9606.ENSP00000371067,9606.ENSP00000376865,9606.ENSP00000384364,9606.ENSP00000384906,9606.ENSP00000385834,9606.ENSP00000390651,9606.ENSP00000393312,9606.ENSP00000397297,9606.ENSP00000401399,9606.ENSP00000403495,9606.ENSP00000414303,9606.ENSP00000418009,9606.ENSP00000419313,9606.ENSP00000419422,9606.ENSP00000474412,9606.ENSP00000478319,9606.ENSP00000478570	MYH9,TGFB1,IFNG,FABP4,THBS1,IGF1R,P2RY1,CXCL10,CXCL11,MMP14,LPL,HNF4A,ANGPT2,PDGFB,GAS6,ANG,CAV1,PDGFA,CCL20,CD2AP,CXCL9,CNTF,VIP,UTRN,S100A12,ADAMTS13,PTEN,ANGPTL2,AR,HSPG2,BAMBI,BMP2,EDN1,KL,JAK2,PDGFD,NPY,SAA1,TF,IRAK4,FGFR1,NTF3,MYD88,LTA,BDNF,RARRES2,TRPC1,AGTR1,CCL5,GREM1,VEGFA
GO:0005515	Protein binding	113	7026	0.27	1.29e-12	9606.ENSP00000013807,9606.ENSP00000215832,9606.ENSP00000216181,9606.ENSP00000221930,9606.ENSP00000222139,9606.ENSP00000222305,9606.ENSP00000222572,9606.ENSP00000226279,9606.ENSP00000226760,9606.ENSP00000228434,9606.ENSP00000229135,9606.ENSP00000245479,9606.ENSP00000248553,9606.ENSP00000256104,9606.ENSP00000257430,9606.ENSP00000259486,9606.ENSP00000260356,9606.ENSP00000261769,9606.ENSP00000263317,9606.ENSP00000264717,9606.ENSP00000265132,9606.ENSP00000265333,9606.ENSP00000266085,9606.ENSP00000268035,9606.ENSP00000272645,9606.ENSP00000278616,9606.ENSP00000288266,9606.ENSP00000292303,9606.ENSP00000293599,9606.ENSP00000304767,9606.ENSP00000305651,9606.ENSP00000306124,9606.ENSP00000306884,9606.ENSP00000308208,9606.ENSP00000309757,9606.ENSP00000310036,9606.ENSP00000310520,9606.ENSP00000311005,9606.ENSP00000312987,9606.ENSP00000314897,9606.ENSP00000321334,9606.ENSP00000321853,9606.ENSP00000322898,9606.ENSP00000330382,9606.ENSP00000331831,9606.ENSP00000336762,9606.ENSP00000339191,9606.ENSP00000345708,9606.ENSP00000346148,9606.ENSP00000346508,9606.ENSP00000348069,9606.ENSP00000351671,9606.ENSP00000351908,9606.ENSP00000352264,9606.ENSP00000354782,9606.ENSP00000354901,9606.ENSP00000354995,9606.ENSP00000355361,9606.ENSP00000355370,9606.ENSP00000356213,9606.ENSP00000356438,9606.ENSP00000356515,9606.ENSP00000357726,9606.ENSP00000358513,9606.ENSP00000360997,9606.ENSP00000361021,9606.ENSP00000361883,9606.ENSP00000362057,9606.ENSP00000362410,9606.ENSP00000362524,9606.ENSP00000363641,9606.ENSP00000363822,9606.ENSP00000363827,9606.ENSP00000364683,9606.ENSP00000365256,9606.ENSP00000366395,9606.ENSP00000368104,9606.ENSP00000368683,9606.ENSP00000369442,9606.ENSP00000371067,9606.ENSP00000375844,9606.ENSP00000376865,9606.ENSP00000377192,9606.ENSP00000377280,9606.ENSP00000377372,9606.ENSP00000379256,9606.ENSP00000380252,9606.ENSP00000381185,9606.ENSP00000384262,9606.ENSP00000384364,9606.ENSP00000384906,9606.ENSP00000384957,9606.ENSP00000385834,9606.ENSP00000390651,9606.ENSP00000393312,9606.ENSP00000397297,9606.ENSP00000400175,9606.ENSP00000401399,9606.ENSP00000403495,9606.ENSP00000414303,9606.ENSP00000418009,9606.ENSP00000418525,9606.ENSP00000419313,9606.ENSP00000419422,9606.ENSP00000426809,9606.ENSP00000444198,9606.ENSP00000474412,9606.ENSP00000477707,9606.ENSP00000478253,9606.ENSP00000478319,9606.ENSP00000478570,9606.ENSP00000479617,9606.ENSP00000480291	ERCC1,MAPK1,MYH9,TGFB1,EPOR,USF2,PON2,CD38,WFS1,CD69,IFNG,SOX9,HSPB1,FABP4,APC,ENPP2,THBS1,CDH1,NOX4,GCKR,AMBP,VDAC1,TIMP3,IGF1R,POLR2D,ATM,APPL1,CCR5,AQP5,P2RY1,CXCL10,PRKCE,CXCL11,MMP14,LPL,CD34,ERCC4,MAPK7,HNF4A,ANGPT2,LPA,SERPINF2,EBF1,PDGFB,GAS6,ANG,CAV1,KCNJ11,PRKAA1,PDGFA,SREBF1,CCL20,MAP3K5,CD2AP,CD247,CXCL9,ABCG1,CD47,CNTF,VIP,PTGS2,UTRN,S100A12,CNR1,ADAMTS13,PTEN,CAP1,NOX1,MAFB,ANGPTL2,TXN,AR,HSPG2,BAMBI,CLCN5,SYVN1,BMP2,EDN1,KL,JAK2,CAPN10,PDGFD,G6PD,FBXO8,GAP43,NCALD,NFE2L2,BCL2,HPSE,NPY,SAA1,F11,TF,IRAK4,FGFR1,NTF3,RHOA,MYD88,LTA,BDNF,RARRES2,MME,TRPC1,AGTR1,PROM1,CITED2,CCL5,NR1H3,MTHFD1L,GREM1,VEGFA,UHRF1,HNF1B
GO:0005488	Binding	151	12516	0.14	2.21e-10	9606.ENSP00000013807,9606.ENSP00000200676,9606.ENSP00000215832,9606.ENSP00000216075,9606.ENSP00000216181,9606.ENSP00000216862,9606.ENSP00000221930,9606.ENSP00000222139,9606.ENSP00000222305,9606.ENSP00000222572,9606.ENSP00000225275,9606.ENSP00000226279,9606.ENSP00000226760,9606.ENSP00000228434,9606.ENSP00000229135,9606.ENSP00000232219,9606.ENSP00000245479,9606.ENSP00000246553,9606.ENSP00000248553,9606.ENSP00000255409,9606.ENSP00000256104,9606.ENSP00000257430,9606.ENSP00000259486,9606.ENSP00000260356,9606.ENSP00000261769,9606.ENSP00000263317,9606.ENSP00000264717,9606.ENSP00000265132,9606.ENSP00000265333,9606.ENSP00000266085,9606.ENSP00000268035,9606.ENSP00000272645,9606.ENSP00000278616,9606.ENSP00000283928,9606.ENSP00000284031,9606.ENSP00000285407,9606.ENSP00000288266,9606.ENSP00000292303,9606.ENSP00000293599,9606.ENSP00000297785,9606.ENSP00000298352,9606.ENSP00000300055,9606.ENSP00000302630,9606.ENSP00000304767,9606.ENSP00000305651,9606.ENSP00000306124,9606.ENSP00000306884,9606.ENSP00000308208,9606.ENSP00000309757,9606.ENSP00000310036,9606.ENSP00000310520,9606.ENSP00000311005,9606.ENSP00000312987,9606.ENSP00000314897,9606.ENSP00000317674,9606.ENSP00000321334,9606.ENSP00000321853,9606.ENSP00000322898,9606.ENSP00000325548,9606.ENSP00000330382,9606.ENSP00000331831,9606.ENSP00000336762,9606.ENSP00000337332,9606.ENSP00000339191,9606.ENSP00000339916,9606.ENSP00000341208,9606.ENSP00000345708,9606.ENSP00000346148,9606.ENSP00000346508,9606.ENSP00000348069,9606.ENSP00000349860,9606.ENSP00000351671,9606.ENSP00000351807,9606.ENSP00000351908,9606.ENSP00000352264,9606.ENSP00000354511,9606.ENSP00000354782,9606.ENSP00000354901,9606.ENSP00000354995,9606.ENSP00000355361,9606.ENSP00000355370,9606.ENSP00000356213,9606.ENSP00000356438,9606.ENSP00000356515,9606.ENSP00000356729,9606.ENSP00000356832,9606.ENSP00000357726,9606.ENSP00000358513,9606.ENSP00000360247,9606.ENSP00000360250,9606.ENSP00000360522,9606.ENSP00000360997,9606.ENSP00000361021,9606.ENSP00000361883,9606.ENSP00000362057,9606.ENSP00000362410,9606.ENSP00000362463,9606.ENSP00000362524,9606.ENSP00000363641,9606.ENSP00000363822,9606.ENSP00000363827,9606.ENSP00000363973,9606.ENSP00000364683,9606.ENSP00000365256,9606.ENSP00000365777,9606.ENSP00000366395,9606.ENSP00000368104,9606.ENSP00000368683,9606.ENSP00000369442,9606.ENSP00000369816,9606.ENSP00000371067,9606.ENSP00000375844,9606.ENSP00000376865,9606.ENSP00000377192,9606.ENSP00000377280,9606.ENSP00000377372,9606.ENSP00000378046,9606.ENSP00000379256,9606.ENSP00000380252,9606.ENSP00000380365,9606.ENSP00000381185,9606.ENSP00000383364,9606.ENSP00000384262,9606.ENSP00000384364,9606.ENSP00000384906,9606.ENSP00000384957,9606.ENSP00000385834,9606.ENSP00000390651,9606.ENSP00000393312,9606.ENSP00000397297,9606.ENSP00000398048,9606.ENSP00000400175,9606.ENSP00000401399,9606.ENSP00000401720,9606.ENSP00000403495,9606.ENSP00000414303,9606.ENSP00000418009,9606.ENSP00000418525,9606.ENSP00000418823,9606.ENSP00000419313,9606.ENSP00000419422,9606.ENSP00000426809,9606.ENSP00000444198,9606.ENSP00000474412,9606.ENSP00000477707,9606.ENSP00000478253,9606.ENSP00000478319,9606.ENSP00000478570,9606.ENSP00000479617,9606.ENSP00000480291,9606.ENSP00000483018	ERCC1,CETP,MAPK1,MIOX,MYH9,CYP24A1,TGFB1,EPOR,USF2,PON2,MPO,CD38,WFS1,CD69,IFNG,RBP1,SOX9,FFAR1,HSPB1,CHI3L1,FABP4,APC,ENPP2,THBS1,CDH1,NOX4,GCKR,AMBP,VDAC1,TIMP3,IGF1R,POLR2D,ATM,JAZF1,DDAH1,KLF10,APPL1,CCR5,AQP5,ALDH1A1,NGB,PLIN1,ONECUT1,P2RY1,CXCL10,PRKCE,CXCL11,MMP14,LPL,CD34,ERCC4,MAPK7,HNF4A,ANGPT2,APOL1,LPA,SERPINF2,EBF1,CNDP2,PDGFB,GAS6,ANG,SIRT6,CAV1,LIMK2,STAT5A,KCNJ11,PRKAA1,PDGFA,SREBF1,GFPT1,CCL20,ELN,MAP3K5,CD2AP,COMT,CD247,CXCL9,ABCG1,CD47,CNTF,VIP,PTGS2,UTRN,FMO3,SGK1,S100A12,CNR1,CYP2J2,ENTPD1,RBP4,ADAMTS13,PTEN,CAP1,NOX1,MAFB,GLO1,ANGPTL2,TXN,AR,HSPG2,ALPL,BAMBI,CLCN5,MTHFR,SYVN1,BMP2,EDN1,KL,SHBG,JAK2,CAPN10,PDGFD,G6PD,FBXO8,GAP43,FKBP2,NCALD,NFE2L2,RGN,BCL2,PLA2G2A,HPSE,NPY,SAA1,F11,TF,IRAK4,FGFR1,NTF3,ALPK1,RHOA,MYD88,GK,LTA,BDNF,RARRES2,MME,FTO,TRPC1,AGTR1,PROM1,CITED2,CCL5,NR1H3,MTHFD1L,GREM1,VEGFA,UHRF1,HNF1B,ABO
GO:0042802	Identical protein binding	49	1896	0.47	2.08e-09	9606.ENSP00000215832,9606.ENSP00000216181,9606.ENSP00000221930,9606.ENSP00000222139,9606.ENSP00000222305,9606.ENSP00000222572,9606.ENSP00000226279,9606.ENSP00000228434,9606.ENSP00000248553,9606.ENSP00000260356,9606.ENSP00000261769,9606.ENSP00000265132,9606.ENSP00000265333,9606.ENSP00000268035,9606.ENSP00000278616,9606.ENSP00000288266,9606.ENSP00000292303,9606.ENSP00000293599,9606.ENSP00000309757,9606.ENSP00000310520,9606.ENSP00000312987,9606.ENSP00000321853,9606.ENSP00000330382,9606.ENSP00000336762,9606.ENSP00000339191,9606.ENSP00000346508,9606.ENSP00000351908,9606.ENSP00000352264,9606.ENSP00000354782,9606.ENSP00000354995,9606.ENSP00000356438,9606.ENSP00000358513,9606.ENSP00000361021,9606.ENSP00000362410,9606.ENSP00000363641,9606.ENSP00000365256,9606.ENSP00000371067,9606.ENSP00000377192,9606.ENSP00000381185,9606.ENSP00000384957,9606.ENSP00000393312,9606.ENSP00000401399,9606.ENSP00000418525,9606.ENSP00000474412,9606.ENSP00000478253,9606.ENSP00000478319,9606.ENSP00000478570,9606.ENSP00000479617,9606.ENSP00000480291	MAPK1,MYH9,TGFB1,EPOR,USF2,PON2,CD38,CD69,HSPB1,THBS1,CDH1,AMBP,VDAC1,IGF1R,ATM,APPL1,CCR5,AQP5,LPL,ERCC4,HNF4A,SERPINF2,PDGFB,ANG,CAV1,PDGFA,MAP3K5,CD2AP,CD247,ABCG1,PTGS2,CNR1,PTEN,MAFB,TXN,CLCN5,JAK2,G6PD,BCL2,F11,FGFR1,MYD88,MME,CCL5,MTHFD1L,GREM1,VEGFA,UHRF1,HNF1B
GO:0030546	Signaling receptor activator activity	24	494	0.75	1.24e-08	9606.ENSP00000221930,9606.ENSP00000229135,9606.ENSP00000305651,9606.ENSP00000306124,9606.ENSP00000306884,9606.ENSP00000330382,9606.ENSP00000331831,9606.ENSP00000346508,9606.ENSP00000351671,9606.ENSP00000354901,9606.ENSP00000355370,9606.ENSP00000356213,9606.ENSP00000368104,9606.ENSP00000368683,9606.ENSP00000369442,9606.ENSP00000376865,9606.ENSP00000384364,9606.ENSP00000384906,9606.ENSP00000397297,9606.ENSP00000403495,9606.ENSP00000414303,9606.ENSP00000474412,9606.ENSP00000478319,9606.ENSP00000478570	TGFB1,IFNG,CXCL10,PRKCE,CXCL11,PDGFB,GAS6,PDGFA,CCL20,CXCL9,CNTF,VIP,BMP2,EDN1,KL,PDGFD,NPY,SAA1,NTF3,LTA,BDNF,CCL5,GREM1,VEGFA
GO:0005126	Cytokine receptor binding	18	264	0.89	2.39e-08	9606.ENSP00000221930,9606.ENSP00000229135,9606.ENSP00000305651,9606.ENSP00000306884,9606.ENSP00000351671,9606.ENSP00000352264,9606.ENSP00000354901,9606.ENSP00000355370,9606.ENSP00000364683,9606.ENSP00000371067,9606.ENSP00000390651,9606.ENSP00000397297,9606.ENSP00000401399,9606.ENSP00000403495,9606.ENSP00000414303,9606.ENSP00000474412,9606.ENSP00000478319,9606.ENSP00000478570	TGFB1,IFNG,CXCL10,CXCL11,CCL20,CD2AP,CXCL9,CNTF,BAMBI,JAK2,IRAK4,NTF3,MYD88,LTA,BDNF,CCL5,GREM1,VEGFA
GO:0048018	Receptor ligand activity	23	490	0.73	4.42e-08	9606.ENSP00000221930,9606.ENSP00000229135,9606.ENSP00000305651,9606.ENSP00000306884,9606.ENSP00000330382,9606.ENSP00000331831,9606.ENSP00000346508,9606.ENSP00000351671,9606.ENSP00000354901,9606.ENSP00000355370,9606.ENSP00000356213,9606.ENSP00000368104,9606.ENSP00000368683,9606.ENSP00000369442,9606.ENSP00000376865,9606.ENSP00000384364,9606.ENSP00000384906,9606.ENSP00000397297,9606.ENSP00000403495,9606.ENSP00000414303,9606.ENSP00000474412,9606.ENSP00000478319,9606.ENSP00000478570	TGFB1,IFNG,CXCL10,CXCL11,PDGFB,GAS6,PDGFA,CCL20,CXCL9,CNTF,VIP,BMP2,EDN1,KL,PDGFD,NPY,SAA1,NTF3,LTA,BDNF,CCL5,GREM1,VEGFA
GO:0042803	Protein homodimerization activity	24	673	0.61	2.67e-06	9606.ENSP00000216181,9606.ENSP00000222305,9606.ENSP00000248553,9606.ENSP00000265132,9606.ENSP00000288266,9606.ENSP00000309757,9606.ENSP00000312987,9606.ENSP00000321853,9606.ENSP00000330382,9606.ENSP00000336762,9606.ENSP00000346508,9606.ENSP00000351908,9606.ENSP00000354995,9606.ENSP00000356438,9606.ENSP00000363641,9606.ENSP00000377192,9606.ENSP00000381185,9606.ENSP00000393312,9606.ENSP00000418525,9606.ENSP00000474412,9606.ENSP00000478253,9606.ENSP00000478319,9606.ENSP00000478570,9606.ENSP00000480291	MYH9,USF2,HSPB1,AMBP,APPL1,LPL,HNF4A,SERPINF2,PDGFB,ANG,PDGFA,MAP3K5,ABCG1,PTGS2,TXN,G6PD,BCL2,FGFR1,MME,CCL5,MTHFD1L,GREM1,VEGFA,HNF1B
GO:0046983	Protein dimerization activity	29	1037	0.51	1.09e-05	9606.ENSP00000216181,9606.ENSP00000222305,9606.ENSP00000248553,9606.ENSP00000265132,9606.ENSP00000288266,9606.ENSP00000304767,9606.ENSP00000309757,9606.ENSP00000312987,9606.ENSP00000321853,9606.ENSP00000322898,9606.ENSP00000330382,9606.ENSP00000336762,9606.ENSP00000339191,9606.ENSP00000346508,9606.ENSP00000348069,9606.ENSP00000351908,9606.ENSP00000354995,9606.ENSP00000356438,9606.ENSP00000363641,9606.ENSP00000377192,9606.ENSP00000381185,9606.ENSP00000393312,9606.ENSP00000418525,9606.ENSP00000419422,9606.ENSP00000474412,9606.ENSP00000478253,9606.ENSP00000478319,9606.ENSP00000478570,9606.ENSP00000480291	MYH9,USF2,HSPB1,AMBP,APPL1,P2RY1,LPL,HNF4A,SERPINF2,EBF1,PDGFB,ANG,CAV1,PDGFA,SREBF1,MAP3K5,ABCG1,PTGS2,TXN,G6PD,BCL2,FGFR1,MME,AGTR1,CCL5,MTHFD1L,GREM1,VEGFA,HNF1B
GO:0070851	Growth factor receptor binding	11	138	0.96	2.04e-05	9606.ENSP00000330382,9606.ENSP00000346508,9606.ENSP00000352264,9606.ENSP00000355370,9606.ENSP00000361021,9606.ENSP00000369442,9606.ENSP00000371067,9606.ENSP00000376865,9606.ENSP00000390651,9606.ENSP00000478319,9606.ENSP00000478570	PDGFB,PDGFA,CD2AP,CNTF,PTEN,KL,JAK2,PDGFD,IRAK4,GREM1,VEGFA
