#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
HP:0000118	Phenotypic abnormality	92	5134	0.31	9.02e-11	9606.ENSP00000013807,9606.ENSP00000200676,9606.ENSP00000215832,9606.ENSP00000216181,9606.ENSP00000216862,9606.ENSP00000221930,9606.ENSP00000222139,9606.ENSP00000222572,9606.ENSP00000225275,9606.ENSP00000226760,9606.ENSP00000227868,9606.ENSP00000245479,9606.ENSP00000248553,9606.ENSP00000257430,9606.ENSP00000259407,9606.ENSP00000259486,9606.ENSP00000261037,9606.ENSP00000261769,9606.ENSP00000263774,9606.ENSP00000264717,9606.ENSP00000266085,9606.ENSP00000268035,9606.ENSP00000278616,9606.ENSP00000278840,9606.ENSP00000283928,9606.ENSP00000288266,9606.ENSP00000293599,9606.ENSP00000300055,9606.ENSP00000308208,9606.ENSP00000309757,9606.ENSP00000310036,9606.ENSP00000310520,9606.ENSP00000312987,9606.ENSP00000315011,9606.ENSP00000321334,9606.ENSP00000321853,9606.ENSP00000322898,9606.ENSP00000325548,9606.ENSP00000330382,9606.ENSP00000331831,9606.ENSP00000336762,9606.ENSP00000339191,9606.ENSP00000345708,9606.ENSP00000348069,9606.ENSP00000349860,9606.ENSP00000351807,9606.ENSP00000352264,9606.ENSP00000354511,9606.ENSP00000354782,9606.ENSP00000355361,9606.ENSP00000356515,9606.ENSP00000356729,9606.ENSP00000360250,9606.ENSP00000360522,9606.ENSP00000360997,9606.ENSP00000361021,9606.ENSP00000362410,9606.ENSP00000363822,9606.ENSP00000363827,9606.ENSP00000363973,9606.ENSP00000365256,9606.ENSP00000365777,9606.ENSP00000368104,9606.ENSP00000368683,9606.ENSP00000371067,9606.ENSP00000377192,9606.ENSP00000377372,9606.ENSP00000379256,9606.ENSP00000380252,9606.ENSP00000381185,9606.ENSP00000383232,9606.ENSP00000384957,9606.ENSP00000385834,9606.ENSP00000390651,9606.ENSP00000393312,9606.ENSP00000398048,9606.ENSP00000400175,9606.ENSP00000401399,9606.ENSP00000401720,9606.ENSP00000402152,9606.ENSP00000414303,9606.ENSP00000418525,9606.ENSP00000418823,9606.ENSP00000419422,9606.ENSP00000426809,9606.ENSP00000427424,9606.ENSP00000444198,9606.ENSP00000478253,9606.ENSP00000478319,9606.ENSP00000480291,9606.ENSP00000483018,9606.ENSP00000484631	ERCC1,CETP,MAPK1,MYH9,CYP24A1,TGFB1,EPOR,PON2,MPO,WFS1,PDHX,SOX9,HSPB1,APC,BAAT,ENPP2,COL8A1,CDH1,NDUFS3,GCKR,TIMP3,IGF1R,ATM,FADS2,JAZF1,APPL1,AQP5,PLIN1,MMP14,LPL,CD34,ERCC4,HNF4A,EDNRA,LPA,SERPINF2,EBF1,CNDP2,PDGFB,GAS6,ANG,CAV1,KCNJ11,SREBF1,GFPT1,ELN,CD2AP,COMT,CD247,CD47,UTRN,FMO3,ENTPD1,RBP4,ADAMTS13,PTEN,MAFB,AR,HSPG2,ALPL,CLCN5,MTHFR,BMP2,EDN1,JAK2,G6PD,GAP43,NCALD,NFE2L2,BCL2,GGT1,F11,TF,IRAK4,FGFR1,ALPK1,RHOA,MYD88,GK,SLC12A3,BDNF,MME,FTO,AGTR1,PROM1,TNFAIP8,CITED2,MTHFD1L,GREM1,HNF1B,ABO,PMP22
HP:0001939	Abnormality of metabolism/homeostasis	57	2167	0.48	9.02e-11	9606.ENSP00000013807,9606.ENSP00000200676,9606.ENSP00000215832,9606.ENSP00000216181,9606.ENSP00000216862,9606.ENSP00000221930,9606.ENSP00000225275,9606.ENSP00000226760,9606.ENSP00000227868,9606.ENSP00000257430,9606.ENSP00000259407,9606.ENSP00000261769,9606.ENSP00000263774,9606.ENSP00000268035,9606.ENSP00000278616,9606.ENSP00000288266,9606.ENSP00000300055,9606.ENSP00000308208,9606.ENSP00000309757,9606.ENSP00000310520,9606.ENSP00000312987,9606.ENSP00000315011,9606.ENSP00000321334,9606.ENSP00000321853,9606.ENSP00000330382,9606.ENSP00000339191,9606.ENSP00000345708,9606.ENSP00000348069,9606.ENSP00000349860,9606.ENSP00000352264,9606.ENSP00000354511,9606.ENSP00000354782,9606.ENSP00000356729,9606.ENSP00000360997,9606.ENSP00000361021,9606.ENSP00000362410,9606.ENSP00000363822,9606.ENSP00000363827,9606.ENSP00000363973,9606.ENSP00000365256,9606.ENSP00000365777,9606.ENSP00000371067,9606.ENSP00000377192,9606.ENSP00000379256,9606.ENSP00000380252,9606.ENSP00000383232,9606.ENSP00000385834,9606.ENSP00000390651,9606.ENSP00000393312,9606.ENSP00000401399,9606.ENSP00000401720,9606.ENSP00000402152,9606.ENSP00000418823,9606.ENSP00000426809,9606.ENSP00000444198,9606.ENSP00000480291,9606.ENSP00000484631	ERCC1,CETP,MAPK1,MYH9,CYP24A1,TGFB1,MPO,WFS1,PDHX,APC,BAAT,CDH1,NDUFS3,IGF1R,ATM,APPL1,PLIN1,MMP14,LPL,ERCC4,HNF4A,EDNRA,LPA,SERPINF2,PDGFB,CAV1,KCNJ11,SREBF1,GFPT1,CD2AP,COMT,CD247,FMO3,ADAMTS13,PTEN,MAFB,AR,HSPG2,ALPL,CLCN5,MTHFR,JAK2,G6PD,NCALD,NFE2L2,GGT1,TF,IRAK4,FGFR1,MYD88,GK,SLC12A3,FTO,PROM1,CITED2,HNF1B,PMP22
HP:0011277	Abnormality of the urinary system physiology	34	931	0.62	5.78e-09	9606.ENSP00000013807,9606.ENSP00000216181,9606.ENSP00000216862,9606.ENSP00000221930,9606.ENSP00000226760,9606.ENSP00000245479,9606.ENSP00000257430,9606.ENSP00000263774,9606.ENSP00000288266,9606.ENSP00000310520,9606.ENSP00000312987,9606.ENSP00000315011,9606.ENSP00000321334,9606.ENSP00000321853,9606.ENSP00000345708,9606.ENSP00000348069,9606.ENSP00000352264,9606.ENSP00000356729,9606.ENSP00000360997,9606.ENSP00000362410,9606.ENSP00000363973,9606.ENSP00000365256,9606.ENSP00000365777,9606.ENSP00000377192,9606.ENSP00000379256,9606.ENSP00000393312,9606.ENSP00000401399,9606.ENSP00000401720,9606.ENSP00000402152,9606.ENSP00000414303,9606.ENSP00000418525,9606.ENSP00000418823,9606.ENSP00000419422,9606.ENSP00000480291	ERCC1,MYH9,CYP24A1,TGFB1,WFS1,SOX9,APC,NDUFS3,APPL1,ERCC4,HNF4A,EDNRA,LPA,SERPINF2,KCNJ11,SREBF1,CD2AP,FMO3,ADAMTS13,MAFB,ALPL,CLCN5,MTHFR,G6PD,NCALD,FGFR1,MYD88,GK,SLC12A3,BDNF,MME,FTO,AGTR1,HNF1B
HP:0000951	Abnormality of the skin	49	1892	0.47	5.90e-09	9606.ENSP00000013807,9606.ENSP00000215832,9606.ENSP00000216181,9606.ENSP00000221930,9606.ENSP00000222139,9606.ENSP00000245479,9606.ENSP00000257430,9606.ENSP00000259407,9606.ENSP00000261769,9606.ENSP00000268035,9606.ENSP00000278616,9606.ENSP00000283928,9606.ENSP00000293599,9606.ENSP00000300055,9606.ENSP00000308208,9606.ENSP00000309757,9606.ENSP00000310520,9606.ENSP00000312987,9606.ENSP00000315011,9606.ENSP00000321853,9606.ENSP00000330382,9606.ENSP00000339191,9606.ENSP00000345708,9606.ENSP00000348069,9606.ENSP00000351807,9606.ENSP00000354782,9606.ENSP00000360522,9606.ENSP00000360997,9606.ENSP00000361021,9606.ENSP00000362410,9606.ENSP00000363822,9606.ENSP00000363827,9606.ENSP00000363973,9606.ENSP00000365777,9606.ENSP00000368683,9606.ENSP00000371067,9606.ENSP00000377192,9606.ENSP00000380252,9606.ENSP00000393312,9606.ENSP00000398048,9606.ENSP00000400175,9606.ENSP00000401399,9606.ENSP00000402152,9606.ENSP00000418823,9606.ENSP00000426809,9606.ENSP00000427424,9606.ENSP00000444198,9606.ENSP00000480291,9606.ENSP00000483018	ERCC1,MAPK1,MYH9,TGFB1,EPOR,SOX9,APC,BAAT,CDH1,IGF1R,ATM,JAZF1,AQP5,PLIN1,MMP14,LPL,ERCC4,HNF4A,EDNRA,SERPINF2,PDGFB,CAV1,KCNJ11,SREBF1,ELN,CD247,RBP4,ADAMTS13,PTEN,MAFB,AR,HSPG2,ALPL,MTHFR,EDN1,JAK2,G6PD,NFE2L2,FGFR1,ALPK1,RHOA,MYD88,SLC12A3,FTO,PROM1,TNFAIP8,CITED2,HNF1B,ABO
EFO:0004747	Protein measurement	94	5855	0.27	1.36e-08	9606.ENSP00000013807,9606.ENSP00000200676,9606.ENSP00000215832,9606.ENSP00000216181,9606.ENSP00000216862,9606.ENSP00000221930,9606.ENSP00000222139,9606.ENSP00000222305,9606.ENSP00000222572,9606.ENSP00000225275,9606.ENSP00000226760,9606.ENSP00000227868,9606.ENSP00000245479,9606.ENSP00000255409,9606.ENSP00000258341,9606.ENSP00000259407,9606.ENSP00000261037,9606.ENSP00000261769,9606.ENSP00000263317,9606.ENSP00000264717,9606.ENSP00000265132,9606.ENSP00000266085,9606.ENSP00000268035,9606.ENSP00000278840,9606.ENSP00000283928,9606.ENSP00000284031,9606.ENSP00000285407,9606.ENSP00000292303,9606.ENSP00000300055,9606.ENSP00000302630,9606.ENSP00000305651,9606.ENSP00000306124,9606.ENSP00000306884,9606.ENSP00000309757,9606.ENSP00000312987,9606.ENSP00000315011,9606.ENSP00000317674,9606.ENSP00000321334,9606.ENSP00000321853,9606.ENSP00000322898,9606.ENSP00000331831,9606.ENSP00000334329,9606.ENSP00000336762,9606.ENSP00000341208,9606.ENSP00000346148,9606.ENSP00000348069,9606.ENSP00000351908,9606.ENSP00000354511,9606.ENSP00000354901,9606.ENSP00000355370,9606.ENSP00000356729,9606.ENSP00000356832,9606.ENSP00000360250,9606.ENSP00000360522,9606.ENSP00000360997,9606.ENSP00000361021,9606.ENSP00000362463,9606.ENSP00000363641,9606.ENSP00000363822,9606.ENSP00000363827,9606.ENSP00000363973,9606.ENSP00000365777,9606.ENSP00000368104,9606.ENSP00000369816,9606.ENSP00000371067,9606.ENSP00000375844,9606.ENSP00000376865,9606.ENSP00000377192,9606.ENSP00000379256,9606.ENSP00000380252,9606.ENSP00000381185,9606.ENSP00000383232,9606.ENSP00000383364,9606.ENSP00000384262,9606.ENSP00000384364,9606.ENSP00000384906,9606.ENSP00000384957,9606.ENSP00000385834,9606.ENSP00000390651,9606.ENSP00000397297,9606.ENSP00000398048,9606.ENSP00000400175,9606.ENSP00000402152,9606.ENSP00000403495,9606.ENSP00000414303,9606.ENSP00000418525,9606.ENSP00000418823,9606.ENSP00000419422,9606.ENSP00000427424,9606.ENSP00000474412,9606.ENSP00000477707,9606.ENSP00000478570,9606.ENSP00000480291,9606.ENSP00000483018	ERCC1,CETP,MAPK1,MYH9,CYP24A1,TGFB1,EPOR,USF2,PON2,MPO,WFS1,PDHX,SOX9,CHI3L1,LAMC1,BAAT,COL8A1,CDH1,NOX4,GCKR,AMBP,TIMP3,IGF1R,FADS2,JAZF1,DDAH1,KLF10,CCR5,PLIN1,ONECUT1,CXCL10,PRKCE,CXCL11,LPL,HNF4A,EDNRA,APOL1,LPA,SERPINF2,EBF1,GAS6,UNC5B,ANG,STAT5A,PRKAA1,SREBF1,MAP3K5,COMT,CXCL9,CNTF,FMO3,SGK1,ENTPD1,RBP4,ADAMTS13,PTEN,GLO1,TXN,AR,HSPG2,ALPL,MTHFR,BMP2,SHBG,JAK2,CAPN10,PDGFD,G6PD,NCALD,NFE2L2,BCL2,GGT1,PLA2G2A,HPSE,NPY,SAA1,F11,TF,IRAK4,NTF3,ALPK1,RHOA,SLC12A3,LTA,BDNF,MME,FTO,AGTR1,TNFAIP8,CCL5,NR1H3,VEGFA,HNF1B,ABO
HP:0011025	Abnormal cardiovascular system physiology	37	1168	0.56	1.50e-08	9606.ENSP00000013807,9606.ENSP00000215832,9606.ENSP00000216181,9606.ENSP00000216862,9606.ENSP00000222139,9606.ENSP00000226760,9606.ENSP00000257430,9606.ENSP00000300055,9606.ENSP00000308208,9606.ENSP00000309757,9606.ENSP00000310520,9606.ENSP00000312987,9606.ENSP00000321853,9606.ENSP00000330382,9606.ENSP00000339191,9606.ENSP00000345708,9606.ENSP00000348069,9606.ENSP00000351807,9606.ENSP00000352264,9606.ENSP00000356729,9606.ENSP00000360997,9606.ENSP00000361021,9606.ENSP00000362410,9606.ENSP00000363827,9606.ENSP00000363973,9606.ENSP00000365777,9606.ENSP00000368104,9606.ENSP00000371067,9606.ENSP00000384957,9606.ENSP00000385834,9606.ENSP00000393312,9606.ENSP00000401399,9606.ENSP00000402152,9606.ENSP00000419422,9606.ENSP00000444198,9606.ENSP00000478319,9606.ENSP00000483018	ERCC1,MAPK1,MYH9,CYP24A1,EPOR,WFS1,APC,PLIN1,MMP14,LPL,ERCC4,HNF4A,SERPINF2,PDGFB,CAV1,KCNJ11,SREBF1,ELN,CD2AP,FMO3,ADAMTS13,PTEN,MAFB,HSPG2,ALPL,MTHFR,BMP2,JAK2,F11,TF,FGFR1,MYD88,SLC12A3,AGTR1,CITED2,GREM1,ABO
HP:0003110	Abnormality of urine homeostasis	27	638	0.69	2.75e-08	9606.ENSP00000013807,9606.ENSP00000216181,9606.ENSP00000216862,9606.ENSP00000221930,9606.ENSP00000257430,9606.ENSP00000288266,9606.ENSP00000310520,9606.ENSP00000312987,9606.ENSP00000315011,9606.ENSP00000321334,9606.ENSP00000321853,9606.ENSP00000345708,9606.ENSP00000348069,9606.ENSP00000352264,9606.ENSP00000356729,9606.ENSP00000360997,9606.ENSP00000362410,9606.ENSP00000363973,9606.ENSP00000365256,9606.ENSP00000365777,9606.ENSP00000377192,9606.ENSP00000379256,9606.ENSP00000393312,9606.ENSP00000401720,9606.ENSP00000402152,9606.ENSP00000418823,9606.ENSP00000480291	ERCC1,MYH9,CYP24A1,TGFB1,APC,APPL1,ERCC4,HNF4A,EDNRA,LPA,SERPINF2,KCNJ11,SREBF1,CD2AP,FMO3,ADAMTS13,MAFB,ALPL,CLCN5,MTHFR,G6PD,NCALD,FGFR1,GK,SLC12A3,FTO,HNF1B
HP:0001574	Abnormality of the integument	52	2269	0.42	4.67e-08	9606.ENSP00000013807,9606.ENSP00000215832,9606.ENSP00000216181,9606.ENSP00000221930,9606.ENSP00000222139,9606.ENSP00000245479,9606.ENSP00000257430,9606.ENSP00000259407,9606.ENSP00000261769,9606.ENSP00000263774,9606.ENSP00000268035,9606.ENSP00000278616,9606.ENSP00000283928,9606.ENSP00000293599,9606.ENSP00000300055,9606.ENSP00000308208,9606.ENSP00000309757,9606.ENSP00000310520,9606.ENSP00000312987,9606.ENSP00000315011,9606.ENSP00000321853,9606.ENSP00000330382,9606.ENSP00000339191,9606.ENSP00000345708,9606.ENSP00000348069,9606.ENSP00000351807,9606.ENSP00000354782,9606.ENSP00000360522,9606.ENSP00000360997,9606.ENSP00000361021,9606.ENSP00000362410,9606.ENSP00000363822,9606.ENSP00000363827,9606.ENSP00000363973,9606.ENSP00000365777,9606.ENSP00000368104,9606.ENSP00000368683,9606.ENSP00000371067,9606.ENSP00000377192,9606.ENSP00000380252,9606.ENSP00000381185,9606.ENSP00000393312,9606.ENSP00000398048,9606.ENSP00000400175,9606.ENSP00000401399,9606.ENSP00000402152,9606.ENSP00000418823,9606.ENSP00000426809,9606.ENSP00000427424,9606.ENSP00000444198,9606.ENSP00000480291,9606.ENSP00000483018	ERCC1,MAPK1,MYH9,TGFB1,EPOR,SOX9,APC,BAAT,CDH1,NDUFS3,IGF1R,ATM,JAZF1,AQP5,PLIN1,MMP14,LPL,ERCC4,HNF4A,EDNRA,SERPINF2,PDGFB,CAV1,KCNJ11,SREBF1,ELN,CD247,RBP4,ADAMTS13,PTEN,MAFB,AR,HSPG2,ALPL,MTHFR,BMP2,EDN1,JAK2,G6PD,NFE2L2,BCL2,FGFR1,ALPK1,RHOA,MYD88,SLC12A3,FTO,PROM1,TNFAIP8,CITED2,HNF1B,ABO
HP:0001626	Abnormality of the cardiovascular system	54	2435	0.41	5.12e-08	9606.ENSP00000013807,9606.ENSP00000215832,9606.ENSP00000216181,9606.ENSP00000216862,9606.ENSP00000221930,9606.ENSP00000222139,9606.ENSP00000226760,9606.ENSP00000245479,9606.ENSP00000257430,9606.ENSP00000263774,9606.ENSP00000264717,9606.ENSP00000268035,9606.ENSP00000278616,9606.ENSP00000293599,9606.ENSP00000300055,9606.ENSP00000308208,9606.ENSP00000309757,9606.ENSP00000310520,9606.ENSP00000312987,9606.ENSP00000315011,9606.ENSP00000321853,9606.ENSP00000322898,9606.ENSP00000330382,9606.ENSP00000339191,9606.ENSP00000345708,9606.ENSP00000348069,9606.ENSP00000351807,9606.ENSP00000352264,9606.ENSP00000354782,9606.ENSP00000356729,9606.ENSP00000360522,9606.ENSP00000360997,9606.ENSP00000361021,9606.ENSP00000362410,9606.ENSP00000363827,9606.ENSP00000363973,9606.ENSP00000365777,9606.ENSP00000368104,9606.ENSP00000368683,9606.ENSP00000371067,9606.ENSP00000377192,9606.ENSP00000380252,9606.ENSP00000384957,9606.ENSP00000385834,9606.ENSP00000393312,9606.ENSP00000398048,9606.ENSP00000401399,9606.ENSP00000402152,9606.ENSP00000418823,9606.ENSP00000419422,9606.ENSP00000426809,9606.ENSP00000444198,9606.ENSP00000478319,9606.ENSP00000483018	ERCC1,MAPK1,MYH9,CYP24A1,TGFB1,EPOR,WFS1,SOX9,APC,NDUFS3,GCKR,IGF1R,ATM,AQP5,PLIN1,MMP14,LPL,ERCC4,HNF4A,EDNRA,SERPINF2,EBF1,PDGFB,CAV1,KCNJ11,SREBF1,ELN,CD2AP,CD247,FMO3,RBP4,ADAMTS13,PTEN,MAFB,HSPG2,ALPL,MTHFR,BMP2,EDN1,JAK2,G6PD,NFE2L2,F11,TF,FGFR1,ALPK1,MYD88,SLC12A3,FTO,AGTR1,PROM1,CITED2,GREM1,ABO
HP:0001871	Abnormality of blood and blood-forming tissues	36	1216	0.53	1.15e-07	9606.ENSP00000215832,9606.ENSP00000216181,9606.ENSP00000221930,9606.ENSP00000222139,9606.ENSP00000225275,9606.ENSP00000226760,9606.ENSP00000257430,9606.ENSP00000263774,9606.ENSP00000278616,9606.ENSP00000288266,9606.ENSP00000310520,9606.ENSP00000312987,9606.ENSP00000315011,9606.ENSP00000321853,9606.ENSP00000330382,9606.ENSP00000345708,9606.ENSP00000348069,9606.ENSP00000354782,9606.ENSP00000356729,9606.ENSP00000360997,9606.ENSP00000361021,9606.ENSP00000363973,9606.ENSP00000365777,9606.ENSP00000371067,9606.ENSP00000377192,9606.ENSP00000380252,9606.ENSP00000381185,9606.ENSP00000384957,9606.ENSP00000385834,9606.ENSP00000390651,9606.ENSP00000398048,9606.ENSP00000401399,9606.ENSP00000402152,9606.ENSP00000444198,9606.ENSP00000478319,9606.ENSP00000483018	MAPK1,MYH9,TGFB1,EPOR,MPO,WFS1,APC,NDUFS3,ATM,APPL1,ERCC4,HNF4A,EDNRA,SERPINF2,PDGFB,KCNJ11,SREBF1,CD247,FMO3,ADAMTS13,PTEN,ALPL,MTHFR,JAK2,G6PD,NFE2L2,BCL2,F11,TF,IRAK4,ALPK1,MYD88,SLC12A3,CITED2,GREM1,ABO
