#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
hsa05200	Pathways in cancer	25	517	0.75	2.59e-09	9606.ENSP00000215832,9606.ENSP00000221930,9606.ENSP00000222139,9606.ENSP00000229135,9606.ENSP00000257430,9606.ENSP00000258341,9606.ENSP00000261769,9606.ENSP00000268035,9606.ENSP00000288266,9606.ENSP00000315011,9606.ENSP00000330382,9606.ENSP00000341208,9606.ENSP00000346508,9606.ENSP00000356438,9606.ENSP00000361021,9606.ENSP00000363822,9606.ENSP00000368104,9606.ENSP00000368683,9606.ENSP00000371067,9606.ENSP00000380252,9606.ENSP00000381185,9606.ENSP00000393312,9606.ENSP00000400175,9606.ENSP00000419422,9606.ENSP00000478570	MAPK1,TGFB1,EPOR,IFNG,APC,LAMC1,CDH1,IGF1R,APPL1,EDNRA,PDGFB,STAT5A,PDGFA,PTGS2,PTEN,AR,BMP2,EDN1,JAK2,NFE2L2,BCL2,FGFR1,RHOA,AGTR1,VEGFA
hsa05206	MicroRNAs in cancer	15	160	1.03	4.52e-09	9606.ENSP00000215832,9606.ENSP00000216862,9606.ENSP00000257430,9606.ENSP00000260356,9606.ENSP00000266085,9606.ENSP00000278616,9606.ENSP00000306124,9606.ENSP00000311005,9606.ENSP00000330382,9606.ENSP00000346508,9606.ENSP00000356438,9606.ENSP00000361021,9606.ENSP00000381185,9606.ENSP00000400175,9606.ENSP00000478570	MAPK1,CYP24A1,APC,THBS1,TIMP3,ATM,PRKCE,MAPK7,PDGFB,PDGFA,PTGS2,PTEN,BCL2,RHOA,VEGFA
hsa05418	Fluid shear stress and atherosclerosis	14	130	1.09	4.52e-09	9606.ENSP00000229135,9606.ENSP00000311005,9606.ENSP00000330382,9606.ENSP00000339191,9606.ENSP00000346148,9606.ENSP00000346508,9606.ENSP00000351908,9606.ENSP00000362057,9606.ENSP00000363641,9606.ENSP00000368683,9606.ENSP00000380252,9606.ENSP00000381185,9606.ENSP00000400175,9606.ENSP00000478570	IFNG,MAPK7,PDGFB,CAV1,PRKAA1,PDGFA,MAP3K5,NOX1,TXN,EDN1,NFE2L2,BCL2,RHOA,VEGFA
hsa04151	PI3K-Akt signaling pathway	18	350	0.77	2.18e-07	9606.ENSP00000215832,9606.ENSP00000222139,9606.ENSP00000258341,9606.ENSP00000260356,9606.ENSP00000268035,9606.ENSP00000314897,9606.ENSP00000330382,9606.ENSP00000346148,9606.ENSP00000346508,9606.ENSP00000356832,9606.ENSP00000361021,9606.ENSP00000371067,9606.ENSP00000376865,9606.ENSP00000381185,9606.ENSP00000393312,9606.ENSP00000397297,9606.ENSP00000414303,9606.ENSP00000478570	MAPK1,EPOR,LAMC1,THBS1,IGF1R,ANGPT2,PDGFB,PRKAA1,PDGFA,SGK1,PTEN,JAK2,PDGFD,BCL2,FGFR1,NTF3,BDNF,VEGFA
hsa04933	AGE-RAGE signaling pathway in diabetic complications	11	98	1.11	2.18e-07	9606.ENSP00000215832,9606.ENSP00000221930,9606.ENSP00000263317,9606.ENSP00000306124,9606.ENSP00000341208,9606.ENSP00000362057,9606.ENSP00000368683,9606.ENSP00000371067,9606.ENSP00000381185,9606.ENSP00000419422,9606.ENSP00000478570	MAPK1,TGFB1,NOX4,PRKCE,STAT5A,NOX1,EDN1,JAK2,BCL2,AGTR1,VEGFA
hsa01521	EGFR tyrosine kinase inhibitor resistance	10	78	1.17	2.44e-07	9606.ENSP00000215832,9606.ENSP00000268035,9606.ENSP00000330382,9606.ENSP00000331831,9606.ENSP00000346508,9606.ENSP00000361021,9606.ENSP00000371067,9606.ENSP00000376865,9606.ENSP00000381185,9606.ENSP00000478570	MAPK1,IGF1R,PDGFB,GAS6,PDGFA,PTEN,JAK2,PDGFD,BCL2,VEGFA
hsa04010	MAPK signaling pathway	16	288	0.81	4.33e-07	9606.ENSP00000215832,9606.ENSP00000221930,9606.ENSP00000248553,9606.ENSP00000268035,9606.ENSP00000311005,9606.ENSP00000314897,9606.ENSP00000330382,9606.ENSP00000346508,9606.ENSP00000351908,9606.ENSP00000376865,9606.ENSP00000390651,9606.ENSP00000393312,9606.ENSP00000397297,9606.ENSP00000401399,9606.ENSP00000414303,9606.ENSP00000478570	MAPK1,TGFB1,HSPB1,IGF1R,MAPK7,ANGPT2,PDGFB,PDGFA,MAP3K5,PDGFD,IRAK4,FGFR1,NTF3,MYD88,BDNF,VEGFA
hsa04015	Rap1 signaling pathway	13	202	0.87	1.97e-06	9606.ENSP00000215832,9606.ENSP00000260356,9606.ENSP00000261769,9606.ENSP00000268035,9606.ENSP00000304767,9606.ENSP00000314897,9606.ENSP00000330382,9606.ENSP00000346508,9606.ENSP00000358513,9606.ENSP00000376865,9606.ENSP00000393312,9606.ENSP00000400175,9606.ENSP00000478570	MAPK1,THBS1,CDH1,IGF1R,P2RY1,ANGPT2,PDGFB,PDGFA,CNR1,PDGFD,FGFR1,RHOA,VEGFA
hsa04350	TGF-beta signaling pathway	9	91	1.06	7.66e-06	9606.ENSP00000215832,9606.ENSP00000221930,9606.ENSP00000229135,9606.ENSP00000260356,9606.ENSP00000347041,9606.ENSP00000364683,9606.ENSP00000368104,9606.ENSP00000400175,9606.ENSP00000478319	MAPK1,TGFB1,IFNG,THBS1,FMOD,BAMBI,BMP2,RHOA,GREM1
hsa04510	Focal adhesion	12	198	0.84	9.70e-06	9606.ENSP00000215832,9606.ENSP00000258341,9606.ENSP00000260356,9606.ENSP00000268035,9606.ENSP00000330382,9606.ENSP00000339191,9606.ENSP00000346508,9606.ENSP00000361021,9606.ENSP00000376865,9606.ENSP00000381185,9606.ENSP00000400175,9606.ENSP00000478570	MAPK1,LAMC1,THBS1,IGF1R,PDGFB,CAV1,PDGFA,PTEN,PDGFD,BCL2,RHOA,VEGFA
