#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
KW-0964	Secreted	52	1818	0.52	5.54e-12	9606.ENSP00000200676,9606.ENSP00000221930,9606.ENSP00000222139,9606.ENSP00000229135,9606.ENSP00000255409,9606.ENSP00000258341,9606.ENSP00000259486,9606.ENSP00000260356,9606.ENSP00000261037,9606.ENSP00000265132,9606.ENSP00000266085,9606.ENSP00000305651,9606.ENSP00000306884,9606.ENSP00000309757,9606.ENSP00000314897,9606.ENSP00000317674,9606.ENSP00000321853,9606.ENSP00000330382,9606.ENSP00000331831,9606.ENSP00000336762,9606.ENSP00000346508,9606.ENSP00000347041,9606.ENSP00000351671,9606.ENSP00000351807,9606.ENSP00000354901,9606.ENSP00000356213,9606.ENSP00000357726,9606.ENSP00000360522,9606.ENSP00000360997,9606.ENSP00000361021,9606.ENSP00000362524,9606.ENSP00000363641,9606.ENSP00000363827,9606.ENSP00000368104,9606.ENSP00000368683,9606.ENSP00000369442,9606.ENSP00000369816,9606.ENSP00000376865,9606.ENSP00000383364,9606.ENSP00000384262,9606.ENSP00000384364,9606.ENSP00000384906,9606.ENSP00000384957,9606.ENSP00000385834,9606.ENSP00000397297,9606.ENSP00000403495,9606.ENSP00000414303,9606.ENSP00000418009,9606.ENSP00000474412,9606.ENSP00000478319,9606.ENSP00000478570,9606.ENSP00000483018	CETP,TGFB1,EPOR,IFNG,CHI3L1,LAMC1,ENPP2,THBS1,COL8A1,AMBP,TIMP3,CXCL10,CXCL11,LPL,ANGPT2,APOL1,SERPINF2,PDGFB,GAS6,ANG,PDGFA,FMOD,CCL20,ELN,CXCL9,VIP,S100A12,RBP4,ADAMTS13,PTEN,ANGPTL2,TXN,HSPG2,BMP2,EDN1,KL,SHBG,PDGFD,PLA2G2A,HPSE,NPY,SAA1,F11,TF,NTF3,LTA,BDNF,RARRES2,CCL5,GREM1,VEGFA,ABO
KW-9995	Disease	78	3996	0.35	3.85e-11	9606.ENSP00000013807,9606.ENSP00000200676,9606.ENSP00000216181,9606.ENSP00000216862,9606.ENSP00000221930,9606.ENSP00000222139,9606.ENSP00000225275,9606.ENSP00000226279,9606.ENSP00000226760,9606.ENSP00000245479,9606.ENSP00000248553,9606.ENSP00000255409,9606.ENSP00000257430,9606.ENSP00000259407,9606.ENSP00000259486,9606.ENSP00000261769,9606.ENSP00000263774,9606.ENSP00000266085,9606.ENSP00000268035,9606.ENSP00000278616,9606.ENSP00000283928,9606.ENSP00000288266,9606.ENSP00000292303,9606.ENSP00000293599,9606.ENSP00000308208,9606.ENSP00000309757,9606.ENSP00000310520,9606.ENSP00000312987,9606.ENSP00000315011,9606.ENSP00000317674,9606.ENSP00000321334,9606.ENSP00000321853,9606.ENSP00000330382,9606.ENSP00000336762,9606.ENSP00000339191,9606.ENSP00000345708,9606.ENSP00000349860,9606.ENSP00000351807,9606.ENSP00000354511,9606.ENSP00000356729,9606.ENSP00000358513,9606.ENSP00000360250,9606.ENSP00000360522,9606.ENSP00000360997,9606.ENSP00000361021,9606.ENSP00000362410,9606.ENSP00000363641,9606.ENSP00000363822,9606.ENSP00000363827,9606.ENSP00000363973,9606.ENSP00000365256,9606.ENSP00000365777,9606.ENSP00000368104,9606.ENSP00000368683,9606.ENSP00000369442,9606.ENSP00000371067,9606.ENSP00000375844,9606.ENSP00000376865,9606.ENSP00000377192,9606.ENSP00000380252,9606.ENSP00000381185,9606.ENSP00000383232,9606.ENSP00000384906,9606.ENSP00000384957,9606.ENSP00000385834,9606.ENSP00000393312,9606.ENSP00000400175,9606.ENSP00000401399,9606.ENSP00000401720,9606.ENSP00000402152,9606.ENSP00000414303,9606.ENSP00000418525,9606.ENSP00000418823,9606.ENSP00000419422,9606.ENSP00000426809,9606.ENSP00000444198,9606.ENSP00000480291,9606.ENSP00000484631	ERCC1,CETP,MYH9,CYP24A1,TGFB1,EPOR,MPO,CD38,WFS1,SOX9,HSPB1,CHI3L1,APC,BAAT,ENPP2,CDH1,NDUFS3,TIMP3,IGF1R,ATM,JAZF1,APPL1,CCR5,AQP5,MMP14,LPL,ERCC4,HNF4A,EDNRA,APOL1,LPA,SERPINF2,PDGFB,ANG,CAV1,KCNJ11,GFPT1,ELN,COMT,FMO3,CNR1,ENTPD1,RBP4,ADAMTS13,PTEN,MAFB,TXN,AR,HSPG2,ALPL,CLCN5,MTHFR,BMP2,EDN1,KL,JAK2,CAPN10,PDGFD,G6PD,NFE2L2,BCL2,GGT1,SAA1,F11,TF,FGFR1,RHOA,MYD88,GK,SLC12A3,BDNF,MME,FTO,AGTR1,PROM1,CITED2,HNF1B,PMP22
KW-0732	Signal	66	3233	0.37	8.00e-10	9606.ENSP00000200676,9606.ENSP00000221930,9606.ENSP00000222139,9606.ENSP00000222572,9606.ENSP00000225275,9606.ENSP00000229135,9606.ENSP00000255409,9606.ENSP00000258341,9606.ENSP00000259486,9606.ENSP00000260356,9606.ENSP00000261037,9606.ENSP00000261769,9606.ENSP00000265132,9606.ENSP00000266085,9606.ENSP00000268035,9606.ENSP00000305651,9606.ENSP00000306884,9606.ENSP00000308208,9606.ENSP00000309757,9606.ENSP00000310036,9606.ENSP00000314897,9606.ENSP00000315011,9606.ENSP00000317674,9606.ENSP00000321334,9606.ENSP00000321853,9606.ENSP00000330382,9606.ENSP00000331831,9606.ENSP00000334329,9606.ENSP00000336762,9606.ENSP00000346508,9606.ENSP00000347041,9606.ENSP00000351671,9606.ENSP00000351807,9606.ENSP00000354782,9606.ENSP00000354901,9606.ENSP00000355361,9606.ENSP00000356213,9606.ENSP00000356438,9606.ENSP00000360522,9606.ENSP00000360997,9606.ENSP00000362524,9606.ENSP00000363827,9606.ENSP00000363973,9606.ENSP00000364683,9606.ENSP00000366395,9606.ENSP00000368104,9606.ENSP00000368683,9606.ENSP00000369442,9606.ENSP00000369816,9606.ENSP00000376865,9606.ENSP00000378046,9606.ENSP00000383364,9606.ENSP00000384262,9606.ENSP00000384364,9606.ENSP00000384906,9606.ENSP00000384957,9606.ENSP00000385834,9606.ENSP00000393312,9606.ENSP00000397297,9606.ENSP00000403495,9606.ENSP00000414303,9606.ENSP00000418009,9606.ENSP00000426809,9606.ENSP00000474412,9606.ENSP00000478319,9606.ENSP00000478570	CETP,TGFB1,EPOR,PON2,MPO,IFNG,CHI3L1,LAMC1,ENPP2,THBS1,COL8A1,CDH1,AMBP,TIMP3,IGF1R,CXCL10,CXCL11,MMP14,LPL,CD34,ANGPT2,EDNRA,APOL1,LPA,SERPINF2,PDGFB,GAS6,UNC5B,ANG,PDGFA,FMOD,CCL20,ELN,CD247,CXCL9,CD47,VIP,PTGS2,RBP4,ADAMTS13,ANGPTL2,HSPG2,ALPL,BAMBI,SYVN1,BMP2,EDN1,KL,SHBG,PDGFD,FKBP2,PLA2G2A,HPSE,NPY,SAA1,F11,TF,FGFR1,NTF3,LTA,BDNF,RARRES2,PROM1,CCL5,GREM1,VEGFA
KW-1015	Disulfide bond	67	3304	0.37	8.00e-10	9606.ENSP00000200676,9606.ENSP00000221930,9606.ENSP00000222139,9606.ENSP00000222572,9606.ENSP00000225275,9606.ENSP00000226279,9606.ENSP00000228434,9606.ENSP00000246553,9606.ENSP00000255409,9606.ENSP00000258341,9606.ENSP00000259486,9606.ENSP00000260356,9606.ENSP00000261769,9606.ENSP00000263317,9606.ENSP00000265132,9606.ENSP00000266085,9606.ENSP00000268035,9606.ENSP00000292303,9606.ENSP00000298352,9606.ENSP00000301522,9606.ENSP00000304767,9606.ENSP00000305651,9606.ENSP00000306884,9606.ENSP00000308208,9606.ENSP00000309757,9606.ENSP00000314897,9606.ENSP00000315011,9606.ENSP00000321334,9606.ENSP00000321853,9606.ENSP00000330382,9606.ENSP00000331831,9606.ENSP00000334329,9606.ENSP00000336762,9606.ENSP00000346508,9606.ENSP00000347041,9606.ENSP00000351671,9606.ENSP00000351807,9606.ENSP00000354901,9606.ENSP00000355361,9606.ENSP00000356438,9606.ENSP00000356832,9606.ENSP00000360250,9606.ENSP00000360522,9606.ENSP00000360997,9606.ENSP00000362463,9606.ENSP00000362524,9606.ENSP00000363641,9606.ENSP00000363827,9606.ENSP00000363973,9606.ENSP00000368104,9606.ENSP00000368683,9606.ENSP00000369816,9606.ENSP00000376865,9606.ENSP00000383232,9606.ENSP00000383364,9606.ENSP00000384262,9606.ENSP00000384957,9606.ENSP00000385834,9606.ENSP00000393312,9606.ENSP00000397297,9606.ENSP00000414303,9606.ENSP00000418009,9606.ENSP00000418525,9606.ENSP00000419422,9606.ENSP00000474412,9606.ENSP00000478319,9606.ENSP00000478570	CETP,TGFB1,EPOR,PON2,MPO,CD38,CD69,FFAR1,CHI3L1,LAMC1,ENPP2,THBS1,CDH1,NOX4,AMBP,TIMP3,IGF1R,CCR5,NGB,PRDX2,P2RY1,CXCL10,CXCL11,MMP14,LPL,ANGPT2,EDNRA,LPA,SERPINF2,PDGFB,GAS6,UNC5B,ANG,PDGFA,FMOD,CCL20,ELN,CXCL9,CD47,PTGS2,SGK1,ENTPD1,RBP4,ADAMTS13,GLO1,ANGPTL2,TXN,HSPG2,ALPL,BMP2,EDN1,SHBG,PDGFD,GGT1,PLA2G2A,HPSE,F11,TF,FGFR1,NTF3,BDNF,RARRES2,MME,AGTR1,CCL5,GREM1,VEGFA
KW-0225	Disease mutation	61	3145	0.35	4.75e-08	9606.ENSP00000200676,9606.ENSP00000216181,9606.ENSP00000216862,9606.ENSP00000221930,9606.ENSP00000222139,9606.ENSP00000225275,9606.ENSP00000226760,9606.ENSP00000245479,9606.ENSP00000248553,9606.ENSP00000257430,9606.ENSP00000259407,9606.ENSP00000261769,9606.ENSP00000263774,9606.ENSP00000266085,9606.ENSP00000268035,9606.ENSP00000278616,9606.ENSP00000288266,9606.ENSP00000293599,9606.ENSP00000308208,9606.ENSP00000309757,9606.ENSP00000310520,9606.ENSP00000312987,9606.ENSP00000315011,9606.ENSP00000317674,9606.ENSP00000321853,9606.ENSP00000330382,9606.ENSP00000336762,9606.ENSP00000339191,9606.ENSP00000345708,9606.ENSP00000349860,9606.ENSP00000356729,9606.ENSP00000360250,9606.ENSP00000360522,9606.ENSP00000360997,9606.ENSP00000361021,9606.ENSP00000362410,9606.ENSP00000363822,9606.ENSP00000363827,9606.ENSP00000363973,9606.ENSP00000365256,9606.ENSP00000365777,9606.ENSP00000368104,9606.ENSP00000368683,9606.ENSP00000369442,9606.ENSP00000371067,9606.ENSP00000377192,9606.ENSP00000380252,9606.ENSP00000381185,9606.ENSP00000384957,9606.ENSP00000385834,9606.ENSP00000393312,9606.ENSP00000401399,9606.ENSP00000401720,9606.ENSP00000402152,9606.ENSP00000414303,9606.ENSP00000418525,9606.ENSP00000418823,9606.ENSP00000419422,9606.ENSP00000426809,9606.ENSP00000444198,9606.ENSP00000484631	CETP,MYH9,CYP24A1,TGFB1,EPOR,MPO,WFS1,SOX9,HSPB1,APC,BAAT,CDH1,NDUFS3,TIMP3,IGF1R,ATM,APPL1,AQP5,MMP14,LPL,ERCC4,HNF4A,EDNRA,APOL1,SERPINF2,PDGFB,ANG,CAV1,KCNJ11,GFPT1,FMO3,ENTPD1,RBP4,ADAMTS13,PTEN,MAFB,AR,HSPG2,ALPL,CLCN5,MTHFR,BMP2,EDN1,KL,JAK2,G6PD,NFE2L2,BCL2,F11,TF,FGFR1,MYD88,GK,SLC12A3,BDNF,MME,FTO,AGTR1,PROM1,CITED2,PMP22
KW-0165	Cleavage on pair of basic residues	17	278	0.85	8.60e-08	9606.ENSP00000221930,9606.ENSP00000229135,9606.ENSP00000259486,9606.ENSP00000261769,9606.ENSP00000265132,9606.ENSP00000268035,9606.ENSP00000308208,9606.ENSP00000330382,9606.ENSP00000346508,9606.ENSP00000356213,9606.ENSP00000360997,9606.ENSP00000368104,9606.ENSP00000368683,9606.ENSP00000376865,9606.ENSP00000384364,9606.ENSP00000397297,9606.ENSP00000414303	TGFB1,IFNG,ENPP2,CDH1,AMBP,IGF1R,MMP14,PDGFB,PDGFA,VIP,ADAMTS13,BMP2,EDN1,PDGFD,NPY,NTF3,BDNF
KW-0219	Diabetes mellitus	9	78	1.12	5.88e-06	9606.ENSP00000226279,9606.ENSP00000226760,9606.ENSP00000288266,9606.ENSP00000292303,9606.ENSP00000312987,9606.ENSP00000339191,9606.ENSP00000345708,9606.ENSP00000375844,9606.ENSP00000480291	CD38,WFS1,APPL1,CCR5,HNF4A,CAV1,KCNJ11,CAPN10,HNF1B
KW-0325	Glycoprotein	69	4349	0.26	6.02e-06	9606.ENSP00000200676,9606.ENSP00000221930,9606.ENSP00000222139,9606.ENSP00000222572,9606.ENSP00000225275,9606.ENSP00000226279,9606.ENSP00000226760,9606.ENSP00000228434,9606.ENSP00000229135,9606.ENSP00000246553,9606.ENSP00000255409,9606.ENSP00000258341,9606.ENSP00000259486,9606.ENSP00000260356,9606.ENSP00000261769,9606.ENSP00000263317,9606.ENSP00000265132,9606.ENSP00000268035,9606.ENSP00000292303,9606.ENSP00000293599,9606.ENSP00000304767,9606.ENSP00000309757,9606.ENSP00000310036,9606.ENSP00000314897,9606.ENSP00000315011,9606.ENSP00000317674,9606.ENSP00000321334,9606.ENSP00000321853,9606.ENSP00000330382,9606.ENSP00000331831,9606.ENSP00000334329,9606.ENSP00000346508,9606.ENSP00000347041,9606.ENSP00000355361,9606.ENSP00000356438,9606.ENSP00000358513,9606.ENSP00000360250,9606.ENSP00000360997,9606.ENSP00000362057,9606.ENSP00000362524,9606.ENSP00000363596,9606.ENSP00000363827,9606.ENSP00000363973,9606.ENSP00000364683,9606.ENSP00000368104,9606.ENSP00000369442,9606.ENSP00000369816,9606.ENSP00000376865,9606.ENSP00000380252,9606.ENSP00000383232,9606.ENSP00000384262,9606.ENSP00000384957,9606.ENSP00000385834,9606.ENSP00000393312,9606.ENSP00000397297,9606.ENSP00000400175,9606.ENSP00000402152,9606.ENSP00000403495,9606.ENSP00000414303,9606.ENSP00000418525,9606.ENSP00000419422,9606.ENSP00000426809,9606.ENSP00000445772,9606.ENSP00000474412,9606.ENSP00000475344,9606.ENSP00000478319,9606.ENSP00000478570,9606.ENSP00000483018,9606.ENSP00000484631	CETP,TGFB1,EPOR,PON2,MPO,CD38,WFS1,CD69,IFNG,FFAR1,CHI3L1,LAMC1,ENPP2,THBS1,CDH1,NOX4,AMBP,IGF1R,CCR5,AQP5,P2RY1,LPL,CD34,ANGPT2,EDNRA,APOL1,LPA,SERPINF2,PDGFB,GAS6,UNC5B,PDGFA,FMOD,CD47,PTGS2,CNR1,ENTPD1,ADAMTS13,NOX1,ANGPTL2,CNR2,HSPG2,ALPL,BAMBI,BMP2,KL,SHBG,PDGFD,NFE2L2,GGT1,HPSE,F11,TF,FGFR1,NTF3,RHOA,SLC12A3,LTA,BDNF,MME,AGTR1,PROM1,LTB4R2,CCL5,APLNR,GREM1,VEGFA,ABO,PMP22
KW-0395	Inflammatory response	10	162	0.85	0.00017	9606.ENSP00000255409,9606.ENSP00000305651,9606.ENSP00000306884,9606.ENSP00000351671,9606.ENSP00000354901,9606.ENSP00000357726,9606.ENSP00000363596,9606.ENSP00000401399,9606.ENSP00000418009,9606.ENSP00000474412	CHI3L1,CXCL10,CXCL11,CCL20,CXCL9,S100A12,CNR2,MYD88,RARRES2,CCL5
KW-0877	Alternative promoter usage	8	91	1.01	0.00017	9606.ENSP00000257430,9606.ENSP00000312987,9606.ENSP00000330382,9606.ENSP00000356515,9606.ENSP00000356832,9606.ENSP00000383232,9606.ENSP00000414303,9606.ENSP00000478570	APC,HNF4A,PDGFB,UTRN,SGK1,GGT1,BDNF,VEGFA
