#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
CL:19707	Mixed, incl. formation of fibrin clot (clotting cascade), and lipoprotein particle	11	129	0.99	0.00017	9606.ENSP00000200676,9606.ENSP00000225275,9606.ENSP00000265132,9606.ENSP00000309757,9606.ENSP00000317674,9606.ENSP00000321334,9606.ENSP00000321853,9606.ENSP00000360522,9606.ENSP00000369816,9606.ENSP00000384957,9606.ENSP00000419422	CETP,MPO,AMBP,LPL,APOL1,LPA,SERPINF2,RBP4,SHBG,F11,AGTR1
CL:15702	Mixed, incl. constitutive signaling by aberrant pi3k in cancer, and ret signaling	9	100	1.02	0.00089	9606.ENSP00000314897,9606.ENSP00000330382,9606.ENSP00000346508,9606.ENSP00000369442,9606.ENSP00000376865,9606.ENSP00000393312,9606.ENSP00000397297,9606.ENSP00000414303,9606.ENSP00000478570	ANGPT2,PDGFB,PDGFA,KL,PDGFD,FGFR1,NTF3,BDNF,VEGFA
CL:15705	Mixed, incl. fgfr2 ligand binding and activation, and pdgf/vegf domain	7	47	1.23	0.00089	9606.ENSP00000314897,9606.ENSP00000330382,9606.ENSP00000346508,9606.ENSP00000369442,9606.ENSP00000376865,9606.ENSP00000393312,9606.ENSP00000478570	ANGPT2,PDGFB,PDGFA,KL,PDGFD,FGFR1,VEGFA
CL:18276	Chemokine receptors bind chemokines	6	28	1.39	0.00089	9606.ENSP00000292303,9606.ENSP00000305651,9606.ENSP00000306884,9606.ENSP00000351671,9606.ENSP00000354901,9606.ENSP00000474412	CCR5,CXCL10,CXCL11,CCL20,CXCL9,CCL5
CL:15707	Mixed, incl. pdgf/vegf domain, and vascular endothelial growth factor binding	5	22	1.42	0.0017	9606.ENSP00000314897,9606.ENSP00000330382,9606.ENSP00000346508,9606.ENSP00000376865,9606.ENSP00000478570	ANGPT2,PDGFB,PDGFA,PDGFD,VEGFA
CL:15701	Mixed, incl. constitutive signaling by aberrant pi3k in cancer, and sh2 domain	10	194	0.77	0.0047	9606.ENSP00000314897,9606.ENSP00000330382,9606.ENSP00000346508,9606.ENSP00000354782,9606.ENSP00000369442,9606.ENSP00000376865,9606.ENSP00000393312,9606.ENSP00000397297,9606.ENSP00000414303,9606.ENSP00000478570	ANGPT2,PDGFB,PDGFA,CD247,KL,PDGFD,FGFR1,NTF3,BDNF,VEGFA
CL:15708	PDGF/VEGF domain, and vascular endothelial growth factor binding	4	15	1.49	0.0065	9606.ENSP00000330382,9606.ENSP00000346508,9606.ENSP00000376865,9606.ENSP00000478570	PDGFB,PDGFA,PDGFD,VEGFA
CL:16429	Collagen formation, and Defective B3GALTL causes Peters-plus syndrome (PpS)	9	168	0.79	0.0072	9606.ENSP00000260356,9606.ENSP00000261037,9606.ENSP00000266085,9606.ENSP00000308208,9606.ENSP00000351807,9606.ENSP00000360997,9606.ENSP00000363827,9606.ENSP00000363973,9606.ENSP00000384906	THBS1,COL8A1,TIMP3,MMP14,ELN,ADAMTS13,HSPG2,ALPL,SAA1
CL:19708	Mixed, incl. formation of fibrin clot (clotting cascade), and serine-type endopeptidase inhibitor activity	7	92	0.94	0.0072	9606.ENSP00000225275,9606.ENSP00000265132,9606.ENSP00000321853,9606.ENSP00000360522,9606.ENSP00000369816,9606.ENSP00000384957,9606.ENSP00000419422	MPO,AMBP,SERPINF2,RBP4,SHBG,F11,AGTR1
CL:18318	CXCR3 chemokine receptor binding	3	5	1.84	0.0091	9606.ENSP00000305651,9606.ENSP00000306884,9606.ENSP00000354901	CXCL10,CXCL11,CXCL9
CL:19709	Mixed, incl. formation of fibrin clot (clotting cascade), and ace inhibitor pathway	6	70	0.99	0.0119	9606.ENSP00000265132,9606.ENSP00000321853,9606.ENSP00000360522,9606.ENSP00000369816,9606.ENSP00000384957,9606.ENSP00000419422	AMBP,SERPINF2,RBP4,SHBG,F11,AGTR1
CL:19711	Hemostasis, and Retinoid cycle disease events	5	45	1.11	0.0150	9606.ENSP00000265132,9606.ENSP00000321853,9606.ENSP00000360522,9606.ENSP00000369816,9606.ENSP00000384957	AMBP,SERPINF2,RBP4,SHBG,F11
CL:14140	Mixed, incl. srebp signaling pathway, and omega-9 fatty acid synthesis	4	25	1.27	0.0220	9606.ENSP00000256104,9606.ENSP00000278840,9606.ENSP00000300055,9606.ENSP00000348069	FABP4,FADS2,PLIN1,SREBF1
CL:19897	High-density lipoprotein particle, and familial lipoprotein lipase deficiency	4	25	1.27	0.0220	9606.ENSP00000200676,9606.ENSP00000309757,9606.ENSP00000317674,9606.ENSP00000321334	CETP,LPL,APOL1,LPA
CL:16430	Collagen formation, and Matrix metalloproteinases	7	129	0.8	0.0325	9606.ENSP00000261037,9606.ENSP00000266085,9606.ENSP00000308208,9606.ENSP00000351807,9606.ENSP00000363827,9606.ENSP00000363973,9606.ENSP00000384906	COL8A1,TIMP3,MMP14,ELN,HSPG2,ALPL,SAA1
CL:16569	Mixed, incl. elastic fibre formation, and matrix metalloproteinases	5	58	1.0	0.0353	9606.ENSP00000266085,9606.ENSP00000308208,9606.ENSP00000351807,9606.ENSP00000363827,9606.ENSP00000384906	TIMP3,MMP14,ELN,HSPG2,SAA1
CL:18278	CC chemokine, conserved site, and chemokine (C-C motif) ligand 7 binding	3	11	1.5	0.0353	9606.ENSP00000292303,9606.ENSP00000351671,9606.ENSP00000474412	CCR5,CCL20,CCL5
CL:19900	High-density lipoprotein particle	3	12	1.46	0.0401	9606.ENSP00000200676,9606.ENSP00000317674,9606.ENSP00000321334	CETP,APOL1,LPA
