#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
PMID:28761062	(2017) T2DiACoD: A Gene Atlas of Type 2 Diabetes Mellitus Associated Complex Disorders.	29	156	1.33	9.10e-22	9606.ENSP00000200676,9606.ENSP00000229135,9606.ENSP00000256104,9606.ENSP00000263317,9606.ENSP00000288266,9606.ENSP00000305651,9606.ENSP00000315011,9606.ENSP00000331831,9606.ENSP00000337332,9606.ENSP00000339191,9606.ENSP00000345708,9606.ENSP00000348069,9606.ENSP00000356832,9606.ENSP00000360247,9606.ENSP00000361021,9606.ENSP00000362524,9606.ENSP00000363641,9606.ENSP00000365777,9606.ENSP00000366395,9606.ENSP00000371067,9606.ENSP00000375844,9606.ENSP00000380252,9606.ENSP00000383232,9606.ENSP00000384262,9606.ENSP00000390651,9606.ENSP00000414303,9606.ENSP00000474412,9606.ENSP00000477707,9606.ENSP00000478319	CETP,IFNG,FABP4,NOX4,APPL1,CXCL10,EDNRA,GAS6,SIRT6,CAV1,KCNJ11,SREBF1,SGK1,CYP2J2,PTEN,ANGPTL2,TXN,MTHFR,SYVN1,JAK2,CAPN10,NFE2L2,GGT1,HPSE,IRAK4,BDNF,CCL5,NR1H3,GREM1
PMID:26798653	(2016) A Systems Biology Overview on Human Diabetic Nephropathy: From Genetic Susceptibility to Post-Transcriptional and Post-Translational Modifications.	23	150	1.25	1.18e-14	9606.ENSP00000225275,9606.ENSP00000261037,9606.ENSP00000265132,9606.ENSP00000265333,9606.ENSP00000266085,9606.ENSP00000292303,9606.ENSP00000305651,9606.ENSP00000317674,9606.ENSP00000330382,9606.ENSP00000339916,9606.ENSP00000346508,9606.ENSP00000352264,9606.ENSP00000354995,9606.ENSP00000360522,9606.ENSP00000362524,9606.ENSP00000368104,9606.ENSP00000368683,9606.ENSP00000371067,9606.ENSP00000419422,9606.ENSP00000427424,9606.ENSP00000474412,9606.ENSP00000478319,9606.ENSP00000478570	MPO,COL8A1,AMBP,VDAC1,TIMP3,CCR5,CXCL10,APOL1,PDGFB,LIMK2,PDGFA,CD2AP,ABCG1,RBP4,ANGPTL2,BMP2,EDN1,JAK2,AGTR1,TNFAIP8,CCL5,GREM1,VEGFA
PMID:28506744	(2017) Hepatic stellate cells as key target in liver fibrosis.	25	205	1.15	2.19e-14	9606.ENSP00000245479,9606.ENSP00000259486,9606.ENSP00000260356,9606.ENSP00000263317,9606.ENSP00000268035,9606.ENSP00000285407,9606.ENSP00000305651,9606.ENSP00000306884,9606.ENSP00000312987,9606.ENSP00000331831,9606.ENSP00000348069,9606.ENSP00000351807,9606.ENSP00000351908,9606.ENSP00000354901,9606.ENSP00000361021,9606.ENSP00000362057,9606.ENSP00000363596,9606.ENSP00000368683,9606.ENSP00000371067,9606.ENSP00000381185,9606.ENSP00000400175,9606.ENSP00000401399,9606.ENSP00000419422,9606.ENSP00000474412,9606.ENSP00000478570	SOX9,ENPP2,THBS1,NOX4,IGF1R,KLF10,CXCL10,CXCL11,HNF4A,GAS6,SREBF1,ELN,MAP3K5,CXCL9,PTEN,NOX1,CNR2,EDN1,JAK2,BCL2,RHOA,MYD88,AGTR1,CCL5,VEGFA
PMID:32089709	(2020) Dental Stem Cell-Derived SecretomeConditioned Medium: The Future for Regenerative Therapeutic Applications.	22	174	1.16	1.85e-12	9606.ENSP00000215832,9606.ENSP00000226279,9606.ENSP00000245479,9606.ENSP00000284031,9606.ENSP00000306884,9606.ENSP00000310036,9606.ENSP00000314897,9606.ENSP00000330382,9606.ENSP00000336762,9606.ENSP00000339191,9606.ENSP00000355370,9606.ENSP00000368104,9606.ENSP00000368683,9606.ENSP00000381185,9606.ENSP00000384364,9606.ENSP00000393312,9606.ENSP00000397297,9606.ENSP00000400175,9606.ENSP00000414303,9606.ENSP00000418525,9606.ENSP00000474412,9606.ENSP00000478570	MAPK1,CD38,SOX9,DDAH1,CXCL11,CD34,ANGPT2,PDGFB,ANG,CAV1,CNTF,BMP2,EDN1,BCL2,NPY,FGFR1,NTF3,RHOA,BDNF,MME,CCL5,VEGFA
PMID:29997513	(2018) Near to Ones Heart: The Intimate Relationship Between the Placenta and Fetal Heart.	18	96	1.33	4.33e-12	9606.ENSP00000215832,9606.ENSP00000221930,9606.ENSP00000222139,9606.ENSP00000309757,9606.ENSP00000314897,9606.ENSP00000315011,9606.ENSP00000354511,9606.ENSP00000356438,9606.ENSP00000368683,9606.ENSP00000371067,9606.ENSP00000381185,9606.ENSP00000384364,9606.ENSP00000400175,9606.ENSP00000414303,9606.ENSP00000419422,9606.ENSP00000444198,9606.ENSP00000475344,9606.ENSP00000478570	MAPK1,TGFB1,EPOR,LPL,ANGPT2,EDNRA,COMT,PTGS2,EDN1,JAK2,BCL2,NPY,RHOA,BDNF,AGTR1,CITED2,APLNR,VEGFA
PMID:32365893	(2020) The Role of Chemokines and Chemokine Receptors in Diabetic Nephropathy.	17	88	1.35	2.01e-11	9606.ENSP00000229135,9606.ENSP00000255409,9606.ENSP00000292303,9606.ENSP00000305651,9606.ENSP00000306884,9606.ENSP00000314897,9606.ENSP00000317674,9606.ENSP00000351671,9606.ENSP00000354901,9606.ENSP00000364683,9606.ENSP00000371067,9606.ENSP00000381185,9606.ENSP00000398048,9606.ENSP00000400175,9606.ENSP00000401399,9606.ENSP00000474412,9606.ENSP00000478570	IFNG,CHI3L1,CCR5,CXCL10,CXCL11,ANGPT2,APOL1,CCL20,CXCL9,BAMBI,JAK2,BCL2,ALPK1,RHOA,MYD88,CCL5,VEGFA
PMID:29467963	(2018) New extracellular factors in glioblastoma multiforme development: neurotensin, growth differentiation factor-15, sphingosine-1-phosphate and cytomegalovirus infection.	20	158	1.16	4.03e-11	9606.ENSP00000260356,9606.ENSP00000261769,9606.ENSP00000268035,9606.ENSP00000292303,9606.ENSP00000305651,9606.ENSP00000306884,9606.ENSP00000310036,9606.ENSP00000311005,9606.ENSP00000351671,9606.ENSP00000356438,9606.ENSP00000360250,9606.ENSP00000361021,9606.ENSP00000371067,9606.ENSP00000381185,9606.ENSP00000400175,9606.ENSP00000414303,9606.ENSP00000419313,9606.ENSP00000426809,9606.ENSP00000474412,9606.ENSP00000478570	THBS1,CDH1,IGF1R,CCR5,CXCL10,CXCL11,CD34,MAPK7,CCL20,PTGS2,ENTPD1,PTEN,JAK2,BCL2,RHOA,BDNF,TRPC1,PROM1,CCL5,VEGFA
PMID:27609747	(2016) Targeting cancer stem cells and signaling pathways by phytochemicals: Novel approach for breast cancer therapy.	18	120	1.24	9.14e-11	9606.ENSP00000229135,9606.ENSP00000245479,9606.ENSP00000248553,9606.ENSP00000261769,9606.ENSP00000268035,9606.ENSP00000297785,9606.ENSP00000308208,9606.ENSP00000341208,9606.ENSP00000355361,9606.ENSP00000356213,9606.ENSP00000356438,9606.ENSP00000361021,9606.ENSP00000362057,9606.ENSP00000371067,9606.ENSP00000381185,9606.ENSP00000400175,9606.ENSP00000426809,9606.ENSP00000478570	IFNG,SOX9,HSPB1,CDH1,IGF1R,ALDH1A1,MMP14,STAT5A,CD47,VIP,PTGS2,PTEN,NOX1,JAK2,BCL2,RHOA,PROM1,VEGFA
PMID:30220913	(2018) Native-mimicking in vitro microenvironment: an elusive and seductive future for tumor modeling and tissue engineering.	16	90	1.31	3.80e-10	9606.ENSP00000245479,9606.ENSP00000292303,9606.ENSP00000305651,9606.ENSP00000306884,9606.ENSP00000310036,9606.ENSP00000330382,9606.ENSP00000341208,9606.ENSP00000346508,9606.ENSP00000351807,9606.ENSP00000354901,9606.ENSP00000356438,9606.ENSP00000368104,9606.ENSP00000371067,9606.ENSP00000376865,9606.ENSP00000474412,9606.ENSP00000478570	SOX9,CCR5,CXCL10,CXCL11,CD34,PDGFB,STAT5A,PDGFA,ELN,CXCL9,PTGS2,BMP2,JAK2,PDGFD,CCL5,VEGFA
PMID:30673862	(2019) Review of Biomarkers in Ocular Matrices: Challenges and Opportunities.	17	114	1.23	5.69e-10	9606.ENSP00000221930,9606.ENSP00000229135,9606.ENSP00000259486,9606.ENSP00000292303,9606.ENSP00000293599,9606.ENSP00000305651,9606.ENSP00000306884,9606.ENSP00000314897,9606.ENSP00000351807,9606.ENSP00000354901,9606.ENSP00000355370,9606.ENSP00000356213,9606.ENSP00000368683,9606.ENSP00000397297,9606.ENSP00000414303,9606.ENSP00000474412,9606.ENSP00000478570	TGFB1,IFNG,ENPP2,CCR5,AQP5,CXCL10,CXCL11,ANGPT2,ELN,CXCL9,CNTF,VIP,EDN1,NTF3,BDNF,CCL5,VEGFA
