#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
HSA-162582	Signal Transduction	69	2741	0.46	5.99e-14	9606.ENSP00000200676,9606.ENSP00000215832,9606.ENSP00000216181,9606.ENSP00000221930,9606.ENSP00000222139,9606.ENSP00000222305,9606.ENSP00000227868,9606.ENSP00000232219,9606.ENSP00000245479,9606.ENSP00000246553,9606.ENSP00000248553,9606.ENSP00000257430,9606.ENSP00000258341,9606.ENSP00000260356,9606.ENSP00000261769,9606.ENSP00000268035,9606.ENSP00000272645,9606.ENSP00000292303,9606.ENSP00000297785,9606.ENSP00000300055,9606.ENSP00000304767,9606.ENSP00000305651,9606.ENSP00000306124,9606.ENSP00000306884,9606.ENSP00000309757,9606.ENSP00000311005,9606.ENSP00000315011,9606.ENSP00000330382,9606.ENSP00000337332,9606.ENSP00000339191,9606.ENSP00000339916,9606.ENSP00000341208,9606.ENSP00000346148,9606.ENSP00000346508,9606.ENSP00000348069,9606.ENSP00000351671,9606.ENSP00000354901,9606.ENSP00000354995,9606.ENSP00000356213,9606.ENSP00000356832,9606.ENSP00000358513,9606.ENSP00000360522,9606.ENSP00000361021,9606.ENSP00000362057,9606.ENSP00000363596,9606.ENSP00000363822,9606.ENSP00000363827,9606.ENSP00000364683,9606.ENSP00000366395,9606.ENSP00000368104,9606.ENSP00000368683,9606.ENSP00000369442,9606.ENSP00000371067,9606.ENSP00000376865,9606.ENSP00000381185,9606.ENSP00000384364,9606.ENSP00000384906,9606.ENSP00000390651,9606.ENSP00000393312,9606.ENSP00000397297,9606.ENSP00000400175,9606.ENSP00000401399,9606.ENSP00000414303,9606.ENSP00000419422,9606.ENSP00000445772,9606.ENSP00000474412,9606.ENSP00000475344,9606.ENSP00000477707,9606.ENSP00000478570	CETP,MAPK1,MYH9,TGFB1,EPOR,USF2,PDHX,RBP1,SOX9,FFAR1,HSPB1,APC,LAMC1,THBS1,CDH1,IGF1R,POLR2D,CCR5,ALDH1A1,PLIN1,P2RY1,CXCL10,PRKCE,CXCL11,LPL,MAPK7,EDNRA,PDGFB,SIRT6,CAV1,LIMK2,STAT5A,PRKAA1,PDGFA,SREBF1,CCL20,CXCL9,ABCG1,VIP,SGK1,CNR1,RBP4,PTEN,NOX1,CNR2,AR,HSPG2,BAMBI,SYVN1,BMP2,EDN1,KL,JAK2,PDGFD,BCL2,NPY,SAA1,IRAK4,FGFR1,NTF3,RHOA,MYD88,BDNF,AGTR1,LTB4R2,CCL5,APLNR,NR1H3,VEGFA
HSA-1643685	Disease	40	1548	0.47	5.00e-07	9606.ENSP00000215832,9606.ENSP00000216181,9606.ENSP00000216862,9606.ENSP00000221930,9606.ENSP00000232219,9606.ENSP00000257430,9606.ENSP00000260356,9606.ENSP00000261769,9606.ENSP00000263317,9606.ENSP00000264717,9606.ENSP00000272645,9606.ENSP00000292303,9606.ENSP00000301522,9606.ENSP00000330382,9606.ENSP00000341208,9606.ENSP00000345708,9606.ENSP00000346508,9606.ENSP00000347041,9606.ENSP00000349860,9606.ENSP00000354511,9606.ENSP00000354782,9606.ENSP00000356213,9606.ENSP00000356729,9606.ENSP00000360250,9606.ENSP00000360522,9606.ENSP00000360997,9606.ENSP00000361021,9606.ENSP00000362057,9606.ENSP00000363641,9606.ENSP00000363827,9606.ENSP00000366395,9606.ENSP00000369442,9606.ENSP00000371067,9606.ENSP00000383232,9606.ENSP00000384957,9606.ENSP00000390651,9606.ENSP00000393312,9606.ENSP00000401399,9606.ENSP00000402152,9606.ENSP00000478570	MAPK1,MYH9,CYP24A1,TGFB1,RBP1,APC,THBS1,CDH1,NOX4,GCKR,POLR2D,CCR5,PRDX2,PDGFB,STAT5A,KCNJ11,PDGFA,FMOD,GFPT1,COMT,CD247,VIP,FMO3,ENTPD1,RBP4,ADAMTS13,PTEN,NOX1,TXN,HSPG2,SYVN1,KL,JAK2,GGT1,F11,IRAK4,FGFR1,MYD88,SLC12A3,VEGFA
HSA-373076	Class A/1 (Rhodopsin-like receptors)	17	323	0.78	3.60e-06	9606.ENSP00000246553,9606.ENSP00000292303,9606.ENSP00000304767,9606.ENSP00000305651,9606.ENSP00000306884,9606.ENSP00000315011,9606.ENSP00000351671,9606.ENSP00000354901,9606.ENSP00000358513,9606.ENSP00000363596,9606.ENSP00000368683,9606.ENSP00000384364,9606.ENSP00000384906,9606.ENSP00000419422,9606.ENSP00000445772,9606.ENSP00000474412,9606.ENSP00000475344	FFAR1,CCR5,P2RY1,CXCL10,CXCL11,EDNRA,CCL20,CXCL9,CNR1,CNR2,EDN1,NPY,SAA1,AGTR1,LTB4R2,CCL5,APLNR
HSA-9006934	Signaling by Receptor Tyrosine Kinases	21	502	0.68	3.60e-06	9606.ENSP00000215832,9606.ENSP00000248553,9606.ENSP00000258341,9606.ENSP00000260356,9606.ENSP00000268035,9606.ENSP00000272645,9606.ENSP00000306124,9606.ENSP00000311005,9606.ENSP00000330382,9606.ENSP00000339191,9606.ENSP00000341208,9606.ENSP00000346508,9606.ENSP00000356832,9606.ENSP00000369442,9606.ENSP00000371067,9606.ENSP00000376865,9606.ENSP00000393312,9606.ENSP00000397297,9606.ENSP00000400175,9606.ENSP00000414303,9606.ENSP00000478570	MAPK1,HSPB1,LAMC1,THBS1,IGF1R,POLR2D,PRKCE,MAPK7,PDGFB,CAV1,STAT5A,PDGFA,SGK1,KL,JAK2,PDGFD,FGFR1,NTF3,RHOA,BDNF,VEGFA
HSA-76002	Platelet activation, signaling and aggregation	15	260	0.82	7.24e-06	9606.ENSP00000215832,9606.ENSP00000221930,9606.ENSP00000260356,9606.ENSP00000266085,9606.ENSP00000304767,9606.ENSP00000306124,9606.ENSP00000321853,9606.ENSP00000330382,9606.ENSP00000331831,9606.ENSP00000346508,9606.ENSP00000361883,9606.ENSP00000385834,9606.ENSP00000400175,9606.ENSP00000418009,9606.ENSP00000478570	MAPK1,TGFB1,THBS1,TIMP3,P2RY1,PRKCE,SERPINF2,PDGFB,GAS6,PDGFA,CAP1,TF,RHOA,RARRES2,VEGFA
HSA-114608	Platelet degranulation	11	127	1.0	1.13e-05	9606.ENSP00000221930,9606.ENSP00000260356,9606.ENSP00000266085,9606.ENSP00000321853,9606.ENSP00000330382,9606.ENSP00000331831,9606.ENSP00000346508,9606.ENSP00000361883,9606.ENSP00000385834,9606.ENSP00000418009,9606.ENSP00000478570	TGFB1,THBS1,TIMP3,SERPINF2,PDGFB,GAS6,PDGFA,CAP1,TF,RARRES2,VEGFA
HSA-1430728	Metabolism	43	2089	0.37	1.93e-05	9606.ENSP00000216075,9606.ENSP00000216862,9606.ENSP00000222572,9606.ENSP00000226279,9606.ENSP00000227868,9606.ENSP00000232219,9606.ENSP00000246553,9606.ENSP00000256104,9606.ENSP00000259407,9606.ENSP00000259486,9606.ENSP00000263774,9606.ENSP00000264717,9606.ENSP00000265333,9606.ENSP00000278840,9606.ENSP00000284031,9606.ENSP00000297785,9606.ENSP00000300055,9606.ENSP00000309757,9606.ENSP00000325548,9606.ENSP00000339191,9606.ENSP00000345708,9606.ENSP00000347041,9606.ENSP00000348069,9606.ENSP00000354511,9606.ENSP00000356438,9606.ENSP00000356729,9606.ENSP00000360247,9606.ENSP00000360250,9606.ENSP00000360522,9606.ENSP00000361021,9606.ENSP00000362463,9606.ENSP00000363641,9606.ENSP00000363827,9606.ENSP00000365777,9606.ENSP00000377192,9606.ENSP00000383232,9606.ENSP00000383364,9606.ENSP00000384262,9606.ENSP00000401720,9606.ENSP00000427424,9606.ENSP00000477707,9606.ENSP00000478253,9606.ENSP00000483018	MIOX,CYP24A1,PON2,CD38,PDHX,RBP1,FFAR1,FABP4,BAAT,ENPP2,NDUFS3,GCKR,VDAC1,FADS2,DDAH1,ALDH1A1,PLIN1,LPL,CNDP2,CAV1,KCNJ11,FMOD,SREBF1,COMT,PTGS2,FMO3,CYP2J2,ENTPD1,RBP4,PTEN,GLO1,TXN,HSPG2,MTHFR,G6PD,GGT1,PLA2G2A,HPSE,GK,TNFAIP8,NR1H3,MTHFD1L,ABO
HSA-449147	Signaling by Interleukins	18	440	0.67	2.23e-05	9606.ENSP00000215832,9606.ENSP00000221930,9606.ENSP00000229135,9606.ENSP00000292303,9606.ENSP00000305651,9606.ENSP00000311005,9606.ENSP00000341208,9606.ENSP00000351671,9606.ENSP00000355370,9606.ENSP00000356438,9606.ENSP00000357726,9606.ENSP00000371067,9606.ENSP00000381185,9606.ENSP00000384906,9606.ENSP00000390651,9606.ENSP00000401399,9606.ENSP00000474412,9606.ENSP00000478570	MAPK1,TGFB1,IFNG,CCR5,CXCL10,MAPK7,STAT5A,CCL20,CNTF,PTGS2,S100A12,JAK2,BCL2,SAA1,IRAK4,MYD88,CCL5,VEGFA
HSA-500792	GPCR ligand binding	18	455	0.66	3.11e-05	9606.ENSP00000246553,9606.ENSP00000292303,9606.ENSP00000304767,9606.ENSP00000305651,9606.ENSP00000306884,9606.ENSP00000315011,9606.ENSP00000351671,9606.ENSP00000354901,9606.ENSP00000356213,9606.ENSP00000358513,9606.ENSP00000363596,9606.ENSP00000368683,9606.ENSP00000384364,9606.ENSP00000384906,9606.ENSP00000419422,9606.ENSP00000445772,9606.ENSP00000474412,9606.ENSP00000475344	FFAR1,CCR5,P2RY1,CXCL10,CXCL11,EDNRA,CCL20,CXCL9,VIP,CNR1,CNR2,EDN1,NPY,SAA1,AGTR1,LTB4R2,CCL5,APLNR
HSA-9006931	Signaling by Nuclear Receptors	14	265	0.78	3.11e-05	9606.ENSP00000200676,9606.ENSP00000215832,9606.ENSP00000222305,9606.ENSP00000227868,9606.ENSP00000248553,9606.ENSP00000268035,9606.ENSP00000272645,9606.ENSP00000297785,9606.ENSP00000300055,9606.ENSP00000339191,9606.ENSP00000348069,9606.ENSP00000354995,9606.ENSP00000381185,9606.ENSP00000477707	CETP,MAPK1,USF2,PDHX,HSPB1,IGF1R,POLR2D,ALDH1A1,PLIN1,CAV1,SREBF1,ABCG1,BCL2,NR1H3
