#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
WP4754	IL-18 signaling pathway	19	270	0.91	5.01e-09	9606.ENSP00000200676,9606.ENSP00000215832,9606.ENSP00000229135,9606.ENSP00000248553,9606.ENSP00000266085,9606.ENSP00000308208,9606.ENSP00000346148,9606.ENSP00000351671,9606.ENSP00000356438,9606.ENSP00000361021,9606.ENSP00000362057,9606.ENSP00000368104,9606.ENSP00000381185,9606.ENSP00000385834,9606.ENSP00000401399,9606.ENSP00000402152,9606.ENSP00000474412,9606.ENSP00000477707,9606.ENSP00000478570	CETP,MAPK1,IFNG,HSPB1,TIMP3,MMP14,PRKAA1,CCL20,PTGS2,PTEN,NOX1,BMP2,BCL2,TF,MYD88,SLC12A3,CCL5,NR1H3,VEGFA
WP2431	Spinal cord injury	12	116	1.08	3.83e-07	9606.ENSP00000215832,9606.ENSP00000221930,9606.ENSP00000229135,9606.ENSP00000245479,9606.ENSP00000263317,9606.ENSP00000305651,9606.ENSP00000355361,9606.ENSP00000356438,9606.ENSP00000377372,9606.ENSP00000383364,9606.ENSP00000400175,9606.ENSP00000414303	MAPK1,TGFB1,IFNG,SOX9,NOX4,CXCL10,CD47,PTGS2,GAP43,PLA2G2A,RHOA,BDNF
WP4172	PI3K-Akt signaling pathway	18	336	0.79	3.95e-07	9606.ENSP00000215832,9606.ENSP00000222139,9606.ENSP00000258341,9606.ENSP00000260356,9606.ENSP00000268035,9606.ENSP00000314897,9606.ENSP00000330382,9606.ENSP00000346148,9606.ENSP00000346508,9606.ENSP00000356832,9606.ENSP00000361021,9606.ENSP00000371067,9606.ENSP00000376865,9606.ENSP00000381185,9606.ENSP00000393312,9606.ENSP00000397297,9606.ENSP00000414303,9606.ENSP00000478570	MAPK1,EPOR,LAMC1,THBS1,IGF1R,ANGPT2,PDGFB,PRKAA1,PDGFA,SGK1,PTEN,JAK2,PDGFD,BCL2,FGFR1,NTF3,BDNF,VEGFA
WP4806	EGFR tyrosine kinase inhibitor resistance	10	83	1.14	1.28e-06	9606.ENSP00000215832,9606.ENSP00000268035,9606.ENSP00000330382,9606.ENSP00000331831,9606.ENSP00000346508,9606.ENSP00000361021,9606.ENSP00000371067,9606.ENSP00000376865,9606.ENSP00000381185,9606.ENSP00000478570	MAPK1,IGF1R,PDGFB,GAS6,PDGFA,PTEN,JAK2,PDGFD,BCL2,VEGFA
WP3888	VEGFA-VEGFR2 signaling pathway	18	428	0.68	8.41e-06	9606.ENSP00000215832,9606.ENSP00000216181,9606.ENSP00000248553,9606.ENSP00000263317,9606.ENSP00000301522,9606.ENSP00000306124,9606.ENSP00000308208,9606.ENSP00000339191,9606.ENSP00000346148,9606.ENSP00000351908,9606.ENSP00000356438,9606.ENSP00000363641,9606.ENSP00000368104,9606.ENSP00000369442,9606.ENSP00000381185,9606.ENSP00000400175,9606.ENSP00000419313,9606.ENSP00000478570	MAPK1,MYH9,HSPB1,NOX4,PRDX2,PRKCE,MMP14,CAV1,PRKAA1,MAP3K5,PTGS2,TXN,BMP2,KL,BCL2,RHOA,TRPC1,VEGFA
WP2380	Brain-derived neurotrophic factor (BDNF) signaling pathway	11	143	0.95	1.10e-05	9606.ENSP00000215832,9606.ENSP00000257430,9606.ENSP00000311005,9606.ENSP00000341208,9606.ENSP00000346148,9606.ENSP00000358513,9606.ENSP00000363973,9606.ENSP00000368104,9606.ENSP00000371067,9606.ENSP00000397297,9606.ENSP00000414303	MAPK1,APC,MAPK7,STAT5A,PRKAA1,CNR1,ALPL,BMP2,JAK2,NTF3,BDNF
WP3932	Focal adhesion: PI3K-Akt-mTOR-signaling pathway	15	302	0.76	1.10e-05	9606.ENSP00000215832,9606.ENSP00000222139,9606.ENSP00000258341,9606.ENSP00000260356,9606.ENSP00000268035,9606.ENSP00000314897,9606.ENSP00000330382,9606.ENSP00000346148,9606.ENSP00000346508,9606.ENSP00000348069,9606.ENSP00000361021,9606.ENSP00000371067,9606.ENSP00000376865,9606.ENSP00000393312,9606.ENSP00000478570	MAPK1,EPOR,LAMC1,THBS1,IGF1R,ANGPT2,PDGFB,PRKAA1,PDGFA,SREBF1,PTEN,JAK2,PDGFD,FGFR1,VEGFA
WP3624	Lung fibrosis	8	63	1.16	1.46e-05	9606.ENSP00000221930,9606.ENSP00000330382,9606.ENSP00000346508,9606.ENSP00000351807,9606.ENSP00000368683,9606.ENSP00000380252,9606.ENSP00000474412,9606.ENSP00000478319	TGFB1,PDGFB,PDGFA,ELN,EDN1,NFE2L2,CCL5,GREM1
WP2324	AGE/RAGE pathway	8	66	1.14	1.80e-05	9606.ENSP00000215832,9606.ENSP00000308208,9606.ENSP00000341208,9606.ENSP00000363973,9606.ENSP00000371067,9606.ENSP00000390651,9606.ENSP00000400175,9606.ENSP00000401399	MAPK1,MMP14,STAT5A,ALPL,JAK2,IRAK4,RHOA,MYD88
WP306	Focal adhesion	12	196	0.85	1.80e-05	9606.ENSP00000215832,9606.ENSP00000258341,9606.ENSP00000260356,9606.ENSP00000268035,9606.ENSP00000330382,9606.ENSP00000339191,9606.ENSP00000346508,9606.ENSP00000361021,9606.ENSP00000376865,9606.ENSP00000381185,9606.ENSP00000400175,9606.ENSP00000478570	MAPK1,LAMC1,THBS1,IGF1R,PDGFB,CAV1,PDGFA,PTEN,PDGFD,BCL2,RHOA,VEGFA
WP615	Senescence and autophagy in cancer	9	105	0.99	3.89e-05	9606.ENSP00000215832,9606.ENSP00000221930,9606.ENSP00000229135,9606.ENSP00000260356,9606.ENSP00000268035,9606.ENSP00000308208,9606.ENSP00000361021,9606.ENSP00000368104,9606.ENSP00000381185	MAPK1,TGFB1,IFNG,THBS1,IGF1R,MMP14,PTEN,BMP2,BCL2
