#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
HP:0012040	Corneal stromal edema	4	7	3.01	1.76e-07	9606.ENSP00000354487,9606.ENSP00000365899,9606.ENSP00000369399,9606.ENSP00000380901	ZEB1,VSX1,SLC4A11,COL8A2
HP:0011490	Abnormal Descemet membrane morphology	4	11	2.81	3.64e-07	9606.ENSP00000354487,9606.ENSP00000365899,9606.ENSP00000369399,9606.ENSP00000380901	ZEB1,VSX1,SLC4A11,COL8A2
HP:0012038	Corneal guttata	3	4	3.13	1.14e-05	9606.ENSP00000354487,9606.ENSP00000369399,9606.ENSP00000380901	ZEB1,SLC4A11,COL8A2
HP:0000622	Blurred vision	4	38	2.27	1.18e-05	9606.ENSP00000354487,9606.ENSP00000365899,9606.ENSP00000369399,9606.ENSP00000380901	ZEB1,VSX1,SLC4A11,COL8A2
HP:0011491	Reduced number of corneal endothelial cells	3	5	3.03	1.22e-05	9606.ENSP00000354487,9606.ENSP00000365899,9606.ENSP00000380901	ZEB1,VSX1,COL8A2
HP:0032122	Very low visual acuity	3	5	3.03	1.22e-05	9606.ENSP00000354487,9606.ENSP00000365899,9606.ENSP00000380901	ZEB1,VSX1,COL8A2
HP:0025358	Uveal ectropion	3	6	2.95	1.37e-05	9606.ENSP00000354487,9606.ENSP00000365899,9606.ENSP00000380901	ZEB1,VSX1,COL8A2
HP:0011483	Anterior synechiae of the anterior chamber	3	10	2.73	4.15e-05	9606.ENSP00000354487,9606.ENSP00000365899,9606.ENSP00000380901	ZEB1,VSX1,COL8A2
HP:0200026	Ocular pain	3	14	2.58	8.86e-05	9606.ENSP00000354487,9606.ENSP00000365899,9606.ENSP00000380901	ZEB1,VSX1,COL8A2
HP:0000539	Abnormality of refraction	7	889	1.15	9.66e-05	9606.ENSP00000331902,9606.ENSP00000354487,9606.ENSP00000365899,9606.ENSP00000369399,9606.ENSP00000369889,9606.ENSP00000380901,9606.ENSP00000384999	COL4A5,ZEB1,VSX1,SLC4A11,COL2A1,COL8A2,P4HA2
HP:0009918	Ectopia pupillae	3	15	2.55	9.66e-05	9606.ENSP00000354487,9606.ENSP00000365899,9606.ENSP00000380901	ZEB1,VSX1,COL8A2
HP:0007906	Ocular hypertension	3	25	2.33	0.00028	9606.ENSP00000354487,9606.ENSP00000365899,9606.ENSP00000380901	ZEB1,VSX1,COL8A2
HP:0200065	Chorioretinal degeneration	3	36	2.17	0.00066	9606.ENSP00000354487,9606.ENSP00000365899,9606.ENSP00000380901	ZEB1,VSX1,COL8A2
HP:0000969	Edema	5	386	1.36	0.00067	9606.ENSP00000354487,9606.ENSP00000365899,9606.ENSP00000369399,9606.ENSP00000369889,9606.ENSP00000380901	ZEB1,VSX1,SLC4A11,COL2A1,COL8A2
HP:0001131	Corneal dystrophy	3	37	2.16	0.00067	9606.ENSP00000354487,9606.ENSP00000369399,9606.ENSP00000380901	ZEB1,SLC4A11,COL8A2
HP:0000632	Lacrimation abnormality	3	49	2.04	0.0013	9606.ENSP00000354487,9606.ENSP00000365899,9606.ENSP00000380901	ZEB1,VSX1,COL8A2
HP:0007663	Reduced visual acuity	5	452	1.29	0.0013	9606.ENSP00000354487,9606.ENSP00000365899,9606.ENSP00000369399,9606.ENSP00000369889,9606.ENSP00000380901	ZEB1,VSX1,SLC4A11,COL2A1,COL8A2
HP:0007957	Corneal opacity	4	226	1.5	0.0022	9606.ENSP00000354487,9606.ENSP00000365899,9606.ENSP00000369399,9606.ENSP00000380901	ZEB1,VSX1,SLC4A11,COL8A2
HP:0000483	Astigmatism	4	239	1.47	0.0026	9606.ENSP00000354487,9606.ENSP00000365899,9606.ENSP00000369399,9606.ENSP00000380901	ZEB1,VSX1,SLC4A11,COL8A2
HP:0000646	Amblyopia	3	89	1.78	0.0057	9606.ENSP00000354487,9606.ENSP00000365899,9606.ENSP00000380901	ZEB1,VSX1,COL8A2
HP:0000501	Glaucoma	4	303	1.37	0.0061	9606.ENSP00000354487,9606.ENSP00000365899,9606.ENSP00000369889,9606.ENSP00000380901	ZEB1,VSX1,COL2A1,COL8A2
HP:0000481	Abnormal cornea morphology	5	675	1.12	0.0064	9606.ENSP00000331902,9606.ENSP00000354487,9606.ENSP00000365899,9606.ENSP00000369399,9606.ENSP00000380901	COL4A5,ZEB1,VSX1,SLC4A11,COL8A2
HP:0100692	Increased corneal curvature	3	111	1.68	0.0095	9606.ENSP00000354487,9606.ENSP00000365899,9606.ENSP00000380901	ZEB1,VSX1,COL8A2
HP:0000565	Esotropia	3	135	1.6	0.0158	9606.ENSP00000354487,9606.ENSP00000365899,9606.ENSP00000380901	ZEB1,VSX1,COL8A2
