#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
KW-1212	Corneal dystrophy	4	20	2.55	3.85e-07	9606.ENSP00000354487,9606.ENSP00000365899,9606.ENSP00000369399,9606.ENSP00000380901	ZEB1,VSX1,SLC4A11,COL8A2
KW-0847	Vitamin C	3	19	2.45	6.83e-05	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
KW-0176	Collagen	3	82	1.81	0.0024	9606.ENSP00000331902,9606.ENSP00000369889,9606.ENSP00000380901	COL4A5,COL2A1,COL8A2
KW-0223	Dioxygenase	3	82	1.81	0.0024	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
KW-0272	Extracellular matrix	4	265	1.43	0.0024	9606.ENSP00000261405,9606.ENSP00000331902,9606.ENSP00000369889,9606.ENSP00000380901	VWF,COL4A5,COL2A1,COL8A2
KW-0225	Disease mutation	8	3145	0.66	0.0053	9606.ENSP00000261405,9606.ENSP00000331902,9606.ENSP00000354487,9606.ENSP00000365899,9606.ENSP00000369399,9606.ENSP00000369889,9606.ENSP00000380901,9606.ENSP00000384999	VWF,COL4A5,ZEB1,VSX1,SLC4A11,COL2A1,COL8A2,P4HA2
KW-0379	Hydroxylation	3	140	1.58	0.0055	9606.ENSP00000331902,9606.ENSP00000369889,9606.ENSP00000380901	COL4A5,COL2A1,COL8A2
KW-0732	Signal	8	3233	0.64	0.0055	9606.ENSP00000261405,9606.ENSP00000263556,9606.ENSP00000331902,9606.ENSP00000354960,9606.ENSP00000369889,9606.ENSP00000380901,9606.ENSP00000384999,9606.ENSP00000401749	VWF,P4HA1,COL4A5,COLGALT2,COL2A1,COL8A2,P4HA2,P4HA3
KW-0802	TPR repeat	3	161	1.52	0.0068	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
KW-0084	Basement membrane	2	39	1.96	0.0157	9606.ENSP00000331902,9606.ENSP00000380901	COL4A5,COL8A2
KW-0209	Deafness	3	235	1.36	0.0167	9606.ENSP00000331902,9606.ENSP00000369399,9606.ENSP00000369889	COL4A5,SLC4A11,COL2A1
KW-0325	Glycoprotein	8	4349	0.51	0.0266	9606.ENSP00000261405,9606.ENSP00000263556,9606.ENSP00000331902,9606.ENSP00000354960,9606.ENSP00000369399,9606.ENSP00000369889,9606.ENSP00000384999,9606.ENSP00000401749	VWF,P4HA1,COL4A5,COLGALT2,SLC4A11,COL2A1,P4HA2,P4HA3
KW-0408	Iron	3	306	1.24	0.0282	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
