#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
PMID:32687633	(2020) Zonal regulation of collagen-type proteins and posttranslational modifications in prostatic benign and cancer tissues by imaging mass spectrometry.	6	27	2.6	2.63e-08	9606.ENSP00000263556,9606.ENSP00000331902,9606.ENSP00000369889,9606.ENSP00000380901,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,COL4A5,COL2A1,COL8A2,P4HA2,P4HA3
PMID:31183373	(2019) Aberrant Expression of Collagen Gene Family in the Brain Regions of Male Mice with Behavioral Psychopathologies Induced by Chronic Agonistic Interactions.	6	56	2.28	7.26e-07	9606.ENSP00000263556,9606.ENSP00000331902,9606.ENSP00000354960,9606.ENSP00000380901,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,COL4A5,COLGALT2,COL8A2,P4HA2,P4HA3
PMID:20848555	(2010) Missense mutations in the sodium borate cotransporter SLC4A11 cause late-onset Fuchs corneal dystrophy.	4	6	3.07	1.52e-05	9606.ENSP00000354487,9606.ENSP00000365899,9606.ENSP00000369399,9606.ENSP00000380901	ZEB1,VSX1,SLC4A11,COL8A2
PMID:23662738	(2013) Genetics of the corneal endothelial dystrophies: an evidence-based review.	4	9	2.9	3.89e-05	9606.ENSP00000354487,9606.ENSP00000365899,9606.ENSP00000369399,9606.ENSP00000380901	ZEB1,VSX1,SLC4A11,COL8A2
PMID:35268494	(2022) Raman Spectroscopic Study of Amyloid Deposits in Gelatinous Drop-like Corneal Dystrophy.	4	10	2.85	4.35e-05	9606.ENSP00000354487,9606.ENSP00000365899,9606.ENSP00000369399,9606.ENSP00000380901	ZEB1,VSX1,SLC4A11,COL8A2
PMID:34301210	(2021) Detailed corneal and genetic characteristics of a pediatric patient with macular corneal dystrophy - case report.	4	11	2.81	4.35e-05	9606.ENSP00000354487,9606.ENSP00000365899,9606.ENSP00000369399,9606.ENSP00000380901	ZEB1,VSX1,SLC4A11,COL8A2
PMID:25153632	(2014) Polymorphism of the flap endonuclease 1 gene in keratoconus and Fuchs endothelial corneal dystrophy.	4	10	2.85	4.35e-05	9606.ENSP00000354487,9606.ENSP00000365899,9606.ENSP00000369399,9606.ENSP00000380901	ZEB1,VSX1,SLC4A11,COL8A2
PMID:19433093	(2009) R992C (p.R1192C) Substitution in collagen II alters the structure of mutant molecules and induces the unfolded protein response.	4	13	2.74	6.46e-05	9606.ENSP00000263556,9606.ENSP00000369889,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,COL2A1,P4HA2,P4HA3
PMID:34168290	(2021) TGF-beta-dependent reprogramming of amino acid metabolism induces epithelial-mesenchymal transition in non-small cell lung cancers.	4	18	2.6	0.00014	9606.ENSP00000263556,9606.ENSP00000354487,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,ZEB1,P4HA2,P4HA3
PMID:21855542	(2012) Molecular bases of corneal endothelial dystrophies.	4	18	2.6	0.00014	9606.ENSP00000354487,9606.ENSP00000365899,9606.ENSP00000369399,9606.ENSP00000380901	ZEB1,VSX1,SLC4A11,COL8A2
PMID:22914737	(2012) COL4A1 and COL4A2 mutations and disease: insights into pathogenic mechanisms and potential therapeutic targets.	4	17	2.62	0.00014	9606.ENSP00000263556,9606.ENSP00000331902,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,COL4A5,P4HA2,P4HA3
PMID:19710953	(2009) Exclusion of known corneal dystrophy genes in an autosomal dominant pedigree of a unique anterior membrane corneal dystrophy.	4	17	2.62	0.00014	9606.ENSP00000354487,9606.ENSP00000365899,9606.ENSP00000369399,9606.ENSP00000380901	ZEB1,VSX1,SLC4A11,COL8A2
PMID:31555324	(2019) Novel Mutations Associated With Various Types of Corneal Dystrophies in a Han Chinese Population.	4	19	2.57	0.00015	9606.ENSP00000354487,9606.ENSP00000365899,9606.ENSP00000369399,9606.ENSP00000380901	ZEB1,VSX1,SLC4A11,COL8A2
PMID:24846694	(2014) Proteomics of Fuchs endothelial corneal dystrophy support that the extracellular matrix of Descemets membrane is disordered.	4	20	2.55	0.00015	9606.ENSP00000354487,9606.ENSP00000369399,9606.ENSP00000369889,9606.ENSP00000380901	ZEB1,SLC4A11,COL2A1,COL8A2
PMID:24065107	(2013) Oxidative stress in the pathogenesis of keratoconus and Fuchs endothelial corneal dystrophy.	4	19	2.57	0.00015	9606.ENSP00000354487,9606.ENSP00000365899,9606.ENSP00000369399,9606.ENSP00000380901	ZEB1,VSX1,SLC4A11,COL8A2
PMID:24350254	(2013) Polymorphism of the transferrin gene in eye diseases: keratoconus and Fuchs endothelial corneal dystrophy.	4	20	2.55	0.00015	9606.ENSP00000354487,9606.ENSP00000365899,9606.ENSP00000369399,9606.ENSP00000380901	ZEB1,VSX1,SLC4A11,COL8A2
PMID:19236704	(2009) Corneal dystrophies.	4	20	2.55	0.00015	9606.ENSP00000354487,9606.ENSP00000365899,9606.ENSP00000369399,9606.ENSP00000380901	ZEB1,VSX1,SLC4A11,COL8A2
PMID:27809802	(2016) The expression pattern of matrix-producing tumor stroma is of prognostic importance in breast cancer.	4	22	2.51	0.00018	9606.ENSP00000263556,9606.ENSP00000354487,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,ZEB1,P4HA2,P4HA3
PMID:26794306	(2016) Novel Immortal Cell Lines Support Cellular Heterogeneity in the Human Annulus Fibrosus.	4	24	2.47	0.00023	9606.ENSP00000263556,9606.ENSP00000369889,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,COL2A1,P4HA2,P4HA3
PMID:31363996	(2019) The Proteins of Keratoconus: a Literature Review Exploring Their Contribution to the Pathophysiology of the Disease.	5	96	1.97	0.00030	9606.ENSP00000331902,9606.ENSP00000354487,9606.ENSP00000365899,9606.ENSP00000369399,9606.ENSP00000380901	COL4A5,ZEB1,VSX1,SLC4A11,COL8A2
PMID:30198421	(2018) P4HA3 is Epigenetically Activated by Slug in Gastric Cancer and its Deregulation is Associated With Enhanced Metastasis and Poor Survival.	4	26	2.44	0.00030	9606.ENSP00000263556,9606.ENSP00000354487,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,ZEB1,P4HA2,P4HA3
