#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0035295	Tube development	9	851	1.24	1.47e-06	9606.ENSP00000006053,9606.ENSP00000220166,9606.ENSP00000231061,9606.ENSP00000276571,9606.ENSP00000334329,9606.ENSP00000362524,9606.ENSP00000363827,9606.ENSP00000451040,9606.ENSP00000478570	CX3CL1,CTSH,SPARC,CRH,UNC5B,ANGPTL2,HSPG2,PGF,VEGFA
GO:0001525	Angiogenesis	6	315	1.49	8.07e-05	9606.ENSP00000006053,9606.ENSP00000334329,9606.ENSP00000362524,9606.ENSP00000363827,9606.ENSP00000451040,9606.ENSP00000478570	CX3CL1,UNC5B,ANGPTL2,HSPG2,PGF,VEGFA
GO:0045765	Regulation of angiogenesis	6	303	1.51	8.07e-05	9606.ENSP00000006053,9606.ENSP00000220166,9606.ENSP00000231061,9606.ENSP00000363827,9606.ENSP00000451040,9606.ENSP00000478570	CX3CL1,CTSH,SPARC,HSPG2,PGF,VEGFA
GO:0035239	Tube morphogenesis	7	656	1.24	8.69e-05	9606.ENSP00000006053,9606.ENSP00000220166,9606.ENSP00000334329,9606.ENSP00000362524,9606.ENSP00000363827,9606.ENSP00000451040,9606.ENSP00000478570	CX3CL1,CTSH,UNC5B,ANGPTL2,HSPG2,PGF,VEGFA
GO:0072359	Circulatory system development	7	872	1.12	0.00043	9606.ENSP00000006053,9606.ENSP00000231061,9606.ENSP00000334329,9606.ENSP00000362524,9606.ENSP00000363827,9606.ENSP00000451040,9606.ENSP00000478570	CX3CL1,SPARC,UNC5B,ANGPTL2,HSPG2,PGF,VEGFA
GO:0060548	Negative regulation of cell death	7	999	1.06	0.00075	9606.ENSP00000006053,9606.ENSP00000220166,9606.ENSP00000276571,9606.ENSP00000334329,9606.ENSP00000363827,9606.ENSP00000450482,9606.ENSP00000478570	CX3CL1,CTSH,CRH,UNC5B,HSPG2,BDKRB2,VEGFA
GO:0022603	Regulation of anatomical structure morphogenesis	7	1095	1.02	0.0013	9606.ENSP00000006053,9606.ENSP00000220166,9606.ENSP00000231061,9606.ENSP00000304767,9606.ENSP00000363827,9606.ENSP00000451040,9606.ENSP00000478570	CX3CL1,CTSH,SPARC,P2RY1,HSPG2,PGF,VEGFA
GO:0008015	Blood circulation	5	394	1.32	0.0026	9606.ENSP00000276571,9606.ENSP00000304767,9606.ENSP00000379256,9606.ENSP00000450482,9606.ENSP00000478570	CRH,P2RY1,NCALD,BDKRB2,VEGFA
GO:0030324	Lung development	4	170	1.58	0.0027	9606.ENSP00000220166,9606.ENSP00000231061,9606.ENSP00000276571,9606.ENSP00000478570	CTSH,SPARC,CRH,VEGFA
GO:0045766	Positive regulation of angiogenesis	4	169	1.59	0.0027	9606.ENSP00000006053,9606.ENSP00000220166,9606.ENSP00000451040,9606.ENSP00000478570	CX3CL1,CTSH,PGF,VEGFA
GO:0032501	Multicellular organismal process	12	6933	0.45	0.0030	9606.ENSP00000006053,9606.ENSP00000220166,9606.ENSP00000231061,9606.ENSP00000276571,9606.ENSP00000304767,9606.ENSP00000334329,9606.ENSP00000362524,9606.ENSP00000363827,9606.ENSP00000379256,9606.ENSP00000450482,9606.ENSP00000451040,9606.ENSP00000478570	CX3CL1,CTSH,SPARC,CRH,P2RY1,UNC5B,ANGPTL2,HSPG2,NCALD,BDKRB2,PGF,VEGFA
GO:0030335	Positive regulation of cell migration	5	522	1.19	0.0055	9606.ENSP00000006053,9606.ENSP00000220166,9606.ENSP00000231061,9606.ENSP00000451040,9606.ENSP00000478570	CX3CL1,CTSH,SPARC,PGF,VEGFA
GO:0060754	Positive regulation of mast cell chemotaxis	2	6	2.74	0.0055	9606.ENSP00000451040,9606.ENSP00000478570	PGF,VEGFA
GO:0051239	Regulation of multicellular organismal process	9	3227	0.66	0.0064	9606.ENSP00000006053,9606.ENSP00000220166,9606.ENSP00000231061,9606.ENSP00000276571,9606.ENSP00000304767,9606.ENSP00000363827,9606.ENSP00000450482,9606.ENSP00000451040,9606.ENSP00000478570	CX3CL1,CTSH,SPARC,CRH,P2RY1,HSPG2,BDKRB2,PGF,VEGFA
GO:0048731	System development	10	4426	0.57	0.0065	9606.ENSP00000006053,9606.ENSP00000220166,9606.ENSP00000231061,9606.ENSP00000276571,9606.ENSP00000304767,9606.ENSP00000334329,9606.ENSP00000362524,9606.ENSP00000363827,9606.ENSP00000451040,9606.ENSP00000478570	CX3CL1,CTSH,SPARC,CRH,P2RY1,UNC5B,ANGPTL2,HSPG2,PGF,VEGFA
GO:0010700	Negative regulation of norepinephrine secretion	2	8	2.61	0.0066	9606.ENSP00000276571,9606.ENSP00000304767	CRH,P2RY1
GO:0043129	Surfactant homeostasis	2	9	2.56	0.0078	9606.ENSP00000220166,9606.ENSP00000478570	CTSH,VEGFA
GO:0048878	Chemical homeostasis	6	1124	0.94	0.0097	9606.ENSP00000006053,9606.ENSP00000220166,9606.ENSP00000276571,9606.ENSP00000304767,9606.ENSP00000450482,9606.ENSP00000478570	CX3CL1,CTSH,CRH,P2RY1,BDKRB2,VEGFA
GO:0051240	Positive regulation of multicellular organismal process	7	1770	0.81	0.0100	9606.ENSP00000006053,9606.ENSP00000220166,9606.ENSP00000231061,9606.ENSP00000276571,9606.ENSP00000304767,9606.ENSP00000451040,9606.ENSP00000478570	CX3CL1,CTSH,SPARC,CRH,P2RY1,PGF,VEGFA
GO:0050930	Induction of positive chemotaxis	2	15	2.34	0.0162	9606.ENSP00000451040,9606.ENSP00000478570	PGF,VEGFA
GO:0051246	Regulation of protein metabolic process	8	2828	0.66	0.0181	9606.ENSP00000006053,9606.ENSP00000220166,9606.ENSP00000276571,9606.ENSP00000304767,9606.ENSP00000363827,9606.ENSP00000450482,9606.ENSP00000451040,9606.ENSP00000478570	CX3CL1,CTSH,CRH,P2RY1,HSPG2,BDKRB2,PGF,VEGFA
GO:0060055	Angiogenesis involved in wound healing	2	17	2.28	0.0188	9606.ENSP00000006053,9606.ENSP00000478570	CX3CL1,VEGFA
GO:0060249	Anatomical structure homeostasis	4	380	1.23	0.0195	9606.ENSP00000006053,9606.ENSP00000220166,9606.ENSP00000304767,9606.ENSP00000478570	CX3CL1,CTSH,P2RY1,VEGFA
GO:0048754	Branching morphogenesis of an epithelial tube	3	131	1.57	0.0197	9606.ENSP00000220166,9606.ENSP00000451040,9606.ENSP00000478570	CTSH,PGF,VEGFA
GO:0001936	Regulation of endothelial cell proliferation	3	134	1.56	0.0206	9606.ENSP00000231061,9606.ENSP00000451040,9606.ENSP00000478570	SPARC,PGF,VEGFA
GO:0038084	Vascular endothelial growth factor signaling pathway	2	20	2.21	0.0226	9606.ENSP00000451040,9606.ENSP00000478570	PGF,VEGFA
GO:2001233	Regulation of apoptotic signaling pathway	4	409	1.2	0.0236	9606.ENSP00000006053,9606.ENSP00000220166,9606.ENSP00000334329,9606.ENSP00000450482	CX3CL1,CTSH,UNC5B,BDKRB2
GO:0002687	Positive regulation of leukocyte migration	3	144	1.53	0.0237	9606.ENSP00000006053,9606.ENSP00000451040,9606.ENSP00000478570	CX3CL1,PGF,VEGFA
GO:0010634	Positive regulation of epithelial cell migration	3	147	1.52	0.0247	9606.ENSP00000220166,9606.ENSP00000231061,9606.ENSP00000478570	CTSH,SPARC,VEGFA
GO:0002052	Positive regulation of neuroblast proliferation	2	23	2.15	0.0258	9606.ENSP00000006053,9606.ENSP00000478570	CX3CL1,VEGFA
GO:0001932	Regulation of protein phosphorylation	6	1459	0.83	0.0263	9606.ENSP00000006053,9606.ENSP00000276571,9606.ENSP00000304767,9606.ENSP00000450482,9606.ENSP00000451040,9606.ENSP00000478570	CX3CL1,CRH,P2RY1,BDKRB2,PGF,VEGFA
GO:0042060	Wound healing	4	439	1.17	0.0264	9606.ENSP00000006053,9606.ENSP00000231061,9606.ENSP00000304767,9606.ENSP00000478570	CX3CL1,SPARC,P2RY1,VEGFA
GO:0043066	Negative regulation of apoptotic process	5	893	0.96	0.0275	9606.ENSP00000006053,9606.ENSP00000220166,9606.ENSP00000334329,9606.ENSP00000450482,9606.ENSP00000478570	CX3CL1,CTSH,UNC5B,BDKRB2,VEGFA
GO:0048584	Positive regulation of response to stimulus	7	2257	0.7	0.0283	9606.ENSP00000006053,9606.ENSP00000220166,9606.ENSP00000276571,9606.ENSP00000304767,9606.ENSP00000334329,9606.ENSP00000451040,9606.ENSP00000478570	CX3CL1,CTSH,CRH,P2RY1,UNC5B,PGF,VEGFA
GO:0008284	Positive regulation of cell population proliferation	5	919	0.95	0.0292	9606.ENSP00000006053,9606.ENSP00000220166,9606.ENSP00000276571,9606.ENSP00000451040,9606.ENSP00000478570	CX3CL1,CTSH,CRH,PGF,VEGFA
GO:0071310	Cellular response to organic substance	7	2369	0.68	0.0345	9606.ENSP00000006053,9606.ENSP00000220166,9606.ENSP00000231061,9606.ENSP00000276571,9606.ENSP00000304767,9606.ENSP00000451040,9606.ENSP00000478570	CX3CL1,CTSH,SPARC,CRH,P2RY1,PGF,VEGFA
GO:0003018	Vascular process in circulatory system	3	185	1.42	0.0347	9606.ENSP00000304767,9606.ENSP00000450482,9606.ENSP00000478570	P2RY1,BDKRB2,VEGFA
GO:0006954	Inflammatory response	4	515	1.1	0.0369	9606.ENSP00000006053,9606.ENSP00000276571,9606.ENSP00000363827,9606.ENSP00000450482	CX3CL1,CRH,HSPG2,BDKRB2
GO:0032270	Positive regulation of cellular protein metabolic process	6	1635	0.78	0.0369	9606.ENSP00000006053,9606.ENSP00000220166,9606.ENSP00000276571,9606.ENSP00000304767,9606.ENSP00000451040,9606.ENSP00000478570	CX3CL1,CTSH,CRH,P2RY1,PGF,VEGFA
GO:0042127	Regulation of cell population proliferation	6	1642	0.78	0.0369	9606.ENSP00000006053,9606.ENSP00000220166,9606.ENSP00000231061,9606.ENSP00000276571,9606.ENSP00000451040,9606.ENSP00000478570	CX3CL1,CTSH,SPARC,CRH,PGF,VEGFA
GO:0001934	Positive regulation of protein phosphorylation	5	1019	0.9	0.0372	9606.ENSP00000006053,9606.ENSP00000276571,9606.ENSP00000304767,9606.ENSP00000451040,9606.ENSP00000478570	CX3CL1,CRH,P2RY1,PGF,VEGFA
GO:0009967	Positive regulation of signal transduction	6	1654	0.77	0.0372	9606.ENSP00000006053,9606.ENSP00000220166,9606.ENSP00000276571,9606.ENSP00000304767,9606.ENSP00000334329,9606.ENSP00000478570	CX3CL1,CTSH,CRH,P2RY1,UNC5B,VEGFA
GO:0070050	Neuron cellular homeostasis	2	34	1.98	0.0372	9606.ENSP00000006053,9606.ENSP00000304767	CX3CL1,P2RY1
GO:0070848	Response to growth factor	4	524	1.1	0.0372	9606.ENSP00000231061,9606.ENSP00000304767,9606.ENSP00000451040,9606.ENSP00000478570	SPARC,P2RY1,PGF,VEGFA
GO:0006935	Chemotaxis	4	545	1.08	0.0395	9606.ENSP00000006053,9606.ENSP00000334329,9606.ENSP00000451040,9606.ENSP00000478570	CX3CL1,UNC5B,PGF,VEGFA
GO:0006950	Response to stress	8	3485	0.57	0.0395	9606.ENSP00000006053,9606.ENSP00000231061,9606.ENSP00000276571,9606.ENSP00000304767,9606.ENSP00000363827,9606.ENSP00000450482,9606.ENSP00000451040,9606.ENSP00000478570	CX3CL1,SPARC,CRH,P2RY1,HSPG2,BDKRB2,PGF,VEGFA
GO:0070374	Positive regulation of erk1 and erk2 cascade	3	209	1.37	0.0395	9606.ENSP00000006053,9606.ENSP00000304767,9606.ENSP00000478570	CX3CL1,P2RY1,VEGFA
GO:1902533	Positive regulation of intracellular signal transduction	5	1041	0.89	0.0395	9606.ENSP00000006053,9606.ENSP00000276571,9606.ENSP00000304767,9606.ENSP00000334329,9606.ENSP00000478570	CX3CL1,CRH,P2RY1,UNC5B,VEGFA
GO:2001240	Negative regulation of extrinsic apoptotic signaling pathway in absence of ligand	2	37	1.95	0.0395	9606.ENSP00000006053,9606.ENSP00000334329	CX3CL1,UNC5B
GO:0043902	Positive regulation of multi-organism process	2	39	1.92	0.0398	9606.ENSP00000304767,9606.ENSP00000478570	P2RY1,VEGFA
GO:2001234	Negative regulation of apoptotic signaling pathway	3	232	1.32	0.0469	9606.ENSP00000006053,9606.ENSP00000334329,9606.ENSP00000450482	CX3CL1,UNC5B,BDKRB2
GO:1902531	Regulation of intracellular signal transduction	6	1807	0.73	0.0473	9606.ENSP00000006053,9606.ENSP00000276571,9606.ENSP00000304767,9606.ENSP00000334329,9606.ENSP00000450482,9606.ENSP00000478570	CX3CL1,CRH,P2RY1,UNC5B,BDKRB2,VEGFA
GO:0043114	Regulation of vascular permeability	2	45	1.86	0.0476	9606.ENSP00000450482,9606.ENSP00000478570	BDKRB2,VEGFA
GO:0007165	Signal transduction	9	4876	0.48	0.0479	9606.ENSP00000006053,9606.ENSP00000220166,9606.ENSP00000276571,9606.ENSP00000304767,9606.ENSP00000334329,9606.ENSP00000379256,9606.ENSP00000450482,9606.ENSP00000451040,9606.ENSP00000478570	CX3CL1,CTSH,CRH,P2RY1,UNC5B,NCALD,BDKRB2,PGF,VEGFA
GO:0009628	Response to abiotic stimulus	5	1147	0.85	0.0479	9606.ENSP00000231061,9606.ENSP00000304767,9606.ENSP00000450482,9606.ENSP00000451040,9606.ENSP00000478570	SPARC,P2RY1,BDKRB2,PGF,VEGFA
GO:0032268	Regulation of cellular protein metabolic process	7	2693	0.63	0.0479	9606.ENSP00000006053,9606.ENSP00000220166,9606.ENSP00000276571,9606.ENSP00000304767,9606.ENSP00000450482,9606.ENSP00000451040,9606.ENSP00000478570	CX3CL1,CTSH,CRH,P2RY1,BDKRB2,PGF,VEGFA
GO:0048523	Negative regulation of cellular process	9	4874	0.48	0.0479	9606.ENSP00000006053,9606.ENSP00000220166,9606.ENSP00000231061,9606.ENSP00000276571,9606.ENSP00000304767,9606.ENSP00000334329,9606.ENSP00000363827,9606.ENSP00000450482,9606.ENSP00000478570	CX3CL1,CTSH,SPARC,CRH,P2RY1,UNC5B,HSPG2,BDKRB2,VEGFA
GO:0050896	Response to stimulus	11	8046	0.35	0.0498	9606.ENSP00000006053,9606.ENSP00000220166,9606.ENSP00000231061,9606.ENSP00000276571,9606.ENSP00000304767,9606.ENSP00000334329,9606.ENSP00000363827,9606.ENSP00000379256,9606.ENSP00000450482,9606.ENSP00000451040,9606.ENSP00000478570	CX3CL1,CTSH,SPARC,CRH,P2RY1,UNC5B,HSPG2,NCALD,BDKRB2,PGF,VEGFA
