#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
PMID:34029942	(2021) Lactobacillus johnsonii activates porcine monocyte derived dendritic cells maturation to modulate Th cellular immune response.	4	9	3.24	2.36e-06	9606.ENSP00000260010,9606.ENSP00000264246,9606.ENSP00000351671,9606.ENSP00000398698	TLR2,CD80,CCL20,TNF
PMID:21780151	(2012) 40-O -[2-Hydroxyethyl]rapamycin modulates human dendritic cell function during exposure to Aspergillus fumigatus.	4	10	3.19	2.36e-06	9606.ENSP00000260010,9606.ENSP00000264246,9606.ENSP00000351671,9606.ENSP00000398698	TLR2,CD80,CCL20,TNF
PMID:32046726	(2020) Immune response in piglets orally immunized with recombinant Bacillus subtilis expressing the capsid protein of porcine circovirus type 2.	4	18	2.94	8.06e-06	9606.ENSP00000260010,9606.ENSP00000264246,9606.ENSP00000351671,9606.ENSP00000398698	TLR2,CD80,CCL20,TNF
PMID:21936897	(2011) Protease-activated receptor 2 activation of myeloid dendritic cells regulates allergic airway inflammation.	4	23	2.83	1.45e-05	9606.ENSP00000260010,9606.ENSP00000264246,9606.ENSP00000351671,9606.ENSP00000398698	TLR2,CD80,CCL20,TNF
PMID:35210807	(2022) Probiotic Combination CBLEB Alleviates Streptococcus pneumoniae Infection Through Immune Regulation in Immunocompromised Rats.	4	38	2.61	1.57e-05	9606.ENSP00000260010,9606.ENSP00000264246,9606.ENSP00000351671,9606.ENSP00000398698	TLR2,CD80,CCL20,TNF
PMID:33732265	(2021) The Impact of Neutrophil Recruitment to the Skin on the Pathology Induced by Leishmania Infection.	4	35	2.65	1.57e-05	9606.ENSP00000260010,9606.ENSP00000264246,9606.ENSP00000351671,9606.ENSP00000398698	TLR2,CD80,CCL20,TNF
PMID:34132167	(2021) Naturally circulating pertactin-deficient Bordetella pertussis strains induce distinct gene expression and inflammatory signatures in human dendritic cells.	4	39	2.6	1.57e-05	9606.ENSP00000260010,9606.ENSP00000264246,9606.ENSP00000351671,9606.ENSP00000398698	TLR2,CD80,CCL20,TNF
PMID:34214113	(2021) Revealing immune responses in the Mycobacterium avium subsp. paratuberculosis-infected THP-1 cells using single cell RNA-sequencing.	4	35	2.65	1.57e-05	9606.ENSP00000260010,9606.ENSP00000264246,9606.ENSP00000351671,9606.ENSP00000398698	TLR2,CD80,CCL20,TNF
PMID:34395294	(2021) Cervicovaginal Microbiome Factors in Clearance of Human Papillomavirus Infection.	4	25	2.8	1.57e-05	9606.ENSP00000260010,9606.ENSP00000264246,9606.ENSP00000351671,9606.ENSP00000398698	TLR2,CD80,CCL20,TNF
PMID:34944756	(2021) Antimicrobial and Prebiotic Activity of Lactoferrin in the Female Reproductive Tract: A Comprehensive Review.	4	26	2.78	1.57e-05	9606.ENSP00000260010,9606.ENSP00000264246,9606.ENSP00000351671,9606.ENSP00000398698	TLR2,CD80,CCL20,TNF
