#category	term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO Component	GO:0009986	Cell surface	4	824	1.28	0.0261	9606.ENSP00000260010,9606.ENSP00000264246,9606.ENSP00000366267,9606.ENSP00000398698	TLR2,CD80,GPC5,TNF
KEGG	hsa05323	Rheumatoid arthritis	4	85	2.27	6.69e-07	9606.ENSP00000260010,9606.ENSP00000264246,9606.ENSP00000351671,9606.ENSP00000398698	TLR2,CD80,CCL20,TNF
KEGG	hsa04620	Toll-like receptor signaling pathway	3	101	2.07	0.00024	9606.ENSP00000260010,9606.ENSP00000264246,9606.ENSP00000398698	TLR2,CD80,TNF
KEGG	hsa04940	Type I diabetes mellitus	2	39	2.3	0.0037	9606.ENSP00000264246,9606.ENSP00000398698	CD80,TNF
KEGG	hsa05144	Malaria	2	46	2.23	0.0037	9606.ENSP00000260010,9606.ENSP00000398698	TLR2,TNF
KEGG	hsa05330	Allograft rejection	2	34	2.36	0.0037	9606.ENSP00000264246,9606.ENSP00000398698	CD80,TNF
KEGG	hsa05332	Graft-versus-host disease	2	36	2.34	0.0037	9606.ENSP00000264246,9606.ENSP00000398698	CD80,TNF
KEGG	hsa05134	Legionellosis	2	55	2.15	0.0040	9606.ENSP00000260010,9606.ENSP00000398698	TLR2,TNF
KEGG	hsa05321	Inflammatory bowel disease	2	60	2.12	0.0041	9606.ENSP00000260010,9606.ENSP00000398698	TLR2,TNF
KEGG	hsa05140	Leishmaniasis	2	70	2.05	0.0049	9606.ENSP00000260010,9606.ENSP00000398698	TLR2,TNF
KEGG	hsa04061	Viral protein interaction with cytokine and cytokine receptor	2	96	1.91	0.0076	9606.ENSP00000351671,9606.ENSP00000398698	CCL20,TNF
KEGG	hsa04657	IL-17 signaling pathway	2	92	1.93	0.0076	9606.ENSP00000351671,9606.ENSP00000398698	CCL20,TNF
KEGG	hsa04668	TNF signaling pathway	2	112	1.84	0.0076	9606.ENSP00000351671,9606.ENSP00000398698	CCL20,TNF
KEGG	hsa05142	Chagas disease	2	99	1.9	0.0076	9606.ENSP00000260010,9606.ENSP00000398698	TLR2,TNF
KEGG	hsa05145	Toxoplasmosis	2	105	1.87	0.0076	9606.ENSP00000260010,9606.ENSP00000398698	TLR2,TNF
KEGG	hsa05146	Amoebiasis	2	100	1.89	0.0076	9606.ENSP00000260010,9606.ENSP00000398698	TLR2,TNF
KEGG	hsa05322	Systemic lupus erythematosus	2	93	1.93	0.0076	9606.ENSP00000264246,9606.ENSP00000398698	CD80,TNF
KEGG	hsa05161	Hepatitis B	2	159	1.69	0.0131	9606.ENSP00000260010,9606.ENSP00000398698	TLR2,TNF
KEGG	hsa05152	Tuberculosis	2	168	1.67	0.0138	9606.ENSP00000260010,9606.ENSP00000398698	TLR2,TNF
KEGG	hsa05169	Epstein-Barr virus infection	2	193	1.61	0.0171	9606.ENSP00000260010,9606.ENSP00000398698	TLR2,TNF
KEGG	hsa05205	Proteoglycans in cancer	2	196	1.6	0.0171	9606.ENSP00000260010,9606.ENSP00000398698	TLR2,TNF
KEGG	hsa05132	Salmonella infection	2	209	1.57	0.0173	9606.ENSP00000260010,9606.ENSP00000398698	TLR2,TNF
KEGG	hsa05170	Human immunodeficiency virus 1 infection	2	204	1.58	0.0173	9606.ENSP00000260010,9606.ENSP00000398698	TLR2,TNF
KEGG	hsa04060	Cytokine-cytokine receptor interaction	2	282	1.44	0.0298	9606.ENSP00000351671,9606.ENSP00000398698	CCL20,TNF
Reactome	HSA-6783783	Interleukin-10 signaling	3	45	2.42	0.00030	9606.ENSP00000264246,9606.ENSP00000351671,9606.ENSP00000398698	CD80,CCL20,TNF
WikiPathways	WP75	Toll-like receptor signaling pathway	3	103	2.06	0.0010	9606.ENSP00000260010,9606.ENSP00000264246,9606.ENSP00000398698	TLR2,CD80,TNF
WikiPathways	WP1449	Regulation of toll-like receptor signaling pathway	3	139	1.93	0.0013	9606.ENSP00000260010,9606.ENSP00000264246,9606.ENSP00000398698	TLR2,CD80,TNF
WikiPathways	WP4478	LTF danger signal response pathway	2	19	2.61	0.0025	9606.ENSP00000260010,9606.ENSP00000398698	TLR2,TNF
WikiPathways	WP262	Ebstein-Barr virus LMP1 signaling	2	23	2.53	0.0026	9606.ENSP00000351671,9606.ENSP00000398698	CCL20,TNF
WikiPathways	WP4341	Non-genomic actions of 1,25 dihydroxyvitamin D3	2	71	2.04	0.0185	9606.ENSP00000260010,9606.ENSP00000398698	TLR2,TNF
WikiPathways	WP2328	Allograft Rejection	2	89	1.94	0.0224	9606.ENSP00000264246,9606.ENSP00000398698	CD80,TNF
WikiPathways	WP4298	Acute viral myocarditis	2	86	1.96	0.0224	9606.ENSP00000264246,9606.ENSP00000398698	CD80,TNF
WikiPathways	WP5098	T-cell activation SARS-CoV-2	2	86	1.96	0.0224	9606.ENSP00000264246,9606.ENSP00000398698	CD80,TNF
WikiPathways	WP4666	Hepatitis B infection	2	151	1.71	0.0450	9606.ENSP00000260010,9606.ENSP00000398698	TLR2,TNF
COMPARTMENTS	GOCC:0005618	Cell wall	2	26	2.48	0.0361	9606.ENSP00000260010,9606.ENSP00000398698	TLR2,TNF
COMPARTMENTS	GOCC:0043514	interleukin-12 complex	2	24	2.51	0.0361	9606.ENSP00000264246,9606.ENSP00000398698	CD80,TNF
COMPARTMENTS	GOCC:0071159	NF-kappaB complex	2	23	2.53	0.0361	9606.ENSP00000260010,9606.ENSP00000398698	TLR2,TNF
