#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
PMID:35251002	(2022) Coping With Stress: The Mitokine GDF-15 as a Biomarker of COVID-19 Severity.	5	31	2.46	1.10e-05	9606.ENSP00000252809,9606.ENSP00000343636,9606.ENSP00000347942,9606.ENSP00000351905,9606.ENSP00000471894	GDF15,GFRAL,RET,TGFBR2,HAMP
PMID:29543343	(2018) Hepcidin regulation in a mouse model of acute hypoxia.	4	4	3.25	1.10e-05	9606.ENSP00000252809,9606.ENSP00000262120,9606.ENSP00000442304,9606.ENSP00000471894	GDF15,TWSG1,FAM132B,HAMP
PMID:28501597	(2017) Reciprocal regulation between hepcidin and erythropoiesis and its therapeutic application in erythroid disorders.	4	5	3.15	1.10e-05	9606.ENSP00000252809,9606.ENSP00000262120,9606.ENSP00000442304,9606.ENSP00000471894	GDF15,TWSG1,FAM132B,HAMP
PMID:26124688	(2015) Iron chelation therapy in transfusion-dependent thalassemia patients: current strategies and future directions.	4	6	3.07	1.10e-05	9606.ENSP00000252809,9606.ENSP00000262120,9606.ENSP00000442304,9606.ENSP00000471894	GDF15,TWSG1,FAM132B,HAMP
PMID:26712750	(2015) Resistance to Recombinant Human Erythropoietin Therapy in a Rat Model of Chronic Kidney Disease Associated Anemia.	5	25	2.55	1.10e-05	9606.ENSP00000252809,9606.ENSP00000262120,9606.ENSP00000347942,9606.ENSP00000442304,9606.ENSP00000471894	GDF15,TWSG1,RET,FAM132B,HAMP
PMID:26460251	(2015) Erythropoietic drive is the strongest predictor of hepcidin level in adults with sickle cell disease.	4	7	3.01	1.20e-05	9606.ENSP00000252809,9606.ENSP00000262120,9606.ENSP00000442304,9606.ENSP00000471894	GDF15,TWSG1,FAM132B,HAMP
PMID:33677869	(2021) [Expression of iron-regulating erythroid factors in different types of erythropoiesis disorders].	4	8	2.95	1.54e-05	9606.ENSP00000252809,9606.ENSP00000262120,9606.ENSP00000442304,9606.ENSP00000471894	GDF15,TWSG1,FAM132B,HAMP
PMID:31775479	(2019) [Expression and influencing factors of hepcidin in classical paroxysmal nocturnal hemoglobinuria].	4	8	2.95	1.54e-05	9606.ENSP00000252809,9606.ENSP00000262120,9606.ENSP00000442304,9606.ENSP00000471894	GDF15,TWSG1,FAM132B,HAMP
PMID:29122992	(2018) Labile plasma iron levels predict survival in patients with lower-risk myelodysplastic syndromes.	4	8	2.95	1.54e-05	9606.ENSP00000252809,9606.ENSP00000262120,9606.ENSP00000442304,9606.ENSP00000471894	GDF15,TWSG1,FAM132B,HAMP
PMID:30745811	(2019) Imbalance of erythropoiesis and iron metabolism in patients with thalassemia.	4	9	2.9	1.55e-05	9606.ENSP00000252809,9606.ENSP00000262120,9606.ENSP00000442304,9606.ENSP00000471894	GDF15,TWSG1,FAM132B,HAMP
