#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0016615	Malate dehydrogenase activity	3	8	2.82	7.03e-05	9606.ENSP00000327070,9606.ENSP00000358719,9606.ENSP00000438144	MDH2,ME1,MDH1
GO:0000166	Nucleotide binding	9	2119	0.88	0.00015	9606.ENSP00000216780,9606.ENSP00000253792,9606.ENSP00000319814,9606.ENSP00000320171,9606.ENSP00000339933,9606.ENSP00000358719,9606.ENSP00000377532,9606.ENSP00000382071,9606.ENSP00000438144	PCK2,ACLY,PCK1,PKM,PKLR,ME1,PC,HLCS,MDH1
GO:0003824	Catalytic activity	11	5486	0.55	0.00055	9606.ENSP00000216780,9606.ENSP00000253792,9606.ENSP00000319814,9606.ENSP00000320171,9606.ENSP00000327070,9606.ENSP00000339933,9606.ENSP00000342056,9606.ENSP00000358719,9606.ENSP00000377532,9606.ENSP00000382071,9606.ENSP00000438144	PCK2,ACLY,PCK1,PKM,MDH2,PKLR,CS,ME1,PC,HLCS,MDH1
GO:0004613	Phosphoenolpyruvate carboxykinase (gtp) activity	2	2	3.25	0.00055	9606.ENSP00000216780,9606.ENSP00000319814	PCK2,PCK1
GO:0004743	Pyruvate kinase activity	2	2	3.25	0.00055	9606.ENSP00000320171,9606.ENSP00000339933	PKM,PKLR
GO:0016831	Carboxy-lyase activity	3	34	2.2	0.00055	9606.ENSP00000216780,9606.ENSP00000319814,9606.ENSP00000358719	PCK2,PCK1,ME1
GO:0032555	Purine ribonucleotide binding	8	1864	0.88	0.00055	9606.ENSP00000216780,9606.ENSP00000253792,9606.ENSP00000319814,9606.ENSP00000320171,9606.ENSP00000339933,9606.ENSP00000358719,9606.ENSP00000377532,9606.ENSP00000382071	PCK2,ACLY,PCK1,PKM,PKLR,ME1,PC,HLCS
GO:0097159	Organic cyclic compound binding	11	5916	0.52	0.00055	9606.ENSP00000216780,9606.ENSP00000253792,9606.ENSP00000319814,9606.ENSP00000320171,9606.ENSP00000327070,9606.ENSP00000339933,9606.ENSP00000342056,9606.ENSP00000358719,9606.ENSP00000377532,9606.ENSP00000382071,9606.ENSP00000438144	PCK2,ACLY,PCK1,PKM,MDH2,PKLR,CS,ME1,PC,HLCS,MDH1
GO:1901363	Heterocyclic compound binding	11	5831	0.53	0.00055	9606.ENSP00000216780,9606.ENSP00000253792,9606.ENSP00000319814,9606.ENSP00000320171,9606.ENSP00000327070,9606.ENSP00000339933,9606.ENSP00000342056,9606.ENSP00000358719,9606.ENSP00000377532,9606.ENSP00000382071,9606.ENSP00000438144	PCK2,ACLY,PCK1,PKM,MDH2,PKLR,CS,ME1,PC,HLCS,MDH1
GO:0004470	Malic enzyme activity	2	4	2.95	0.00082	9606.ENSP00000358719,9606.ENSP00000438144	ME1,MDH1
GO:0030060	L-malate dehydrogenase activity	2	4	2.95	0.00082	9606.ENSP00000327070,9606.ENSP00000438144	MDH2,MDH1
GO:0009374	Biotin binding	2	5	2.85	0.0010	9606.ENSP00000377532,9606.ENSP00000382071	PC,HLCS
GO:0030145	Manganese ion binding	3	66	1.91	0.0010	9606.ENSP00000216780,9606.ENSP00000319814,9606.ENSP00000358719	PCK2,PCK1,ME1
GO:0046912	Transferase activity, transferring acyl groups, acyl groups converted into alkyl on transfer	2	5	2.85	0.0010	9606.ENSP00000253792,9606.ENSP00000342056	ACLY,CS
GO:0035639	Purine ribonucleoside triphosphate binding	7	1799	0.84	0.0020	9606.ENSP00000216780,9606.ENSP00000253792,9606.ENSP00000319814,9606.ENSP00000320171,9606.ENSP00000339933,9606.ENSP00000377532,9606.ENSP00000382071	PCK2,ACLY,PCK1,PKM,PKLR,PC,HLCS
GO:0030955	Potassium ion binding	2	10	2.55	0.0027	9606.ENSP00000320171,9606.ENSP00000339933	PKM,PKLR
GO:0043168	Anion binding	8	2805	0.71	0.0027	9606.ENSP00000216780,9606.ENSP00000253792,9606.ENSP00000319814,9606.ENSP00000320171,9606.ENSP00000339933,9606.ENSP00000358719,9606.ENSP00000377532,9606.ENSP00000382071	PCK2,ACLY,PCK1,PKM,PKLR,ME1,PC,HLCS
GO:0016616	Oxidoreductase activity, acting on the ch-oh group of donors, nad or nadp as acceptor	3	122	1.64	0.0050	9606.ENSP00000327070,9606.ENSP00000358719,9606.ENSP00000438144	MDH2,ME1,MDH1
GO:0032559	Adenyl ribonucleotide binding	6	1522	0.85	0.0085	9606.ENSP00000253792,9606.ENSP00000320171,9606.ENSP00000339933,9606.ENSP00000358719,9606.ENSP00000377532,9606.ENSP00000382071	ACLY,PKM,PKLR,ME1,PC,HLCS
GO:0043531	ADP binding	2	35	2.01	0.0197	9606.ENSP00000320171,9606.ENSP00000358719	PKM,ME1
GO:0000287	Magnesium ion binding	3	215	1.39	0.0213	9606.ENSP00000319814,9606.ENSP00000320171,9606.ENSP00000339933	PCK1,PKM,PKLR
GO:0031406	Carboxylic acid binding	3	218	1.39	0.0215	9606.ENSP00000319814,9606.ENSP00000377532,9606.ENSP00000382071	PCK1,PC,HLCS
GO:0051287	NAD binding	2	56	1.8	0.0431	9606.ENSP00000358719,9606.ENSP00000438144	ME1,MDH1
