#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
IPR001236	Lactate/malate dehydrogenase, N-terminal	2	8	2.65	0.0090	9606.ENSP00000327070,9606.ENSP00000438144	MDH2,MDH1
IPR001252	Malate dehydrogenase, active site	2	2	3.25	0.0090	9606.ENSP00000327070,9606.ENSP00000438144	MDH2,MDH1
IPR001557	L-lactate/malate dehydrogenase	2	9	2.6	0.0090	9606.ENSP00000327070,9606.ENSP00000438144	MDH2,MDH1
IPR001697	Pyruvate kinase	2	2	3.25	0.0090	9606.ENSP00000320171,9606.ENSP00000339933	PKM,PKLR
IPR002020	Citrate synthase	2	2	3.25	0.0090	9606.ENSP00000253792,9606.ENSP00000342056	ACLY,CS
IPR008209	Phosphoenolpyruvate carboxykinase, GTP-utilising	2	2	3.25	0.0090	9606.ENSP00000216780,9606.ENSP00000319814	PCK2,PCK1
IPR008210	Phosphoenolpyruvate carboxykinase, N-terminal	2	2	3.25	0.0090	9606.ENSP00000216780,9606.ENSP00000319814	PCK2,PCK1
IPR011037	Pyruvate kinase-like, insert domain superfamily	2	5	2.85	0.0090	9606.ENSP00000320171,9606.ENSP00000339933	PKM,PKLR
IPR013035	Phosphoenolpyruvate carboxykinase, C-terminal	2	2	3.25	0.0090	9606.ENSP00000216780,9606.ENSP00000319814	PCK2,PCK1
IPR015793	Pyruvate kinase, barrel	2	2	3.25	0.0090	9606.ENSP00000320171,9606.ENSP00000339933	PKM,PKLR
IPR015795	Pyruvate kinase, C-terminal	2	2	3.25	0.0090	9606.ENSP00000320171,9606.ENSP00000339933	PKM,PKLR
IPR015806	Pyruvate kinase, insert domain superfamily	2	2	3.25	0.0090	9606.ENSP00000320171,9606.ENSP00000339933	PKM,PKLR
IPR015813	Pyruvate/Phosphoenolpyruvate kinase-like domain superfamily	2	3	3.07	0.0090	9606.ENSP00000320171,9606.ENSP00000339933	PKM,PKLR
IPR015955	Lactate dehydrogenase/glycoside hydrolase, family 4, C-terminal	2	9	2.6	0.0090	9606.ENSP00000327070,9606.ENSP00000438144	MDH2,MDH1
IPR016143	Citrate synthase-like, small alpha subdomain	2	2	3.25	0.0090	9606.ENSP00000253792,9606.ENSP00000342056	ACLY,CS
IPR018091	Phosphoenolpyruvate carboxykinase, GTP-utilising, conserved site	2	2	3.25	0.0090	9606.ENSP00000216780,9606.ENSP00000319814	PCK2,PCK1
IPR018209	Pyruvate kinase, active site	2	2	3.25	0.0090	9606.ENSP00000320171,9606.ENSP00000339933	PKM,PKLR
IPR022383	Lactate/malate dehydrogenase, C-terminal	2	8	2.65	0.0090	9606.ENSP00000327070,9606.ENSP00000438144	MDH2,MDH1
IPR035077	Phosphoenolpyruvate carboxykinase, C-terminal P-loop domain	2	2	3.25	0.0090	9606.ENSP00000216780,9606.ENSP00000319814	PCK2,PCK1
IPR035078	Phosphoenolpyruvate carboxykinase, GTP-utilising, N-terminal	2	2	3.25	0.0090	9606.ENSP00000216780,9606.ENSP00000319814	PCK2,PCK1
IPR036291	NAD(P)-binding domain superfamily	4	155	1.66	0.0090	9606.ENSP00000253792,9606.ENSP00000327070,9606.ENSP00000358719,9606.ENSP00000438144	ACLY,MDH2,ME1,MDH1
IPR036918	Pyruvate kinase, C-terminal domain superfamily	2	2	3.25	0.0090	9606.ENSP00000320171,9606.ENSP00000339933	PKM,PKLR
IPR036969	Citrate synthase superfamily	2	2	3.25	0.0090	9606.ENSP00000253792,9606.ENSP00000342056	ACLY,CS
IPR040442	Pyruvate kinase-like domain superfamily	2	3	3.07	0.0090	9606.ENSP00000320171,9606.ENSP00000339933	PKM,PKLR
