#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
hsa00620	Pyruvate metabolism	8	38	2.57	2.69e-17	9606.ENSP00000216780,9606.ENSP00000319814,9606.ENSP00000320171,9606.ENSP00000327070,9606.ENSP00000339933,9606.ENSP00000358719,9606.ENSP00000377532,9606.ENSP00000438144	PCK2,PCK1,PKM,MDH2,PKLR,ME1,PC,MDH1
hsa00020	Citrate cycle (TCA cycle)	7	29	2.63	2.11e-15	9606.ENSP00000216780,9606.ENSP00000253792,9606.ENSP00000319814,9606.ENSP00000327070,9606.ENSP00000342056,9606.ENSP00000377532,9606.ENSP00000438144	PCK2,ACLY,PCK1,MDH2,CS,PC,MDH1
hsa01200	Carbon metabolism	7	117	2.03	1.25e-11	9606.ENSP00000320171,9606.ENSP00000327070,9606.ENSP00000339933,9606.ENSP00000342056,9606.ENSP00000358719,9606.ENSP00000377532,9606.ENSP00000438144	PKM,MDH2,PKLR,CS,ME1,PC,MDH1
hsa01100	Metabolic pathways	11	1447	1.13	3.17e-11	9606.ENSP00000216780,9606.ENSP00000253792,9606.ENSP00000319814,9606.ENSP00000320171,9606.ENSP00000327070,9606.ENSP00000339933,9606.ENSP00000342056,9606.ENSP00000358719,9606.ENSP00000377532,9606.ENSP00000382071,9606.ENSP00000438144	PCK2,ACLY,PCK1,PKM,MDH2,PKLR,CS,ME1,PC,HLCS,MDH1
hsa00010	Glycolysis / Gluconeogenesis	4	65	2.04	3.08e-06	9606.ENSP00000216780,9606.ENSP00000319814,9606.ENSP00000320171,9606.ENSP00000339933	PCK2,PCK1,PKM,PKLR
hsa01230	Biosynthesis of amino acids	4	73	1.99	4.00e-06	9606.ENSP00000320171,9606.ENSP00000339933,9606.ENSP00000342056,9606.ENSP00000377532	PKM,PKLR,CS,PC
hsa04964	Proximal tubule bicarbonate reclamation	3	23	2.37	1.64e-05	9606.ENSP00000216780,9606.ENSP00000319814,9606.ENSP00000438144	PCK2,PCK1,MDH1
hsa00630	Glyoxylate and dicarboxylate metabolism	3	30	2.25	3.00e-05	9606.ENSP00000327070,9606.ENSP00000342056,9606.ENSP00000438144	MDH2,CS,MDH1
hsa03320	PPAR signaling pathway	3	75	1.85	0.00037	9606.ENSP00000216780,9606.ENSP00000319814,9606.ENSP00000358719	PCK2,PCK1,ME1
hsa04922	Glucagon signaling pathway	3	101	1.72	0.00078	9606.ENSP00000216780,9606.ENSP00000319814,9606.ENSP00000320171	PCK2,PCK1,PKM
hsa04910	Insulin signaling pathway	3	133	1.6	0.0016	9606.ENSP00000216780,9606.ENSP00000319814,9606.ENSP00000339933	PCK2,PCK1,PKLR
hsa04930	Type II diabetes mellitus	2	46	1.89	0.0089	9606.ENSP00000320171,9606.ENSP00000339933	PKM,PKLR
hsa00270	Cysteine and methionine metabolism	2	49	1.86	0.0093	9606.ENSP00000327070,9606.ENSP00000438144	MDH2,MDH1
hsa04920	Adipocytokine signaling pathway	2	69	1.71	0.0168	9606.ENSP00000216780,9606.ENSP00000319814	PCK2,PCK1
hsa04931	Insulin resistance	2	107	1.52	0.0366	9606.ENSP00000216780,9606.ENSP00000319814	PCK2,PCK1
hsa04152	AMPK signaling pathway	2	120	1.47	0.0429	9606.ENSP00000216780,9606.ENSP00000319814	PCK2,PCK1
hsa00230	Purine metabolism	2	127	1.45	0.0450	9606.ENSP00000320171,9606.ENSP00000339933	PKM,PKLR
hsa04068	FoxO signaling pathway	2	127	1.45	0.0450	9606.ENSP00000216780,9606.ENSP00000319814	PCK2,PCK1
