#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
KW-0312	Gluconeogenesis	3	11	2.69	1.96e-05	9606.ENSP00000216780,9606.ENSP00000319814,9606.ENSP00000377532	PCK2,PCK1,PC
KW-0670	Pyruvate	3	9	2.77	1.96e-05	9606.ENSP00000320171,9606.ENSP00000339933,9606.ENSP00000377532	PKM,PKLR,PC
KW-0816	Tricarboxylic acid cycle	3	24	2.35	8.63e-05	9606.ENSP00000327070,9606.ENSP00000342056,9606.ENSP00000438144	MDH2,CS,MDH1
KW-0007	Acetylation	9	3341	0.68	0.00083	9606.ENSP00000216780,9606.ENSP00000253792,9606.ENSP00000319814,9606.ENSP00000320171,9606.ENSP00000327070,9606.ENSP00000342056,9606.ENSP00000358719,9606.ENSP00000377532,9606.ENSP00000438144	PCK2,ACLY,PCK1,PKM,MDH2,CS,ME1,PC,MDH1
KW-0547	Nucleotide-binding	7	1760	0.85	0.0016	9606.ENSP00000216780,9606.ENSP00000253792,9606.ENSP00000319814,9606.ENSP00000320171,9606.ENSP00000339933,9606.ENSP00000377532,9606.ENSP00000382071	PCK2,ACLY,PCK1,PKM,PKLR,PC,HLCS
KW-0210	Decarboxylase	2	20	2.25	0.0074	9606.ENSP00000216780,9606.ENSP00000319814	PCK2,PCK1
KW-0324	Glycolysis	2	31	2.06	0.0145	9606.ENSP00000320171,9606.ENSP00000339933	PKM,PKLR
KW-0464	Manganese	3	204	1.42	0.0145	9606.ENSP00000216780,9606.ENSP00000319814,9606.ENSP00000377532	PCK2,PCK1,PC
KW-0809	Transit peptide	4	543	1.12	0.0145	9606.ENSP00000216780,9606.ENSP00000327070,9606.ENSP00000342056,9606.ENSP00000377532	PCK2,MDH2,CS,PC
KW-0496	Mitochondrion	5	1176	0.88	0.0182	9606.ENSP00000216780,9606.ENSP00000327070,9606.ENSP00000342056,9606.ENSP00000377532,9606.ENSP00000382071	PCK2,MDH2,CS,PC,HLCS
KW-0021	Allosteric enzyme	2	47	1.88	0.0204	9606.ENSP00000320171,9606.ENSP00000339933	PKM,PKLR
KW-0067	ATP-binding	5	1368	0.81	0.0306	9606.ENSP00000253792,9606.ENSP00000320171,9606.ENSP00000339933,9606.ENSP00000377532,9606.ENSP00000382071	ACLY,PKM,PKLR,PC,HLCS
KW-0511	Multifunctional enzyme	2	73	1.69	0.0405	9606.ENSP00000377532,9606.ENSP00000382071	PC,HLCS
KW-0597	Phosphoprotein	10	8057	0.34	0.0468	9606.ENSP00000216780,9606.ENSP00000253792,9606.ENSP00000319814,9606.ENSP00000320171,9606.ENSP00000327070,9606.ENSP00000339933,9606.ENSP00000358719,9606.ENSP00000377532,9606.ENSP00000382071,9606.ENSP00000438144	PCK2,ACLY,PCK1,PKM,MDH2,PKLR,ME1,PC,HLCS,MDH1
