#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
PMID:22174787	(2011) Genome characterization of the oleaginous fungus Mortierella alpina.	10	87	2.31	2.45e-16	9606.ENSP00000216780,9606.ENSP00000253792,9606.ENSP00000319814,9606.ENSP00000320171,9606.ENSP00000327070,9606.ENSP00000339933,9606.ENSP00000342056,9606.ENSP00000358719,9606.ENSP00000377532,9606.ENSP00000438144	PCK2,ACLY,PCK1,PKM,MDH2,PKLR,CS,ME1,PC,MDH1
PMID:1174528	(1975) Activities of enzymes concerned with pyruvate and oxaloacetate metabolism in the heart and liver of developing sheep.	8	14	3.01	2.45e-16	9606.ENSP00000216780,9606.ENSP00000319814,9606.ENSP00000320171,9606.ENSP00000327070,9606.ENSP00000339933,9606.ENSP00000342056,9606.ENSP00000377532,9606.ENSP00000438144	PCK2,PCK1,PKM,MDH2,PKLR,CS,PC,MDH1
PMID:849473	(1977) Enzyme activities in the sheep placenta during the last three months of pregnancy.	8	27	2.72	9.75e-15	9606.ENSP00000216780,9606.ENSP00000319814,9606.ENSP00000320171,9606.ENSP00000327070,9606.ENSP00000339933,9606.ENSP00000342056,9606.ENSP00000377532,9606.ENSP00000438144	PCK2,PCK1,PKM,MDH2,PKLR,CS,PC,MDH1
PMID:20225132	(2010) Regulation of insulin secretion: role of mitochondrial signalling.	7	27	2.66	8.17e-12	9606.ENSP00000216780,9606.ENSP00000253792,9606.ENSP00000319814,9606.ENSP00000342056,9606.ENSP00000358719,9606.ENSP00000377532,9606.ENSP00000438144	PCK2,ACLY,PCK1,CS,ME1,PC,MDH1
PMID:19802714	(2010) Hot standards for the thermoacidophilic archaeon Sulfolobus solfataricus.	7	31	2.6	1.53e-11	9606.ENSP00000216780,9606.ENSP00000319814,9606.ENSP00000320171,9606.ENSP00000327070,9606.ENSP00000339933,9606.ENSP00000342056,9606.ENSP00000438144	PCK2,PCK1,PKM,MDH2,PKLR,CS,MDH1
PMID:3141576	(1988) Presence of anaplerotic reactions and transamination, and the absence of the tricarboxylic acid cycle in mollicutes.	6	9	3.07	1.99e-11	9606.ENSP00000216780,9606.ENSP00000319814,9606.ENSP00000320171,9606.ENSP00000339933,9606.ENSP00000358719,9606.ENSP00000377532	PCK2,PCK1,PKM,PKLR,ME1,PC
PMID:33289792	(2021) The PEP-pyruvate-oxaloacetate node: variation at the heart of metabolism.	6	13	2.91	9.24e-11	9606.ENSP00000216780,9606.ENSP00000319814,9606.ENSP00000320171,9606.ENSP00000339933,9606.ENSP00000358719,9606.ENSP00000438144	PCK2,PCK1,PKM,PKLR,ME1,MDH1
PMID:30909720	(2018) Mitochondrial Substrate-Level Phosphorylation as Energy Source for Glioblastoma: Review and Hypothesis.	7	44	2.45	9.24e-11	9606.ENSP00000216780,9606.ENSP00000253792,9606.ENSP00000320171,9606.ENSP00000327070,9606.ENSP00000342056,9606.ENSP00000377532,9606.ENSP00000438144	PCK2,ACLY,PKM,MDH2,CS,PC,MDH1
PMID:30076962	(2018) Glucose-freehigh-protein diet improves hepatomegaly and exercise intolerance in glycogen storage disease type III mice.	6	19	2.75	4.68e-10	9606.ENSP00000216780,9606.ENSP00000319814,9606.ENSP00000320171,9606.ENSP00000327070,9606.ENSP00000339933,9606.ENSP00000342056	PCK2,PCK1,PKM,MDH2,PKLR,CS
PMID:32736517	(2020) Physiological and transcriptome analysis of Poa pratensis var. anceps cv. Qinghai in response to cold stress.	6	20	2.73	5.48e-10	9606.ENSP00000253792,9606.ENSP00000320171,9606.ENSP00000327070,9606.ENSP00000339933,9606.ENSP00000342056,9606.ENSP00000438144	ACLY,PKM,MDH2,PKLR,CS,MDH1
PMID:4345356	(1972) Evaluation of the rate-limiting steps in the pathway of glucose metabolism in kidney cortex of normal, diabetic, cortisone-treated and growth hormone-treated rats.	6	24	2.65	1.28e-09	9606.ENSP00000216780,9606.ENSP00000253792,9606.ENSP00000319814,9606.ENSP00000320171,9606.ENSP00000339933,9606.ENSP00000377532	PCK2,ACLY,PCK1,PKM,PKLR,PC
