#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0019752	Carboxylic acid metabolic process	11	853	1.36	1.50e-11	9606.ENSP00000216780,9606.ENSP00000253792,9606.ENSP00000319814,9606.ENSP00000320171,9606.ENSP00000327070,9606.ENSP00000339933,9606.ENSP00000342056,9606.ENSP00000358719,9606.ENSP00000377532,9606.ENSP00000382071,9606.ENSP00000438144	PCK2,ACLY,PCK1,PKM,MDH2,PKLR,CS,ME1,PC,HLCS,MDH1
GO:0006006	Glucose metabolic process	7	116	2.03	3.38e-10	9606.ENSP00000216780,9606.ENSP00000319814,9606.ENSP00000320171,9606.ENSP00000327070,9606.ENSP00000339933,9606.ENSP00000377532,9606.ENSP00000438144	PCK2,PCK1,PKM,MDH2,PKLR,PC,MDH1
GO:0005975	Carbohydrate metabolic process	9	467	1.54	3.73e-10	9606.ENSP00000216780,9606.ENSP00000319814,9606.ENSP00000320171,9606.ENSP00000327070,9606.ENSP00000339933,9606.ENSP00000342056,9606.ENSP00000358719,9606.ENSP00000377532,9606.ENSP00000438144	PCK2,PCK1,PKM,MDH2,PKLR,CS,ME1,PC,MDH1
GO:0006090	Pyruvate metabolic process	6	69	2.19	2.15e-09	9606.ENSP00000216780,9606.ENSP00000319814,9606.ENSP00000320171,9606.ENSP00000339933,9606.ENSP00000358719,9606.ENSP00000377532	PCK2,PCK1,PKM,PKLR,ME1,PC
GO:0006107	Oxaloacetate metabolic process	4	8	2.95	3.42e-08	9606.ENSP00000253792,9606.ENSP00000319814,9606.ENSP00000327070,9606.ENSP00000438144	ACLY,PCK1,MDH2,MDH1
GO:0032787	Monocarboxylic acid metabolic process	8	515	1.44	4.42e-08	9606.ENSP00000216780,9606.ENSP00000253792,9606.ENSP00000319814,9606.ENSP00000320171,9606.ENSP00000339933,9606.ENSP00000358719,9606.ENSP00000377532,9606.ENSP00000382071	PCK2,ACLY,PCK1,PKM,PKLR,ME1,PC,HLCS
GO:0006094	Gluconeogenesis	5	46	2.29	4.79e-08	9606.ENSP00000216780,9606.ENSP00000319814,9606.ENSP00000327070,9606.ENSP00000377532,9606.ENSP00000438144	PCK2,PCK1,MDH2,PC,MDH1
GO:0044283	Small molecule biosynthetic process	8	572	1.4	7.92e-08	9606.ENSP00000216780,9606.ENSP00000253792,9606.ENSP00000319814,9606.ENSP00000320171,9606.ENSP00000327070,9606.ENSP00000339933,9606.ENSP00000377532,9606.ENSP00000438144	PCK2,ACLY,PCK1,PKM,MDH2,PKLR,PC,MDH1
GO:0043648	Dicarboxylic acid metabolic process	5	93	1.98	1.03e-06	9606.ENSP00000253792,9606.ENSP00000319814,9606.ENSP00000327070,9606.ENSP00000358719,9606.ENSP00000438144	ACLY,PCK1,MDH2,ME1,MDH1
GO:0006734	NADH metabolic process	4	37	2.28	4.04e-06	9606.ENSP00000320171,9606.ENSP00000327070,9606.ENSP00000339933,9606.ENSP00000438144	PKM,MDH2,PKLR,MDH1
