#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
WP3925	Amino acid metabolism	7	91	2.14	1.39e-11	9606.ENSP00000253792,9606.ENSP00000319814,9606.ENSP00000320171,9606.ENSP00000327070,9606.ENSP00000342056,9606.ENSP00000377532,9606.ENSP00000438144	ACLY,PCK1,PKM,MDH2,CS,PC,MDH1
WP534	Glycolysis and gluconeogenesis	6	45	2.38	3.57e-11	9606.ENSP00000319814,9606.ENSP00000320171,9606.ENSP00000327070,9606.ENSP00000339933,9606.ENSP00000377532,9606.ENSP00000438144	PCK1,PKM,MDH2,PKLR,PC,MDH1
WP2453	TCA cycle and deficiency of pyruvate dehydrogenase complex (PDHc)	5	16	2.74	8.83e-11	9606.ENSP00000253792,9606.ENSP00000319814,9606.ENSP00000342056,9606.ENSP00000377532,9606.ENSP00000438144	ACLY,PCK1,CS,PC,MDH1
WP4018	Clear cell renal cell carcinoma pathways	5	85	2.02	1.41e-07	9606.ENSP00000253792,9606.ENSP00000320171,9606.ENSP00000339933,9606.ENSP00000358719,9606.ENSP00000438144	ACLY,PKM,PKLR,ME1,MDH1
WP4290	Metabolic reprogramming in colon cancer	3	42	2.1	0.00025	9606.ENSP00000253792,9606.ENSP00000320171,9606.ENSP00000327070	ACLY,PKM,MDH2
WP3942	PPAR signaling pathway	3	67	1.9	0.00080	9606.ENSP00000216780,9606.ENSP00000319814,9606.ENSP00000358719	PCK2,PCK1,ME1
WP5031	Biotin metabolism, including IEMs	2	9	2.6	0.0015	9606.ENSP00000377532,9606.ENSP00000382071	PC,HLCS
WP5050	TCA cycle in senescence	2	10	2.55	0.0016	9606.ENSP00000358719,9606.ENSP00000438144	ME1,MDH1
WP78	TCA cycle (aka Krebs or citric acid cycle)	2	18	2.3	0.0041	9606.ENSP00000327070,9606.ENSP00000342056	MDH2,CS
WP357	Fatty acid biosynthesis	2	22	2.21	0.0053	9606.ENSP00000253792,9606.ENSP00000377532	ACLY,PC
WP4595	Urea cycle and associated pathways	2	24	2.17	0.0057	9606.ENSP00000327070,9606.ENSP00000438144	MDH2,MDH1
WP5046	NAD metabolism in oncogene-induced senescence and mitochondrial dysfunction-associated senescence	2	24	2.17	0.0057	9606.ENSP00000327070,9606.ENSP00000438144	MDH2,MDH1
WP1982	Sterol regulatory element-binding proteins (SREBP) signaling	2	69	1.71	0.0364	9606.ENSP00000253792,9606.ENSP00000438144	ACLY,MDH1
