#category	term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO Process	GO:0019752	Carboxylic acid metabolic process	11	853	1.36	1.50e-11	9606.ENSP00000216780,9606.ENSP00000253792,9606.ENSP00000319814,9606.ENSP00000320171,9606.ENSP00000327070,9606.ENSP00000339933,9606.ENSP00000342056,9606.ENSP00000358719,9606.ENSP00000377532,9606.ENSP00000382071,9606.ENSP00000438144	PCK2,ACLY,PCK1,PKM,MDH2,PKLR,CS,ME1,PC,HLCS,MDH1
GO Process	GO:0006006	Glucose metabolic process	7	116	2.03	3.38e-10	9606.ENSP00000216780,9606.ENSP00000319814,9606.ENSP00000320171,9606.ENSP00000327070,9606.ENSP00000339933,9606.ENSP00000377532,9606.ENSP00000438144	PCK2,PCK1,PKM,MDH2,PKLR,PC,MDH1
GO Process	GO:0005975	Carbohydrate metabolic process	9	467	1.54	3.73e-10	9606.ENSP00000216780,9606.ENSP00000319814,9606.ENSP00000320171,9606.ENSP00000327070,9606.ENSP00000339933,9606.ENSP00000342056,9606.ENSP00000358719,9606.ENSP00000377532,9606.ENSP00000438144	PCK2,PCK1,PKM,MDH2,PKLR,CS,ME1,PC,MDH1
GO Process	GO:0006090	Pyruvate metabolic process	6	69	2.19	2.15e-09	9606.ENSP00000216780,9606.ENSP00000319814,9606.ENSP00000320171,9606.ENSP00000339933,9606.ENSP00000358719,9606.ENSP00000377532	PCK2,PCK1,PKM,PKLR,ME1,PC
GO Process	GO:0006107	Oxaloacetate metabolic process	4	8	2.95	3.42e-08	9606.ENSP00000253792,9606.ENSP00000319814,9606.ENSP00000327070,9606.ENSP00000438144	ACLY,PCK1,MDH2,MDH1
GO Process	GO:0032787	Monocarboxylic acid metabolic process	8	515	1.44	4.42e-08	9606.ENSP00000216780,9606.ENSP00000253792,9606.ENSP00000319814,9606.ENSP00000320171,9606.ENSP00000339933,9606.ENSP00000358719,9606.ENSP00000377532,9606.ENSP00000382071	PCK2,ACLY,PCK1,PKM,PKLR,ME1,PC,HLCS
GO Process	GO:0006094	Gluconeogenesis	5	46	2.29	4.79e-08	9606.ENSP00000216780,9606.ENSP00000319814,9606.ENSP00000327070,9606.ENSP00000377532,9606.ENSP00000438144	PCK2,PCK1,MDH2,PC,MDH1
GO Process	GO:0044283	Small molecule biosynthetic process	8	572	1.4	7.92e-08	9606.ENSP00000216780,9606.ENSP00000253792,9606.ENSP00000319814,9606.ENSP00000320171,9606.ENSP00000327070,9606.ENSP00000339933,9606.ENSP00000377532,9606.ENSP00000438144	PCK2,ACLY,PCK1,PKM,MDH2,PKLR,PC,MDH1
GO Process	GO:0043648	Dicarboxylic acid metabolic process	5	93	1.98	1.03e-06	9606.ENSP00000253792,9606.ENSP00000319814,9606.ENSP00000327070,9606.ENSP00000358719,9606.ENSP00000438144	ACLY,PCK1,MDH2,ME1,MDH1
GO Process	GO:0006734	NADH metabolic process	4	37	2.28	4.04e-06	9606.ENSP00000320171,9606.ENSP00000327070,9606.ENSP00000339933,9606.ENSP00000438144	PKM,MDH2,PKLR,MDH1
GO Process	GO:0006108	Malate metabolic process	3	8	2.82	1.47e-05	9606.ENSP00000327070,9606.ENSP00000358719,9606.ENSP00000438144	MDH2,ME1,MDH1
GO Process	GO:0006091	Generation of precursor metabolites and energy	6	405	1.42	2.24e-05	9606.ENSP00000320171,9606.ENSP00000327070,9606.ENSP00000339933,9606.ENSP00000342056,9606.ENSP00000358719,9606.ENSP00000438144	PKM,MDH2,PKLR,CS,ME1,MDH1
GO Process	GO:1901576	Organic substance biosynthetic process	9	2734	0.77	0.00053	9606.ENSP00000216780,9606.ENSP00000253792,9606.ENSP00000319814,9606.ENSP00000320171,9606.ENSP00000327070,9606.ENSP00000339933,9606.ENSP00000358719,9606.ENSP00000377532,9606.ENSP00000438144	PCK2,ACLY,PCK1,PKM,MDH2,PKLR,ME1,PC,MDH1
GO Process	GO:0006099	Tricarboxylic acid cycle	3	34	2.2	0.00059	9606.ENSP00000327070,9606.ENSP00000342056,9606.ENSP00000438144	MDH2,CS,MDH1
GO Process	GO:0019543	Propionate catabolic process	2	2	3.25	0.00092	9606.ENSP00000216780,9606.ENSP00000319814	PCK2,PCK1
GO Process	GO:0032869	Cellular response to insulin stimulus	4	169	1.62	0.00092	9606.ENSP00000216780,9606.ENSP00000319814,9606.ENSP00000320171,9606.ENSP00000339933	PCK2,PCK1,PKM,PKLR
GO Process	GO:0046327	Glycerol biosynthetic process from pyruvate	2	2	3.25	0.00092	9606.ENSP00000216780,9606.ENSP00000319814	PCK2,PCK1
GO Process	GO:0009743	Response to carbohydrate	4	174	1.61	0.00099	9606.ENSP00000216780,9606.ENSP00000319814,9606.ENSP00000339933,9606.ENSP00000358719	PCK2,PCK1,PKLR,ME1
GO Process	GO:0019674	NAD metabolic process	3	45	2.07	0.0010	9606.ENSP00000320171,9606.ENSP00000339933,9606.ENSP00000438144	PKM,PKLR,MDH1
GO Process	GO:0055114	Oxidation-reduction process	6	939	1.06	0.0020	9606.ENSP00000320171,9606.ENSP00000327070,9606.ENSP00000339933,9606.ENSP00000342056,9606.ENSP00000358719,9606.ENSP00000438144	PKM,MDH2,PKLR,CS,ME1,MDH1
