#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
PMID:27473374	(2016) Proteinase-activated receptor 2 (PAR2) in hepatic stellate cells - evidence for a role in hepatocellular carcinoma growth in vivo.	7	88	1.91	9.80e-06	9606.ENSP00000219070,9606.ENSP00000229239,9606.ENSP00000314897,9606.ENSP00000336762,9606.ENSP00000355361,9606.ENSP00000360997,9606.ENSP00000451040	MMP2,GAPDH,ANGPT2,ANG,CD47,ADAMTS13,PGF
PMID:20445536	(2010) Central and peripheral molecular targets for antiobesity pharmacotherapy.	5	29	2.25	0.00027	9606.ENSP00000212015,9606.ENSP00000276571,9606.ENSP00000314897,9606.ENSP00000336762,9606.ENSP00000384092	SIRT1,CRH,ANGPT2,ANG,POMC
PMID:33527465	(2021) Biological Effects of Exposure to a Radiofrequency Electromagnetic Field on the Placental Barrier in Pregnant Rats.	3	4	2.89	0.0034	9606.ENSP00000229239,9606.ENSP00000276571,9606.ENSP00000384092	GAPDH,CRH,POMC
PMID:33654382	(2021) The Volatile Oil of Zanthoxylum bungeanum Pericarp Improved the Hypothalamic-Pituitary-Adrenal Axis and Gut Microbiota to Attenuate Chronic Unpredictable Stress-Induced Anxiety Behavior in Rats.	3	4	2.89	0.0034	9606.ENSP00000229239,9606.ENSP00000276571,9606.ENSP00000384092	GAPDH,CRH,POMC
PMID:33714739	(2021) Exosomal miR-155 from M1-polarized macrophages promotes EndoMT and impairs mitochondrial function via activating NF-kappaB signaling pathway in vascular endothelial cells after traumatic spinal cord injury.	4	18	2.36	0.0034	9606.ENSP00000212015,9606.ENSP00000219070,9606.ENSP00000229239,9606.ENSP00000314897	SIRT1,MMP2,GAPDH,ANGPT2
PMID:34025134	(2021) Saponins from Panax japonicus ameliorate age-related renal fibrosis by inhibition of inflammation mediated by NF-kappaB and TGF-beta1Smad signaling and suppression of oxidative stress via activation of Nrf2-ARE signaling.	4	25	2.22	0.0034	9606.ENSP00000212015,9606.ENSP00000219070,9606.ENSP00000229239,9606.ENSP00000319788	SIRT1,MMP2,GAPDH,NQO1
PMID:34219073	(2021) Dipeptidyl peptidase-4 inhibition prevents lung injury in mice under chronic stress via the modulation of oxidative stress and inflammation.	4	30	2.14	0.0034	9606.ENSP00000212015,9606.ENSP00000219070,9606.ENSP00000229239,9606.ENSP00000360997	SIRT1,MMP2,GAPDH,ADAMTS13
PMID:34306138	(2021) Effects of Electroacupuncture on Sleep via the Dopamine System of the HPA Axis in Rats after Cage Change.	3	4	2.89	0.0034	9606.ENSP00000229239,9606.ENSP00000276571,9606.ENSP00000384092	GAPDH,CRH,POMC
PMID:34357048	(2021) Liquid Biopsy and Potential Liquid Biopsy-Based Biomarkers in Philadelphia-Negative Classical Myeloproliferative Neoplasms: A Systematic Review.	5	103	1.7	0.0034	9606.ENSP00000219070,9606.ENSP00000314897,9606.ENSP00000336762,9606.ENSP00000384957,9606.ENSP00000451040	MMP2,ANGPT2,ANG,F11,PGF
PMID:34362378	(2021) Cyanidin-3-glucoside suppresses the progression of lung adenocarcinoma by downregulating TP53I3 and inhibiting PI3KAKTmTOR pathway.	4	18	2.36	0.0034	9606.ENSP00000212015,9606.ENSP00000219070,9606.ENSP00000229239,9606.ENSP00000319788	SIRT1,MMP2,GAPDH,NQO1
PMID:34720052	(2021) Aloin decelerates the progression of hepatocellular carcinoma through circ_0011385miR-149-5pWT1 axis.	3	4	2.89	0.0034	9606.ENSP00000219070,9606.ENSP00000229239,9606.ENSP00000331327	MMP2,GAPDH,WT1
PMID:34948031	(2021) A Rat Model of Post-Traumatic Stress Syndrome Causes Phenotype-Associated Morphological Changes and Hypofunction of the Adrenal Gland.	3	5	2.79	0.0034	9606.ENSP00000276571,9606.ENSP00000331327,9606.ENSP00000384092	CRH,WT1,POMC
PMID:34983882	(2021) Hyperoxygenation Ameliorates Stress-induced Neuronal and Behavioral Deficits.	4	28	2.17	0.0034	9606.ENSP00000212015,9606.ENSP00000219070,9606.ENSP00000229239,9606.ENSP00000319788	SIRT1,MMP2,GAPDH,NQO1
PMID:31746396	(2020) Hypoxia-inducible factors in hepatocellular carcinoma (Review).	5	83	1.79	0.0034	9606.ENSP00000219070,9606.ENSP00000229239,9606.ENSP00000314897,9606.ENSP00000336762,9606.ENSP00000451040	MMP2,GAPDH,ANGPT2,ANG,PGF
PMID:32070429	(2020) Role and therapeutic effects of skeletal muscle-derived non-myogenic cells in a rat myocardial infarction model.	4	23	2.25	0.0034	9606.ENSP00000219070,9606.ENSP00000229239,9606.ENSP00000336762,9606.ENSP00000451040	MMP2,GAPDH,ANG,PGF
PMID:32325684	(2020) Characterization of a Novel Murine Colon Carcinoma Subline with High-Metastatic Activity Established by In Vivo Selection Method.	4	24	2.23	0.0034	9606.ENSP00000219070,9606.ENSP00000229239,9606.ENSP00000355361,9606.ENSP00000451040	MMP2,GAPDH,CD47,PGF
PMID:32409702	(2020) Targeting the ERbetaAngiopoietin-2Tie-2 signaling-mediated angiogenesis with the FDA-approved anti-estrogen Faslodex to increase the Sunitinib sensitivity in RCC.	4	22	2.27	0.0034	9606.ENSP00000229239,9606.ENSP00000314897,9606.ENSP00000336762,9606.ENSP00000451040	GAPDH,ANGPT2,ANG,PGF
PMID:32463582	(2020) Altered glucocorticoid metabolism represents a feature of macroph-aging.	4	34	2.08	0.0034	9606.ENSP00000212015,9606.ENSP00000229239,9606.ENSP00000276571,9606.ENSP00000384092	SIRT1,GAPDH,CRH,POMC
