#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0010033	Response to organic substance	15	3011	0.71	1.77e-05	9606.ENSP00000212015,9606.ENSP00000219070,9606.ENSP00000229239,9606.ENSP00000276571,9606.ENSP00000298552,9606.ENSP00000304767,9606.ENSP00000314897,9606.ENSP00000319788,9606.ENSP00000331327,9606.ENSP00000336762,9606.ENSP00000355361,9606.ENSP00000360997,9606.ENSP00000384092,9606.ENSP00000451040,9606.ENSP00000483599	SIRT1,MMP2,GAPDH,CRH,TSC1,P2RY1,ANGPT2,NQO1,WT1,ANG,CD47,ADAMTS13,POMC,PGF,SPON2
GO:0070887	Cellular response to chemical stimulus	14	2919	0.69	9.82e-05	9606.ENSP00000212015,9606.ENSP00000219070,9606.ENSP00000229239,9606.ENSP00000276571,9606.ENSP00000298552,9606.ENSP00000304767,9606.ENSP00000314897,9606.ENSP00000319788,9606.ENSP00000331327,9606.ENSP00000355361,9606.ENSP00000360997,9606.ENSP00000384092,9606.ENSP00000451040,9606.ENSP00000483599	SIRT1,MMP2,GAPDH,CRH,TSC1,P2RY1,ANGPT2,NQO1,WT1,CD47,ADAMTS13,POMC,PGF,SPON2
GO:0009605	Response to external stimulus	12	2310	0.73	0.00073	9606.ENSP00000212015,9606.ENSP00000229239,9606.ENSP00000298552,9606.ENSP00000304767,9606.ENSP00000314897,9606.ENSP00000319788,9606.ENSP00000336762,9606.ENSP00000355361,9606.ENSP00000360997,9606.ENSP00000384092,9606.ENSP00000451040,9606.ENSP00000483599	SIRT1,GAPDH,TSC1,P2RY1,ANGPT2,NQO1,ANG,CD47,ADAMTS13,POMC,PGF,SPON2
GO:0071310	Cellular response to organic substance	12	2369	0.72	0.00073	9606.ENSP00000212015,9606.ENSP00000219070,9606.ENSP00000229239,9606.ENSP00000276571,9606.ENSP00000304767,9606.ENSP00000314897,9606.ENSP00000331327,9606.ENSP00000355361,9606.ENSP00000360997,9606.ENSP00000384092,9606.ENSP00000451040,9606.ENSP00000483599	SIRT1,MMP2,GAPDH,CRH,P2RY1,ANGPT2,WT1,CD47,ADAMTS13,POMC,PGF,SPON2
GO:1901700	Response to oxygen-containing compound	10	1567	0.82	0.0011	9606.ENSP00000212015,9606.ENSP00000219070,9606.ENSP00000276571,9606.ENSP00000298552,9606.ENSP00000304767,9606.ENSP00000314897,9606.ENSP00000319788,9606.ENSP00000331327,9606.ENSP00000360997,9606.ENSP00000483599	SIRT1,MMP2,CRH,TSC1,P2RY1,ANGPT2,NQO1,WT1,ADAMTS13,SPON2
GO:0035295	Tube development	8	851	0.99	0.0012	9606.ENSP00000212015,9606.ENSP00000219070,9606.ENSP00000276571,9606.ENSP00000298552,9606.ENSP00000314897,9606.ENSP00000331327,9606.ENSP00000336762,9606.ENSP00000451040	SIRT1,MMP2,CRH,TSC1,ANGPT2,WT1,ANG,PGF
GO:0036293	Response to decreased oxygen levels	6	354	1.24	0.0013	9606.ENSP00000212015,9606.ENSP00000219070,9606.ENSP00000298552,9606.ENSP00000314897,9606.ENSP00000336762,9606.ENSP00000451040	SIRT1,MMP2,TSC1,ANGPT2,ANG,PGF
GO:0006950	Response to stress	13	3485	0.58	0.0022	9606.ENSP00000212015,9606.ENSP00000219070,9606.ENSP00000229239,9606.ENSP00000276571,9606.ENSP00000304767,9606.ENSP00000314897,9606.ENSP00000319788,9606.ENSP00000336762,9606.ENSP00000355361,9606.ENSP00000360997,9606.ENSP00000384957,9606.ENSP00000451040,9606.ENSP00000483599	SIRT1,MMP2,GAPDH,CRH,P2RY1,ANGPT2,NQO1,ANG,CD47,ADAMTS13,F11,PGF,SPON2
GO:0035239	Tube morphogenesis	7	656	1.04	0.0022	9606.ENSP00000212015,9606.ENSP00000219070,9606.ENSP00000298552,9606.ENSP00000314897,9606.ENSP00000331327,9606.ENSP00000336762,9606.ENSP00000451040	SIRT1,MMP2,TSC1,ANGPT2,WT1,ANG,PGF
GO:0048514	Blood vessel morphogenesis	6	410	1.18	0.0022	9606.ENSP00000212015,9606.ENSP00000219070,9606.ENSP00000314897,9606.ENSP00000331327,9606.ENSP00000336762,9606.ENSP00000451040	SIRT1,MMP2,ANGPT2,WT1,ANG,PGF
GO:1901701	Cellular response to oxygen-containing compound	8	1055	0.89	0.0032	9606.ENSP00000212015,9606.ENSP00000219070,9606.ENSP00000276571,9606.ENSP00000304767,9606.ENSP00000319788,9606.ENSP00000331327,9606.ENSP00000360997,9606.ENSP00000483599	SIRT1,MMP2,CRH,P2RY1,NQO1,WT1,ADAMTS13,SPON2
GO:1901698	Response to nitrogen compound	8	1070	0.89	0.0033	9606.ENSP00000212015,9606.ENSP00000219070,9606.ENSP00000276571,9606.ENSP00000298552,9606.ENSP00000304767,9606.ENSP00000319788,9606.ENSP00000331327,9606.ENSP00000360997	SIRT1,MMP2,CRH,TSC1,P2RY1,NQO1,WT1,ADAMTS13
GO:0009628	Response to abiotic stimulus	8	1147	0.86	0.0050	9606.ENSP00000212015,9606.ENSP00000219070,9606.ENSP00000298552,9606.ENSP00000304767,9606.ENSP00000314897,9606.ENSP00000319788,9606.ENSP00000336762,9606.ENSP00000451040	SIRT1,MMP2,TSC1,P2RY1,ANGPT2,NQO1,ANG,PGF
GO:0051239	Regulation of multicellular organismal process	12	3227	0.58	0.0050	9606.ENSP00000212015,9606.ENSP00000229239,9606.ENSP00000276571,9606.ENSP00000298552,9606.ENSP00000304767,9606.ENSP00000314897,9606.ENSP00000331327,9606.ENSP00000355361,9606.ENSP00000384092,9606.ENSP00000384957,9606.ENSP00000451040,9606.ENSP00000483599	SIRT1,GAPDH,CRH,TSC1,P2RY1,ANGPT2,WT1,CD47,POMC,F11,PGF,SPON2
GO:0017148	Negative regulation of translation	4	136	1.48	0.0060	9606.ENSP00000229239,9606.ENSP00000298552,9606.ENSP00000331327,9606.ENSP00000336762	GAPDH,TSC1,WT1,ANG
GO:0001525	Angiogenesis	5	315	1.21	0.0070	9606.ENSP00000212015,9606.ENSP00000219070,9606.ENSP00000314897,9606.ENSP00000336762,9606.ENSP00000451040	SIRT1,MMP2,ANGPT2,ANG,PGF
GO:0072359	Circulatory system development	7	872	0.92	0.0070	9606.ENSP00000212015,9606.ENSP00000219070,9606.ENSP00000298552,9606.ENSP00000314897,9606.ENSP00000331327,9606.ENSP00000336762,9606.ENSP00000451040	SIRT1,MMP2,TSC1,ANGPT2,WT1,ANG,PGF
GO:0048646	Anatomical structure formation involved in morphogenesis	7	883	0.91	0.0071	9606.ENSP00000212015,9606.ENSP00000219070,9606.ENSP00000298552,9606.ENSP00000314897,9606.ENSP00000331327,9606.ENSP00000336762,9606.ENSP00000451040	SIRT1,MMP2,TSC1,ANGPT2,WT1,ANG,PGF
