#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
HP:0001871	Abnormality of blood and blood-forming tissues	7	1216	1.01	0.0035	9606.ENSP00000216117,9606.ENSP00000229416,9606.ENSP00000233838,9606.ENSP00000264731,9606.ENSP00000269305,9606.ENSP00000378426,9606.ENSP00000380252	HMOX1,GCLC,GGCX,TP63,TP53,VKORC1,NFE2L2
HP:0002034	Abnormal rectum morphology	4	110	1.81	0.0035	9606.ENSP00000171111,9606.ENSP00000216117,9606.ENSP00000229416,9606.ENSP00000269305	KEAP1,HMOX1,GCLC,TP53
HP:0012252	Abnormal respiratory system morphology	5	314	1.45	0.0035	9606.ENSP00000171111,9606.ENSP00000216117,9606.ENSP00000229416,9606.ENSP00000264731,9606.ENSP00000269305	KEAP1,HMOX1,GCLC,TP63,TP53
HP:0004313	Decreased circulating antibody level	4	169	1.62	0.0046	9606.ENSP00000216117,9606.ENSP00000229416,9606.ENSP00000269305,9606.ENSP00000380252	HMOX1,GCLC,TP53,NFE2L2
HP:0002087	Abnormality of the upper respiratory tract	4	215	1.52	0.0060	9606.ENSP00000216117,9606.ENSP00000229416,9606.ENSP00000264731,9606.ENSP00000269305	HMOX1,GCLC,TP63,TP53
HP:0002721	Immunodeficiency	4	192	1.57	0.0060	9606.ENSP00000216117,9606.ENSP00000229416,9606.ENSP00000269305,9606.ENSP00000380252	HMOX1,GCLC,TP53,NFE2L2
HP:0008169	Reduced factor VII activity	2	4	2.95	0.0060	9606.ENSP00000233838,9606.ENSP00000378426	GGCX,VKORC1
HP:0008321	Reduced factor X activity	2	4	2.95	0.0060	9606.ENSP00000233838,9606.ENSP00000378426	GGCX,VKORC1
HP:0011858	Reduced factor IX activity	2	6	2.77	0.0060	9606.ENSP00000233838,9606.ENSP00000378426	GGCX,VKORC1
HP:0030070	Central primitive neuroectodermal tumor	2	4	2.95	0.0060	9606.ENSP00000171111,9606.ENSP00000269305	KEAP1,TP53
HP:0000951	Abnormality of the skin	7	1892	0.82	0.0097	9606.ENSP00000171111,9606.ENSP00000229416,9606.ENSP00000233838,9606.ENSP00000264731,9606.ENSP00000269305,9606.ENSP00000378426,9606.ENSP00000380252	KEAP1,GCLC,GGCX,TP63,TP53,VKORC1,NFE2L2
HP:0000137	Abnormality of the ovary	3	141	1.58	0.0256	9606.ENSP00000171111,9606.ENSP00000264731,9606.ENSP00000269305	KEAP1,TP63,TP53
HP:0000366	Abnormality of the nose	6	1469	0.86	0.0256	9606.ENSP00000216117,9606.ENSP00000229416,9606.ENSP00000233838,9606.ENSP00000264731,9606.ENSP00000269305,9606.ENSP00000378426	HMOX1,GCLC,GGCX,TP63,TP53,VKORC1
HP:0001167	Abnormality of finger	5	979	0.96	0.0256	9606.ENSP00000216117,9606.ENSP00000229416,9606.ENSP00000233838,9606.ENSP00000264731,9606.ENSP00000378426	HMOX1,GCLC,GGCX,TP63,VKORC1
HP:0001394	Cirrhosis	3	138	1.59	0.0256	9606.ENSP00000216117,9606.ENSP00000229416,9606.ENSP00000269305	HMOX1,GCLC,TP53
HP:0001626	Abnormality of the cardiovascular system	7	2435	0.71	0.0256	9606.ENSP00000216117,9606.ENSP00000229416,9606.ENSP00000233838,9606.ENSP00000264731,9606.ENSP00000269305,9606.ENSP00000378426,9606.ENSP00000380252	HMOX1,GCLC,GGCX,TP63,TP53,VKORC1,NFE2L2
HP:0001739	Abnormal nasopharynx morphology	2	18	2.3	0.0256	9606.ENSP00000264731,9606.ENSP00000269305	TP63,TP53
HP:0002086	Abnormality of the respiratory system	6	1638	0.81	0.0256	9606.ENSP00000171111,9606.ENSP00000216117,9606.ENSP00000229416,9606.ENSP00000264731,9606.ENSP00000269305,9606.ENSP00000380252	KEAP1,HMOX1,GCLC,TP63,TP53,NFE2L2
HP:0002088	Abnormal lung morphology	5	894	1.0	0.0256	9606.ENSP00000171111,9606.ENSP00000216117,9606.ENSP00000229416,9606.ENSP00000269305,9606.ENSP00000380252	KEAP1,HMOX1,GCLC,TP53,NFE2L2
HP:0002595	Ileus	2	26	2.14	0.0256	9606.ENSP00000216117,9606.ENSP00000229416	HMOX1,GCLC
HP:0002597	Abnormality of the vasculature	6	1673	0.8	0.0256	9606.ENSP00000216117,9606.ENSP00000229416,9606.ENSP00000233838,9606.ENSP00000264731,9606.ENSP00000269305,9606.ENSP00000378426	HMOX1,GCLC,GGCX,TP63,TP53,VKORC1
HP:0002613	Biliary cirrhosis	2	25	2.15	0.0256	9606.ENSP00000216117,9606.ENSP00000229416	HMOX1,GCLC
HP:0002859	Rhabdomyosarcoma	2	24	2.17	0.0256	9606.ENSP00000171111,9606.ENSP00000269305	KEAP1,TP53
HP:0002885	Medulloblastoma	2	18	2.3	0.0256	9606.ENSP00000171111,9606.ENSP00000269305	KEAP1,TP53
HP:0003645	Prolonged partial thromboplastin time	2	24	2.17	0.0256	9606.ENSP00000233838,9606.ENSP00000378426	GGCX,VKORC1
HP:0004401	Meconium ileus	2	21	2.23	0.0256	9606.ENSP00000216117,9606.ENSP00000229416	HMOX1,GCLC
HP:0005261	Joint hemorrhage	2	19	2.27	0.0256	9606.ENSP00000233838,9606.ENSP00000378426	GGCX,VKORC1
HP:0006538	Recurrent bronchopulmonary infections	2	29	2.09	0.0256	9606.ENSP00000216117,9606.ENSP00000229416	HMOX1,GCLC
HP:0009767	Aplasia/Hypoplasia of the phalanges of the hand	3	144	1.57	0.0256	9606.ENSP00000233838,9606.ENSP00000264731,9606.ENSP00000378426	GGCX,TP63,VKORC1
HP:0010788	Testicular neoplasm	2	25	2.15	0.0256	9606.ENSP00000171111,9606.ENSP00000269305	KEAP1,TP53
HP:0011029	Internal hemorrhage	3	149	1.55	0.0256	9606.ENSP00000233838,9606.ENSP00000269305,9606.ENSP00000378426	GGCX,TP53,VKORC1
HP:0012200	Abnormality of prothrombin	2	29	2.09	0.0256	9606.ENSP00000233838,9606.ENSP00000378426	GGCX,VKORC1
HP:0012236	Elevated sweat chloride	2	23	2.19	0.0256	9606.ENSP00000216117,9606.ENSP00000229416	HMOX1,GCLC
HP:0012649	Increased inflammatory response	5	984	0.96	0.0256	9606.ENSP00000216117,9606.ENSP00000229416,9606.ENSP00000264731,9606.ENSP00000269305,9606.ENSP00000380252	HMOX1,GCLC,TP63,TP53,NFE2L2
HP:0030680	Abnormality of cardiovascular system morphology	6	1488	0.86	0.0256	9606.ENSP00000216117,9606.ENSP00000229416,9606.ENSP00000233838,9606.ENSP00000264731,9606.ENSP00000269305,9606.ENSP00000380252	HMOX1,GCLC,GGCX,TP63,TP53,NFE2L2
HP:0032342	Reduced forced expiratory volume in one second	2	25	2.15	0.0256	9606.ENSP00000216117,9606.ENSP00000229416	HMOX1,GCLC
HP:0032359	Decreased forced expiratory flow 25-75%	2	20	2.25	0.0256	9606.ENSP00000216117,9606.ENSP00000229416	HMOX1,GCLC
