#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
PMID:27759091	(2016) Prophylaxis of Diallyl Disulfide on Skin Carcinogenic Model via p21-dependent Nrf2 stabilization.	7	11	3.05	1.94e-13	9606.ENSP00000171111,9606.ENSP00000216117,9606.ENSP00000229416,9606.ENSP00000269305,9606.ENSP00000319788,9606.ENSP00000359258,9606.ENSP00000380252	KEAP1,HMOX1,GCLC,TP53,NQO1,GCLM,NFE2L2
PMID:33691909	(2021) Nrf2 induces Ucp1 expression in adipocytes in response to beta3-AR stimulation and enhances oxygen consumption in high-fat diet-fed obese mice.	7	17	2.86	7.46e-13	9606.ENSP00000171111,9606.ENSP00000216117,9606.ENSP00000229416,9606.ENSP00000269305,9606.ENSP00000319788,9606.ENSP00000359258,9606.ENSP00000380252	KEAP1,HMOX1,GCLC,TP53,NQO1,GCLM,NFE2L2
PMID:31281597	(2019) Dendrobium Officinale Polysaccharides Protect against MNNG-Induced PLGC in Rats via Activating the NRF2 and Antioxidant Enzymes HO-1 and NQO-1.	7	16	2.89	7.46e-13	9606.ENSP00000171111,9606.ENSP00000216117,9606.ENSP00000229416,9606.ENSP00000269305,9606.ENSP00000319788,9606.ENSP00000359258,9606.ENSP00000380252	KEAP1,HMOX1,GCLC,TP53,NQO1,GCLM,NFE2L2
PMID:33374239	(2020) Selenomethionine (Se-Met) Induces the CystineGlutamate Exchanger SLC7A11 in Cultured Human Retinal Pigment Epithelial (RPE) Cells: Implications for Antioxidant Therapy in Aging Retina.	7	19	2.82	1.00e-12	9606.ENSP00000171111,9606.ENSP00000216117,9606.ENSP00000229416,9606.ENSP00000269305,9606.ENSP00000319788,9606.ENSP00000359258,9606.ENSP00000380252	KEAP1,HMOX1,GCLC,TP53,NQO1,GCLM,NFE2L2
PMID:34345202	(2021) Tagitinin C induces ferroptosis through PERK-Nrf2-HO-1 signaling pathway in colorectal cancer cells.	7	20	2.79	1.08e-12	9606.ENSP00000171111,9606.ENSP00000216117,9606.ENSP00000229416,9606.ENSP00000269305,9606.ENSP00000319788,9606.ENSP00000359258,9606.ENSP00000380252	KEAP1,HMOX1,GCLC,TP53,NQO1,GCLM,NFE2L2
PMID:31878265	(2019) Curcumin Alleviates IUGR Jejunum Damage by Increasing Antioxidant Capacity through Nrf2Keap1 Pathway in Growing Pigs.	7	22	2.75	1.58e-12	9606.ENSP00000171111,9606.ENSP00000216117,9606.ENSP00000229416,9606.ENSP00000269305,9606.ENSP00000319788,9606.ENSP00000359258,9606.ENSP00000380252	KEAP1,HMOX1,GCLC,TP53,NQO1,GCLM,NFE2L2
PMID:32222469	(2020) Manganese porphyrin, MnTE-2-PyP, treatment protects the prostate from radiation-induced fibrosis (RIF) by activating the NRF2 signaling pathway and enhancing SOD2 and sirtuin activity.	7	23	2.73	1.77e-12	9606.ENSP00000171111,9606.ENSP00000216117,9606.ENSP00000229416,9606.ENSP00000269305,9606.ENSP00000319788,9606.ENSP00000359258,9606.ENSP00000380252	KEAP1,HMOX1,GCLC,TP53,NQO1,GCLM,NFE2L2
PMID:24232097	(2013) Jun dimerization protein 2 is a critical component of the Nrf2MafK complex regulating the response to ROS homeostasis.	7	23	2.73	1.77e-12	9606.ENSP00000171111,9606.ENSP00000216117,9606.ENSP00000229416,9606.ENSP00000269305,9606.ENSP00000319788,9606.ENSP00000359258,9606.ENSP00000380252	KEAP1,HMOX1,GCLC,TP53,NQO1,GCLM,NFE2L2
PMID:33441543	(2021) Overcoming hypoxia-induced resistance of pancreatic and lung tumor cells by disrupting the PERK-NRF2-HIF-axis.	7	24	2.71	1.78e-12	9606.ENSP00000171111,9606.ENSP00000216117,9606.ENSP00000229416,9606.ENSP00000269305,9606.ENSP00000319788,9606.ENSP00000359258,9606.ENSP00000380252	KEAP1,HMOX1,GCLC,TP53,NQO1,GCLM,NFE2L2
PMID:32299158	(2021) The impaired redox status and activated nuclear factor-erythroid 2-related factor 2antioxidant response element pathway in wooden breast myopathy in broiler chickens.	6	6	3.25	2.05e-12	9606.ENSP00000171111,9606.ENSP00000216117,9606.ENSP00000229416,9606.ENSP00000319788,9606.ENSP00000359258,9606.ENSP00000380252	KEAP1,HMOX1,GCLC,NQO1,GCLM,NFE2L2
