#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0006979	Response to oxidative stress	8	393	1.56	5.81e-08	9606.ENSP00000171111,9606.ENSP00000216117,9606.ENSP00000229416,9606.ENSP00000269305,9606.ENSP00000319788,9606.ENSP00000359258,9606.ENSP00000380252,9606.ENSP00000403077	KEAP1,HMOX1,GCLC,TP53,NQO1,GCLM,NFE2L2,VKORC1L1
GO:0006950	Response to stress	11	3485	0.75	1.15e-05	9606.ENSP00000171111,9606.ENSP00000216117,9606.ENSP00000229416,9606.ENSP00000233838,9606.ENSP00000264731,9606.ENSP00000269305,9606.ENSP00000319788,9606.ENSP00000359258,9606.ENSP00000378426,9606.ENSP00000380252,9606.ENSP00000403077	KEAP1,HMOX1,GCLC,GGCX,TP63,TP53,NQO1,GCLM,VKORC1,NFE2L2,VKORC1L1
GO:0007568	Aging	6	274	1.59	1.15e-05	9606.ENSP00000229416,9606.ENSP00000264731,9606.ENSP00000269305,9606.ENSP00000319788,9606.ENSP00000359258,9606.ENSP00000380252	GCLC,TP63,TP53,NQO1,GCLM,NFE2L2
GO:0017187	Peptidyl-glutamic acid carboxylation	3	3	3.25	1.15e-05	9606.ENSP00000233838,9606.ENSP00000378426,9606.ENSP00000403077	GGCX,VKORC1,VKORC1L1
GO:0034599	Cellular response to oxidative stress	6	244	1.64	1.15e-05	9606.ENSP00000171111,9606.ENSP00000216117,9606.ENSP00000269305,9606.ENSP00000319788,9606.ENSP00000380252,9606.ENSP00000403077	KEAP1,HMOX1,TP53,NQO1,NFE2L2,VKORC1L1
GO:2001233	Regulation of apoptotic signaling pathway	6	409	1.42	5.94e-05	9606.ENSP00000216117,9606.ENSP00000229416,9606.ENSP00000264731,9606.ENSP00000269305,9606.ENSP00000359258,9606.ENSP00000380252	HMOX1,GCLC,TP63,TP53,GCLM,NFE2L2
GO:0031667	Response to nutrient levels	6	449	1.38	9.11e-05	9606.ENSP00000216117,9606.ENSP00000229416,9606.ENSP00000269305,9606.ENSP00000319788,9606.ENSP00000359258,9606.ENSP00000380252	HMOX1,GCLC,TP53,NQO1,GCLM,NFE2L2
GO:0043523	Regulation of neuron apoptotic process	5	212	1.62	9.11e-05	9606.ENSP00000216117,9606.ENSP00000229416,9606.ENSP00000269305,9606.ENSP00000319788,9606.ENSP00000359258	HMOX1,GCLC,TP53,NQO1,GCLM
GO:0065008	Regulation of biological quality	10	4042	0.64	0.0012	9606.ENSP00000171111,9606.ENSP00000216117,9606.ENSP00000229416,9606.ENSP00000233838,9606.ENSP00000264731,9606.ENSP00000269305,9606.ENSP00000319788,9606.ENSP00000359258,9606.ENSP00000378426,9606.ENSP00000380252	KEAP1,HMOX1,GCLC,GGCX,TP63,TP53,NQO1,GCLM,VKORC1,NFE2L2
GO:0007584	Response to nutrient	4	160	1.65	0.0013	9606.ENSP00000216117,9606.ENSP00000229416,9606.ENSP00000319788,9606.ENSP00000359258	HMOX1,GCLC,NQO1,GCLM
GO:0097069	Cellular response to thyroxine stimulus	2	2	3.25	0.0014	9606.ENSP00000229416,9606.ENSP00000359258	GCLC,GCLM
GO:1901028	Regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway	3	47	2.06	0.0018	9606.ENSP00000229416,9606.ENSP00000264731,9606.ENSP00000269305	GCLC,TP63,TP53
GO:0044752	Response to human chorionic gonadotropin	2	3	3.07	0.0019	9606.ENSP00000229416,9606.ENSP00000359258	GCLC,GCLM
GO:0043066	Negative regulation of apoptotic process	6	893	1.08	0.0022	9606.ENSP00000216117,9606.ENSP00000229416,9606.ENSP00000269305,9606.ENSP00000319788,9606.ENSP00000359258,9606.ENSP00000380252	HMOX1,GCLC,TP53,NQO1,GCLM,NFE2L2
GO:0042981	Regulation of apoptotic process	7	1550	0.9	0.0028	9606.ENSP00000216117,9606.ENSP00000229416,9606.ENSP00000264731,9606.ENSP00000269305,9606.ENSP00000319788,9606.ENSP00000359258,9606.ENSP00000380252	HMOX1,GCLC,TP63,TP53,NQO1,GCLM,NFE2L2
GO:0045454	Cell redox homeostasis	3	60	1.95	0.0028	9606.ENSP00000229416,9606.ENSP00000319788,9606.ENSP00000380252	GCLC,NQO1,NFE2L2
GO:2001234	Negative regulation of apoptotic signaling pathway	4	232	1.49	0.0030	9606.ENSP00000216117,9606.ENSP00000229416,9606.ENSP00000359258,9606.ENSP00000380252	HMOX1,GCLC,GCLM,NFE2L2
GO:0010660	Regulation of muscle cell apoptotic process	3	66	1.91	0.0031	9606.ENSP00000216117,9606.ENSP00000269305,9606.ENSP00000380252	HMOX1,TP53,NFE2L2
GO:0061419	Positive regulation of transcription from rna polymerase ii promoter in response to hypoxia	2	6	2.77	0.0034	9606.ENSP00000269305,9606.ENSP00000380252	TP53,NFE2L2
GO:0008630	Intrinsic apoptotic signaling pathway in response to dna damage	3	71	1.88	0.0035	9606.ENSP00000216117,9606.ENSP00000264731,9606.ENSP00000269305	HMOX1,TP63,TP53
GO:0033554	Cellular response to stress	7	1725	0.86	0.0038	9606.ENSP00000171111,9606.ENSP00000216117,9606.ENSP00000264731,9606.ENSP00000269305,9606.ENSP00000319788,9606.ENSP00000380252,9606.ENSP00000403077	KEAP1,HMOX1,TP63,TP53,NQO1,NFE2L2,VKORC1L1
GO:1901698	Response to nitrogen compound	6	1070	1.0	0.0038	9606.ENSP00000229416,9606.ENSP00000269305,9606.ENSP00000319788,9606.ENSP00000359258,9606.ENSP00000378426,9606.ENSP00000380252	GCLC,TP53,NQO1,GCLM,VKORC1,NFE2L2
GO:0034097	Response to cytokine	6	1101	0.99	0.0042	9606.ENSP00000171111,9606.ENSP00000216117,9606.ENSP00000229416,9606.ENSP00000269305,9606.ENSP00000359258,9606.ENSP00000380252	KEAP1,HMOX1,GCLC,TP53,GCLM,NFE2L2
GO:0051409	Response to nitrosative stress	2	8	2.65	0.0045	9606.ENSP00000229416,9606.ENSP00000359258	GCLC,GCLM
GO:0042373	Vitamin k metabolic process	2	9	2.6	0.0052	9606.ENSP00000378426,9606.ENSP00000403077	VKORC1,VKORC1L1
GO:0071496	Cellular response to external stimulus	4	309	1.36	0.0062	9606.ENSP00000216117,9606.ENSP00000229416,9606.ENSP00000269305,9606.ENSP00000380252	HMOX1,GCLC,TP53,NFE2L2
GO:0006534	Cysteine metabolic process	2	11	2.51	0.0070	9606.ENSP00000229416,9606.ENSP00000359258	GCLC,GCLM
GO:0032436	Positive regulation of proteasomal ubiquitin-dependent protein catabolic process	3	100	1.73	0.0070	9606.ENSP00000171111,9606.ENSP00000229416,9606.ENSP00000380252	KEAP1,GCLC,NFE2L2
GO:0043619	Regulation of transcription from rna polymerase ii promoter in response to oxidative stress	2	11	2.51	0.0070	9606.ENSP00000216117,9606.ENSP00000380252	HMOX1,NFE2L2
GO:0071372	Cellular response to follicle-stimulating hormone stimulus	2	11	2.51	0.0070	9606.ENSP00000229416,9606.ENSP00000359258	GCLC,GCLM
GO:0009968	Negative regulation of signal transduction	6	1271	0.92	0.0076	9606.ENSP00000216117,9606.ENSP00000229416,9606.ENSP00000264731,9606.ENSP00000269305,9606.ENSP00000359258,9606.ENSP00000380252	HMOX1,GCLC,TP63,TP53,GCLM,NFE2L2
