#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
WP3	Transcriptional activation by NRF2 in response to phytochemicals	6	15	2.85	2.17e-13	9606.ENSP00000171111,9606.ENSP00000216117,9606.ENSP00000229416,9606.ENSP00000319788,9606.ENSP00000359258,9606.ENSP00000380252	KEAP1,HMOX1,GCLC,NQO1,GCLM,NFE2L2
WP3612	Photodynamic therapy-induced NFE2L2 (NRF2) survival signaling	6	23	2.67	9.47e-13	9606.ENSP00000171111,9606.ENSP00000216117,9606.ENSP00000229416,9606.ENSP00000319788,9606.ENSP00000359258,9606.ENSP00000380252	KEAP1,HMOX1,GCLC,NQO1,GCLM,NFE2L2
WP4357	NRF2-ARE regulation	6	23	2.67	9.47e-13	9606.ENSP00000171111,9606.ENSP00000216117,9606.ENSP00000229416,9606.ENSP00000319788,9606.ENSP00000359258,9606.ENSP00000380252	KEAP1,HMOX1,GCLC,NQO1,GCLM,NFE2L2
WP5113	Antiviral and anti-inflammatory effects of Nrf2 on SARS-CoV-2 pathway	6	31	2.54	2.31e-12	9606.ENSP00000171111,9606.ENSP00000216117,9606.ENSP00000229416,9606.ENSP00000319788,9606.ENSP00000359258,9606.ENSP00000380252	KEAP1,HMOX1,GCLC,NQO1,GCLM,NFE2L2
WP2884	NRF2 pathway	6	143	1.87	1.07e-08	9606.ENSP00000171111,9606.ENSP00000216117,9606.ENSP00000229416,9606.ENSP00000319788,9606.ENSP00000359258,9606.ENSP00000380252	KEAP1,HMOX1,GCLC,NQO1,GCLM,NFE2L2
WP408	Oxidative stress response	4	32	2.35	3.56e-07	9606.ENSP00000216117,9606.ENSP00000229416,9606.ENSP00000319788,9606.ENSP00000380252	HMOX1,GCLC,NQO1,NFE2L2
WP2882	Nuclear receptors meta-pathway	6	316	1.53	7.01e-07	9606.ENSP00000171111,9606.ENSP00000216117,9606.ENSP00000229416,9606.ENSP00000319788,9606.ENSP00000359258,9606.ENSP00000380252	KEAP1,HMOX1,GCLC,NQO1,GCLM,NFE2L2
WP4313	Ferroptosis	4	40	2.25	7.01e-07	9606.ENSP00000216117,9606.ENSP00000229416,9606.ENSP00000269305,9606.ENSP00000359258	HMOX1,GCLC,TP53,GCLM
WP4674	Head and neck squamous cell carcinoma	4	72	1.99	5.11e-06	9606.ENSP00000171111,9606.ENSP00000264731,9606.ENSP00000269305,9606.ENSP00000380252	KEAP1,TP63,TP53,NFE2L2
WP4206	Hereditary leiomyomatosis and renal cell carcinoma pathway	3	20	2.43	1.57e-05	9606.ENSP00000171111,9606.ENSP00000269305,9606.ENSP00000380252	KEAP1,TP53,NFE2L2
WP2586	Aryl hydrocarbon receptor Netpath	3	46	2.06	0.00015	9606.ENSP00000229416,9606.ENSP00000319788,9606.ENSP00000380252	GCLC,NQO1,NFE2L2
WP1742	TP53 network	2	19	2.27	0.0031	9606.ENSP00000264731,9606.ENSP00000269305	TP63,TP53
WP3670	Interactions between LOXL4 and oxidative stress pathway	2	18	2.3	0.0031	9606.ENSP00000319788,9606.ENSP00000380252	NQO1,NFE2L2
WP100	Glutathione metabolism	2	21	2.23	0.0035	9606.ENSP00000229416,9606.ENSP00000359258	GCLC,GCLM
WP4925	Unfolded protein response	2	24	2.17	0.0042	9606.ENSP00000269305,9606.ENSP00000380252	TP53,NFE2L2
WP2525	Trans-sulfuration and one-carbon metabolism	2	31	2.06	0.0064	9606.ENSP00000229416,9606.ENSP00000359258	GCLC,GCLM
WP4874	CAMKK2 pathway	2	33	2.03	0.0067	9606.ENSP00000216117,9606.ENSP00000380252	HMOX1,NFE2L2
WP4698	Vitamin D-sensitive calcium signaling in depression	2	40	1.95	0.0092	9606.ENSP00000229416,9606.ENSP00000380252	GCLC,NFE2L2
WP2873	Aryl hydrocarbon receptor pathway	2	46	1.89	0.0114	9606.ENSP00000319788,9606.ENSP00000380252	NQO1,NFE2L2
WP3611	Photodynamic therapy-induced AP-1 survival signaling.	2	50	1.85	0.0127	9606.ENSP00000269305,9606.ENSP00000380252	TP53,NFE2L2
WP2864	Apoptosis-related network due to altered Notch3 in ovarian cancer	2	53	1.83	0.0131	9606.ENSP00000229416,9606.ENSP00000319788	GCLC,NQO1
WP3940	One-carbon metabolism and related pathways	2	52	1.84	0.0131	9606.ENSP00000229416,9606.ENSP00000359258	GCLC,GCLM
WP3624	Lung fibrosis	2	63	1.75	0.0173	9606.ENSP00000216117,9606.ENSP00000380252	HMOX1,NFE2L2
WP254	Apoptosis	2	84	1.63	0.0289	9606.ENSP00000264731,9606.ENSP00000269305	TP63,TP53
