#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
hsa04061	Viral protein interaction with cytokine and cytokine receptor	3	96	1.79	0.0049	9606.ENSP00000292303,9606.ENSP00000351059,9606.ENSP00000403495	CCR5,CX3CR1,LTA
hsa04972	Pancreatic secretion	3	98	1.78	0.0049	9606.ENSP00000155840,9606.ENSP00000379472,9606.ENSP00000400175	KCNQ1,CCK,RHOA
hsa04015	Rap1 signaling pathway	3	202	1.46	0.0113	9606.ENSP00000393312,9606.ENSP00000400175,9606.ENSP00000480043	FGFR1,RHOA,VEGFC
hsa04062	Chemokine signaling pathway	3	186	1.5	0.0113	9606.ENSP00000292303,9606.ENSP00000351059,9606.ENSP00000400175	CCR5,CX3CR1,RHOA
hsa04014	Ras signaling pathway	3	226	1.41	0.0120	9606.ENSP00000393312,9606.ENSP00000400175,9606.ENSP00000480043	FGFR1,RHOA,VEGFC
hsa04010	MAPK signaling pathway	3	288	1.31	0.0190	9606.ENSP00000393312,9606.ENSP00000401399,9606.ENSP00000480043	FGFR1,MYD88,VEGFC
hsa04060	Cytokine-cytokine receptor interaction	3	282	1.32	0.0190	9606.ENSP00000292303,9606.ENSP00000351059,9606.ENSP00000403495	CCR5,CX3CR1,LTA
hsa04520	Adherens junction	2	67	1.77	0.0227	9606.ENSP00000393312,9606.ENSP00000400175	FGFR1,RHOA
hsa05133	Pertussis	2	74	1.72	0.0245	9606.ENSP00000400175,9606.ENSP00000401399	RHOA,MYD88
hsa04064	NF-kappa B signaling pathway	2	101	1.59	0.0403	9606.ENSP00000401399,9606.ENSP00000403495	MYD88,LTA
hsa04668	TNF signaling pathway	2	112	1.54	0.0403	9606.ENSP00000403495,9606.ENSP00000480043	LTA,VEGFC
hsa04928	Parathyroid hormone synthesis, secretion and action	2	103	1.58	0.0403	9606.ENSP00000393312,9606.ENSP00000400175	FGFR1,RHOA
hsa05145	Toxoplasmosis	2	105	1.57	0.0403	9606.ENSP00000292303,9606.ENSP00000401399	CCR5,MYD88
hsa05135	Yersinia infection	2	125	1.5	0.0436	9606.ENSP00000400175,9606.ENSP00000401399	RHOA,MYD88
hsa05200	Pathways in cancer	3	517	1.06	0.0436	9606.ENSP00000393312,9606.ENSP00000400175,9606.ENSP00000480043	FGFR1,RHOA,VEGFC
