#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
DOID:0060457	Posterior polymorphous corneal dystrophy	4	6	3.07	4.94e-08	9606.ENSP00000354487,9606.ENSP00000365899,9606.ENSP00000369399,9606.ENSP00000380901	ZEB1,VSX1,SLC4A11,COL8A2
DOID:0110855	Posterior polymorphous corneal dystrophy 1	3	5	3.03	1.07e-05	9606.ENSP00000365899,9606.ENSP00000369399,9606.ENSP00000380901	VSX1,SLC4A11,COL8A2
DOID:11555	Fuchs endothelial dystrophy	3	8	2.82	2.37e-05	9606.ENSP00000354487,9606.ENSP00000369399,9606.ENSP00000380901	ZEB1,SLC4A11,COL8A2
DOID:10126	Keratoconus	3	18	2.47	0.00011	9606.ENSP00000354487,9606.ENSP00000365899,9606.ENSP00000369399	ZEB1,VSX1,SLC4A11
DOID:5614	Eye disease	6	715	1.17	0.00053	9606.ENSP00000354487,9606.ENSP00000365899,9606.ENSP00000369399,9606.ENSP00000369889,9606.ENSP00000380901,9606.ENSP00000384999	ZEB1,VSX1,SLC4A11,COL2A1,COL8A2,P4HA2
DOID:0111620	Corneal dystrophy-perceptive deafness syndrome	2	2	3.25	0.00084	9606.ENSP00000369399,9606.ENSP00000380901	SLC4A11,COL8A2
DOID:11554	Chandler syndrome	2	2	3.25	0.00084	9606.ENSP00000369399,9606.ENSP00000380901	SLC4A11,COL8A2
DOID:0110856	Posterior polymorphous corneal dystrophy 2	2	3	3.07	0.0011	9606.ENSP00000365899,9606.ENSP00000380901	VSX1,COL8A2
DOID:0110857	Posterior polymorphous corneal dystrophy 3	2	3	3.07	0.0011	9606.ENSP00000354487,9606.ENSP00000380901	ZEB1,COL8A2
DOID:11030	Corneal edema	2	5	2.85	0.0019	9606.ENSP00000369399,9606.ENSP00000380901	SLC4A11,COL8A2
DOID:0050736	Autosomal dominant disease	6	1163	0.96	0.0046	9606.ENSP00000261405,9606.ENSP00000331902,9606.ENSP00000365899,9606.ENSP00000369399,9606.ENSP00000369889,9606.ENSP00000380901	VWF,COL4A5,VSX1,SLC4A11,COL2A1,COL8A2
DOID:9835	Refractive error	2	27	2.12	0.0315	9606.ENSP00000365899,9606.ENSP00000384999	VSX1,P4HA2
