#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0042221	Response to chemical	52	4333	0.47	1.91e-12	9606.ENSP00000215832,9606.ENSP00000222139,9606.ENSP00000222572,9606.ENSP00000231061,9606.ENSP00000233893,9606.ENSP00000245451,9606.ENSP00000248553,9606.ENSP00000251849,9606.ENSP00000253799,9606.ENSP00000261769,9606.ENSP00000265627,9606.ENSP00000269571,9606.ENSP00000280357,9606.ENSP00000285407,9606.ENSP00000287820,9606.ENSP00000297494,9606.ENSP00000298552,9606.ENSP00000307900,9606.ENSP00000309757,9606.ENSP00000311005,9606.ENSP00000312326,9606.ENSP00000321326,9606.ENSP00000331736,9606.ENSP00000341044,9606.ENSP00000341208,9606.ENSP00000342026,9606.ENSP00000344220,9606.ENSP00000347041,9606.ENSP00000353731,9606.ENSP00000354511,9606.ENSP00000355361,9606.ENSP00000355370,9606.ENSP00000360247,9606.ENSP00000361359,9606.ENSP00000366307,9606.ENSP00000371958,9606.ENSP00000380252,9606.ENSP00000380432,9606.ENSP00000383115,9606.ENSP00000383232,9606.ENSP00000389814,9606.ENSP00000400175,9606.ENSP00000418009,9606.ENSP00000418525,9606.ENSP00000419313,9606.ENSP00000422607,9606.ENSP00000433623,9606.ENSP00000445772,9606.ENSP00000448665,9606.ENSP00000480291,9606.ENSP00000483403,9606.ENSP00000483599	MAPK1,EPOR,PON2,SPARC,HSPE1,BMP4,HSPB1,RAF1,AOC2,CDH1,PON3,ERBB2,IL18,KLF10,PPARG,NOS3,TSC1,GLUL,LPL,MAPK7,AOC3,F2R,SELE,ACACB,STAT5A,PRDX6,PDPK1,FMOD,DPP4,COMT,CD47,CNTF,CYP2J2,CD40,THBD,CD9,NFE2L2,INS,COLEC12,GGT1,ADIPOQ,RHOA,RARRES2,MME,TRPC1,ACSL1,TRAF6,LTB4R2,DDIT3,HNF1B,GHR,SPON2
GO:0010033	Response to organic substance	43	3011	0.55	9.95e-12	9606.ENSP00000215832,9606.ENSP00000222139,9606.ENSP00000231061,9606.ENSP00000233893,9606.ENSP00000245451,9606.ENSP00000248553,9606.ENSP00000251849,9606.ENSP00000261769,9606.ENSP00000269571,9606.ENSP00000280357,9606.ENSP00000285407,9606.ENSP00000287820,9606.ENSP00000297494,9606.ENSP00000298552,9606.ENSP00000307900,9606.ENSP00000309757,9606.ENSP00000311005,9606.ENSP00000321326,9606.ENSP00000331736,9606.ENSP00000341044,9606.ENSP00000341208,9606.ENSP00000344220,9606.ENSP00000347041,9606.ENSP00000354511,9606.ENSP00000355361,9606.ENSP00000355370,9606.ENSP00000361359,9606.ENSP00000366307,9606.ENSP00000371958,9606.ENSP00000380252,9606.ENSP00000380432,9606.ENSP00000383115,9606.ENSP00000383232,9606.ENSP00000389814,9606.ENSP00000400175,9606.ENSP00000418009,9606.ENSP00000418525,9606.ENSP00000422607,9606.ENSP00000433623,9606.ENSP00000448665,9606.ENSP00000480291,9606.ENSP00000483403,9606.ENSP00000483599	MAPK1,EPOR,SPARC,HSPE1,BMP4,HSPB1,RAF1,CDH1,ERBB2,IL18,KLF10,PPARG,NOS3,TSC1,GLUL,LPL,MAPK7,F2R,SELE,ACACB,STAT5A,PDPK1,FMOD,COMT,CD47,CNTF,CD40,THBD,CD9,NFE2L2,INS,COLEC12,GGT1,ADIPOQ,RHOA,RARRES2,MME,ACSL1,TRAF6,DDIT3,HNF1B,GHR,SPON2
GO:1901700	Response to oxygen-containing compound	32	1567	0.7	9.95e-12	9606.ENSP00000215832,9606.ENSP00000231061,9606.ENSP00000251849,9606.ENSP00000261769,9606.ENSP00000280357,9606.ENSP00000285407,9606.ENSP00000287820,9606.ENSP00000297494,9606.ENSP00000298552,9606.ENSP00000307900,9606.ENSP00000309757,9606.ENSP00000311005,9606.ENSP00000321326,9606.ENSP00000331736,9606.ENSP00000341208,9606.ENSP00000344220,9606.ENSP00000354511,9606.ENSP00000361359,9606.ENSP00000366307,9606.ENSP00000371958,9606.ENSP00000380252,9606.ENSP00000380432,9606.ENSP00000383115,9606.ENSP00000383232,9606.ENSP00000389814,9606.ENSP00000400175,9606.ENSP00000418009,9606.ENSP00000422607,9606.ENSP00000433623,9606.ENSP00000480291,9606.ENSP00000483403,9606.ENSP00000483599	MAPK1,SPARC,RAF1,CDH1,IL18,KLF10,PPARG,NOS3,TSC1,GLUL,LPL,MAPK7,F2R,SELE,STAT5A,PDPK1,COMT,CD40,THBD,CD9,NFE2L2,INS,COLEC12,GGT1,ADIPOQ,RHOA,RARRES2,ACSL1,TRAF6,HNF1B,GHR,SPON2
GO:2000145	Regulation of cell motility	26	929	0.84	9.95e-12	9606.ENSP00000215832,9606.ENSP00000231061,9606.ENSP00000245451,9606.ENSP00000248553,9606.ENSP00000251849,9606.ENSP00000261769,9606.ENSP00000267101,9606.ENSP00000269571,9606.ENSP00000284984,9606.ENSP00000287820,9606.ENSP00000297494,9606.ENSP00000307900,9606.ENSP00000321326,9606.ENSP00000331736,9606.ENSP00000341208,9606.ENSP00000344220,9606.ENSP00000353731,9606.ENSP00000361359,9606.ENSP00000371958,9606.ENSP00000377055,9606.ENSP00000379842,9606.ENSP00000380252,9606.ENSP00000380432,9606.ENSP00000389814,9606.ENSP00000400175,9606.ENSP00000418009	MAPK1,SPARC,BMP4,HSPB1,RAF1,CDH1,ERBB3,ERBB2,ADAMTS1,PPARG,NOS3,GLUL,F2R,SELE,STAT5A,PDPK1,DPP4,CD40,CD9,PRCP,SGK3,NFE2L2,INS,ADIPOQ,RHOA,RARRES2
GO:0050896	Response to stimulus	66	8046	0.31	2.54e-11	9606.ENSP00000075120,9606.ENSP00000215832,9606.ENSP00000222139,9606.ENSP00000222572,9606.ENSP00000229264,9606.ENSP00000231061,9606.ENSP00000233893,9606.ENSP00000245451,9606.ENSP00000248553,9606.ENSP00000251849,9606.ENSP00000253799,9606.ENSP00000261769,9606.ENSP00000265627,9606.ENSP00000267101,9606.ENSP00000269571,9606.ENSP00000280357,9606.ENSP00000284031,9606.ENSP00000284984,9606.ENSP00000285407,9606.ENSP00000287820,9606.ENSP00000297494,9606.ENSP00000298552,9606.ENSP00000307900,9606.ENSP00000309757,9606.ENSP00000311005,9606.ENSP00000312326,9606.ENSP00000321326,9606.ENSP00000331736,9606.ENSP00000337332,9606.ENSP00000341044,9606.ENSP00000341208,9606.ENSP00000342026,9606.ENSP00000344220,9606.ENSP00000347041,9606.ENSP00000353393,9606.ENSP00000353731,9606.ENSP00000354511,9606.ENSP00000355361,9606.ENSP00000355370,9606.ENSP00000360247,9606.ENSP00000361359,9606.ENSP00000366307,9606.ENSP00000371958,9606.ENSP00000377055,9606.ENSP00000379842,9606.ENSP00000380252,9606.ENSP00000380432,9606.ENSP00000380759,9606.ENSP00000383115,9606.ENSP00000383232,9606.ENSP00000389814,9606.ENSP00000398048,9606.ENSP00000400175,9606.ENSP00000406873,9606.ENSP00000418009,9606.ENSP00000418525,9606.ENSP00000419313,9606.ENSP00000422607,9606.ENSP00000433623,9606.ENSP00000436455,9606.ENSP00000445772,9606.ENSP00000448665,9606.ENSP00000476767,9606.ENSP00000480291,9606.ENSP00000483403,9606.ENSP00000483599	SLC2A3,MAPK1,EPOR,PON2,GNB3,SPARC,HSPE1,BMP4,HSPB1,RAF1,AOC2,CDH1,PON3,ERBB3,ERBB2,IL18,DDAH1,ADAMTS1,KLF10,PPARG,NOS3,TSC1,GLUL,LPL,MAPK7,AOC3,F2R,SELE,SIRT6,ACACB,STAT5A,PRDX6,PDPK1,FMOD,F8,DPP4,COMT,CD47,CNTF,CYP2J2,CD40,THBD,CD9,PRCP,SGK3,NFE2L2,INS,PRMT2,COLEC12,GGT1,ADIPOQ,ALPK1,RHOA,PAK6,RARRES2,MME,TRPC1,ACSL1,TRAF6,NUCB2,LTB4R2,DDIT3,FKBP8,HNF1B,GHR,SPON2
GO:0051239	Regulation of multicellular organismal process	43	3227	0.52	3.03e-11	9606.ENSP00000215832,9606.ENSP00000231061,9606.ENSP00000245451,9606.ENSP00000248553,9606.ENSP00000267101,9606.ENSP00000269571,9606.ENSP00000280357,9606.ENSP00000284031,9606.ENSP00000284984,9606.ENSP00000285407,9606.ENSP00000287820,9606.ENSP00000297494,9606.ENSP00000298552,9606.ENSP00000307900,9606.ENSP00000309757,9606.ENSP00000311005,9606.ENSP00000321326,9606.ENSP00000337332,9606.ENSP00000341044,9606.ENSP00000341208,9606.ENSP00000344220,9606.ENSP00000354511,9606.ENSP00000355361,9606.ENSP00000355370,9606.ENSP00000360247,9606.ENSP00000360687,9606.ENSP00000361359,9606.ENSP00000366307,9606.ENSP00000371958,9606.ENSP00000377055,9606.ENSP00000380252,9606.ENSP00000380432,9606.ENSP00000389814,9606.ENSP00000400175,9606.ENSP00000418525,9606.ENSP00000419313,9606.ENSP00000422607,9606.ENSP00000433623,9606.ENSP00000448665,9606.ENSP00000480291,9606.ENSP00000483403,9606.ENSP00000483599,9606.ENSP00000484631	MAPK1,SPARC,BMP4,HSPB1,ERBB3,ERBB2,IL18,DDAH1,ADAMTS1,KLF10,PPARG,NOS3,TSC1,GLUL,LPL,MAPK7,F2R,SIRT6,ACACB,STAT5A,PDPK1,COMT,CD47,CNTF,CYP2J2,PTGDS,CD40,THBD,CD9,PRCP,NFE2L2,INS,ADIPOQ,RHOA,MME,TRPC1,ACSL1,TRAF6,DDIT3,HNF1B,GHR,SPON2,PMP22
GO:0009605	Response to external stimulus	36	2310	0.59	1.43e-10	9606.ENSP00000215832,9606.ENSP00000231061,9606.ENSP00000245451,9606.ENSP00000248553,9606.ENSP00000251849,9606.ENSP00000269571,9606.ENSP00000280357,9606.ENSP00000285407,9606.ENSP00000287820,9606.ENSP00000297494,9606.ENSP00000298552,9606.ENSP00000307900,9606.ENSP00000309757,9606.ENSP00000311005,9606.ENSP00000321326,9606.ENSP00000331736,9606.ENSP00000337332,9606.ENSP00000341044,9606.ENSP00000353731,9606.ENSP00000354511,9606.ENSP00000355361,9606.ENSP00000361359,9606.ENSP00000366307,9606.ENSP00000380252,9606.ENSP00000383115,9606.ENSP00000383232,9606.ENSP00000389814,9606.ENSP00000398048,9606.ENSP00000400175,9606.ENSP00000418009,9606.ENSP00000422607,9606.ENSP00000433623,9606.ENSP00000436455,9606.ENSP00000445772,9606.ENSP00000448665,9606.ENSP00000483599	MAPK1,SPARC,BMP4,HSPB1,RAF1,ERBB2,IL18,KLF10,PPARG,NOS3,TSC1,GLUL,LPL,MAPK7,F2R,SELE,SIRT6,ACACB,DPP4,COMT,CD47,CD40,THBD,NFE2L2,COLEC12,GGT1,ADIPOQ,ALPK1,RHOA,RARRES2,ACSL1,TRAF6,NUCB2,LTB4R2,DDIT3,SPON2
GO:0006950	Response to stress	43	3485	0.49	3.73e-10	9606.ENSP00000215832,9606.ENSP00000222572,9606.ENSP00000231061,9606.ENSP00000233893,9606.ENSP00000248553,9606.ENSP00000251849,9606.ENSP00000267101,9606.ENSP00000269571,9606.ENSP00000280357,9606.ENSP00000285407,9606.ENSP00000287820,9606.ENSP00000297494,9606.ENSP00000307900,9606.ENSP00000309757,9606.ENSP00000311005,9606.ENSP00000312326,9606.ENSP00000321326,9606.ENSP00000331736,9606.ENSP00000337332,9606.ENSP00000341208,9606.ENSP00000342026,9606.ENSP00000344220,9606.ENSP00000353393,9606.ENSP00000353731,9606.ENSP00000354511,9606.ENSP00000355361,9606.ENSP00000355370,9606.ENSP00000361359,9606.ENSP00000366307,9606.ENSP00000371958,9606.ENSP00000377055,9606.ENSP00000380252,9606.ENSP00000380432,9606.ENSP00000383115,9606.ENSP00000389814,9606.ENSP00000398048,9606.ENSP00000400175,9606.ENSP00000406873,9606.ENSP00000418009,9606.ENSP00000433623,9606.ENSP00000445772,9606.ENSP00000448665,9606.ENSP00000483599	MAPK1,PON2,SPARC,HSPE1,HSPB1,RAF1,ERBB3,ERBB2,IL18,KLF10,PPARG,NOS3,GLUL,LPL,MAPK7,AOC3,F2R,SELE,SIRT6,STAT5A,PRDX6,PDPK1,F8,DPP4,COMT,CD47,CNTF,CD40,THBD,CD9,PRCP,NFE2L2,INS,COLEC12,ADIPOQ,ALPK1,RHOA,PAK6,RARRES2,TRAF6,LTB4R2,DDIT3,SPON2
GO:0051716	Cellular response to stimulus	58	6489	0.35	3.97e-10	9606.ENSP00000215832,9606.ENSP00000222139,9606.ENSP00000229264,9606.ENSP00000231061,9606.ENSP00000245451,9606.ENSP00000248553,9606.ENSP00000251849,9606.ENSP00000253799,9606.ENSP00000261769,9606.ENSP00000265627,9606.ENSP00000267101,9606.ENSP00000269571,9606.ENSP00000280357,9606.ENSP00000284031,9606.ENSP00000284984,9606.ENSP00000285407,9606.ENSP00000287820,9606.ENSP00000297494,9606.ENSP00000298552,9606.ENSP00000307900,9606.ENSP00000309757,9606.ENSP00000311005,9606.ENSP00000312326,9606.ENSP00000321326,9606.ENSP00000331736,9606.ENSP00000337332,9606.ENSP00000341208,9606.ENSP00000342026,9606.ENSP00000344220,9606.ENSP00000347041,9606.ENSP00000353731,9606.ENSP00000354511,9606.ENSP00000355361,9606.ENSP00000355370,9606.ENSP00000360247,9606.ENSP00000361359,9606.ENSP00000371958,9606.ENSP00000379842,9606.ENSP00000380252,9606.ENSP00000380432,9606.ENSP00000380759,9606.ENSP00000383115,9606.ENSP00000383232,9606.ENSP00000389814,9606.ENSP00000398048,9606.ENSP00000400175,9606.ENSP00000406873,9606.ENSP00000418009,9606.ENSP00000418525,9606.ENSP00000422607,9606.ENSP00000433623,9606.ENSP00000436455,9606.ENSP00000445772,9606.ENSP00000448665,9606.ENSP00000476767,9606.ENSP00000480291,9606.ENSP00000483403,9606.ENSP00000483599	MAPK1,EPOR,GNB3,SPARC,BMP4,HSPB1,RAF1,AOC2,CDH1,PON3,ERBB3,ERBB2,IL18,DDAH1,ADAMTS1,KLF10,PPARG,NOS3,TSC1,GLUL,LPL,MAPK7,AOC3,F2R,SELE,SIRT6,STAT5A,PRDX6,PDPK1,FMOD,DPP4,COMT,CD47,CNTF,CYP2J2,CD40,CD9,SGK3,NFE2L2,INS,PRMT2,COLEC12,GGT1,ADIPOQ,ALPK1,RHOA,PAK6,RARRES2,MME,ACSL1,TRAF6,NUCB2,LTB4R2,DDIT3,FKBP8,HNF1B,GHR,SPON2
GO:0030334	Regulation of cell migration	23	865	0.82	4.15e-10	9606.ENSP00000215832,9606.ENSP00000231061,9606.ENSP00000245451,9606.ENSP00000248553,9606.ENSP00000261769,9606.ENSP00000284984,9606.ENSP00000287820,9606.ENSP00000297494,9606.ENSP00000307900,9606.ENSP00000321326,9606.ENSP00000331736,9606.ENSP00000341208,9606.ENSP00000344220,9606.ENSP00000353731,9606.ENSP00000361359,9606.ENSP00000371958,9606.ENSP00000377055,9606.ENSP00000379842,9606.ENSP00000380252,9606.ENSP00000380432,9606.ENSP00000389814,9606.ENSP00000400175,9606.ENSP00000418009	MAPK1,SPARC,BMP4,HSPB1,CDH1,ADAMTS1,PPARG,NOS3,GLUL,F2R,SELE,STAT5A,PDPK1,DPP4,CD40,CD9,PRCP,SGK3,NFE2L2,INS,ADIPOQ,RHOA,RARRES2
