#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
DOID:4	Disease	102	5921	0.3	6.48e-12	9606.ENSP00000013807,9606.ENSP00000200676,9606.ENSP00000216181,9606.ENSP00000216862,9606.ENSP00000221930,9606.ENSP00000222139,9606.ENSP00000225275,9606.ENSP00000226279,9606.ENSP00000226760,9606.ENSP00000227868,9606.ENSP00000229135,9606.ENSP00000245479,9606.ENSP00000248553,9606.ENSP00000255409,9606.ENSP00000257430,9606.ENSP00000258341,9606.ENSP00000259486,9606.ENSP00000261037,9606.ENSP00000261769,9606.ENSP00000263774,9606.ENSP00000264717,9606.ENSP00000266085,9606.ENSP00000268035,9606.ENSP00000272645,9606.ENSP00000278616,9606.ENSP00000278840,9606.ENSP00000283928,9606.ENSP00000288266,9606.ENSP00000292303,9606.ENSP00000293599,9606.ENSP00000297785,9606.ENSP00000300055,9606.ENSP00000308208,9606.ENSP00000309757,9606.ENSP00000310036,9606.ENSP00000310520,9606.ENSP00000312987,9606.ENSP00000315011,9606.ENSP00000317674,9606.ENSP00000321334,9606.ENSP00000321853,9606.ENSP00000325548,9606.ENSP00000330382,9606.ENSP00000336762,9606.ENSP00000339191,9606.ENSP00000345708,9606.ENSP00000346148,9606.ENSP00000348069,9606.ENSP00000349860,9606.ENSP00000351807,9606.ENSP00000352264,9606.ENSP00000354511,9606.ENSP00000354782,9606.ENSP00000354995,9606.ENSP00000356213,9606.ENSP00000356515,9606.ENSP00000356729,9606.ENSP00000357726,9606.ENSP00000358513,9606.ENSP00000360250,9606.ENSP00000360522,9606.ENSP00000360997,9606.ENSP00000361021,9606.ENSP00000362057,9606.ENSP00000362410,9606.ENSP00000363822,9606.ENSP00000363827,9606.ENSP00000363973,9606.ENSP00000365256,9606.ENSP00000365777,9606.ENSP00000368104,9606.ENSP00000368683,9606.ENSP00000369442,9606.ENSP00000369816,9606.ENSP00000371067,9606.ENSP00000375844,9606.ENSP00000376865,9606.ENSP00000377192,9606.ENSP00000377280,9606.ENSP00000380365,9606.ENSP00000381185,9606.ENSP00000383232,9606.ENSP00000383364,9606.ENSP00000384364,9606.ENSP00000384906,9606.ENSP00000384957,9606.ENSP00000393312,9606.ENSP00000400175,9606.ENSP00000401399,9606.ENSP00000401720,9606.ENSP00000402152,9606.ENSP00000403495,9606.ENSP00000414303,9606.ENSP00000418525,9606.ENSP00000418823,9606.ENSP00000419422,9606.ENSP00000426809,9606.ENSP00000444198,9606.ENSP00000478319,9606.ENSP00000478570,9606.ENSP00000480291,9606.ENSP00000484631	ERCC1,CETP,MYH9,CYP24A1,TGFB1,EPOR,MPO,CD38,WFS1,PDHX,IFNG,SOX9,HSPB1,CHI3L1,APC,LAMC1,ENPP2,COL8A1,CDH1,NDUFS3,GCKR,TIMP3,IGF1R,POLR2D,ATM,FADS2,JAZF1,APPL1,CCR5,AQP5,ALDH1A1,PLIN1,MMP14,LPL,CD34,ERCC4,HNF4A,EDNRA,APOL1,LPA,SERPINF2,CNDP2,PDGFB,ANG,CAV1,KCNJ11,PRKAA1,SREBF1,GFPT1,ELN,CD2AP,COMT,CD247,ABCG1,VIP,UTRN,FMO3,S100A12,CNR1,ENTPD1,RBP4,ADAMTS13,PTEN,NOX1,MAFB,AR,HSPG2,ALPL,CLCN5,MTHFR,BMP2,EDN1,KL,SHBG,JAK2,CAPN10,PDGFD,G6PD,FBXO8,RGN,BCL2,GGT1,PLA2G2A,NPY,SAA1,F11,FGFR1,RHOA,MYD88,GK,SLC12A3,LTA,BDNF,MME,FTO,AGTR1,PROM1,CITED2,GREM1,VEGFA,HNF1B,PMP22
DOID:7	Disease of anatomical entity	83	4452	0.33	2.77e-10	9606.ENSP00000013807,9606.ENSP00000200676,9606.ENSP00000216181,9606.ENSP00000221930,9606.ENSP00000222139,9606.ENSP00000225275,9606.ENSP00000226279,9606.ENSP00000226760,9606.ENSP00000229135,9606.ENSP00000245479,9606.ENSP00000248553,9606.ENSP00000255409,9606.ENSP00000257430,9606.ENSP00000258341,9606.ENSP00000261037,9606.ENSP00000261769,9606.ENSP00000266085,9606.ENSP00000268035,9606.ENSP00000272645,9606.ENSP00000278616,9606.ENSP00000278840,9606.ENSP00000283928,9606.ENSP00000292303,9606.ENSP00000293599,9606.ENSP00000297785,9606.ENSP00000300055,9606.ENSP00000310036,9606.ENSP00000310520,9606.ENSP00000312987,9606.ENSP00000315011,9606.ENSP00000317674,9606.ENSP00000321334,9606.ENSP00000321853,9606.ENSP00000325548,9606.ENSP00000330382,9606.ENSP00000336762,9606.ENSP00000339191,9606.ENSP00000345708,9606.ENSP00000346148,9606.ENSP00000349860,9606.ENSP00000351807,9606.ENSP00000352264,9606.ENSP00000354511,9606.ENSP00000354782,9606.ENSP00000356213,9606.ENSP00000356515,9606.ENSP00000357726,9606.ENSP00000360250,9606.ENSP00000360522,9606.ENSP00000360997,9606.ENSP00000361021,9606.ENSP00000362057,9606.ENSP00000362410,9606.ENSP00000363822,9606.ENSP00000363827,9606.ENSP00000363973,9606.ENSP00000365256,9606.ENSP00000365777,9606.ENSP00000368104,9606.ENSP00000368683,9606.ENSP00000369442,9606.ENSP00000369816,9606.ENSP00000371067,9606.ENSP00000377192,9606.ENSP00000377280,9606.ENSP00000383232,9606.ENSP00000383364,9606.ENSP00000384906,9606.ENSP00000384957,9606.ENSP00000393312,9606.ENSP00000401399,9606.ENSP00000402152,9606.ENSP00000403495,9606.ENSP00000414303,9606.ENSP00000418525,9606.ENSP00000418823,9606.ENSP00000419422,9606.ENSP00000426809,9606.ENSP00000444198,9606.ENSP00000478319,9606.ENSP00000478570,9606.ENSP00000480291,9606.ENSP00000484631	ERCC1,CETP,MYH9,TGFB1,EPOR,MPO,CD38,WFS1,IFNG,SOX9,HSPB1,CHI3L1,APC,LAMC1,COL8A1,CDH1,TIMP3,IGF1R,POLR2D,ATM,FADS2,JAZF1,CCR5,AQP5,ALDH1A1,PLIN1,CD34,ERCC4,HNF4A,EDNRA,APOL1,LPA,SERPINF2,CNDP2,PDGFB,ANG,CAV1,KCNJ11,PRKAA1,GFPT1,ELN,CD2AP,COMT,CD247,VIP,UTRN,S100A12,ENTPD1,RBP4,ADAMTS13,PTEN,NOX1,MAFB,AR,HSPG2,ALPL,CLCN5,MTHFR,BMP2,EDN1,KL,SHBG,JAK2,G6PD,FBXO8,GGT1,PLA2G2A,SAA1,F11,FGFR1,MYD88,SLC12A3,LTA,BDNF,MME,FTO,AGTR1,PROM1,CITED2,GREM1,VEGFA,HNF1B,PMP22
DOID:0060158	Acquired metabolic disease	20	320	0.86	2.22e-08	9606.ENSP00000216862,9606.ENSP00000226279,9606.ENSP00000226760,9606.ENSP00000259486,9606.ENSP00000288266,9606.ENSP00000292303,9606.ENSP00000312987,9606.ENSP00000339191,9606.ENSP00000345708,9606.ENSP00000348069,9606.ENSP00000358513,9606.ENSP00000363827,9606.ENSP00000365256,9606.ENSP00000369442,9606.ENSP00000375844,9606.ENSP00000380365,9606.ENSP00000384906,9606.ENSP00000402152,9606.ENSP00000418823,9606.ENSP00000480291	CYP24A1,CD38,WFS1,ENPP2,APPL1,CCR5,HNF4A,CAV1,KCNJ11,SREBF1,CNR1,HSPG2,CLCN5,KL,CAPN10,RGN,SAA1,SLC12A3,FTO,HNF1B
DOID:0014667	Disease of metabolism	32	997	0.57	2.36e-07	9606.ENSP00000216862,9606.ENSP00000226279,9606.ENSP00000226760,9606.ENSP00000227868,9606.ENSP00000259486,9606.ENSP00000263774,9606.ENSP00000264717,9606.ENSP00000288266,9606.ENSP00000292303,9606.ENSP00000300055,9606.ENSP00000309757,9606.ENSP00000312987,9606.ENSP00000339191,9606.ENSP00000345708,9606.ENSP00000348069,9606.ENSP00000354995,9606.ENSP00000356729,9606.ENSP00000358513,9606.ENSP00000363827,9606.ENSP00000365256,9606.ENSP00000365777,9606.ENSP00000369442,9606.ENSP00000375844,9606.ENSP00000377192,9606.ENSP00000380365,9606.ENSP00000383232,9606.ENSP00000384906,9606.ENSP00000401399,9606.ENSP00000401720,9606.ENSP00000402152,9606.ENSP00000418823,9606.ENSP00000480291	CYP24A1,CD38,WFS1,PDHX,ENPP2,NDUFS3,GCKR,APPL1,CCR5,PLIN1,LPL,HNF4A,CAV1,KCNJ11,SREBF1,ABCG1,FMO3,CNR1,HSPG2,CLCN5,MTHFR,KL,CAPN10,G6PD,RGN,GGT1,SAA1,MYD88,GK,SLC12A3,FTO,HNF1B
DOID:178	Vascular disease	16	223	0.92	2.43e-07	9606.ENSP00000200676,9606.ENSP00000225275,9606.ENSP00000278616,9606.ENSP00000310036,9606.ENSP00000315011,9606.ENSP00000321334,9606.ENSP00000351807,9606.ENSP00000360997,9606.ENSP00000365777,9606.ENSP00000368683,9606.ENSP00000371067,9606.ENSP00000384906,9606.ENSP00000384957,9606.ENSP00000414303,9606.ENSP00000419422,9606.ENSP00000478570	CETP,MPO,ATM,CD34,EDNRA,LPA,ELN,ADAMTS13,MTHFR,EDN1,JAK2,SAA1,F11,BDNF,AGTR1,VEGFA
DOID:1287	Cardiovascular system disease	21	454	0.73	6.54e-07	9606.ENSP00000200676,9606.ENSP00000225275,9606.ENSP00000257430,9606.ENSP00000278616,9606.ENSP00000310036,9606.ENSP00000315011,9606.ENSP00000321334,9606.ENSP00000339191,9606.ENSP00000345708,9606.ENSP00000351807,9606.ENSP00000360997,9606.ENSP00000365777,9606.ENSP00000368683,9606.ENSP00000371067,9606.ENSP00000377280,9606.ENSP00000384906,9606.ENSP00000384957,9606.ENSP00000414303,9606.ENSP00000419422,9606.ENSP00000444198,9606.ENSP00000478570	CETP,MPO,APC,ATM,CD34,EDNRA,LPA,CAV1,KCNJ11,ELN,ADAMTS13,MTHFR,EDN1,JAK2,FBXO8,SAA1,F11,BDNF,AGTR1,CITED2,VEGFA
DOID:9351	Diabetes mellitus	12	118	1.07	8.43e-07	9606.ENSP00000226279,9606.ENSP00000226760,9606.ENSP00000288266,9606.ENSP00000292303,9606.ENSP00000312987,9606.ENSP00000339191,9606.ENSP00000345708,9606.ENSP00000348069,9606.ENSP00000363827,9606.ENSP00000375844,9606.ENSP00000418823,9606.ENSP00000480291	CD38,WFS1,APPL1,CCR5,HNF4A,CAV1,KCNJ11,SREBF1,HSPG2,CAPN10,FTO,HNF1B
DOID:0050828	Artery disease	11	118	1.03	6.76e-06	9606.ENSP00000200676,9606.ENSP00000315011,9606.ENSP00000321334,9606.ENSP00000351807,9606.ENSP00000360997,9606.ENSP00000365777,9606.ENSP00000368683,9606.ENSP00000384906,9606.ENSP00000384957,9606.ENSP00000419422,9606.ENSP00000478570	CETP,EDNRA,LPA,ELN,ADAMTS13,MTHFR,EDN1,SAA1,F11,AGTR1,VEGFA
DOID:17	Musculoskeletal system disease	30	1074	0.51	7.68e-06	9606.ENSP00000221930,9606.ENSP00000229135,9606.ENSP00000245479,9606.ENSP00000248553,9606.ENSP00000257430,9606.ENSP00000268035,9606.ENSP00000272645,9606.ENSP00000300055,9606.ENSP00000310036,9606.ENSP00000330382,9606.ENSP00000339191,9606.ENSP00000349860,9606.ENSP00000351807,9606.ENSP00000354511,9606.ENSP00000354782,9606.ENSP00000356515,9606.ENSP00000362057,9606.ENSP00000363827,9606.ENSP00000363973,9606.ENSP00000365256,9606.ENSP00000365777,9606.ENSP00000368104,9606.ENSP00000377280,9606.ENSP00000383232,9606.ENSP00000383364,9606.ENSP00000384906,9606.ENSP00000393312,9606.ENSP00000403495,9606.ENSP00000418525,9606.ENSP00000484631	TGFB1,IFNG,SOX9,HSPB1,APC,IGF1R,POLR2D,PLIN1,CD34,PDGFB,CAV1,GFPT1,ELN,COMT,CD247,UTRN,NOX1,HSPG2,ALPL,CLCN5,MTHFR,BMP2,FBXO8,GGT1,PLA2G2A,SAA1,FGFR1,LTA,MME,PMP22
DOID:0050736	Autosomal dominant disease	31	1163	0.49	1.08e-05	9606.ENSP00000200676,9606.ENSP00000216181,9606.ENSP00000222139,9606.ENSP00000226760,9606.ENSP00000245479,9606.ENSP00000248553,9606.ENSP00000261037,9606.ENSP00000261769,9606.ENSP00000266085,9606.ENSP00000288266,9606.ENSP00000297785,9606.ENSP00000300055,9606.ENSP00000309757,9606.ENSP00000312987,9606.ENSP00000325548,9606.ENSP00000345708,9606.ENSP00000351807,9606.ENSP00000352264,9606.ENSP00000354511,9606.ENSP00000361021,9606.ENSP00000362410,9606.ENSP00000363827,9606.ENSP00000365777,9606.ENSP00000377280,9606.ENSP00000383232,9606.ENSP00000384906,9606.ENSP00000393312,9606.ENSP00000418525,9606.ENSP00000478570,9606.ENSP00000480291,9606.ENSP00000484631	CETP,MYH9,EPOR,WFS1,SOX9,HSPB1,COL8A1,CDH1,TIMP3,APPL1,ALDH1A1,PLIN1,LPL,HNF4A,CNDP2,KCNJ11,ELN,CD2AP,COMT,PTEN,MAFB,HSPG2,MTHFR,FBXO8,GGT1,SAA1,FGFR1,MME,VEGFA,HNF1B,PMP22
