#category	term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO Process	GO:0018401	Peptidyl-proline hydroxylation to 4-hydroxy-l-proline	3	11	2.69	0.00062	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
GO Process	GO:0030198	Extracellular matrix organization	5	338	1.42	0.0023	9606.ENSP00000261405,9606.ENSP00000263556,9606.ENSP00000331902,9606.ENSP00000369889,9606.ENSP00000380901	VWF,P4HA1,COL4A5,COL2A1,COL8A2
GO Process	GO:0090596	Sensory organ morphogenesis	4	264	1.43	0.0193	9606.ENSP00000354487,9606.ENSP00000365899,9606.ENSP00000369889,9606.ENSP00000380901	ZEB1,VSX1,COL2A1,COL8A2
GO Function	GO:0004656	Procollagen-proline 4-dioxygenase activity	3	4	3.13	1.49e-05	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
GO Function	GO:0031418	L-ascorbic acid binding	3	20	2.43	0.00015	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
GO Function	GO:0016702	Oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen	3	26	2.31	0.00026	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
GO Function	GO:0005201	Extracellular matrix structural constituent	3	119	1.65	0.0111	9606.ENSP00000331902,9606.ENSP00000369889,9606.ENSP00000380901	COL4A5,COL2A1,COL8A2
GO Function	GO:0005506	Iron ion binding	3	147	1.56	0.0173	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
GO Function	GO:0030020	Extracellular matrix structural constituent conferring tensile strength	2	28	2.1	0.0267	9606.ENSP00000331902,9606.ENSP00000369889	COL4A5,COL2A1
GO Component	GO:0005788	Endoplasmic reticulum lumen	7	308	1.61	1.39e-07	9606.ENSP00000263556,9606.ENSP00000331902,9606.ENSP00000354960,9606.ENSP00000369889,9606.ENSP00000380901,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,COL4A5,COLGALT2,COL2A1,COL8A2,P4HA2,P4HA3
GO Component	GO:0005783	Endoplasmic reticulum	8	1438	1.0	9.96e-05	9606.ENSP00000261405,9606.ENSP00000263556,9606.ENSP00000331902,9606.ENSP00000354960,9606.ENSP00000369889,9606.ENSP00000380901,9606.ENSP00000384999,9606.ENSP00000401749	VWF,P4HA1,COL4A5,COLGALT2,COL2A1,COL8A2,P4HA2,P4HA3
GO Component	GO:0005581	Collagen trimer	3	88	1.78	0.0088	9606.ENSP00000331902,9606.ENSP00000369889,9606.ENSP00000380901	COL4A5,COL2A1,COL8A2
GO Component	GO:0005604	Basement membrane	3	96	1.74	0.0088	9606.ENSP00000331902,9606.ENSP00000369889,9606.ENSP00000380901	COL4A5,COL2A1,COL8A2
GO Component	GO:0062023	Collagen-containing extracellular matrix	4	396	1.25	0.0158	9606.ENSP00000261405,9606.ENSP00000331902,9606.ENSP00000369889,9606.ENSP00000380901	VWF,COL4A5,COL2A1,COL8A2
GO Component	GO:0070013	Intracellular organelle lumen	10	5857	0.48	0.0158	9606.ENSP00000261405,9606.ENSP00000263556,9606.ENSP00000331902,9606.ENSP00000354487,9606.ENSP00000354960,9606.ENSP00000365899,9606.ENSP00000369889,9606.ENSP00000380901,9606.ENSP00000384999,9606.ENSP00000401749	VWF,P4HA1,COL4A5,ZEB1,COLGALT2,VSX1,COL2A1,COL8A2,P4HA2,P4HA3
GO Component	GO:0098644	Complex of collagen trimers	2	21	2.23	0.0158	9606.ENSP00000331902,9606.ENSP00000369889	COL4A5,COL2A1
STRING clusters	CL:16433	Collagen biosynthesis and modifying enzymes	6	57	2.27	1.80e-09	9606.ENSP00000263556,9606.ENSP00000331902,9606.ENSP00000354960,9606.ENSP00000369889,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,COL4A5,COLGALT2,COL2A1,P4HA2,P4HA3
STRING clusters	CL:16434	Collagen biosynthesis and modifying enzymes	5	38	2.37	2.79e-08	9606.ENSP00000263556,9606.ENSP00000331902,9606.ENSP00000354960,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,COL4A5,COLGALT2,P4HA2,P4HA3
STRING clusters	CL:16437	Collagen biosynthesis and modifying enzymes	4	22	2.51	5.20e-07	9606.ENSP00000263556,9606.ENSP00000354960,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,COLGALT2,P4HA2,P4HA3
STRING clusters	CL:16438	FACIT collagen trimer, and procollagen-proline dioxygenase activity	3	13	2.61	3.72e-05	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
STRING clusters	CL:30372	Chandler syndrome, and Zinc finger protein 469	2	5	2.85	0.0027	9606.ENSP00000369399,9606.ENSP00000380901	SLC4A11,COL8A2
