#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
PMID:26655500	(2016) MULTIMERIN2 binds VEGF-A primarily via the carbohydrate chains exerting an angiostatic function and impairing tumor growth.	4	22	2.47	0.0049	9606.ENSP00000231061,9606.ENSP00000363827,9606.ENSP00000451040,9606.ENSP00000478570	SPARC,HSPG2,PGF,VEGFA
PMID:16914267	(2006) The vascular endothelial growth factor VEGF165 induces perlecan synthesis via VEGF receptor-2 in cultured human brain microvascular endothelial cells.	3	5	2.99	0.0199	9606.ENSP00000363827,9606.ENSP00000451040,9606.ENSP00000478570	HSPG2,PGF,VEGFA
PMID:34957918	(2022) Long-term in vivo survival of 3D-bioprinted human lipoaspirate-derived adipose tissue: proteomic signature and cellular content.	4	83	1.9	0.0268	9606.ENSP00000231061,9606.ENSP00000362524,9606.ENSP00000363827,9606.ENSP00000478570	SPARC,ANGPTL2,HSPG2,VEGFA
PMID:35160111	(2022) Influence of Cytokines on Inflammatory Eye Diseases: A Citation Network Study.	3	25	2.29	0.0268	9606.ENSP00000006053,9606.ENSP00000451040,9606.ENSP00000478570	CX3CL1,PGF,VEGFA
PMID:33413407	(2021) Effective production of human growth factors in Escherichia coli by fusing with small protein 6HFh8.	3	13	2.58	0.0268	9606.ENSP00000231061,9606.ENSP00000451040,9606.ENSP00000478570	SPARC,PGF,VEGFA
PMID:33413646	(2021) Impact of 3D cell culture on bone regeneration potential of mesenchymal stromal cells.	3	23	2.33	0.0268	9606.ENSP00000231061,9606.ENSP00000363827,9606.ENSP00000478570	SPARC,HSPG2,VEGFA
PMID:33510227	(2021) Decreased angiogenesis as a possible pathomechanism in cervical degenerative myelopathy.	3	17	2.46	0.0268	9606.ENSP00000006053,9606.ENSP00000451040,9606.ENSP00000478570	CX3CL1,PGF,VEGFA
PMID:33680070	(2021) Integrated Learning: Screening Optimal Biomarkers for Identifying Preeclampsia in Placental mRNA Samples.	3	16	2.49	0.0268	9606.ENSP00000276571,9606.ENSP00000451040,9606.ENSP00000478570	CRH,PGF,VEGFA
PMID:33937276	(2021) The Charming World of the Extracellular Matrix: A Dynamic and Protective Network of the Intestinal Wall.	4	72	1.96	0.0268	9606.ENSP00000231061,9606.ENSP00000362524,9606.ENSP00000363827,9606.ENSP00000478570	SPARC,ANGPTL2,HSPG2,VEGFA
PMID:33991464	(2021) Intermittent hypoxia changes the interaction of the kinin-VEGF system and impairs myocardial angiogenesis in the hypertrophic heart.	3	23	2.33	0.0268	9606.ENSP00000450482,9606.ENSP00000451040,9606.ENSP00000478570	BDKRB2,PGF,VEGFA
PMID:34064508	(2021) Vascular Endothelial Growth Factor, a Key Modulator of the Anti-Tumor Immune Response.	4	57	2.06	0.0268	9606.ENSP00000006053,9606.ENSP00000276571,9606.ENSP00000451040,9606.ENSP00000478570	CX3CL1,CRH,PGF,VEGFA
PMID:34105297	(2021) Physiological and Pathological Factors Affecting Drug Delivery to the Brain by Nanoparticles.	4	74	1.95	0.0268	9606.ENSP00000231061,9606.ENSP00000276571,9606.ENSP00000363827,9606.ENSP00000478570	SPARC,CRH,HSPG2,VEGFA
PMID:34185437	(2021) Targeting neuropilins as a viable SARS-CoV-2 treatment.	3	19	2.41	0.0268	9606.ENSP00000363827,9606.ENSP00000451040,9606.ENSP00000478570	HSPG2,PGF,VEGFA
PMID:34299174	(2021) Cardiovascular and Cerebrovascular Implications of Growth Restriction: Mechanisms and Potential Treatments.	3	7	2.84	0.0268	9606.ENSP00000276571,9606.ENSP00000451040,9606.ENSP00000478570	CRH,PGF,VEGFA
PMID:34440184	(2021) Cortisol Dose-Dependently Impairs Migration and Tube-like Formation in a Trophoblast Cell Line and Modulates Inflammatory and Angiogenic Genes.	3	25	2.29	0.0268	9606.ENSP00000450482,9606.ENSP00000451040,9606.ENSP00000478570	BDKRB2,PGF,VEGFA
