#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
PMID:34187567	(2021) MicroRNAs: emerging driver of cancer perineural invasion.	5	104	1.97	0.0049	9606.ENSP00000292303,9606.ENSP00000351059,9606.ENSP00000393312,9606.ENSP00000400175,9606.ENSP00000401399	CCR5,CX3CR1,FGFR1,RHOA,MYD88
PMID:25595590	(2015) Chemokine-mediated inflammation in the degenerating retina is coordinated by Muller cells, activated microglia, and retinal pigment epithelium.	4	34	2.36	0.0051	9606.ENSP00000292303,9606.ENSP00000351059,9606.ENSP00000401399,9606.ENSP00000403495	CCR5,CX3CR1,MYD88,LTA
PMID:34117732	(2021) Toward a Better Regeneration through Implant-Mediated Immunomodulation: Harnessing the Immune Responses.	4	49	2.2	0.0134	9606.ENSP00000292303,9606.ENSP00000351059,9606.ENSP00000401399,9606.ENSP00000403495	CCR5,CX3CR1,MYD88,LTA
PMID:34685564	(2021) Interplay between Gut Lymphatic Vessels and Microbiota.	3	10	2.77	0.0134	9606.ENSP00000351059,9606.ENSP00000401399,9606.ENSP00000480043	CX3CR1,MYD88,VEGFC
PMID:31777064	(2020) The interaction of intestinal microbiota and innate lymphoid cells in health and disease throughout life.	4	55	2.15	0.0134	9606.ENSP00000292303,9606.ENSP00000351059,9606.ENSP00000401399,9606.ENSP00000403495	CCR5,CX3CR1,MYD88,LTA
PMID:30279511	(2019) Airway epithelial cells prime plasmacytoid dendritic cells to respond to pathogens via secretion of growth factors.	4	66	2.07	0.0134	9606.ENSP00000292303,9606.ENSP00000351059,9606.ENSP00000401399,9606.ENSP00000403495	CCR5,CX3CR1,MYD88,LTA
PMID:31703453	(2019) G Protein-Coupled Receptors (GPCRs)-Mediated Calcium Signaling in Ovarian Cancer: Focus on GPCRs activated by Neurotransmitters and Inflammation-Associated Molecules.	4	49	2.2	0.0134	9606.ENSP00000292303,9606.ENSP00000351059,9606.ENSP00000379472,9606.ENSP00000480043	CCR5,CX3CR1,CCK,VEGFC
PMID:27208212	(2016) The arterial microenvironment: the where and why of atherosclerosis.	4	65	2.08	0.0134	9606.ENSP00000292303,9606.ENSP00000351059,9606.ENSP00000393312,9606.ENSP00000400175	CCR5,CX3CR1,FGFR1,RHOA
PMID:25218556	(2015) The role of the immune system in neurodegenerative disorders: Adaptive or maladaptive?	4	63	2.09	0.0134	9606.ENSP00000292303,9606.ENSP00000351059,9606.ENSP00000401399,9606.ENSP00000403495	CCR5,CX3CR1,MYD88,LTA
PMID:25196434	(2014) Data mining of atherosclerotic plaque transcriptomes predicts STAT1-dependent inflammatory signal integration in vascular disease.	4	66	2.07	0.0134	9606.ENSP00000292303,9606.ENSP00000351059,9606.ENSP00000401399,9606.ENSP00000480043	CCR5,CX3CR1,MYD88,VEGFC
PMID:25427253	(2014) Monoclonal antibody targeting of fibroblast growth factor receptor 1c ameliorates obesity and glucose intolerance via central mechanisms.	4	55	2.15	0.0134	9606.ENSP00000292303,9606.ENSP00000379472,9606.ENSP00000393312,9606.ENSP00000401399	CCR5,CCK,FGFR1,MYD88
PMID:22426080	(2012) Ocular surface immunity: homeostatic mechanisms and their disruption in dry eye disease.	4	60	2.12	0.0134	9606.ENSP00000292303,9606.ENSP00000351059,9606.ENSP00000401399,9606.ENSP00000480043	CCR5,CX3CR1,MYD88,VEGFC
PMID:34206809	(2021) The Interplay between Nutrition, Innate Immunity, and the Commensal Microbiota in Adaptive Intestinal Morphogenesis.	4	72	2.04	0.0135	9606.ENSP00000379472,9606.ENSP00000400175,9606.ENSP00000401399,9606.ENSP00000480043	CCK,RHOA,MYD88,VEGFC
PMID:32346605	(2020) Efferocytosis and Its Associated Cytokines: A Light on Non-tumor and Tumor Diseases?	4	74	2.02	0.0139	9606.ENSP00000292303,9606.ENSP00000351059,9606.ENSP00000400175,9606.ENSP00000403495	CCR5,CX3CR1,RHOA,LTA
PMID:30571759	(2018) Roles of GP33, a guinea pig cytomegalovirus-encoded G protein-coupled receptor homolog, in cellular signaling, viral growth and inflammation in vitro and in vivo.	3	13	2.65	0.0139	9606.ENSP00000292303,9606.ENSP00000351059,9606.ENSP00000401399	CCR5,CX3CR1,MYD88
PMID:30687812	(2018) Oral Ibuprofen Interferes with Cellular Healing Responses in a Murine Model of Achilles Tendinopathy.	4	75	2.02	0.0139	9606.ENSP00000292303,9606.ENSP00000400175,9606.ENSP00000401399,9606.ENSP00000403495	CCR5,RHOA,MYD88,LTA
PMID:35128491	(2022) Polygenic networks in peripheral leukocytes indicate patterns associated with HIV infection and context-dependent effects of cannabis use.	4	82	1.98	0.0154	9606.ENSP00000292303,9606.ENSP00000351059,9606.ENSP00000400175,9606.ENSP00000401399	CCR5,CX3CR1,RHOA,MYD88
PMID:30413826	(2019) Immunosuppression mediated by myeloid-derived suppressor cells (MDSCs) during tumour progression.	4	80	1.99	0.0154	9606.ENSP00000292303,9606.ENSP00000351059,9606.ENSP00000401399,9606.ENSP00000403495	CCR5,CX3CR1,MYD88,LTA
PMID:31363792	(2019) The effect of palmitic acid on inflammatory response in macrophages: an overview of molecular mechanisms.	4	84	1.97	0.0154	9606.ENSP00000292303,9606.ENSP00000351059,9606.ENSP00000400175,9606.ENSP00000401399	CCR5,CX3CR1,RHOA,MYD88
PMID:26647161	(2016) Matrix metalloproteinase 14 modulates signal transduction and angiogenesis in the cornea.	4	80	1.99	0.0154	9606.ENSP00000393312,9606.ENSP00000400175,9606.ENSP00000401399,9606.ENSP00000480043	FGFR1,RHOA,MYD88,VEGFC
PMID:27014264	(2016) Bacterial Control of Pores Induced by the Type III Secretion System: Mind the Gap.	3	14	2.62	0.0154	9606.ENSP00000292303,9606.ENSP00000400175,9606.ENSP00000401399	CCR5,RHOA,MYD88
PMID:19246006	(2009) Regulation of chemokine recognition by site-specific tyrosine sulfation of receptor peptides.	3	14	2.62	0.0154	9606.ENSP00000292303,9606.ENSP00000351059,9606.ENSP00000379472	CCR5,CX3CR1,CCK
PMID:32365893	(2020) The Role of Chemokines and Chemokine Receptors in Diabetic Nephropathy.	4	88	1.95	0.0163	9606.ENSP00000292303,9606.ENSP00000351059,9606.ENSP00000400175,9606.ENSP00000401399	CCR5,CX3CR1,RHOA,MYD88
PMID:27713159	(2016) Lipopolysaccharide increases the release of VEGF-C that enhances cell motility and promotes lymphangiogenesis and lymphatic metastasis through the TLR4- NF-kappaBJNK pathways in colorectal cancer.	3	16	2.56	0.0163	9606.ENSP00000400175,9606.ENSP00000401399,9606.ENSP00000480043	RHOA,MYD88,VEGFC
PMID:22076326	(2011) Rosacea: The cytokine and chemokine network.	4	90	1.94	0.0166	9606.ENSP00000292303,9606.ENSP00000351059,9606.ENSP00000401399,9606.ENSP00000403495	CCR5,CX3CR1,MYD88,LTA
PMID:30154786	(2018) Cancer Cells Exploit Notch Signaling to Redefine a Supportive Cytokine Milieu.	4	94	1.92	0.0188	9606.ENSP00000292303,9606.ENSP00000393312,9606.ENSP00000401399,9606.ENSP00000480043	CCR5,FGFR1,MYD88,VEGFC
